Value,AFRICA_2024_DynamicWorld_2024_36PYS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PYS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PYS_M_R,AFRICA_2024_GSW_Yearly_2021_36PYS_M_R,AFRICA_2024_GWL_FCS30D_2022_36PYS_M_R,AFRICA_2024_WorldCover_2021_36PYS_M_R
120,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
121,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
122,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
123,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
124,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
125,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
126,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
127,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
128,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
129,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
130,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
131,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
132,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
133,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
134,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
135,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
136,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
137,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
138,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
139,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
140,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
141,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
142,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
143,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
144,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
145,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
146,NULL,Water,NULL,NULL,Non_Wetland,NULL
147,NULL,Water,NULL,NULL,Non_Wetland,Grassland
148,NULL,Water,NULL,NULL,Non_Wetland,Cropland
149,NULL,Water,NULL,NULL,Non_Wetland,Forest
150,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
151,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
152,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
153,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
154,NULL,Water,Shrubland,NULL,Non_Wetland,Water
155,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
156,NULL,Water,Shrubland,Water,Non_Wetland,Forest
157,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
158,NULL,Water,Grassland,NULL,Non_Wetland,Forest
159,NULL,Water,Grassland,Water,Non_Wetland,Forest
160,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
161,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
162,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
163,NULL,Water,Cropland,NULL,Non_Wetland,Water
164,NULL,Water,Cropland,NULL,Non_Wetland,Forest
165,NULL,Water,Cropland,Water,Non_Wetland,Grassland
166,NULL,Water,Cropland,Water,Non_Wetland,Cropland
167,NULL,Water,Wetland,NULL,Wetland,Forest
168,NULL,Water,Bareland,NULL,Non_Wetland,NULL
169,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
170,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
171,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
172,NULL,Water,Bareland,NULL,Non_Wetland,Forest
173,NULL,Water,Bareland,Water,Non_Wetland,Cropland
174,NULL,Water,Bareland,Water,Non_Wetland,Bareland
175,NULL,Water,Forest,NULL,Non_Wetland,NULL
176,NULL,Water,Forest,NULL,Non_Wetland,Grassland
177,NULL,Water,Forest,NULL,Non_Wetland,Cropland
178,NULL,Water,Forest,NULL,Non_Wetland,Bareland
179,NULL,Water,Forest,NULL,Non_Wetland,Forest
180,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
181,NULL,Water,Forest,Water,Non_Wetland,Forest
182,NULL,Forest,NULL,NULL,Non_Wetland,NULL
183,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
184,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
185,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
186,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
187,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
188,NULL,Forest,NULL,NULL,Non_Wetland,Forest
189,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
190,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
191,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
192,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
193,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
194,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
195,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
196,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
197,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
198,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
199,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
200,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
201,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
202,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
203,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
204,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
205,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
206,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
207,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
208,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
209,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
210,NULL,Forest,Wetland,NULL,Wetland,Forest
211,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
212,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
213,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
214,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
215,NULL,Forest,Bareland,Water,Non_Wetland,Forest
216,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
217,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
218,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
219,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
220,NULL,Forest,Forest,NULL,Non_Wetland,NULL
221,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
222,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
223,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
224,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
225,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
226,NULL,Forest,Forest,NULL,Non_Wetland,Forest
227,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
228,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
229,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
230,NULL,Forest,Forest,Water,Non_Wetland,NULL
231,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
232,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
233,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
234,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
235,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
236,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
237,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
238,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
239,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
240,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
241,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
242,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
243,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
244,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
245,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
246,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
247,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
248,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
249,Grassland,NULL,Wetland,NULL,Wetland,NULL
250,Grassland,NULL,Wetland,NULL,Wetland,Grassland
251,Grassland,NULL,Wetland,NULL,Wetland,Forest
252,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
253,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
254,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
255,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
256,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
257,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
258,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
259,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
260,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
261,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
262,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
263,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
264,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
265,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
266,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
267,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
268,Grassland,Cropland,NULL,Water,Non_Wetland,Grassland
269,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
270,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
271,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
272,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
273,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
274,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
275,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
276,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
277,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
278,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
279,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
280,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
281,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
282,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
283,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
284,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
285,Grassland,Cropland,Forest,Water,Non_Wetland,Grassland
286,Grassland,Cropland,Forest,Water,Non_Wetland,Cropland
287,Grassland,Water,NULL,NULL,Non_Wetland,Forest
288,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
289,Grassland,Water,Forest,NULL,Non_Wetland,Forest
290,Grassland,Water,Forest,Water,Non_Wetland,Forest
291,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
292,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
293,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
294,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
295,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
296,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
297,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
298,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
299,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
300,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
301,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
302,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
303,Grassland,Forest,Wetland,NULL,Wetland,Forest
304,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
305,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
306,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
307,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
308,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
309,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
310,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
311,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
312,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
313,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
314,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
315,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
316,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
317,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
318,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
319,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
320,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
321,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
322,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
323,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
324,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
325,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
326,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
327,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
328,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
329,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
330,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
331,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
332,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
333,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
334,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
335,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
336,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
337,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
338,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
339,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
340,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
341,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
342,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
343,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
344,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
345,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
346,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
347,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
348,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
349,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
350,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
351,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
352,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
353,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
354,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
355,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
356,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
357,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
358,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
359,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
360,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
361,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
362,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
363,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
364,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
365,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
366,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
367,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
368,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
369,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
370,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
371,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
372,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
373,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
374,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
375,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
376,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
377,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
378,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
379,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
380,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
381,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
382,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
383,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
384,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
385,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
386,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
387,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
388,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
389,Cropland,Cropland,Forest,Water,Non_Wetland,Grassland
390,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
391,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
392,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
393,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
394,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
395,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
396,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
397,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
398,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
399,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
400,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
401,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
402,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
403,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
404,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
405,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
406,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
407,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
408,Cropland,Built-up,Forest,NULL,Non_Wetland,Cropland
409,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up
410,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
411,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
412,Cropland,Water,Shrubland,NULL,Non_Wetland,Cropland
413,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
414,Cropland,Water,Grassland,NULL,Non_Wetland,Cropland
415,Cropland,Water,Grassland,NULL,Non_Wetland,Bareland
416,Cropland,Water,Grassland,NULL,Non_Wetland,Forest
417,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
418,Cropland,Water,Cropland,NULL,Non_Wetland,Cropland
419,Cropland,Water,Cropland,NULL,Non_Wetland,Water
420,Cropland,Water,Cropland,Water,Non_Wetland,Water
421,Cropland,Water,Bareland,NULL,Non_Wetland,Grassland
422,Cropland,Water,Bareland,NULL,Non_Wetland,Cropland
423,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
424,Cropland,Water,Bareland,Non_Water,Non_Wetland,Forest
