Value,AFRICA_2024_DynamicWorld_2024_37NBE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NBE_M_R,AFRICA_2024_GLC_FCS30D_2022_37NBE_M_R,AFRICA_2024_GSW_Yearly_2021_37NBE_M_R,AFRICA_2024_GWL_FCS30D_2022_37NBE_M_R,AFRICA_2024_WorldCover_2021_37NBE_M_R
119,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
120,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
121,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
122,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
123,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
124,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
125,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
126,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
127,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
128,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
129,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL
130,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
131,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
132,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
133,NULL,Forest,Water,NULL,Water,NULL
134,NULL,Forest,Forest,NULL,Non_Wetland,NULL
135,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
136,NULL,Forest,Forest,NULL,Non_Wetland,Forest
137,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
138,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
139,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
140,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
141,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
142,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
143,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
144,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
145,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
146,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
147,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
148,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
149,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
150,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
151,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
152,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
153,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
154,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
155,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
156,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
157,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
158,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
159,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
160,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
161,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
162,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
163,Grassland,Wetland,Grassland,NULL,Non_Wetland,Bareland
164,Grassland,Wetland,Grassland,Water,Non_Wetland,Bareland
165,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL
166,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland
167,Grassland,Wetland,Bareland,NULL,Non_Wetland,Cropland
168,Grassland,Wetland,Bareland,NULL,Non_Wetland,Bareland
169,Grassland,Wetland,Bareland,NULL,Non_Wetland,Water
170,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland
171,Grassland,Wetland,Bareland,Water,Non_Wetland,Bareland
172,Grassland,Wetland,Bareland,Water,Non_Wetland,Water
173,Grassland,Bareland,Bareland,NULL,Non_Wetland,Bareland
174,Grassland,Bareland,Bareland,Water,Non_Wetland,Bareland
175,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
176,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
177,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
178,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
179,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
180,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
181,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
182,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
183,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
184,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
185,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
186,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
187,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
188,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL
189,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
190,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
191,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
192,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
193,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
194,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
195,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
196,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
197,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
198,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
199,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
200,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
201,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
202,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
203,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
204,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
205,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
206,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
207,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
208,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
209,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
210,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
211,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
212,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
213,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
214,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
215,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
216,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
217,Cropland,NULL,Grassland,Water,Non_Wetland,Water
218,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
219,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
220,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
221,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
222,Cropland,NULL,Wetland,Water,Wetland,Water
223,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
224,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
225,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
226,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
227,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
228,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
229,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
230,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
231,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
232,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL
233,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
234,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
235,Cropland,NULL,Bareland,Water,Non_Wetland,NULL
236,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
237,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
238,Cropland,NULL,Bareland,Water,Non_Wetland,Water
239,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
240,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
241,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
242,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
243,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
244,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland
245,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
246,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
247,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
248,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
249,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
250,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
251,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
252,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
253,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
254,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
255,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
256,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
257,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
258,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
259,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
260,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
261,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
262,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
263,Cropland,Cropland,Bareland,Water,Non_Wetland,NULL
264,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
265,Cropland,Cropland,Bareland,Water,Non_Wetland,Bareland
266,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
267,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
268,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
269,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
270,Cropland,Wetland,Bareland,NULL,Non_Wetland,Grassland
271,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
272,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
273,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
274,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
275,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
276,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
277,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
278,Cropland,Bareland,Grassland,Water,Non_Wetland,Grassland
279,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL
280,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
281,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
282,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
283,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
284,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
285,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL
286,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
287,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
288,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
289,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
290,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
291,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
292,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
293,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
294,Cropland,Water,Bareland,NULL,Non_Wetland,Grassland
295,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
296,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
297,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
298,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
299,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
300,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
301,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
302,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
303,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
304,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
305,Cropland,Forest,Bareland,NULL,Non_Wetland,Forest
306,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
307,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
308,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
309,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
310,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
311,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
312,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
313,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
314,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
315,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
316,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
317,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
318,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
319,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL
320,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland
321,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
322,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL
323,Wetland,Wetland,Grassland,NULL,Non_Wetland,Grassland
324,Wetland,Wetland,Grassland,NULL,Non_Wetland,Cropland
325,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland
326,Wetland,Wetland,Grassland,NULL,Non_Wetland,Bareland
327,Wetland,Wetland,Grassland,Water,Non_Wetland,Grassland
328,Wetland,Wetland,Grassland,Water,Non_Wetland,Wetland
329,Wetland,Wetland,Grassland,Water,Non_Wetland,Bareland
330,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland
331,Wetland,Wetland,Cropland,NULL,Non_Wetland,Bareland
332,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL
333,Wetland,Wetland,Bareland,NULL,Non_Wetland,Grassland
334,Wetland,Wetland,Bareland,NULL,Non_Wetland,Cropland
335,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland
336,Wetland,Wetland,Bareland,NULL,Non_Wetland,Bareland
337,Wetland,Wetland,Bareland,NULL,Non_Wetland,Water
338,Wetland,Wetland,Bareland,Water,Non_Wetland,Grassland
339,Wetland,Wetland,Bareland,Water,Non_Wetland,Cropland
340,Wetland,Wetland,Bareland,Water,Non_Wetland,Wetland
341,Wetland,Wetland,Bareland,Water,Non_Wetland,Bareland
342,Wetland,Wetland,Bareland,Water,Non_Wetland,Water
343,Wetland,Wetland,Built-up,NULL,Non_Wetland,Grassland
344,Wetland,Bareland,Grassland,NULL,Non_Wetland,Grassland
345,Wetland,Bareland,Grassland,Water,Non_Wetland,Grassland
346,Wetland,Bareland,Bareland,NULL,Non_Wetland,Grassland
347,Wetland,Bareland,Bareland,NULL,Non_Wetland,Cropland
348,Wetland,Bareland,Bareland,NULL,Non_Wetland,Bareland
349,Wetland,Bareland,Bareland,NULL,Non_Wetland,Water
350,Wetland,Bareland,Bareland,Water,Non_Wetland,Bareland
351,Wetland,Bareland,Bareland,Water,Non_Wetland,Water
352,Wetland,Water,Grassland,NULL,Non_Wetland,Cropland
353,Wetland,Water,Grassland,Water,Non_Wetland,Wetland
354,Wetland,Water,Bareland,Water,Non_Wetland,Cropland
355,Wetland,Water,Bareland,Water,Non_Wetland,Wetland
356,Wetland,Water,Bareland,Water,Non_Wetland,Bareland
357,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
358,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
359,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
360,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
361,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
362,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
363,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
364,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
365,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
366,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
367,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
368,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
369,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
370,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
371,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
372,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
373,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
374,Bareland,NULL,Grassland,Water,Non_Wetland,NULL
375,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
376,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
377,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
378,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
379,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
380,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
381,Bareland,NULL,Bareland,NULL,Non_Wetland,Wetland
382,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
383,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
384,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL
385,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
386,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
387,Bareland,NULL,Bareland,Water,Non_Wetland,NULL
388,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
389,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
390,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
391,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
392,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
393,Bareland,NULL,Built-up,Water,Non_Wetland,Grassland
394,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
395,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
396,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
397,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
398,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
399,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
400,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL
401,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
402,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
403,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
404,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
405,Bareland,Cropland,Bareland,Water,Non_Wetland,Grassland
406,Bareland,Cropland,Bareland,Water,Non_Wetland,Bareland
407,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL
408,Bareland,Cropland,Built-up,NULL,Non_Wetland,Grassland
409,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
410,Bareland,Wetland,Grassland,NULL,Non_Wetland,Grassland
411,Bareland,Wetland,Bareland,NULL,Non_Wetland,Grassland
412,Bareland,Wetland,Bareland,NULL,Non_Wetland,Bareland
413,Bareland,Wetland,Bareland,Water,Non_Wetland,Bareland
414,Bareland,Wetland,Built-up,NULL,Non_Wetland,Grassland
