Value,AFRICA_2024_DynamicWorld_2024_37PHL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PHL_M_R,AFRICA_2024_GLC_FCS30D_2022_37PHL_M_R,AFRICA_2024_GSW_Yearly_2021_37PHL_M_R,AFRICA_2024_GWL_FCS30D_2022_37PHL_M_R,AFRICA_2024_WorldCover_2021_37PHL_M_R
118,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
119,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
120,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
121,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
122,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
123,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
124,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
125,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
126,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
127,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
128,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
129,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
130,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
131,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
132,NULL,Wetland,Water,NULL,Water,Cropland
133,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
134,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
135,NULL,Wetland,Forest,Non_Water,Non_Wetland,Cropland
136,NULL,Wetland,Forest,Water,Non_Wetland,Cropland
137,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
138,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
139,NULL,Bareland,NULL,NULL,Non_Wetland,Built-up
140,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
141,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
142,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
143,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
144,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
145,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
146,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
147,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
148,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
149,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
150,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
151,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
152,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
153,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
154,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
155,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
156,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
157,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
158,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
159,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
160,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
161,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
162,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
163,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
164,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
165,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
166,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
167,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
168,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
169,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
170,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
171,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
172,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL
173,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
174,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
175,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
176,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
177,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
178,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
179,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
180,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
181,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
182,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
183,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
184,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
185,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
186,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
187,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
188,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
189,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
190,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
191,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
192,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
193,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
194,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
195,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
196,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
197,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
198,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
199,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
200,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland
201,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
202,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
203,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
204,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
205,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
206,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
207,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
208,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
209,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
210,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Wetland
211,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
212,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
213,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
214,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
215,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
216,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
217,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL
218,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Cropland
219,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
220,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
221,NULL,Built-up,Built-up,Water,Non_Wetland,NULL
222,NULL,Built-up,Water,NULL,Water,Cropland
223,NULL,Built-up,Water,NULL,Water,Bareland
224,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
225,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
226,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
227,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
228,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
229,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
230,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
231,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
232,NULL,Built-up,Forest,Water,Non_Wetland,NULL
233,NULL,Built-up,Forest,Water,Non_Wetland,Forest
234,NULL,Water,NULL,NULL,Non_Wetland,NULL
235,NULL,Water,NULL,NULL,Non_Wetland,Cropland
236,NULL,Water,NULL,Non_Water,Non_Wetland,Wetland
237,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
238,NULL,Water,Grassland,NULL,Non_Wetland,NULL
239,NULL,Water,Cropland,NULL,Non_Wetland,NULL
240,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
241,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
242,NULL,Water,Cropland,NULL,Non_Wetland,Wetland
243,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
244,NULL,Water,Cropland,Water,Non_Wetland,Wetland
245,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
246,NULL,Water,Forest,NULL,Non_Wetland,NULL
247,NULL,Water,Forest,NULL,Non_Wetland,Cropland
248,NULL,Water,Forest,Non_Water,Non_Wetland,Cropland
249,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland
250,NULL,Water,Forest,Water,Non_Wetland,Cropland
251,NULL,Water,Forest,Water,Non_Wetland,Forest
252,NULL,Forest,NULL,NULL,Non_Wetland,NULL
253,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
254,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
255,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
256,NULL,Forest,NULL,NULL,Non_Wetland,Forest
257,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
258,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
259,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
260,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
261,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
262,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
263,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
264,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
265,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
266,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
267,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
268,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
269,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
270,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
271,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
272,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
273,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
274,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
275,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
276,NULL,Forest,Cropland,Non_Water,Non_Wetland,Cropland
277,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
278,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
279,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
280,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
281,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
282,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
283,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
284,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
285,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
286,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
287,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
288,NULL,Forest,Forest,NULL,Non_Wetland,NULL
289,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
290,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
291,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
292,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
293,NULL,Forest,Forest,NULL,Non_Wetland,Forest
294,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
295,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
296,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
297,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
298,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
299,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
300,Grassland,NULL,NULL,Water,Non_Wetland,Cropland
301,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
302,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
303,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
304,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
305,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
306,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
307,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
308,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
309,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
310,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
311,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
312,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
313,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
314,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
315,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
316,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
317,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
318,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
319,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
320,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
321,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
322,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
323,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
324,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
325,Grassland,NULL,Water,NULL,Water,Wetland
326,Grassland,NULL,Water,Water,Water,Wetland
327,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
328,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
329,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
330,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
331,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
332,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
333,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
334,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
335,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
336,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
337,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
338,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
339,Grassland,Cropland,NULL,Water,Non_Wetland,Wetland
340,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
341,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
342,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
343,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
344,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
345,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
346,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
347,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland
348,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
349,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
350,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
351,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
352,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
353,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
354,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
355,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
356,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland
357,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland
358,Grassland,Cropland,Cropland,Water,Non_Wetland,Wetland
359,Grassland,Cropland,Wetland,Water,Wetland,Wetland
360,Grassland,Cropland,Wetland,Water,Wetland,Water
361,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
362,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
363,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
364,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
365,Grassland,Cropland,Bareland,NULL,Non_Wetland,Built-up
366,Grassland,Cropland,Bareland,Water,Non_Wetland,Cropland
367,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL
368,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
369,Grassland,Cropland,Built-up,Water,Non_Wetland,Wetland
370,Grassland,Cropland,Water,NULL,Water,Cropland
371,Grassland,Cropland,Water,NULL,Water,Wetland
372,Grassland,Cropland,Water,Non_Water,Water,Wetland
373,Grassland,Cropland,Water,Water,Water,Cropland
374,Grassland,Cropland,Water,Water,Water,Wetland
375,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
376,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
377,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
378,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
379,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
380,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
381,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
382,Grassland,Cropland,Forest,Water,Non_Wetland,Grassland
383,Grassland,Cropland,Forest,Water,Non_Wetland,Cropland
384,Grassland,Cropland,Forest,Water,Non_Wetland,Wetland
385,Grassland,Wetland,Cropland,NULL,Non_Wetland,Cropland
386,Grassland,Wetland,Water,NULL,Water,Cropland
387,Grassland,Wetland,Forest,NULL,Non_Wetland,Cropland
388,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Cropland
389,Grassland,Wetland,Forest,Water,Non_Wetland,Cropland
390,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
391,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL
392,Grassland,Built-up,NULL,NULL,Non_Wetland,Forest
393,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL
394,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
395,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
396,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL
397,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL
398,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
399,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
400,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL
401,Grassland,Built-up,Forest,NULL,Non_Wetland,Cropland
402,Grassland,Built-up,Forest,Non_Water,Non_Wetland,Wetland
403,Grassland,Water,NULL,NULL,Non_Wetland,Wetland
404,Grassland,Water,Shrubland,Water,Non_Wetland,Wetland
405,Grassland,Water,Cropland,NULL,Non_Wetland,NULL
406,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
407,Grassland,Water,Cropland,NULL,Non_Wetland,Cropland
408,Grassland,Water,Cropland,NULL,Non_Wetland,Wetland
409,Grassland,Water,Cropland,NULL,Non_Wetland,Bareland
410,Grassland,Water,Cropland,Non_Water,Non_Wetland,Wetland
411,Grassland,Water,Cropland,Water,Non_Wetland,Cropland
412,Grassland,Water,Cropland,Water,Non_Wetland,Wetland
413,Grassland,Water,Cropland,Water,Non_Wetland,Water
414,Grassland,Water,Wetland,Water,Wetland,Wetland
415,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland
416,Grassland,Water,Built-up,NULL,Non_Wetland,Cropland
417,Grassland,Water,Water,NULL,Water,Wetland
418,Grassland,Water,Water,Non_Water,Water,Wetland
419,Grassland,Water,Water,Water,Water,Wetland
420,Grassland,Water,Water,Water,Water,Water
421,Grassland,Water,Forest,NULL,Non_Wetland,Cropland
