Value,AFRICA_2024_DynamicWorld_2024_37NBH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NBH_M_R,AFRICA_2024_GLC_FCS30D_2022_37NBH_M_R,AFRICA_2024_GSW_Yearly_2021_37NBH_M_R,AFRICA_2024_GWL_FCS30D_2022_37NBH_M_R,AFRICA_2024_WorldCover_2021_37NBH_M_R
118,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
119,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
120,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
121,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
122,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
123,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
124,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
125,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
126,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
127,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
128,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
129,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
130,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
131,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
132,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
133,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
134,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
135,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
136,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
137,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
138,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
139,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
140,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
141,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
142,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
143,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
144,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
145,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
146,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
147,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
148,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
149,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
150,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
151,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
152,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
153,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
154,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
155,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
156,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
157,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
158,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
159,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
160,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
161,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
162,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
163,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
164,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
165,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
166,NULL,Built-up,Forest,NULL,Non_Wetland,Water
167,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
168,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
169,NULL,Built-up,Forest,Water,Non_Wetland,Bareland
170,NULL,Built-up,Forest,Water,Non_Wetland,Water
171,NULL,Water,NULL,NULL,Non_Wetland,NULL
172,NULL,Water,NULL,NULL,Non_Wetland,Grassland
173,NULL,Water,NULL,NULL,Non_Wetland,Bareland
174,NULL,Water,NULL,NULL,Non_Wetland,Forest
175,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
176,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
177,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
178,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
179,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
180,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
181,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
182,NULL,Water,Grassland,NULL,Non_Wetland,Forest
183,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
184,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
185,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
186,NULL,Water,Cropland,NULL,Non_Wetland,Forest
187,NULL,Water,Bareland,NULL,Non_Wetland,NULL
188,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
189,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
190,NULL,Water,Bareland,NULL,Non_Wetland,Forest
191,NULL,Water,Bareland,Water,Non_Wetland,Bareland
192,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
193,NULL,Water,Forest,NULL,Non_Wetland,NULL
194,NULL,Water,Forest,NULL,Non_Wetland,Grassland
195,NULL,Water,Forest,NULL,Non_Wetland,Cropland
196,NULL,Water,Forest,NULL,Non_Wetland,Bareland
197,NULL,Water,Forest,NULL,Non_Wetland,Forest
198,NULL,Forest,NULL,NULL,Non_Wetland,NULL
199,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
200,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
201,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
202,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
203,NULL,Forest,NULL,NULL,Non_Wetland,Forest
204,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
205,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
206,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
207,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
208,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
209,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
210,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
211,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
212,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
213,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
214,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
215,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
216,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
217,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
218,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
219,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
220,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
221,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
222,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
223,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
224,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
225,NULL,Forest,Bareland,NULL,Non_Wetland,Built-up
226,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
227,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
228,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
229,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
230,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
231,NULL,Forest,Built-up,Water,Non_Wetland,NULL
232,NULL,Forest,Forest,NULL,Non_Wetland,NULL
233,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
234,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
235,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
236,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
237,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
238,NULL,Forest,Forest,NULL,Non_Wetland,Forest
239,NULL,Forest,Forest,Water,Non_Wetland,NULL
240,NULL,Forest,Forest,Water,Non_Wetland,Grassland
241,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
242,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
243,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
244,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
245,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
246,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
247,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
248,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
249,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
250,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
251,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
252,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
253,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
254,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
255,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
256,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
257,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
258,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
259,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
260,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
261,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
262,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
263,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
264,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
265,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
266,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
267,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
268,Grassland,NULL,Wetland,NULL,Wetland,NULL
269,Grassland,NULL,Wetland,NULL,Wetland,Grassland
270,Grassland,NULL,Wetland,NULL,Wetland,Wetland
271,Grassland,NULL,Wetland,NULL,Wetland,Bareland
272,Grassland,NULL,Wetland,NULL,Wetland,Forest
273,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
274,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
275,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
276,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
277,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
278,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
279,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
280,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
281,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
282,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
283,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
284,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
285,Grassland,NULL,Water,NULL,Water,Wetland
286,Grassland,NULL,Water,NULL,Water,Forest
287,Grassland,NULL,Water,Non_Water,Water,Forest
288,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
289,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
290,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
291,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
292,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
293,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
294,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
295,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
296,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
297,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
298,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
299,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
300,Grassland,NULL,Forest,Water,Non_Wetland,Forest
301,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
302,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
303,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
304,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland
305,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up
306,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
307,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
308,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
309,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
310,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
311,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
312,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
313,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
314,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
315,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
316,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland
317,Grassland,Cropland,Grassland,NULL,Non_Wetland,Built-up
318,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
319,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
320,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
321,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
322,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
323,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland
324,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
325,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
326,Grassland,Cropland,Wetland,NULL,Wetland,NULL
327,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
328,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
329,Grassland,Cropland,Wetland,NULL,Wetland,Forest
330,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
331,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
332,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
333,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
334,Grassland,Cropland,Bareland,NULL,Non_Wetland,Bareland
335,Grassland,Cropland,Bareland,NULL,Non_Wetland,Built-up
336,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
337,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL
338,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
339,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
340,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up
341,Grassland,Cropland,Built-up,NULL,Non_Wetland,Forest
342,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
343,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
344,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
345,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
346,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland
347,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up
348,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
349,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL
350,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland
351,Grassland,Built-up,NULL,NULL,Non_Wetland,Cropland
352,Grassland,Built-up,NULL,NULL,Non_Wetland,Forest
353,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL
354,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
355,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
356,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL
357,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
358,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
359,Grassland,Built-up,Cropland,NULL,Non_Wetland,Forest
360,Grassland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
361,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland
362,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL
363,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
364,Grassland,Built-up,Forest,NULL,Non_Wetland,Cropland
365,Grassland,Built-up,Forest,NULL,Non_Wetland,Built-up
366,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
367,Grassland,Water,NULL,NULL,Non_Wetland,NULL
368,Grassland,Water,NULL,NULL,Non_Wetland,Grassland
369,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL
370,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
371,Grassland,Water,Cropland,NULL,Non_Wetland,NULL
372,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
373,Grassland,Water,Cropland,NULL,Non_Wetland,Forest
374,Grassland,Water,Wetland,NULL,Wetland,NULL
375,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
376,Grassland,Water,Bareland,NULL,Non_Wetland,NULL
377,Grassland,Water,Bareland,NULL,Non_Wetland,Grassland
378,Grassland,Water,Bareland,NULL,Non_Wetland,Water
379,Grassland,Water,Bareland,NULL,Non_Wetland,Forest
380,Grassland,Water,Built-up,NULL,Non_Wetland,Grassland
381,Grassland,Water,Water,NULL,Water,Wetland
382,Grassland,Water,Water,NULL,Water,Forest
383,Grassland,Water,Water,Non_Water,Water,Wetland
384,Grassland,Water,Forest,NULL,Non_Wetland,NULL
385,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
386,Grassland,Water,Forest,NULL,Non_Wetland,Cropland
387,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
388,Grassland,Water,Forest,NULL,Non_Wetland,Forest
389,Grassland,Water,Forest,Water,Non_Wetland,NULL
390,Grassland,Water,Forest,Water,Non_Wetland,Grassland
391,Grassland,Water,Forest,Water,Non_Wetland,Wetland
392,Grassland,Water,Forest,Water,Non_Wetland,Forest
393,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
394,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
395,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
396,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
397,Grassland,Forest,NULL,NULL,Non_Wetland,Bareland
398,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
399,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
400,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
401,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
402,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
403,Grassland,Forest,Shrubland,NULL,Non_Wetland,Built-up
404,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
405,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
406,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
407,Grassland,Forest,Grassland,NULL,Non_Wetland,Built-up
408,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
409,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
410,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
411,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
412,Grassland,Forest,Cropland,NULL,Non_Wetland,Built-up
413,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
414,Grassland,Forest,Wetland,NULL,Wetland,Grassland
415,Grassland,Forest,Wetland,NULL,Wetland,Forest
416,Grassland,Forest,Wetland,Water,Wetland,Forest
417,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
418,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
419,Grassland,Forest,Bareland,NULL,Non_Wetland,Cropland
420,Grassland,Forest,Bareland,NULL,Non_Wetland,Built-up
421,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
