Value,AFRICA_2024_DynamicWorld_2024_37NBG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NBG_M_R,AFRICA_2024_GLC_FCS30D_2022_37NBG_M_R,AFRICA_2024_GSW_Yearly_2021_37NBG_M_R,AFRICA_2024_GWL_FCS30D_2022_37NBG_M_R,AFRICA_2024_WorldCover_2021_37NBG_M_R
118,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
119,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
120,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
121,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
122,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
123,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
124,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
125,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
126,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
127,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
128,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
129,NULL,Cropland,Forest,NULL,Non_Wetland,Water
130,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
131,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
132,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
133,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
134,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
135,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
136,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
137,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
138,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
139,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
140,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
141,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
142,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
143,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
144,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
145,NULL,Bareland,Wetland,NULL,Wetland,Water
146,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
147,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
148,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
149,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
150,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
151,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
152,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
153,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
154,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
155,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
156,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
157,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
158,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
159,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
160,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
161,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
162,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
163,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
164,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
165,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
166,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
167,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
168,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
169,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
170,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
171,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
172,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
173,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
174,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
175,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
176,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
177,NULL,Built-up,Wetland,NULL,Wetland,Forest
178,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
179,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
180,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
181,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
182,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
183,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
184,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
185,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
186,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
187,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
188,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
189,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
190,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
191,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
192,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
193,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
194,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
195,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
196,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
197,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
198,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
199,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
200,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
201,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
202,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
203,NULL,Water,NULL,NULL,Non_Wetland,NULL
204,NULL,Water,NULL,NULL,Non_Wetland,Grassland
205,NULL,Water,NULL,NULL,Non_Wetland,Cropland
206,NULL,Water,NULL,NULL,Non_Wetland,Bareland
207,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
208,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
209,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
210,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
211,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
212,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
213,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
214,NULL,Water,Cropland,NULL,Non_Wetland,NULL
215,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
216,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
217,NULL,Water,Cropland,NULL,Non_Wetland,Forest
218,NULL,Water,Wetland,NULL,Wetland,Forest
219,NULL,Water,Bareland,NULL,Non_Wetland,NULL
220,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
221,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
222,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
223,NULL,Water,Bareland,NULL,Non_Wetland,Water
224,NULL,Water,Bareland,NULL,Non_Wetland,Forest
225,NULL,Water,Forest,NULL,Non_Wetland,NULL
226,NULL,Water,Forest,NULL,Non_Wetland,Grassland
227,NULL,Water,Forest,NULL,Non_Wetland,Cropland
228,NULL,Water,Forest,NULL,Non_Wetland,Bareland
229,NULL,Water,Forest,NULL,Non_Wetland,Forest
230,NULL,Forest,NULL,NULL,Non_Wetland,NULL
231,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
232,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
233,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
234,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
235,NULL,Forest,NULL,NULL,Non_Wetland,Forest
236,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
237,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
238,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
239,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
240,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
241,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
242,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
243,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
244,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
245,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
246,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
247,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
248,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
249,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
250,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
251,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
252,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
253,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
254,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
255,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
256,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
257,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
258,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
259,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
260,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
261,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
262,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
263,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
264,NULL,Forest,Forest,NULL,Non_Wetland,NULL
265,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
266,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
267,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
268,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
269,NULL,Forest,Forest,NULL,Non_Wetland,Forest
270,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
271,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
272,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
273,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
274,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
275,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
276,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
277,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
278,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
279,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
280,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
281,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
282,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
283,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
284,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
285,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
286,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
287,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
288,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
289,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
290,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
291,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
292,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
293,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
294,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
295,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
296,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
297,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
298,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
299,Grassland,NULL,Wetland,NULL,Wetland,NULL
300,Grassland,NULL,Wetland,NULL,Wetland,Grassland
301,Grassland,NULL,Wetland,NULL,Wetland,Cropland
302,Grassland,NULL,Wetland,NULL,Wetland,Wetland
303,Grassland,NULL,Wetland,NULL,Wetland,Bareland
304,Grassland,NULL,Wetland,NULL,Wetland,Forest
305,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
306,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
307,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
308,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
309,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
310,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
311,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
312,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
313,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
314,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
315,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
316,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
317,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland
318,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
319,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
320,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
321,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
322,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
323,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
324,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
325,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
326,Grassland,NULL,Forest,NULL,Non_Wetland,Water
327,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
328,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
329,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
330,Grassland,NULL,Forest,Water,Non_Wetland,Forest
331,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
332,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
333,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
334,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland
335,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
336,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
337,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
338,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
339,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
340,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
341,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
342,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Water
343,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
344,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
345,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
346,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
347,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
348,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
349,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland
350,Grassland,Cropland,Grassland,NULL,Non_Wetland,Built-up
351,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
352,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
353,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
354,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
355,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
356,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
357,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland
358,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
359,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
360,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
361,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
362,Grassland,Cropland,Wetland,NULL,Wetland,NULL
363,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
364,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
365,Grassland,Cropland,Wetland,NULL,Wetland,Forest
366,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
367,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
368,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
369,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
370,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
371,Grassland,Cropland,Bareland,NULL,Non_Wetland,Bareland
372,Grassland,Cropland,Bareland,NULL,Non_Wetland,Built-up
373,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
374,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL
375,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
376,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
377,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland
378,Grassland,Cropland,Built-up,NULL,Non_Wetland,Forest
379,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
380,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
381,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
382,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
383,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland
384,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up
385,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
386,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
387,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
388,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
389,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
390,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
391,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
392,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
393,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
394,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL
395,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
396,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
397,Grassland,Wetland,Wetland,NULL,Wetland,NULL
398,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
399,Grassland,Wetland,Wetland,NULL,Wetland,Forest
400,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL
401,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
402,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
403,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
404,Grassland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
405,Grassland,Bareland,Cropland,NULL,Non_Wetland,Grassland
406,Grassland,Bareland,Forest,NULL,Non_Wetland,Forest
407,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL
408,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland
409,Grassland,Built-up,NULL,NULL,Non_Wetland,Cropland
410,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL
411,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
412,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
413,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
414,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
415,Grassland,Built-up,Grassland,NULL,Non_Wetland,Bareland
416,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up
417,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL
