Value,AFRICA_2024_DynamicWorld_2024_36PZT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZT_M_R,AFRICA_2024_GSW_Yearly_2021_36PZT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PZT_M_R,AFRICA_2024_WorldCover_2021_36PZT_M_R
119,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
120,NULL,Cropland,Bareland,Water,Non_Wetland,Water
121,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
122,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
123,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
124,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
125,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
126,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
127,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
128,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
129,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
130,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
131,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
132,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
133,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
134,NULL,Cropland,Forest,NULL,Non_Wetland,Water
135,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
136,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
137,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
138,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
139,NULL,Cropland,Forest,Water,Non_Wetland,NULL
140,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
141,NULL,Cropland,Forest,Water,Non_Wetland,Bareland
142,NULL,Cropland,Forest,Water,Non_Wetland,Forest
143,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
144,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
145,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
146,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
147,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
148,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
149,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
150,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
151,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
152,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
153,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
154,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
155,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
156,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
157,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
158,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
159,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
160,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
161,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
162,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
163,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
164,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
165,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
166,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
167,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
168,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
169,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
170,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
171,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
172,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
173,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
174,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
175,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
176,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
177,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
178,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
179,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
180,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
181,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
182,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
183,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
184,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
185,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
186,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
187,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
188,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
189,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
190,NULL,Water,NULL,NULL,Non_Wetland,Cropland
191,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
192,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
193,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
194,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
195,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
196,NULL,Water,Shrubland,Water,Non_Wetland,Forest
197,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
198,NULL,Water,Cropland,NULL,Non_Wetland,NULL
199,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
200,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
201,NULL,Water,Cropland,NULL,Non_Wetland,Forest
202,NULL,Water,Wetland,NULL,Wetland,NULL
203,NULL,Water,Wetland,NULL,Wetland,Grassland
204,NULL,Water,Wetland,Water,Wetland,Grassland
205,NULL,Water,Wetland,Water,Wetland,Forest
206,NULL,Water,Bareland,NULL,Non_Wetland,NULL
207,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
208,NULL,Water,Bareland,NULL,Non_Wetland,Forest
209,NULL,Water,Bareland,Water,Non_Wetland,Cropland
210,NULL,Water,Forest,NULL,Non_Wetland,NULL
211,NULL,Water,Forest,NULL,Non_Wetland,Grassland
212,NULL,Water,Forest,NULL,Non_Wetland,Cropland
213,NULL,Water,Forest,NULL,Non_Wetland,Forest
214,NULL,Water,Forest,Non_Water,Non_Wetland,NULL
215,NULL,Water,Forest,Non_Water,Non_Wetland,Cropland
216,NULL,Water,Forest,Water,Non_Wetland,Cropland
217,NULL,Water,Forest,Water,Non_Wetland,Forest
218,NULL,Forest,NULL,NULL,Non_Wetland,NULL
219,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
220,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
221,NULL,Forest,NULL,NULL,Non_Wetland,Forest
222,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
223,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
224,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
225,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
226,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
227,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
228,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
229,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
230,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
231,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
232,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
233,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
234,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
235,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
236,NULL,Forest,Wetland,Water,Wetland,Forest
237,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
238,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
239,NULL,Forest,Bareland,Water,Non_Wetland,Forest
240,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
241,NULL,Forest,Water,NULL,Water,Grassland
242,NULL,Forest,Water,NULL,Water,Forest
243,NULL,Forest,Forest,NULL,Non_Wetland,NULL
244,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
245,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
246,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
247,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
248,NULL,Forest,Forest,NULL,Non_Wetland,Forest
249,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
250,NULL,Forest,Forest,Water,Non_Wetland,NULL
251,NULL,Forest,Forest,Water,Non_Wetland,Forest
252,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
253,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
254,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
255,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
256,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
257,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
258,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
259,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
260,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
261,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
262,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
263,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
264,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
265,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
266,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
267,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
268,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
269,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
270,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
271,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
272,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
273,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
274,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
275,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
276,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
277,Grassland,NULL,Forest,Water,Non_Wetland,Forest
278,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
279,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
280,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
281,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
282,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up
283,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
284,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
285,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
286,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
287,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
288,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
289,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
290,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
291,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
292,Grassland,Cropland,Shrubland,Water,Non_Wetland,Cropland
293,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
294,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
295,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
296,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
297,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
298,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
299,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
300,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
301,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
302,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
303,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
304,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
305,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
306,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
307,Grassland,Cropland,Wetland,Non_Water,Wetland,Cropland
308,Grassland,Cropland,Wetland,Water,Wetland,Cropland
309,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
310,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
311,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
312,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
313,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
314,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
315,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
316,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
317,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
318,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
319,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
320,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
321,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL
322,Grassland,Built-up,Forest,NULL,Non_Wetland,Cropland
323,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
324,Grassland,Water,Shrubland,NULL,Non_Wetland,Cropland
325,Grassland,Water,Shrubland,Water,Non_Wetland,Cropland
326,Grassland,Water,Water,Water,Water,Grassland
327,Grassland,Water,Forest,NULL,Non_Wetland,NULL
328,Grassland,Water,Forest,NULL,Non_Wetland,Forest
329,Grassland,Water,Forest,Water,Non_Wetland,Forest
330,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
331,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
332,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
333,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
334,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
335,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
336,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
337,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
338,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
339,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
340,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
341,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
342,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
343,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
344,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
345,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
346,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
347,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
348,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
349,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
350,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
351,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
352,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
353,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
354,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
355,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
356,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
357,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
358,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
359,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
360,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
361,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
362,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
363,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
364,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
365,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
366,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
367,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
368,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
369,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
370,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
371,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
372,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
373,Cropland,NULL,Wetland,NULL,Wetland,Grassland
374,Cropland,NULL,Wetland,NULL,Wetland,Forest
375,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
376,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
377,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
378,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
379,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
380,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
381,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
382,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
383,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
384,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
385,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
386,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
387,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
388,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
389,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
390,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
391,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
392,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
393,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
394,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
395,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
396,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL
397,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
398,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
399,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
400,Cropland,NULL,Forest,Water,Non_Wetland,Cropland
401,Cropland,NULL,Forest,Water,Non_Wetland,Forest
402,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
403,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
404,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
405,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
406,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
407,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
408,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
409,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
410,Cropland,Cropland,NULL,Water,Non_Wetland,Grassland
411,Cropland,Cropland,NULL,Water,Non_Wetland,Cropland
412,Cropland,Cropland,NULL,Water,Non_Wetland,Wetland
413,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
414,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
415,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
416,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
417,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
418,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
419,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
420,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
421,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
