Value,AFRICA_2024_DynamicWorld_2024_36NVK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NVK_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVK_M_R,AFRICA_2024_GSW_Yearly_2021_36NVK_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVK_M_R,AFRICA_2024_WorldCover_2021_36NVK_M_R
120,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
121,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
122,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
123,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
124,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
125,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
126,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
127,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
128,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
129,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
130,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
131,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
132,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
133,NULL,Water,Shrubland,Water,Non_Wetland,NULL
134,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
135,NULL,Water,Grassland,Water,Non_Wetland,Bareland
136,NULL,Water,Wetland,NULL,Wetland,Forest
137,NULL,Water,Bareland,Water,Non_Wetland,Grassland
138,NULL,Forest,NULL,NULL,Non_Wetland,NULL
139,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
140,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
141,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
142,NULL,Forest,NULL,NULL,Non_Wetland,Forest
143,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
144,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
145,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
146,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
147,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
148,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
149,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
150,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Bareland
151,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
152,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
153,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
154,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
155,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
156,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
157,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
158,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
159,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
160,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
161,NULL,Forest,Wetland,NULL,Wetland,NULL
162,NULL,Forest,Wetland,NULL,Wetland,Grassland
163,NULL,Forest,Wetland,NULL,Wetland,Forest
164,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
165,NULL,Forest,Bareland,Water,Non_Wetland,Grassland
166,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
167,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
168,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
169,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
170,NULL,Forest,Forest,NULL,Non_Wetland,NULL
171,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
172,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
173,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
174,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
175,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
176,NULL,Forest,Forest,NULL,Non_Wetland,Forest
177,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
178,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
179,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
180,NULL,Forest,Forest,Water,Non_Wetland,Grassland
181,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
182,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
183,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
184,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
185,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
186,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
187,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
188,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
189,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
190,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
191,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
192,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
193,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
194,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
195,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
196,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
197,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
198,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
199,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
200,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
201,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
202,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
203,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
204,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
205,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
206,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
207,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
208,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
209,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
210,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
211,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
212,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
213,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
214,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
215,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
216,Grassland,NULL,Wetland,NULL,Wetland,NULL
217,Grassland,NULL,Wetland,NULL,Wetland,Grassland
218,Grassland,NULL,Wetland,NULL,Wetland,Wetland
219,Grassland,NULL,Wetland,NULL,Wetland,Water
220,Grassland,NULL,Wetland,NULL,Wetland,Forest
221,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
222,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
223,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
224,Grassland,NULL,Bareland,Water,Non_Wetland,Forest
225,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
226,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
227,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
228,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
229,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
230,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
231,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
232,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
233,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
234,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
235,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
236,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
237,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
238,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
239,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
240,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
241,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
242,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
243,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
244,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
245,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
246,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
247,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
248,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
249,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
250,Grassland,Cropland,Grassland,NULL,Non_Wetland,Built-up
251,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
252,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
253,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
254,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
255,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
256,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
257,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
258,Grassland,Cropland,Wetland,NULL,Wetland,Forest
259,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
260,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
261,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
262,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
263,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
264,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up
265,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
266,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
267,Grassland,Built-up,NULL,NULL,Non_Wetland,Cropland
268,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL
269,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
270,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
271,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
272,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up
273,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
274,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
275,Grassland,Water,Cropland,NULL,Non_Wetland,Wetland
276,Grassland,Water,Wetland,NULL,Wetland,Forest
277,Grassland,Water,Wetland,Non_Water,Wetland,Forest
278,Grassland,Water,Wetland,Water,Wetland,Forest
279,Grassland,Water,Bareland,NULL,Non_Wetland,Grassland
280,Grassland,Water,Forest,NULL,Non_Wetland,NULL
281,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
282,Grassland,Water,Forest,NULL,Non_Wetland,Forest
283,Grassland,Water,Forest,Water,Non_Wetland,NULL
284,Grassland,Water,Forest,Water,Non_Wetland,Grassland
285,Grassland,Water,Forest,Water,Non_Wetland,Forest
286,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
287,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
288,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
289,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
290,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
291,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
292,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
293,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
294,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
295,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
296,Grassland,Forest,Shrubland,NULL,Non_Wetland,Built-up
297,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
298,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
299,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
300,Grassland,Forest,Shrubland,Water,Non_Wetland,Forest
301,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Forest
302,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
303,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
304,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
305,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
306,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
307,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Forest
308,Grassland,Forest,Wetland,NULL,Wetland,NULL
309,Grassland,Forest,Wetland,NULL,Wetland,Grassland
310,Grassland,Forest,Wetland,NULL,Wetland,Wetland
311,Grassland,Forest,Wetland,NULL,Wetland,Forest
312,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
313,Grassland,Forest,Wetland,Water,Wetland,Forest
314,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
315,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
316,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
317,Grassland,Forest,Bareland,Water,Non_Wetland,Forest
318,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
319,Grassland,Forest,Built-up,NULL,Non_Wetland,Water
320,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
321,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
322,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
323,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
324,Grassland,Forest,Forest,NULL,Non_Wetland,Built-up
325,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
326,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL
327,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
328,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
329,Grassland,Forest,Forest,Water,Non_Wetland,NULL
330,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
331,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
332,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
333,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
334,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
335,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
336,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
337,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
338,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
339,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
340,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
341,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
342,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
343,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
344,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
345,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
346,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
347,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
348,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
349,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
350,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
351,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
352,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
353,Cropland,NULL,Wetland,NULL,Wetland,Grassland
354,Cropland,NULL,Wetland,NULL,Wetland,Wetland
355,Cropland,NULL,Wetland,NULL,Wetland,Forest
356,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
357,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
358,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
359,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
360,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
361,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
362,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
363,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
364,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
365,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
366,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
367,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
368,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
369,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
370,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
371,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
372,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
373,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
374,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
375,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
376,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
377,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
378,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
379,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
380,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
381,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
382,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
383,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
384,Cropland,Cropland,Wetland,NULL,Wetland,Forest
385,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
386,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
387,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
388,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
389,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
390,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
391,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
392,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
393,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
394,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
395,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
396,Cropland,Built-up,NULL,NULL,Non_Wetland,Built-up
397,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
398,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
399,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
400,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
401,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
402,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
403,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
404,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
405,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
406,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
407,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
408,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
409,Cropland,Built-up,Built-up,NULL,Non_Wetland,Cropland
410,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
411,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
412,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
413,Cropland,Built-up,Forest,NULL,Non_Wetland,Cropland
414,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up
415,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
416,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
417,Cropland,Water,Wetland,NULL,Wetland,Grassland
418,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
419,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
420,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
421,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
