Value,AFRICA_2024_DynamicWorld_2024_38NKM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NKM_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKM_M_R,AFRICA_2024_GSW_Yearly_2021_38NKM_M_R,AFRICA_2024_GWL_FCS30D_2022_38NKM_M_R,AFRICA_2024_WorldCover_2021_38NKM_M_R
121,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
122,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
123,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
124,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
125,NULL,Cropland,Water,NULL,Water,Grassland
126,NULL,Cropland,Water,Non_Water,Water,Bareland
127,NULL,Cropland,Water,Non_Water,Water,Forest
128,NULL,Cropland,Water,Water,Water,Bareland
129,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
130,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
131,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
132,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
133,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
134,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
135,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
136,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
137,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
138,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
139,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
140,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
141,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
142,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
143,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
144,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
145,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
146,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
147,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
148,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
149,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
150,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
151,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
152,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
153,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
154,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
155,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
156,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
157,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
158,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
159,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
160,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
161,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
162,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
163,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
164,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
165,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
166,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
167,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
168,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
169,NULL,Water,Grassland,NULL,Non_Wetland,NULL
170,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
171,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
172,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
173,NULL,Water,Cropland,NULL,Non_Wetland,NULL
174,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
175,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
176,NULL,Water,Wetland,NULL,Wetland,Grassland
177,NULL,Forest,NULL,NULL,Non_Wetland,NULL
178,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
179,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
180,NULL,Forest,NULL,NULL,Non_Wetland,Forest
181,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
182,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
183,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
184,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
185,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
186,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
187,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
188,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
189,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
190,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
191,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
192,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
193,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
194,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
195,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
196,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
197,NULL,Forest,Wetland,NULL,Wetland,NULL
198,NULL,Forest,Wetland,NULL,Wetland,Grassland
199,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
200,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
201,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
202,NULL,Forest,Forest,NULL,Non_Wetland,NULL
203,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
204,NULL,Forest,Forest,NULL,Non_Wetland,Forest
205,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
206,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
207,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
208,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
209,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
210,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
211,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
212,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
213,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
214,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
215,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
216,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
217,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
218,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
219,Grassland,NULL,Wetland,NULL,Wetland,Grassland
220,Grassland,NULL,Wetland,NULL,Wetland,Cropland
221,Grassland,NULL,Wetland,Water,Wetland,Grassland
222,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
223,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
224,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
225,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
226,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
227,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
228,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
229,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
230,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
231,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
232,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
233,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
234,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
235,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
236,Grassland,Cropland,Wetland,NULL,Wetland,Forest
237,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
238,Grassland,Wetland,Grassland,NULL,Non_Wetland,Cropland
239,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL
240,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
241,Grassland,Wetland,Cropland,NULL,Non_Wetland,Cropland
242,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
243,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
244,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland
245,Grassland,Water,Grassland,NULL,Non_Wetland,Cropland
246,Grassland,Water,Cropland,NULL,Non_Wetland,Cropland
247,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
248,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
249,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
250,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
251,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
252,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
253,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
254,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Cropland
255,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
256,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
257,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
258,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
259,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
260,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Cropland
261,Grassland,Forest,Wetland,NULL,Wetland,Grassland
262,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
263,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
264,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
265,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
266,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
267,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
268,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
269,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
270,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
271,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
272,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
273,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
274,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
275,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
276,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
277,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
278,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
279,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
280,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
281,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
282,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
283,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
284,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
285,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
286,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
287,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
288,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
289,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
290,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
291,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
292,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
293,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
294,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
295,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
296,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
297,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
298,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
299,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
300,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
301,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
302,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
303,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
304,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
305,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
306,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
307,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
308,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
309,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
310,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
311,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
312,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
313,Cropland,NULL,Cropland,Water,Non_Wetland,Forest
314,Cropland,NULL,Wetland,NULL,Wetland,NULL
315,Cropland,NULL,Wetland,NULL,Wetland,Grassland
316,Cropland,NULL,Wetland,NULL,Wetland,Cropland
317,Cropland,NULL,Wetland,NULL,Wetland,Bareland
318,Cropland,NULL,Wetland,NULL,Wetland,Forest
319,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
320,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
321,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
322,Cropland,NULL,Wetland,Non_Water,Wetland,Bareland
323,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
324,Cropland,NULL,Wetland,Water,Wetland,NULL
325,Cropland,NULL,Wetland,Water,Wetland,Grassland
326,Cropland,NULL,Wetland,Water,Wetland,Cropland
327,Cropland,NULL,Wetland,Water,Wetland,Wetland
328,Cropland,NULL,Wetland,Water,Wetland,Bareland
329,Cropland,NULL,Wetland,Water,Wetland,Water
330,Cropland,NULL,Wetland,Water,Wetland,Forest
331,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
332,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
333,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
334,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
335,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
336,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
337,Cropland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
338,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
339,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
340,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
341,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
342,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
343,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
344,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
345,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
346,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
347,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Forest
348,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
349,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
350,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
351,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
352,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
353,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
354,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
355,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
356,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Cropland
357,Cropland,NULL,Water,NULL,Water,Grassland
358,Cropland,NULL,Water,NULL,Water,Cropland
359,Cropland,NULL,Water,NULL,Water,Bareland
360,Cropland,NULL,Water,NULL,Water,Forest
361,Cropland,NULL,Water,Non_Water,Water,Grassland
362,Cropland,NULL,Water,Non_Water,Water,Cropland
363,Cropland,NULL,Water,Non_Water,Water,Bareland
364,Cropland,NULL,Water,Non_Water,Water,Forest
365,Cropland,NULL,Water,Water,Water,NULL
366,Cropland,NULL,Water,Water,Water,Grassland
367,Cropland,NULL,Water,Water,Water,Cropland
368,Cropland,NULL,Water,Water,Water,Wetland
369,Cropland,NULL,Water,Water,Water,Bareland
370,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
371,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
372,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
373,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
374,Cropland,NULL,Forest,Water,Non_Wetland,Bareland
375,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
376,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
377,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
378,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
379,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
380,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL
381,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
382,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
383,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Wetland
384,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Forest
385,Cropland,Cropland,NULL,Water,Non_Wetland,Grassland
386,Cropland,Cropland,NULL,Water,Non_Wetland,Cropland
387,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
388,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
389,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
390,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
391,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
392,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
393,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
394,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
395,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
396,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
397,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
398,Cropland,Cropland,Shrubland,Water,Non_Wetland,Bareland
399,Cropland,Cropland,Shrubland,Water,Non_Wetland,Forest
400,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
401,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
402,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
403,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
404,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
405,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
406,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL
407,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
408,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
409,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
410,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Forest
411,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
412,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
413,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
414,Cropland,Cropland,Grassland,Water,Non_Wetland,Forest
415,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
416,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
417,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
418,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
419,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
420,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
