Value,AFRICA_2024_DynamicWorld_2024_36PZA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZA_M_R,AFRICA_2024_GSW_Yearly_2021_36PZA_M_R,AFRICA_2024_GWL_FCS30D_2022_36PZA_M_R,AFRICA_2024_WorldCover_2021_36PZA_M_R
122,NULL,NULL,Water,Non_Water,Water,Forest
123,NULL,NULL,Water,Water,Water,Cropland
124,NULL,NULL,Water,Water,Water,Bareland
125,NULL,NULL,Water,Water,Water,Water
126,NULL,NULL,Water,Water,Water,Forest
127,NULL,NULL,Forest,NULL,Non_Wetland,NULL
128,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
129,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
130,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
131,NULL,NULL,Forest,NULL,Non_Wetland,Water
132,NULL,NULL,Forest,NULL,Non_Wetland,Forest
133,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
134,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
135,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
136,NULL,NULL,Forest,Water,Non_Wetland,Grassland
137,NULL,NULL,Forest,Water,Non_Wetland,Cropland
138,NULL,NULL,Forest,Water,Non_Wetland,Wetland
139,NULL,NULL,Forest,Water,Non_Wetland,Bareland
140,NULL,NULL,Forest,Water,Non_Wetland,Water
141,NULL,NULL,Forest,Water,Non_Wetland,Forest
142,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
143,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
144,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
145,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
146,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
147,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
148,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland
149,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
150,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
151,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
152,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
153,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
154,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
155,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
156,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
157,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
158,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
159,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
160,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
161,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
162,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
163,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
164,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
165,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
166,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
167,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
168,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
169,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
170,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
171,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
172,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Water
173,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
174,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
175,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
176,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
177,NULL,Cropland,Grassland,Water,Non_Wetland,Water
178,NULL,Cropland,Grassland,Water,Non_Wetland,Forest
179,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
180,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
181,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
182,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
183,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
184,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
185,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
186,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
187,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
188,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
189,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Water
190,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
191,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
192,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
193,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
194,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
195,NULL,Cropland,Cropland,Water,Non_Wetland,Water
196,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
197,NULL,Cropland,Wetland,NULL,Wetland,Grassland
198,NULL,Cropland,Wetland,NULL,Wetland,Cropland
199,NULL,Cropland,Wetland,NULL,Wetland,Bareland
200,NULL,Cropland,Wetland,NULL,Wetland,Water
201,NULL,Cropland,Wetland,NULL,Wetland,Forest
202,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
203,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
204,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
205,NULL,Cropland,Wetland,Water,Wetland,Grassland
206,NULL,Cropland,Wetland,Water,Wetland,Cropland
207,NULL,Cropland,Wetland,Water,Wetland,Wetland
208,NULL,Cropland,Wetland,Water,Wetland,Bareland
209,NULL,Cropland,Wetland,Water,Wetland,Water
210,NULL,Cropland,Wetland,Water,Wetland,Forest
211,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
212,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
213,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
214,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
215,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
216,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
217,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
218,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
219,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
220,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
221,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
222,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
223,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
224,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Water
225,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
226,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
227,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
228,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
229,NULL,Cropland,Bareland,Water,Non_Wetland,Water
230,NULL,Cropland,Bareland,Water,Non_Wetland,Forest
231,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
232,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
233,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
234,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
235,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
236,NULL,Cropland,Built-up,NULL,Non_Wetland,Water
237,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
238,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
239,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
240,NULL,Cropland,Built-up,Water,Non_Wetland,Grassland
241,NULL,Cropland,Built-up,Water,Non_Wetland,Cropland
242,NULL,Cropland,Built-up,Water,Non_Wetland,Bareland
243,NULL,Cropland,Built-up,Water,Non_Wetland,Water
244,NULL,Cropland,Built-up,Water,Non_Wetland,Forest
245,NULL,Cropland,Water,NULL,Water,Cropland
246,NULL,Cropland,Water,Non_Water,Water,Grassland
247,NULL,Cropland,Water,Non_Water,Water,Cropland
248,NULL,Cropland,Water,Water,Water,Grassland
249,NULL,Cropland,Water,Water,Water,Cropland
250,NULL,Cropland,Water,Water,Water,Wetland
251,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
252,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
253,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
254,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
255,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
256,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
257,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
258,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
259,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
260,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
261,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
262,NULL,Cropland,Forest,Water,Non_Wetland,Water
263,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
264,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
265,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
266,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
267,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
268,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
269,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
270,NULL,Wetland,Cropland,Water,Non_Wetland,Cropland
271,NULL,Wetland,Bareland,Water,Non_Wetland,Cropland
272,NULL,Wetland,Water,Water,Water,Cropland
273,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
274,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
275,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
276,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
277,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
278,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
279,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
280,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
281,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
282,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
283,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
284,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
285,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
286,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
287,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
288,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
289,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
290,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
291,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
292,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
293,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
294,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
295,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
296,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
297,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
298,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
299,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
300,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
301,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
302,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
303,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
304,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
305,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
306,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
307,NULL,Built-up,Grassland,Water,Non_Wetland,Cropland
308,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
309,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
310,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
311,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
312,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
313,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
314,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
315,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
316,NULL,Built-up,Wetland,NULL,Wetland,Forest
317,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
318,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
319,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
320,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
321,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
322,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
323,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
324,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
325,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
326,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
327,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
328,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
329,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
330,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
331,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
332,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
333,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
334,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
335,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
336,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
337,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
338,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
339,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
340,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
341,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
342,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
343,NULL,Water,NULL,NULL,Non_Wetland,Grassland
344,NULL,Water,NULL,NULL,Non_Wetland,Cropland
345,NULL,Water,NULL,NULL,Non_Wetland,Forest
346,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
347,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
348,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
349,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
350,NULL,Water,Shrubland,Water,Non_Wetland,Cropland
351,NULL,Water,Grassland,NULL,Non_Wetland,NULL
352,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
353,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
354,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
355,NULL,Water,Grassland,NULL,Non_Wetland,Water
356,NULL,Water,Grassland,NULL,Non_Wetland,Forest
357,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
358,NULL,Water,Grassland,Water,Non_Wetland,Grassland
359,NULL,Water,Grassland,Water,Non_Wetland,Cropland
360,NULL,Water,Grassland,Water,Non_Wetland,Water
361,NULL,Water,Grassland,Water,Non_Wetland,Forest
362,NULL,Water,Cropland,NULL,Non_Wetland,NULL
363,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
364,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
365,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
366,NULL,Water,Cropland,NULL,Non_Wetland,Water
367,NULL,Water,Cropland,NULL,Non_Wetland,Forest
368,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
369,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
370,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
371,NULL,Water,Cropland,Water,Non_Wetland,NULL
372,NULL,Water,Cropland,Water,Non_Wetland,Grassland
373,NULL,Water,Cropland,Water,Non_Wetland,Cropland
374,NULL,Water,Cropland,Water,Non_Wetland,Water
375,NULL,Water,Cropland,Water,Non_Wetland,Forest
376,NULL,Water,Wetland,NULL,Wetland,Grassland
377,NULL,Water,Wetland,NULL,Wetland,Cropland
378,NULL,Water,Wetland,NULL,Wetland,Water
379,NULL,Water,Wetland,NULL,Wetland,Forest
380,NULL,Water,Wetland,Non_Water,Wetland,Cropland
381,NULL,Water,Wetland,Non_Water,Wetland,Forest
382,NULL,Water,Wetland,Water,Wetland,Grassland
383,NULL,Water,Wetland,Water,Wetland,Cropland
384,NULL,Water,Wetland,Water,Wetland,Bareland
385,NULL,Water,Wetland,Water,Wetland,Water
386,NULL,Water,Wetland,Water,Wetland,Forest
387,NULL,Water,Bareland,NULL,Non_Wetland,NULL
388,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
389,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
390,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
391,NULL,Water,Bareland,NULL,Non_Wetland,Water
392,NULL,Water,Bareland,NULL,Non_Wetland,Forest
393,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
394,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
395,NULL,Water,Bareland,Water,Non_Wetland,Grassland
396,NULL,Water,Bareland,Water,Non_Wetland,Cropland
397,NULL,Water,Bareland,Water,Non_Wetland,Water
398,NULL,Water,Bareland,Water,Non_Wetland,Forest
399,NULL,Water,Built-up,NULL,Non_Wetland,Cropland
400,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
401,NULL,Water,Built-up,NULL,Non_Wetland,Water
402,NULL,Water,Water,NULL,Water,Cropland
403,NULL,Water,Water,Non_Water,Water,Cropland
404,NULL,Water,Forest,NULL,Non_Wetland,Grassland
405,NULL,Water,Forest,NULL,Non_Wetland,Cropland
406,NULL,Water,Forest,NULL,Non_Wetland,Forest
407,NULL,Water,Forest,Water,Non_Wetland,Cropland
408,NULL,Forest,NULL,NULL,Non_Wetland,NULL
409,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
410,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
411,NULL,Forest,NULL,NULL,Non_Wetland,Forest
412,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
413,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
414,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
415,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
416,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
417,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
418,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
419,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
420,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
421,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
422,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
423,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
424,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
425,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
426,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
427,NULL,Forest,Forest,NULL,Non_Wetland,NULL
428,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
429,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
430,NULL,Forest,Forest,NULL,Non_Wetland,Forest
