Value,AFRICA_2024_DynamicWorld_2024_35NND_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NND_M_R,AFRICA_2024_GLC_FCS30D_2022_35NND_M_R,AFRICA_2024_GSW_Yearly_2021_35NND_M_R,AFRICA_2024_GWL_FCS30D_2022_35NND_M_R,AFRICA_2024_WorldCover_2021_35NND_M_R
458,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
459,Forest,Forest,NULL,NULL,Non_Wetland,Built-up
460,Forest,Forest,NULL,NULL,Non_Wetland,Forest
461,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
462,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
463,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
464,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
465,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
466,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
467,Forest,Forest,Cropland,NULL,Non_Wetland,Built-up
468,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
469,Forest,Forest,Wetland,NULL,Wetland,Grassland
470,Forest,Forest,Wetland,NULL,Wetland,Water
471,Forest,Forest,Wetland,NULL,Wetland,Forest
472,Forest,Forest,Wetland,Non_Water,Wetland,Water
473,Forest,Forest,Wetland,Non_Water,Wetland,Forest
474,Forest,Forest,Wetland,Water,Wetland,Water
475,Forest,Forest,Wetland,Water,Wetland,Forest
476,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
477,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
478,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
479,Forest,Forest,Built-up,NULL,Non_Wetland,Grassland
480,Forest,Forest,Built-up,NULL,Non_Wetland,Built-up
481,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
482,Forest,Forest,Water,NULL,Water,Forest
483,Forest,Forest,Water,Non_Water,Water,Forest
484,Forest,Forest,Water,Water,Water,Water
485,Forest,Forest,Water,Water,Water,Forest
486,Forest,Forest,Forest,NULL,Non_Wetland,NULL
487,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
488,Forest,Forest,Forest,NULL,Non_Wetland,Built-up
489,Forest,Forest,Forest,NULL,Non_Wetland,Water
490,Forest,Forest,Forest,NULL,Non_Wetland,Forest
491,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL
492,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest
493,Forest,Forest,Forest,Water,Non_Wetland,Forest
