Value,AFRICA_2024_DynamicWorld_2024_38NKL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NKL_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKL_M_R,AFRICA_2024_GSW_Yearly_2021_38NKL_M_R,AFRICA_2024_GWL_FCS30D_2022_38NKL_M_R,AFRICA_2024_WorldCover_2021_38NKL_M_R
119,NULL,Forest,NULL,NULL,Non_Wetland,NULL
120,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
121,NULL,Forest,NULL,NULL,Non_Wetland,Forest
122,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
123,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
124,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
125,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
126,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
127,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
128,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
129,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
130,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
131,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
132,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
133,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
134,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
135,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
136,NULL,Forest,Forest,NULL,Non_Wetland,NULL
137,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
138,NULL,Forest,Forest,NULL,Non_Wetland,Forest
139,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
140,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
141,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
142,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
143,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
144,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL
145,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
146,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
147,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL
148,Grassland,Bareland,Grassland,NULL,Non_Wetland,Grassland
149,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
150,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
151,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
152,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
153,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
154,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
155,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
156,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
157,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
158,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
159,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
160,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
161,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
162,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
163,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
164,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
165,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
166,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
167,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
168,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
169,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
170,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
171,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
172,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
173,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
174,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
175,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
176,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
177,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
178,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
179,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
180,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
181,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
182,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
183,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
184,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
185,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
186,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL
187,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
188,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
189,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
190,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
191,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
192,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
193,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
194,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
195,Cropland,NULL,Water,NULL,Water,Grassland
196,Cropland,NULL,Water,NULL,Water,Bareland
197,Cropland,NULL,Water,Non_Water,Water,Grassland
198,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
199,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
200,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
201,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
202,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
203,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
204,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
205,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
206,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
207,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
208,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
209,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
210,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
211,Cropland,Cropland,Bareland,Water,Non_Wetland,Bareland
212,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
213,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
214,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL
215,Cropland,Wetland,Grassland,NULL,Non_Wetland,Grassland
216,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
217,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
218,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
219,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
220,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
221,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
222,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,NULL
223,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
224,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,Cropland
225,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
226,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
227,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
228,Cropland,Bareland,Cropland,Non_Water,Non_Wetland,NULL
229,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
230,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
231,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
232,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
233,Cropland,Bareland,Built-up,NULL,Non_Wetland,Cropland
234,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
235,Cropland,Bareland,Water,NULL,Water,Grassland
236,Cropland,Bareland,Water,Non_Water,Water,Grassland
237,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
238,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
239,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
240,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
241,Cropland,Water,Grassland,NULL,Non_Wetland,Bareland
242,Cropland,Water,Cropland,NULL,Non_Wetland,NULL
243,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
244,Cropland,Water,Bareland,NULL,Non_Wetland,Grassland
245,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
246,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
247,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
248,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
249,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
250,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
251,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
252,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
253,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
254,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
255,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
256,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
257,Cropland,Forest,Bareland,NULL,Non_Wetland,Forest
258,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland
259,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
260,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
261,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
262,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
263,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
264,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
265,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
266,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
267,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
268,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
269,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
270,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL
271,Wetland,Wetland,Grassland,NULL,Non_Wetland,Grassland
272,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL
273,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland
274,Wetland,Wetland,Bareland,NULL,Non_Wetland,Grassland
275,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
276,Wetland,Water,Grassland,NULL,Non_Wetland,NULL
277,Wetland,Water,Grassland,NULL,Non_Wetland,Grassland
278,Wetland,Water,Grassland,NULL,Non_Wetland,Bareland
279,Wetland,Water,Bareland,NULL,Non_Wetland,Grassland
280,Wetland,Water,Bareland,NULL,Non_Wetland,Bareland
281,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
282,Wetland,Forest,Grassland,NULL,Non_Wetland,Forest
283,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL
284,Wetland,Forest,Cropland,NULL,Non_Wetland,Forest
285,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
286,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
287,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
288,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
289,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
290,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
291,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
292,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
293,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
294,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
295,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
296,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
297,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
298,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
299,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
300,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL
301,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
302,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
303,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
304,Bareland,NULL,Grassland,Water,Non_Wetland,NULL
305,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
306,Bareland,NULL,Grassland,Water,Non_Wetland,Cropland
307,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
308,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
309,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
310,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
311,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
312,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
313,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
314,Bareland,NULL,Wetland,NULL,Wetland,Bareland
315,Bareland,NULL,Wetland,Water,Wetland,Bareland
316,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
317,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
318,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
319,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
320,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
321,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
322,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
323,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
324,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
325,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
326,Bareland,NULL,Bareland,Water,Non_Wetland,Cropland
327,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
328,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
329,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
330,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
331,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
332,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
333,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
334,Bareland,NULL,Built-up,Water,Non_Wetland,Grassland
335,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
336,Bareland,NULL,Water,NULL,Water,NULL
337,Bareland,NULL,Water,NULL,Water,Grassland
338,Bareland,NULL,Water,NULL,Water,Bareland
339,Bareland,NULL,Water,Non_Water,Water,Grassland
340,Bareland,NULL,Water,Non_Water,Water,Bareland
341,Bareland,NULL,Water,Water,Water,Grassland
342,Bareland,NULL,Water,Water,Water,Bareland
343,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
344,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
345,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
346,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
347,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
348,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
349,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
350,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
351,Bareland,Cropland,Grassland,Water,Non_Wetland,Bareland
352,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
353,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland
354,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL
355,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
356,Bareland,Cropland,Bareland,NULL,Non_Wetland,Cropland
357,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
358,Bareland,Cropland,Bareland,Water,Non_Wetland,Bareland
359,Bareland,Cropland,Built-up,NULL,Non_Wetland,Grassland
360,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
361,Bareland,Wetland,Grassland,NULL,Non_Wetland,Grassland
362,Bareland,Wetland,Grassland,NULL,Non_Wetland,Bareland
363,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL
364,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
365,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
366,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Built-up
367,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
368,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
369,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
370,Bareland,Bareland,Grassland,NULL,Non_Wetland,Cropland
371,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
372,Bareland,Bareland,Grassland,NULL,Non_Wetland,Built-up
373,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
374,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Cropland
375,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
376,Bareland,Bareland,Grassland,Water,Non_Wetland,Grassland
377,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
378,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL
379,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
380,Bareland,Bareland,Cropland,NULL,Non_Wetland,Cropland
381,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
382,Bareland,Bareland,Cropland,Water,Non_Wetland,Cropland
383,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland
384,Bareland,Bareland,Wetland,Water,Wetland,Grassland
385,Bareland,Bareland,Wetland,Water,Wetland,Cropland
386,Bareland,Bareland,Wetland,Water,Wetland,Bareland
387,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
388,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
389,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
390,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
391,Bareland,Bareland,Bareland,NULL,Non_Wetland,Built-up
392,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
393,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
394,Bareland,Bareland,Bareland,Water,Non_Wetland,Grassland
395,Bareland,Bareland,Bareland,Water,Non_Wetland,Cropland
396,Bareland,Bareland,Bareland,Water,Non_Wetland,Wetland
397,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
398,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL
399,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
400,Bareland,Bareland,Built-up,NULL,Non_Wetland,Cropland
401,Bareland,Bareland,Built-up,NULL,Non_Wetland,Wetland
402,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
403,Bareland,Bareland,Built-up,NULL,Non_Wetland,Built-up
404,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
405,Bareland,Bareland,Built-up,Water,Non_Wetland,Grassland
406,Bareland,Bareland,Built-up,Water,Non_Wetland,Cropland
407,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland
408,Bareland,Bareland,Water,NULL,Water,Grassland
409,Bareland,Bareland,Water,NULL,Water,Cropland
410,Bareland,Bareland,Water,NULL,Water,Bareland
411,Bareland,Bareland,Water,Non_Water,Water,Grassland
412,Bareland,Bareland,Water,Water,Water,Grassland
413,Bareland,Bareland,Water,Water,Water,Cropland
414,Bareland,Bareland,Water,Water,Water,Wetland
415,Bareland,Bareland,Water,Water,Water,Bareland
416,Bareland,Bareland,Water,Water,Water,Water
417,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
