Value,AFRICA_2024_DynamicWorld_2024_36PYQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PYQ_M_R,AFRICA_2024_GLC_FCS30D_2022_36PYQ_M_R,AFRICA_2024_GSW_Yearly_2021_36PYQ_M_R,AFRICA_2024_GWL_FCS30D_2022_36PYQ_M_R,AFRICA_2024_WorldCover_2021_36PYQ_M_R
119,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
120,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
121,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
122,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
123,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
124,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
125,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
126,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
127,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
128,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
129,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
130,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
131,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
132,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
133,NULL,Built-up,Wetland,NULL,Wetland,Built-up
134,NULL,Built-up,Wetland,NULL,Wetland,Forest
135,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
136,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
137,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
138,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
139,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
140,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
141,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
142,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
143,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
144,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
145,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
146,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
147,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
148,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
149,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
150,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
151,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
152,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
153,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
154,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
155,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
156,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
157,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
158,NULL,Water,Shrubland,NULL,Non_Wetland,Water
159,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
160,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
161,NULL,Water,Wetland,Water,Wetland,Water
162,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
163,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
164,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
165,NULL,Water,Bareland,NULL,Non_Wetland,Water
166,NULL,Water,Bareland,NULL,Non_Wetland,Forest
167,NULL,Water,Bareland,Water,Non_Wetland,Grassland
168,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
169,NULL,Water,Forest,NULL,Non_Wetland,Grassland
170,NULL,Water,Forest,NULL,Non_Wetland,Cropland
171,NULL,Water,Forest,NULL,Non_Wetland,Forest
172,NULL,Water,Forest,Water,Non_Wetland,Grassland
173,NULL,Forest,NULL,NULL,Non_Wetland,NULL
174,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
175,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
176,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
177,NULL,Forest,NULL,NULL,Non_Wetland,Forest
178,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
179,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
180,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
181,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
182,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
183,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
184,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
185,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
186,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
187,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
188,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
189,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
190,NULL,Forest,Wetland,NULL,Wetland,Cropland
191,NULL,Forest,Wetland,NULL,Wetland,Forest
192,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
193,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
194,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
195,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
196,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
197,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
198,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
199,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
200,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
201,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
202,NULL,Forest,Forest,NULL,Non_Wetland,NULL
203,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
204,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
205,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
206,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
207,NULL,Forest,Forest,NULL,Non_Wetland,Forest
208,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
209,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
210,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
211,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
212,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
213,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
214,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
215,Grassland,NULL,NULL,Water,Non_Wetland,Cropland
216,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
217,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
218,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
219,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
220,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
221,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
222,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
223,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
224,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
225,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
226,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
227,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
228,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
229,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
230,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
231,Grassland,NULL,Wetland,NULL,Wetland,Grassland
232,Grassland,NULL,Wetland,Water,Wetland,Grassland
233,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
234,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
235,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
236,Grassland,NULL,Bareland,NULL,Non_Wetland,Built-up
237,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
238,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
239,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
240,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland
241,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
242,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
243,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
244,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
245,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
246,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
247,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
248,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
249,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
250,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
251,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
252,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
253,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
254,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
255,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
256,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
257,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
258,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
259,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
260,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
261,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
262,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
263,Grassland,Cropland,Shrubland,Water,Non_Wetland,Cropland
264,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
265,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
266,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
267,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
268,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
269,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
270,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
271,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
272,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
273,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
274,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
275,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
276,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
277,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
278,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
279,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland
280,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
281,Grassland,Cropland,Forest,Water,Non_Wetland,Cropland
282,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
283,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland
284,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
285,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
286,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL
287,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
288,Grassland,Built-up,Forest,NULL,Non_Wetland,Cropland
289,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
290,Grassland,Water,Built-up,NULL,Non_Wetland,Cropland
291,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
292,Grassland,Water,Forest,NULL,Non_Wetland,Cropland
293,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
294,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
295,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
296,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
297,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
298,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
299,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
300,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
301,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
302,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
303,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
304,Grassland,Forest,Wetland,NULL,Wetland,Grassland
305,Grassland,Forest,Wetland,NULL,Wetland,Wetland
306,Grassland,Forest,Wetland,NULL,Wetland,Forest
307,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
308,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
309,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
310,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
311,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
312,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
313,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
314,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
315,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
316,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
317,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
318,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
319,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
320,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
321,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
322,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
323,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
324,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
325,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
326,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
327,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
328,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
329,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
330,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
331,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
332,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
333,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
334,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
335,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
336,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
337,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
338,Cropland,NULL,Wetland,NULL,Wetland,NULL
339,Cropland,NULL,Wetland,NULL,Wetland,Grassland
340,Cropland,NULL,Wetland,NULL,Wetland,Cropland
341,Cropland,NULL,Wetland,NULL,Wetland,Forest
342,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
343,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
344,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
345,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
346,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
347,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
348,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
349,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
350,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
351,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
352,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
353,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
354,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
355,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
356,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
357,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
358,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
359,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
360,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
361,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
362,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
363,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
364,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
365,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
366,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
367,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
368,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
369,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
370,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
371,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
372,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
373,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
374,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
375,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
376,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
377,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
378,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
379,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
380,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
381,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
382,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
383,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
384,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
385,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
386,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
387,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
388,Cropland,Cropland,Wetland,NULL,Wetland,Forest
389,Cropland,Cropland,Wetland,Water,Wetland,Cropland
390,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
391,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
392,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
393,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
394,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
395,Cropland,Cropland,Bareland,NULL,Non_Wetland,Built-up
396,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
397,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
398,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
399,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
400,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
401,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
402,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
403,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
404,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
405,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
406,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
407,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
408,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
409,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL
410,Cropland,Wetland,Forest,NULL,Non_Wetland,Grassland
411,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
412,Cropland,Bareland,Forest,NULL,Non_Wetland,Forest
413,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
414,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
415,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
416,Cropland,Built-up,NULL,NULL,Non_Wetland,Built-up
417,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
418,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
419,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
