Value,AFRICA_2024_DynamicWorld_2024_37PBQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PBQ_M_R,AFRICA_2024_GLC_FCS30D_2022_37PBQ_M_R,AFRICA_2024_GSW_Yearly_2021_37PBQ_M_R,AFRICA_2024_GWL_FCS30D_2022_37PBQ_M_R,AFRICA_2024_WorldCover_2021_37PBQ_M_R
118,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
119,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
120,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
121,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
122,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
123,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
124,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
125,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
126,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
127,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
128,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
129,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
130,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
131,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
132,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
133,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
134,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
135,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
136,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
137,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
138,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
139,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
140,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
141,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
142,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
143,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
144,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
145,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
146,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
147,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
148,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
149,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
150,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
151,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
152,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
153,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
154,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
155,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
156,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
157,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
158,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
159,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
160,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
161,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
162,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
163,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
164,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
165,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
166,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
167,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
168,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
169,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
170,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
171,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
172,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
173,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
174,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
175,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
176,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
177,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
178,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
179,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
180,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
181,NULL,Water,NULL,NULL,Non_Wetland,Grassland
182,NULL,Water,NULL,NULL,Non_Wetland,Forest
183,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
184,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
185,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
186,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
187,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
188,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
189,NULL,Water,Cropland,NULL,Non_Wetland,NULL
190,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
191,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
192,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
193,NULL,Water,Cropland,NULL,Non_Wetland,Forest
194,NULL,Water,Cropland,Water,Non_Wetland,Forest
195,NULL,Water,Bareland,NULL,Non_Wetland,NULL
196,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
197,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
198,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
199,NULL,Water,Bareland,NULL,Non_Wetland,Forest
200,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
201,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
202,NULL,Water,Bareland,Water,Non_Wetland,Cropland
203,NULL,Water,Forest,NULL,Non_Wetland,NULL
204,NULL,Water,Forest,NULL,Non_Wetland,Grassland
205,NULL,Water,Forest,NULL,Non_Wetland,Cropland
206,NULL,Water,Forest,NULL,Non_Wetland,Bareland
207,NULL,Water,Forest,NULL,Non_Wetland,Forest
208,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
209,NULL,Forest,NULL,NULL,Non_Wetland,NULL
210,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
211,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
212,NULL,Forest,NULL,NULL,Non_Wetland,Forest
213,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
214,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
215,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
216,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
217,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
218,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
219,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
220,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
221,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
222,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
223,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
224,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
225,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
226,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
227,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
228,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
229,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
230,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
231,NULL,Forest,Water,NULL,Water,Grassland
232,NULL,Forest,Water,NULL,Water,Forest
233,NULL,Forest,Forest,NULL,Non_Wetland,NULL
234,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
235,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
236,NULL,Forest,Forest,NULL,Non_Wetland,Forest
237,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
238,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
239,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
240,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
241,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
242,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
243,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
244,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
245,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
246,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
247,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
248,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
249,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
250,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
251,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
252,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
253,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
254,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
255,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
256,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
257,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
258,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
259,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
260,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
261,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
262,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
263,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
264,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
265,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
266,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
267,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
268,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
269,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
270,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
271,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
272,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
273,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
274,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
275,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
276,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
277,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
278,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
279,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
280,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
281,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
282,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
283,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
284,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
285,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
286,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
287,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
288,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
289,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
290,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
291,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
292,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
293,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
294,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
295,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
296,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
297,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
298,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
299,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
300,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
301,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
302,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
303,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
304,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
305,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
306,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
307,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
308,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
309,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
310,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
311,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
312,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
313,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
314,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
315,Cropland,NULL,Wetland,NULL,Wetland,Grassland
316,Cropland,NULL,Wetland,NULL,Wetland,Cropland
317,Cropland,NULL,Wetland,NULL,Wetland,Forest
318,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
319,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
320,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
321,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
322,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
323,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
324,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
325,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
326,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
327,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
328,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
329,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
330,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL
331,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
332,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
333,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Forest
334,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
335,Cropland,NULL,Bareland,Water,Non_Wetland,Forest
336,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
337,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
338,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
339,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
340,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
341,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
342,Cropland,NULL,Water,NULL,Water,Grassland
343,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
344,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
345,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
346,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
347,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
348,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
349,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
350,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
351,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
352,Cropland,NULL,Forest,Water,Non_Wetland,Forest
353,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
354,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
355,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
356,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
357,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
358,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
359,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
360,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
361,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
362,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
363,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
364,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
365,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
366,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
367,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
368,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
369,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
370,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
371,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
372,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
373,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
374,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
375,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
376,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
377,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
378,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
379,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
380,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
381,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
382,Cropland,Cropland,Wetland,NULL,Wetland,Forest
383,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
384,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
385,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
386,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
387,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
388,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
389,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
390,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
391,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
392,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
393,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
394,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Forest
395,Cropland,Cropland,Bareland,Water,Non_Wetland,Bareland
396,Cropland,Cropland,Bareland,Water,Non_Wetland,Water
397,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
398,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
399,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
400,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
401,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
402,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
403,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
404,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
405,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
406,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
407,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
408,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
409,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Forest
410,Cropland,Bareland,NULL,NULL,Non_Wetland,Grassland
411,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
412,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
413,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
414,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
415,Cropland,Built-up,NULL,NULL,Non_Wetland,Built-up
416,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
