Value,AFRICA_2024_DynamicWorld_2024_36PZV_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZV_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZV_M_R,AFRICA_2024_GSW_Yearly_2021_36PZV_M_R,AFRICA_2024_GWL_FCS30D_2022_36PZV_M_R,AFRICA_2024_WorldCover_2021_36PZV_M_R
119,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
120,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
121,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
122,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
123,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
124,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
125,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
126,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
127,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
128,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
129,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
130,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
131,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
132,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
133,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
134,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
135,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
136,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
137,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
138,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
139,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
140,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
141,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
142,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
143,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
144,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
145,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
146,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
147,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
148,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
149,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
150,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
151,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
152,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
153,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
154,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
155,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
156,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
157,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
158,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
159,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
160,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
161,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
162,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
163,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
164,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
165,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
166,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
167,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
168,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
169,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
170,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
171,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
172,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
173,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
174,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
175,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
176,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
177,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
178,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
179,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
180,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
181,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
182,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
183,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
184,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
185,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
186,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
187,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
188,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
189,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
190,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
191,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
192,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
193,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
194,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
195,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
196,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
197,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
198,NULL,Water,NULL,NULL,Non_Wetland,NULL
199,NULL,Water,NULL,NULL,Non_Wetland,Grassland
200,NULL,Water,NULL,NULL,Non_Wetland,Cropland
201,NULL,Water,NULL,NULL,Non_Wetland,Forest
202,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
203,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
204,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
205,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
206,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
207,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
208,NULL,Water,Shrubland,Water,Non_Wetland,Forest
209,NULL,Water,Grassland,NULL,Non_Wetland,Forest
210,NULL,Water,Cropland,NULL,Non_Wetland,NULL
211,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
212,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
213,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
214,NULL,Water,Cropland,NULL,Non_Wetland,Forest
215,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
216,NULL,Water,Cropland,Water,Non_Wetland,Grassland
217,NULL,Water,Cropland,Water,Non_Wetland,Forest
218,NULL,Water,Wetland,Water,Wetland,Water
219,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
220,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
221,NULL,Water,Bareland,NULL,Non_Wetland,NULL
222,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
223,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
224,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
225,NULL,Water,Bareland,NULL,Non_Wetland,Forest
226,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
227,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
228,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
229,NULL,Water,Bareland,Water,Non_Wetland,Grassland
230,NULL,Water,Bareland,Water,Non_Wetland,Cropland
231,NULL,Water,Bareland,Water,Non_Wetland,Forest
232,NULL,Water,Forest,NULL,Non_Wetland,NULL
233,NULL,Water,Forest,NULL,Non_Wetland,Grassland
234,NULL,Water,Forest,NULL,Non_Wetland,Cropland
235,NULL,Water,Forest,NULL,Non_Wetland,Bareland
236,NULL,Water,Forest,NULL,Non_Wetland,Forest
237,NULL,Forest,NULL,NULL,Non_Wetland,NULL
238,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
239,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
240,NULL,Forest,NULL,NULL,Non_Wetland,Forest
241,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
242,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
243,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
244,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
245,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
246,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
247,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
248,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
249,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
250,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
251,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
252,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
253,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
254,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
255,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
256,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
257,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
258,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
259,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
260,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
261,NULL,Forest,Forest,NULL,Non_Wetland,NULL
262,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
263,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
264,NULL,Forest,Forest,NULL,Non_Wetland,Forest
265,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
266,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
267,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
268,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
269,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
270,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
271,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
272,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
273,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
274,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
275,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
276,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
277,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
278,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
279,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
280,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
281,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
282,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
283,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
284,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
285,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
286,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
287,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
288,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
289,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
290,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
291,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
292,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
293,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
294,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
295,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
296,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
297,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
298,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
299,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
300,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
301,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
302,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
303,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
304,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
305,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
306,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
307,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
308,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
309,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
310,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland
311,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
312,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
313,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
314,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
315,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
316,Grassland,Cropland,Bareland,Water,Non_Wetland,Cropland
317,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
318,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
319,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
320,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
321,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
322,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
323,Grassland,Wetland,NULL,Water,Non_Wetland,Grassland
324,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
325,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
326,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
327,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
328,Grassland,Wetland,Shrubland,Water,Non_Wetland,Cropland
329,Grassland,Wetland,Shrubland,Water,Non_Wetland,Forest
330,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
331,Grassland,Wetland,Cropland,NULL,Non_Wetland,Cropland
332,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
333,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
334,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
335,Grassland,Water,Shrubland,NULL,Non_Wetland,Cropland
336,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
337,Grassland,Water,Cropland,NULL,Non_Wetland,Cropland
338,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
339,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
340,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
341,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
342,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
343,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
344,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
345,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
346,Grassland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
347,Grassland,Forest,Bareland,NULL,Non_Wetland,Cropland
348,Grassland,Forest,Built-up,NULL,Non_Wetland,Cropland
349,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
350,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
351,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
352,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
353,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
354,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
355,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
356,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
357,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
358,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
359,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
360,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
361,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
362,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
363,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
364,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
365,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
366,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
367,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
368,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
369,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
370,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
371,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
372,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
373,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
374,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
375,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
376,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
377,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
378,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
379,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
380,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
381,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
382,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
383,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
384,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
385,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
386,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
387,Cropland,NULL,Cropland,Water,Non_Wetland,Forest
388,Cropland,NULL,Wetland,NULL,Wetland,Forest
389,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
390,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
391,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
392,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
393,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
394,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
395,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
396,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
397,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
398,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
399,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
400,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Forest
401,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
402,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
403,Cropland,NULL,Bareland,Water,Non_Wetland,Water
404,Cropland,NULL,Bareland,Water,Non_Wetland,Forest
405,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
406,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
407,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
408,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
409,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
410,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
411,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
412,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
413,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
414,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL
415,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
416,Cropland,NULL,Forest,Water,Non_Wetland,Forest
