Value,AFRICA_2024_DynamicWorld_2024_35PQK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQK_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQK_M_R,AFRICA_2024_GSW_Yearly_2021_35PQK_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQK_M_R,AFRICA_2024_WorldCover_2021_35PQK_M_R
121,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
122,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
123,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
124,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
125,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
126,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
127,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
128,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
129,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
130,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
131,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
132,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
133,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
134,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
135,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
136,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
137,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
138,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
139,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
140,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
141,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
142,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
143,NULL,Wetland,Wetland,NULL,Wetland,NULL
144,NULL,Wetland,Wetland,NULL,Wetland,Grassland
145,NULL,Wetland,Wetland,NULL,Wetland,Wetland
146,NULL,Wetland,Wetland,NULL,Wetland,Forest
147,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
148,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
149,NULL,Wetland,Wetland,Water,Wetland,Grassland
150,NULL,Wetland,Wetland,Water,Wetland,Wetland
151,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
152,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
153,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
154,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
155,NULL,Wetland,Water,NULL,Water,Grassland
156,NULL,Wetland,Water,NULL,Water,Wetland
157,NULL,Wetland,Water,Water,Water,Grassland
158,NULL,Wetland,Water,Water,Water,Wetland
159,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
160,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
161,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
162,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
163,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
164,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
165,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
166,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
167,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
168,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
169,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
170,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
171,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
172,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
173,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
174,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
175,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
176,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
177,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
178,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
179,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
180,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
181,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
182,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
183,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
184,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
185,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
186,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
187,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
188,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
189,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
190,NULL,Water,Wetland,NULL,Wetland,Wetland
191,NULL,Water,Wetland,Non_Water,Wetland,Wetland
192,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland
193,NULL,Forest,NULL,NULL,Non_Wetland,NULL
194,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
195,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
196,NULL,Forest,NULL,NULL,Non_Wetland,Forest
197,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
198,NULL,Forest,NULL,Water,Non_Wetland,Wetland
199,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
200,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
201,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
202,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
203,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
204,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
205,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
206,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
207,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
208,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
209,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
210,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
211,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
212,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
213,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
214,NULL,Forest,Wetland,NULL,Wetland,NULL
215,NULL,Forest,Wetland,NULL,Wetland,Grassland
216,NULL,Forest,Wetland,NULL,Wetland,Wetland
217,NULL,Forest,Wetland,NULL,Wetland,Forest
218,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
219,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
220,NULL,Forest,Wetland,Water,Wetland,Grassland
221,NULL,Forest,Wetland,Water,Wetland,Wetland
222,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
223,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland
224,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
225,NULL,Forest,Forest,NULL,Non_Wetland,NULL
226,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
227,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
228,NULL,Forest,Forest,NULL,Non_Wetland,Forest
229,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
230,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
231,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
232,NULL,Forest,Forest,Water,Non_Wetland,Wetland
233,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
234,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
235,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
236,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
237,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
238,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
239,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
240,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
241,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
242,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
243,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
244,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
245,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
246,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
247,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
248,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
249,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
250,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
251,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
252,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
253,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
254,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
255,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
256,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
257,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
258,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
259,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
260,Grassland,NULL,Wetland,NULL,Wetland,NULL
261,Grassland,NULL,Wetland,NULL,Wetland,Grassland
262,Grassland,NULL,Wetland,NULL,Wetland,Wetland
263,Grassland,NULL,Wetland,NULL,Wetland,Built-up
264,Grassland,NULL,Wetland,NULL,Wetland,Forest
265,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
266,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
267,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
268,Grassland,NULL,Wetland,Water,Wetland,Grassland
269,Grassland,NULL,Wetland,Water,Wetland,Wetland
270,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
271,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
272,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
273,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
274,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
275,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
276,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
277,Grassland,NULL,Water,NULL,Water,Wetland
278,Grassland,NULL,Water,Non_Water,Water,Wetland
279,Grassland,NULL,Water,Water,Water,Wetland
280,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
281,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
282,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
283,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
284,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
285,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
286,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
287,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
288,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
289,Grassland,NULL,Forest,Water,Non_Wetland,Water
290,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
291,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland
292,Grassland,Cropland,NULL,Water,Non_Wetland,Wetland
293,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
294,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
295,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
296,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
297,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
298,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
299,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
300,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
301,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
302,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
303,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
304,Grassland,Cropland,Wetland,NULL,Wetland,Bareland
305,Grassland,Cropland,Wetland,NULL,Wetland,Built-up
306,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
307,Grassland,Cropland,Wetland,Non_Water,Wetland,Built-up
308,Grassland,Cropland,Wetland,Water,Wetland,Wetland
309,Grassland,Cropland,Wetland,Water,Wetland,Built-up
310,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
311,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
312,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
313,Grassland,Cropland,Bareland,Water,Non_Wetland,Wetland
314,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
315,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
316,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
317,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
318,Grassland,Cropland,Forest,Water,Non_Wetland,Wetland
319,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
320,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
321,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
322,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
323,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland
324,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
325,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Forest
326,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland
327,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
328,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
329,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
330,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Bareland
331,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Built-up
332,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Water
333,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
334,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
335,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
336,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
337,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
338,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
339,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
340,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
341,Grassland,Wetland,Shrubland,Water,Non_Wetland,Water
342,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
343,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland
344,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest
345,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland
346,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland
347,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
348,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
349,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
350,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Forest
351,Grassland,Wetland,Wetland,NULL,Wetland,NULL
352,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
353,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
354,Grassland,Wetland,Wetland,NULL,Wetland,Built-up
355,Grassland,Wetland,Wetland,NULL,Wetland,Water
356,Grassland,Wetland,Wetland,NULL,Wetland,Forest
357,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
358,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
359,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
360,Grassland,Wetland,Wetland,Water,Wetland,Grassland
361,Grassland,Wetland,Wetland,Water,Wetland,Wetland
362,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland
363,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
364,Grassland,Wetland,Bareland,NULL,Non_Wetland,Forest
365,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
366,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland
367,Grassland,Wetland,Water,NULL,Water,Grassland
368,Grassland,Wetland,Water,NULL,Water,Wetland
369,Grassland,Wetland,Water,Non_Water,Water,Grassland
370,Grassland,Wetland,Water,Non_Water,Water,Wetland
371,Grassland,Wetland,Water,Water,Water,Grassland
372,Grassland,Wetland,Water,Water,Water,Wetland
373,Grassland,Wetland,Water,Water,Water,Water
374,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
375,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
376,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
377,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
378,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL
379,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
380,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
381,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
382,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
383,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
384,Grassland,Water,NULL,NULL,Non_Wetland,Wetland
385,Grassland,Water,NULL,Non_Water,Non_Wetland,Wetland
386,Grassland,Water,NULL,Water,Non_Wetland,Wetland
387,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
388,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
389,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
390,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
391,Grassland,Water,Wetland,NULL,Wetland,Grassland
392,Grassland,Water,Wetland,NULL,Wetland,Wetland
393,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
394,Grassland,Water,Wetland,Water,Wetland,Wetland
395,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland
396,Grassland,Water,Bareland,Non_Water,Non_Wetland,Wetland
397,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
398,Grassland,Water,Forest,NULL,Non_Wetland,Forest
399,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
400,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
401,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
402,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
403,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
404,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL
405,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
406,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland
407,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
408,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
409,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
410,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
411,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
412,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
413,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
414,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
415,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
416,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
417,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
418,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
419,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Wetland
420,Grassland,Forest,Wetland,NULL,Wetland,NULL
421,Grassland,Forest,Wetland,NULL,Wetland,Grassland
422,Grassland,Forest,Wetland,NULL,Wetland,Wetland
423,Grassland,Forest,Wetland,NULL,Wetland,Forest
