Value,AFRICA_2024_DynamicWorld_2024_36NZK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NZK_M_R,AFRICA_2024_GLC_FCS30D_2022_36NZK_M_R,AFRICA_2024_GSW_Yearly_2021_36NZK_M_R,AFRICA_2024_GWL_FCS30D_2022_36NZK_M_R,AFRICA_2024_WorldCover_2021_36NZK_M_R
119,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
120,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
121,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
122,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
123,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL
124,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
125,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
126,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
127,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
128,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
129,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
130,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
131,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
132,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
133,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL
134,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
135,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
136,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
137,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
138,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
139,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
140,NULL,Water,Grassland,NULL,Non_Wetland,NULL
141,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
142,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
143,NULL,Water,Bareland,NULL,Non_Wetland,NULL
144,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
145,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
146,NULL,Water,Bareland,NULL,Non_Wetland,Forest
147,NULL,Water,Bareland,Water,Non_Wetland,Bareland
148,NULL,Water,Built-up,NULL,Non_Wetland,NULL
149,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
150,NULL,Forest,NULL,NULL,Non_Wetland,NULL
151,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
152,NULL,Forest,NULL,NULL,Non_Wetland,Forest
153,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
154,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
155,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
156,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
157,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
158,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
159,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
160,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
161,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
162,NULL,Forest,Wetland,NULL,Wetland,Forest
163,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
164,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
165,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
166,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
167,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
168,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
169,NULL,Forest,Forest,NULL,Non_Wetland,NULL
170,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
171,NULL,Forest,Forest,NULL,Non_Wetland,Forest
172,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
173,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
174,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
175,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
176,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
177,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
178,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
179,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
180,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
181,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
182,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
183,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
184,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Bareland
185,Grassland,Wetland,Shrubland,Water,Non_Wetland,Water
186,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL
187,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
188,Grassland,Wetland,Grassland,NULL,Non_Wetland,Cropland
189,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland
190,Grassland,Wetland,Grassland,NULL,Non_Wetland,Bareland
191,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest
192,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland
193,Grassland,Wetland,Grassland,Water,Non_Wetland,Cropland
194,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland
195,Grassland,Wetland,Grassland,Water,Non_Wetland,Bareland
196,Grassland,Wetland,Grassland,Water,Non_Wetland,Water
197,Grassland,Wetland,Cropland,Water,Non_Wetland,Water
198,Grassland,Wetland,Wetland,NULL,Wetland,NULL
199,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
200,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
201,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL
202,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland
203,Grassland,Wetland,Bareland,NULL,Non_Wetland,Cropland
204,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
205,Grassland,Wetland,Bareland,NULL,Non_Wetland,Bareland
206,Grassland,Wetland,Bareland,NULL,Non_Wetland,Water
207,Grassland,Wetland,Bareland,Water,Non_Wetland,Grassland
208,Grassland,Wetland,Bareland,Water,Non_Wetland,Cropland
209,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland
210,Grassland,Wetland,Bareland,Water,Non_Wetland,Bareland
211,Grassland,Wetland,Bareland,Water,Non_Wetland,Water
212,Grassland,Wetland,Built-up,NULL,Non_Wetland,Wetland
213,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
214,Grassland,Bareland,Bareland,NULL,Non_Wetland,Bareland
215,Grassland,Bareland,Bareland,Water,Non_Wetland,Bareland
216,Grassland,Built-up,Bareland,NULL,Non_Wetland,Forest
217,Grassland,Water,Bareland,NULL,Non_Wetland,Grassland
218,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
219,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
220,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
221,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
222,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
223,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
224,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
225,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
226,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
227,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
228,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
229,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
230,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
231,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
232,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
233,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
234,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
235,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
236,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
237,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
238,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
239,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
240,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
241,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
242,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
243,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
244,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
245,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
246,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
247,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
248,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
249,Cropland,NULL,Wetland,NULL,Wetland,NULL
250,Cropland,NULL,Wetland,NULL,Wetland,Grassland
251,Cropland,NULL,Wetland,NULL,Wetland,Forest
252,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
253,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
254,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
255,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
256,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
257,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
258,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
259,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
260,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
261,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL
262,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
263,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
264,Cropland,NULL,Bareland,Water,Non_Wetland,NULL
265,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
266,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
267,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
268,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
269,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
270,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
271,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL
272,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
273,Cropland,NULL,Built-up,Water,Non_Wetland,Grassland
274,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
275,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
276,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
277,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
278,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
279,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
280,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
281,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
282,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
283,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
284,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
285,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
286,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
287,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
288,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
289,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
290,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
291,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
292,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL
293,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
294,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
295,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
296,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
297,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
298,Cropland,Cropland,Wetland,NULL,Wetland,NULL
299,Cropland,Cropland,Wetland,NULL,Wetland,Forest
300,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
301,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
302,Cropland,Cropland,Bareland,NULL,Non_Wetland,Wetland
303,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
304,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,NULL
305,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
306,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
307,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
308,Cropland,Cropland,Bareland,Water,Non_Wetland,Bareland
309,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
310,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
311,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
312,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
313,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
314,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
315,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL
316,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
317,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
318,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Forest
319,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL
320,Cropland,Wetland,Grassland,NULL,Non_Wetland,Grassland
321,Cropland,Wetland,Grassland,NULL,Non_Wetland,Wetland
322,Cropland,Wetland,Grassland,NULL,Non_Wetland,Bareland
323,Cropland,Wetland,Grassland,NULL,Non_Wetland,Forest
324,Cropland,Wetland,Cropland,NULL,Non_Wetland,Wetland
325,Cropland,Wetland,Cropland,NULL,Non_Wetland,Forest
326,Cropland,Wetland,Wetland,NULL,Wetland,Wetland
327,Cropland,Wetland,Wetland,NULL,Wetland,Forest
328,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL
329,Cropland,Wetland,Bareland,NULL,Non_Wetland,Grassland
330,Cropland,Wetland,Bareland,NULL,Non_Wetland,Wetland
331,Cropland,Wetland,Bareland,NULL,Non_Wetland,Bareland
332,Cropland,Wetland,Bareland,NULL,Non_Wetland,Forest
333,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
334,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
335,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
336,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
337,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
338,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
339,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL
340,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
341,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
342,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
343,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
344,Cropland,Bareland,Bareland,Water,Non_Wetland,Bareland
345,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
346,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
347,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
348,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
349,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
350,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Wetland
351,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
352,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
353,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
354,Cropland,Built-up,Grassland,NULL,Non_Wetland,Wetland
355,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
356,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
357,Cropland,Built-up,Grassland,Non_Water,Non_Wetland,NULL
358,Cropland,Built-up,Grassland,Water,Non_Wetland,Bareland
359,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
360,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
361,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL
362,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
363,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
364,Cropland,Built-up,Bareland,NULL,Non_Wetland,Forest
365,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
366,Cropland,Built-up,Forest,NULL,Non_Wetland,Wetland
367,Cropland,Water,Bareland,NULL,Non_Wetland,Grassland
368,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
369,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
370,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
371,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
372,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
373,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
374,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
375,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
376,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
377,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
378,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
379,Cropland,Forest,Wetland,NULL,Wetland,Forest
380,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
381,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
382,Cropland,Forest,Bareland,NULL,Non_Wetland,Forest
383,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
384,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
385,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
386,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
387,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
388,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
389,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
390,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
391,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
392,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
393,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
394,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
395,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
396,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
397,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
398,Wetland,NULL,Wetland,NULL,Wetland,Forest
399,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
400,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
401,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
402,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
403,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL
404,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
405,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
406,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Forest
407,Wetland,NULL,Bareland,Water,Non_Wetland,NULL
408,Wetland,NULL,Bareland,Water,Non_Wetland,Grassland
409,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland
410,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland
411,Wetland,NULL,Bareland,Water,Non_Wetland,Forest
412,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL
413,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland
414,Wetland,NULL,Built-up,NULL,Non_Wetland,Bareland
415,Wetland,NULL,Built-up,NULL,Non_Wetland,Forest
416,Wetland,NULL,Built-up,Non_Water,Non_Wetland,NULL
