Value,AFRICA_2024_DynamicWorld_2024_36QZD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36QZD_M_R,AFRICA_2024_GLC_FCS30D_2022_36QZD_M_R,AFRICA_2024_GSW_Yearly_2021_36QZD_M_R,AFRICA_2024_GWL_FCS30D_2022_36QZD_M_R,AFRICA_2024_WorldCover_2021_36QZD_M_R
115,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
116,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
117,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
118,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland
119,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
120,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
121,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
122,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
123,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
124,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
125,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
126,NULL,Bareland,NULL,Non_Water,Non_Wetland,Grassland
127,NULL,Bareland,NULL,Non_Water,Non_Wetland,Cropland
128,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland
129,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
130,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
131,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
132,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
133,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
134,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Cropland
135,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
136,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
137,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
138,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
139,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
140,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
141,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
142,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
143,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
144,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Cropland
145,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
146,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
147,NULL,Bareland,Grassland,Water,Non_Wetland,Cropland
148,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
149,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
150,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
151,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
152,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
153,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
154,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Cropland
155,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
156,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
157,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
158,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
159,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
160,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
161,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
162,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
163,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
164,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
165,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
166,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
167,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
168,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
169,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
170,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
171,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Cropland
172,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
173,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
174,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
175,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
176,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
177,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
178,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
179,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Cropland
180,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
181,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
182,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
183,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
184,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
185,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
186,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
187,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
188,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
189,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
190,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
191,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
192,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
193,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
194,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
195,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
196,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
197,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
198,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
199,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
200,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
201,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
202,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
203,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
204,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
205,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
206,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
207,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
208,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
209,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
210,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
211,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
212,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
213,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
214,NULL,Forest,NULL,NULL,Non_Wetland,NULL
215,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
216,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
217,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
218,NULL,Forest,NULL,NULL,Non_Wetland,Forest
219,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
220,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
221,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
222,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
223,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
224,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
225,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
226,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
227,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
228,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
229,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
230,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
231,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
232,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
233,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
234,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
235,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
236,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
237,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
238,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
239,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
240,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
241,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
242,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
243,NULL,Forest,Forest,NULL,Non_Wetland,NULL
244,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
245,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
246,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
247,NULL,Forest,Forest,NULL,Non_Wetland,Forest
248,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
249,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
250,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
251,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
252,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
253,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
254,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
255,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
256,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
257,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
258,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
259,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
260,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
261,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
262,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
263,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
264,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
265,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
266,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
267,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
268,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
269,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
270,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
271,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
272,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
273,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
274,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
275,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
276,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
277,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
278,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
279,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
280,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
281,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
282,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
283,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
284,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
285,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
286,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
287,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
288,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
289,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
290,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
291,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
292,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
293,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
294,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
295,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
296,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
297,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
298,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
299,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
300,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
301,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
302,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
303,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
304,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
305,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
306,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
307,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
308,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
309,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
310,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
311,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
312,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
313,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
314,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
315,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
316,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
317,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
318,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
319,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
320,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
321,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
322,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
323,Cropland,Bareland,NULL,NULL,Non_Wetland,Grassland
324,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
325,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
326,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
327,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
328,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
329,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
330,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
331,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
332,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
333,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
334,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
335,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
336,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
337,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
338,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
339,Cropland,Bareland,Forest,NULL,Non_Wetland,Bareland
340,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
341,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
342,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
343,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
344,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
345,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
346,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
347,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
348,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
349,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
350,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
351,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
352,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
353,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
354,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
355,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
356,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
357,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
358,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
359,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
360,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
361,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
362,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
363,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
364,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
365,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
366,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
367,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
368,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
369,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
370,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
371,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
372,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
373,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
374,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
375,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
376,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
377,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
378,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
379,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
380,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
381,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
382,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
383,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
384,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
385,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
386,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
387,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
388,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
389,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
390,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
391,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
392,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
393,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
394,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
395,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland
396,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
397,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
398,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL
399,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
400,Bareland,Cropland,NULL,NULL,Non_Wetland,Bareland
401,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL
402,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
403,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
404,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
405,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
406,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
407,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
