Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WNA_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WNA_M_R,SIBERIA_2024_GSW_Yearly_2021_44WNA_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WNA_M_R,SIBERIA_2024_WorldCover_2021_44WNA_M_R
169,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
170,Wetland,NULL,NULL,Non_Wetland,Bareland
171,Wetland,NULL,NULL,Non_Wetland,Water
172,Wetland,NULL,NULL,Non_Wetland,Forest
173,Wetland,NULL,Non_Water,Non_Wetland,Grassland
174,Wetland,NULL,Non_Water,Non_Wetland,Wetland
175,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
176,Wetland,NULL,Non_Water,Non_Wetland,Bareland
177,Wetland,NULL,Non_Water,Non_Wetland,Water
178,Wetland,NULL,Non_Water,Non_Wetland,Forest
179,Wetland,NULL,Water,Non_Wetland,Grassland
180,Wetland,NULL,Water,Non_Wetland,Wetland
181,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
182,Wetland,NULL,Water,Non_Wetland,Bareland
183,Wetland,NULL,Water,Non_Wetland,Water
184,Wetland,NULL,Water,Non_Wetland,Forest
185,Wetland,Shrubland,NULL,Non_Wetland,Grassland
186,Wetland,Shrubland,NULL,Non_Wetland,Wetland
187,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
188,Wetland,Shrubland,NULL,Non_Wetland,Bareland
189,Wetland,Shrubland,NULL,Non_Wetland,Built-up
190,Wetland,Shrubland,NULL,Non_Wetland,Water
191,Wetland,Shrubland,NULL,Non_Wetland,Forest
192,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
193,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
194,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
195,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
196,Wetland,Shrubland,Non_Water,Non_Wetland,Water
197,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
198,Wetland,Shrubland,Water,Non_Wetland,Grassland
199,Wetland,Shrubland,Water,Non_Wetland,Wetland
200,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
201,Wetland,Shrubland,Water,Non_Wetland,Bareland
202,Wetland,Shrubland,Water,Non_Wetland,Water
203,Wetland,Shrubland,Water,Non_Wetland,Forest
204,Wetland,Grassland,NULL,Non_Wetland,Grassland
205,Wetland,Grassland,NULL,Non_Wetland,Wetland
206,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
207,Wetland,Grassland,NULL,Non_Wetland,Bareland
208,Wetland,Grassland,NULL,Non_Wetland,Built-up
209,Wetland,Grassland,NULL,Non_Wetland,Water
210,Wetland,Grassland,NULL,Non_Wetland,Forest
211,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
212,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
213,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
214,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
215,Wetland,Grassland,Non_Water,Non_Wetland,Water
216,Wetland,Grassland,Non_Water,Non_Wetland,Forest
217,Wetland,Grassland,Water,Non_Wetland,Grassland
218,Wetland,Grassland,Water,Non_Wetland,Wetland
219,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
220,Wetland,Grassland,Water,Non_Wetland,Bareland
221,Wetland,Grassland,Water,Non_Wetland,Water
222,Wetland,Grassland,Water,Non_Wetland,Forest
223,Wetland,Wetland,NULL,Wetland,Grassland
224,Wetland,Wetland,NULL,Wetland,Wetland
225,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
226,Wetland,Wetland,NULL,Wetland,Bareland
227,Wetland,Wetland,NULL,Wetland,Water
228,Wetland,Wetland,NULL,Wetland,Forest
229,Wetland,Wetland,Non_Water,Wetland,Grassland
230,Wetland,Wetland,Non_Water,Wetland,Wetland
231,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
232,Wetland,Wetland,Non_Water,Wetland,Bareland
233,Wetland,Wetland,Non_Water,Wetland,Water
234,Wetland,Wetland,Non_Water,Wetland,Forest
235,Wetland,Wetland,Water,Wetland,Grassland
236,Wetland,Wetland,Water,Wetland,Wetland
237,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
238,Wetland,Wetland,Water,Wetland,Bareland
239,Wetland,Wetland,Water,Wetland,Water
240,Wetland,Wetland,Water,Wetland,Forest
241,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
242,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
243,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
244,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
245,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
246,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
247,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
248,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
249,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
250,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
251,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
252,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
253,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
254,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
255,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
256,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
257,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
258,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
259,Wetland,Bareland,NULL,Non_Wetland,Grassland
260,Wetland,Bareland,NULL,Non_Wetland,Wetland
261,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
262,Wetland,Bareland,NULL,Non_Wetland,Bareland
263,Wetland,Bareland,NULL,Non_Wetland,Built-up
264,Wetland,Bareland,NULL,Non_Wetland,Water
265,Wetland,Bareland,NULL,Non_Wetland,Forest
266,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
267,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
268,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
269,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
270,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
271,Wetland,Bareland,Non_Water,Non_Wetland,Water
272,Wetland,Bareland,Non_Water,Non_Wetland,Forest
273,Wetland,Bareland,Water,Non_Wetland,Grassland
274,Wetland,Bareland,Water,Non_Wetland,Wetland
275,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
276,Wetland,Bareland,Water,Non_Wetland,Bareland
277,Wetland,Bareland,Water,Non_Wetland,Water
278,Wetland,Bareland,Water,Non_Wetland,Forest
279,Wetland,Built-up,NULL,Non_Wetland,Grassland
280,Wetland,Built-up,NULL,Non_Wetland,Wetland
281,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
282,Wetland,Built-up,NULL,Non_Wetland,Bareland
283,Wetland,Built-up,NULL,Non_Wetland,Built-up
284,Wetland,Built-up,NULL,Non_Wetland,Water
285,Wetland,Built-up,NULL,Non_Wetland,Forest
286,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
287,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
288,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
289,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
290,Wetland,Built-up,Non_Water,Non_Wetland,Water
291,Wetland,Built-up,Non_Water,Non_Wetland,Forest
292,Wetland,Built-up,Water,Non_Wetland,Grassland
293,Wetland,Built-up,Water,Non_Wetland,Wetland
294,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
295,Wetland,Built-up,Water,Non_Wetland,Bareland
296,Wetland,Built-up,Water,Non_Wetland,Water
297,Wetland,Built-up,Water,Non_Wetland,Forest
298,Wetland,Water,NULL,Water,Grassland
299,Wetland,Water,NULL,Water,Wetland
300,Wetland,Water,NULL,Water,Lichens_and_Mosses
301,Wetland,Water,NULL,Water,Bareland
302,Wetland,Water,NULL,Water,Water
303,Wetland,Water,NULL,Water,Forest
304,Wetland,Water,Non_Water,Water,Grassland
305,Wetland,Water,Non_Water,Water,Wetland
306,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
307,Wetland,Water,Non_Water,Water,Bareland
308,Wetland,Water,Non_Water,Water,Water
309,Wetland,Water,Non_Water,Water,Forest
310,Wetland,Water,Water,Water,Grassland
311,Wetland,Water,Water,Water,Wetland
312,Wetland,Water,Water,Water,Lichens_and_Mosses
313,Wetland,Water,Water,Water,Bareland
314,Wetland,Water,Water,Water,Water
315,Wetland,Water,Water,Water,Forest
316,Wetland,Forest,NULL,Non_Wetland,Grassland
317,Wetland,Forest,NULL,Non_Wetland,Wetland
318,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
319,Wetland,Forest,NULL,Non_Wetland,Bareland
320,Wetland,Forest,NULL,Non_Wetland,Built-up
321,Wetland,Forest,NULL,Non_Wetland,Water
322,Wetland,Forest,NULL,Non_Wetland,Forest
323,Wetland,Forest,Non_Water,Non_Wetland,Grassland
324,Wetland,Forest,Non_Water,Non_Wetland,Wetland
325,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
326,Wetland,Forest,Non_Water,Non_Wetland,Bareland
327,Wetland,Forest,Non_Water,Non_Wetland,Water
328,Wetland,Forest,Non_Water,Non_Wetland,Forest
329,Wetland,Forest,Water,Non_Wetland,Grassland
330,Wetland,Forest,Water,Non_Wetland,Wetland
331,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
332,Wetland,Forest,Water,Non_Wetland,Bareland
333,Wetland,Forest,Water,Non_Wetland,Water
334,Wetland,Forest,Water,Non_Wetland,Forest
335,Bareland,NULL,NULL,Non_Wetland,Grassland
336,Bareland,NULL,NULL,Non_Wetland,Wetland
337,Bareland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
338,Bareland,NULL,NULL,Non_Wetland,Bareland
339,Bareland,NULL,NULL,Non_Wetland,Forest
340,Bareland,NULL,Non_Water,Non_Wetland,Grassland
341,Bareland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
342,Bareland,NULL,Non_Water,Non_Wetland,Bareland
343,Bareland,NULL,Non_Water,Non_Wetland,Water
344,Bareland,NULL,Water,Non_Wetland,Lichens_and_Mosses
345,Bareland,NULL,Water,Non_Wetland,Bareland
346,Bareland,NULL,Water,Non_Wetland,Water
347,Bareland,Shrubland,NULL,Non_Wetland,Grassland
348,Bareland,Shrubland,NULL,Non_Wetland,Wetland
349,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
350,Bareland,Shrubland,NULL,Non_Wetland,Bareland
351,Bareland,Shrubland,NULL,Non_Wetland,Water
352,Bareland,Shrubland,NULL,Non_Wetland,Forest
353,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
354,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
355,Bareland,Shrubland,Non_Water,Non_Wetland,Water
356,Bareland,Shrubland,Water,Non_Wetland,Grassland
357,Bareland,Shrubland,Water,Non_Wetland,Wetland
358,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
359,Bareland,Shrubland,Water,Non_Wetland,Bareland
360,Bareland,Shrubland,Water,Non_Wetland,Water
361,Bareland,Grassland,NULL,Non_Wetland,Grassland
362,Bareland,Grassland,NULL,Non_Wetland,Wetland
363,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
364,Bareland,Grassland,NULL,Non_Wetland,Bareland
365,Bareland,Grassland,NULL,Non_Wetland,Water
366,Bareland,Grassland,NULL,Non_Wetland,Forest
367,Bareland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
368,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
369,Bareland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
370,Bareland,Grassland,Water,Non_Wetland,Bareland
371,Bareland,Grassland,Water,Non_Wetland,Water
372,Bareland,Wetland,NULL,Wetland,Grassland
373,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
374,Bareland,Wetland,NULL,Wetland,Bareland
375,Bareland,Wetland,NULL,Wetland,Water
376,Bareland,Wetland,NULL,Wetland,Forest
377,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
378,Bareland,Wetland,Non_Water,Wetland,Bareland
379,Bareland,Wetland,Non_Water,Wetland,Water
380,Bareland,Wetland,Water,Wetland,Wetland
381,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
382,Bareland,Wetland,Water,Wetland,Bareland
383,Bareland,Wetland,Water,Wetland,Water
384,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
385,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
386,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
387,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
388,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
389,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
390,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
391,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
392,Bareland,Bareland,NULL,Non_Wetland,Grassland
393,Bareland,Bareland,NULL,Non_Wetland,Wetland
394,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
395,Bareland,Bareland,NULL,Non_Wetland,Bareland
396,Bareland,Bareland,NULL,Non_Wetland,Built-up
397,Bareland,Bareland,NULL,Non_Wetland,Water
398,Bareland,Bareland,NULL,Non_Wetland,Forest
399,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
400,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
401,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
402,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
403,Bareland,Bareland,Non_Water,Non_Wetland,Water
404,Bareland,Bareland,Non_Water,Non_Wetland,Forest
405,Bareland,Bareland,Water,Non_Wetland,Grassland
406,Bareland,Bareland,Water,Non_Wetland,Wetland
407,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
408,Bareland,Bareland,Water,Non_Wetland,Bareland
409,Bareland,Bareland,Water,Non_Wetland,Water
410,Bareland,Built-up,NULL,Non_Wetland,Grassland
411,Bareland,Built-up,NULL,Non_Wetland,Wetland
412,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
413,Bareland,Built-up,NULL,Non_Wetland,Bareland
414,Bareland,Built-up,NULL,Non_Wetland,Built-up
415,Bareland,Built-up,NULL,Non_Wetland,Water
416,Bareland,Built-up,NULL,Non_Wetland,Forest
417,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
418,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
419,Bareland,Built-up,Non_Water,Non_Wetland,Water
420,Bareland,Built-up,Water,Non_Wetland,Wetland
421,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
422,Bareland,Built-up,Water,Non_Wetland,Bareland
423,Bareland,Built-up,Water,Non_Wetland,Water
424,Bareland,Water,NULL,Water,Grassland
425,Bareland,Water,NULL,Water,Wetland
426,Bareland,Water,NULL,Water,Lichens_and_Mosses
427,Bareland,Water,NULL,Water,Bareland
428,Bareland,Water,NULL,Water,Water
429,Bareland,Water,NULL,Water,Forest
430,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
431,Bareland,Water,Non_Water,Water,Bareland
432,Bareland,Water,Non_Water,Water,Water
433,Bareland,Water,Water,Water,Lichens_and_Mosses
434,Bareland,Water,Water,Water,Bareland
435,Bareland,Water,Water,Water,Water
436,Bareland,Water,Water,Water,Forest
437,Bareland,Forest,NULL,Non_Wetland,Grassland
438,Bareland,Forest,NULL,Non_Wetland,Wetland
439,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
440,Bareland,Forest,NULL,Non_Wetland,Bareland
441,Bareland,Forest,NULL,Non_Wetland,Water
442,Bareland,Forest,NULL,Non_Wetland,Forest
443,Bareland,Forest,Non_Water,Non_Wetland,Wetland
444,Bareland,Forest,Non_Water,Non_Wetland,Bareland
445,Bareland,Forest,Non_Water,Non_Wetland,Water
446,Bareland,Forest,Non_Water,Non_Wetland,Forest
447,Bareland,Forest,Water,Non_Wetland,Lichens_and_Mosses
448,Bareland,Forest,Water,Non_Wetland,Bareland
449,Bareland,Forest,Water,Non_Wetland,Water
450,Bareland,Forest,Water,Non_Wetland,Forest
451,Built-up,NULL,NULL,Non_Wetland,Grassland
452,Built-up,NULL,NULL,Non_Wetland,Wetland
453,Built-up,NULL,NULL,Non_Wetland,Lichens_and_Mosses
454,Built-up,NULL,NULL,Non_Wetland,Bareland
455,Built-up,NULL,NULL,Non_Wetland,Forest
456,Built-up,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
457,Built-up,Shrubland,NULL,Non_Wetland,Grassland
458,Built-up,Shrubland,NULL,Non_Wetland,Wetland
459,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
460,Built-up,Shrubland,NULL,Non_Wetland,Bareland
461,Built-up,Shrubland,NULL,Non_Wetland,Built-up
462,Built-up,Shrubland,NULL,Non_Wetland,Forest
463,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
464,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland
465,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
466,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
