Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42WXU_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WXU_M_R,SIBERIA_2024_GSW_Yearly_2021_42WXU_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WXU_M_R,SIBERIA_2024_WorldCover_2021_42WXU_M_R
171,Wetland,Shrubland,NULL,Non_Wetland,Grassland
172,Wetland,Shrubland,NULL,Non_Wetland,Wetland
173,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
174,Wetland,Shrubland,NULL,Non_Wetland,Bareland
175,Wetland,Shrubland,NULL,Non_Wetland,Water
176,Wetland,Shrubland,NULL,Non_Wetland,Forest
177,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
178,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
179,Wetland,Shrubland,Non_Water,Non_Wetland,Water
180,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
181,Wetland,Shrubland,Water,Non_Wetland,Grassland
182,Wetland,Shrubland,Water,Non_Wetland,Wetland
183,Wetland,Shrubland,Water,Non_Wetland,Water
184,Wetland,Shrubland,Water,Non_Wetland,Forest
185,Wetland,Grassland,NULL,Non_Wetland,Grassland
186,Wetland,Grassland,NULL,Non_Wetland,Wetland
187,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
188,Wetland,Grassland,NULL,Non_Wetland,Bareland
189,Wetland,Grassland,NULL,Non_Wetland,Built-up
190,Wetland,Grassland,NULL,Non_Wetland,Water
191,Wetland,Grassland,NULL,Non_Wetland,Forest
192,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
193,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
194,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
195,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
196,Wetland,Grassland,Non_Water,Non_Wetland,Water
197,Wetland,Grassland,Non_Water,Non_Wetland,Forest
198,Wetland,Grassland,Water,Non_Wetland,Grassland
199,Wetland,Grassland,Water,Non_Wetland,Wetland
200,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
201,Wetland,Grassland,Water,Non_Wetland,Bareland
202,Wetland,Grassland,Water,Non_Wetland,Water
203,Wetland,Grassland,Water,Non_Wetland,Forest
204,Wetland,Wetland,NULL,NULL,Grassland
205,Wetland,Wetland,NULL,NULL,Wetland
206,Wetland,Wetland,NULL,NULL,Water
207,Wetland,Wetland,NULL,NULL,Forest
208,Wetland,Wetland,NULL,Wetland,NULL
209,Wetland,Wetland,NULL,Wetland,Grassland
210,Wetland,Wetland,NULL,Wetland,Wetland
211,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
212,Wetland,Wetland,NULL,Wetland,Bareland
213,Wetland,Wetland,NULL,Wetland,Built-up
214,Wetland,Wetland,NULL,Wetland,Water
215,Wetland,Wetland,NULL,Wetland,Forest
216,Wetland,Wetland,Non_Water,NULL,Wetland
217,Wetland,Wetland,Non_Water,NULL,Water
218,Wetland,Wetland,Non_Water,NULL,Forest
219,Wetland,Wetland,Non_Water,Wetland,Grassland
220,Wetland,Wetland,Non_Water,Wetland,Wetland
221,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
222,Wetland,Wetland,Non_Water,Wetland,Bareland
223,Wetland,Wetland,Non_Water,Wetland,Water
224,Wetland,Wetland,Non_Water,Wetland,Forest
225,Wetland,Wetland,Water,NULL,Grassland
226,Wetland,Wetland,Water,NULL,Wetland
227,Wetland,Wetland,Water,NULL,Water
228,Wetland,Wetland,Water,NULL,Forest
229,Wetland,Wetland,Water,Wetland,Grassland
230,Wetland,Wetland,Water,Wetland,Wetland
231,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
232,Wetland,Wetland,Water,Wetland,Bareland
233,Wetland,Wetland,Water,Wetland,Water
234,Wetland,Wetland,Water,Wetland,Forest
235,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
236,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
237,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
238,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
239,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
240,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
241,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
242,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
243,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
244,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
245,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
246,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
247,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
248,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
249,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
250,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
251,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
252,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
253,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
254,Wetland,Bareland,NULL,Non_Wetland,NULL
255,Wetland,Bareland,NULL,Non_Wetland,Grassland
256,Wetland,Bareland,NULL,Non_Wetland,Wetland
257,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
258,Wetland,Bareland,NULL,Non_Wetland,Bareland
259,Wetland,Bareland,NULL,Non_Wetland,Built-up
260,Wetland,Bareland,NULL,Non_Wetland,Water
261,Wetland,Bareland,NULL,Non_Wetland,Forest
262,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
263,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
264,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
265,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
266,Wetland,Bareland,Non_Water,Non_Wetland,Water
267,Wetland,Bareland,Non_Water,Non_Wetland,Forest
268,Wetland,Bareland,Water,Non_Wetland,Grassland
269,Wetland,Bareland,Water,Non_Wetland,Wetland
270,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
271,Wetland,Bareland,Water,Non_Wetland,Bareland
272,Wetland,Bareland,Water,Non_Wetland,Water
273,Wetland,Bareland,Water,Non_Wetland,Forest
274,Wetland,Built-up,NULL,Non_Wetland,Grassland
275,Wetland,Built-up,NULL,Non_Wetland,Wetland
276,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
277,Wetland,Built-up,NULL,Non_Wetland,Bareland
278,Wetland,Built-up,NULL,Non_Wetland,Built-up
279,Wetland,Built-up,NULL,Non_Wetland,Water
280,Wetland,Built-up,NULL,Non_Wetland,Forest
281,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
282,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
283,Wetland,Built-up,Water,Non_Wetland,Grassland
284,Wetland,Built-up,Water,Non_Wetland,Bareland
285,Wetland,Built-up,Water,Non_Wetland,Water
286,Wetland,Water,NULL,NULL,Wetland
287,Wetland,Water,NULL,NULL,Forest
288,Wetland,Water,NULL,Water,Grassland
289,Wetland,Water,NULL,Water,Wetland
290,Wetland,Water,NULL,Water,Lichens_and_Mosses
291,Wetland,Water,NULL,Water,Bareland
292,Wetland,Water,NULL,Water,Water
293,Wetland,Water,NULL,Water,Forest
294,Wetland,Water,Non_Water,NULL,Wetland
295,Wetland,Water,Non_Water,Water,Grassland
296,Wetland,Water,Non_Water,Water,Wetland
297,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
298,Wetland,Water,Non_Water,Water,Water
299,Wetland,Water,Non_Water,Water,Forest
300,Wetland,Water,Water,NULL,Wetland
301,Wetland,Water,Water,NULL,Water
302,Wetland,Water,Water,Water,Grassland
303,Wetland,Water,Water,Water,Wetland
304,Wetland,Water,Water,Water,Lichens_and_Mosses
305,Wetland,Water,Water,Water,Bareland
306,Wetland,Water,Water,Water,Water
307,Wetland,Water,Water,Water,Forest
308,Wetland,Forest,NULL,Non_Wetland,NULL
309,Wetland,Forest,NULL,Non_Wetland,Grassland
310,Wetland,Forest,NULL,Non_Wetland,Wetland
311,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
312,Wetland,Forest,NULL,Non_Wetland,Bareland
313,Wetland,Forest,NULL,Non_Wetland,Built-up
314,Wetland,Forest,NULL,Non_Wetland,Water
315,Wetland,Forest,NULL,Non_Wetland,Forest
316,Wetland,Forest,Non_Water,Non_Wetland,NULL
317,Wetland,Forest,Non_Water,Non_Wetland,Grassland
318,Wetland,Forest,Non_Water,Non_Wetland,Wetland
319,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
320,Wetland,Forest,Non_Water,Non_Wetland,Bareland
321,Wetland,Forest,Non_Water,Non_Wetland,Water
322,Wetland,Forest,Non_Water,Non_Wetland,Forest
323,Wetland,Forest,Water,Non_Wetland,Grassland
324,Wetland,Forest,Water,Non_Wetland,Wetland
325,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
326,Wetland,Forest,Water,Non_Wetland,Bareland
327,Wetland,Forest,Water,Non_Wetland,Water
328,Wetland,Forest,Water,Non_Wetland,Forest
329,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
330,Bareland,Grassland,NULL,Non_Wetland,Grassland
331,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
332,Bareland,Grassland,NULL,Non_Wetland,Bareland
333,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
334,Bareland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
335,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
336,Bareland,Grassland,Non_Water,Non_Wetland,Water
337,Bareland,Grassland,Water,Non_Wetland,Wetland
338,Bareland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
339,Bareland,Grassland,Water,Non_Wetland,Bareland
340,Bareland,Grassland,Water,Non_Wetland,Water
341,Bareland,Wetland,NULL,Wetland,Grassland
342,Bareland,Wetland,NULL,Wetland,Wetland
343,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
344,Bareland,Wetland,NULL,Wetland,Bareland
345,Bareland,Wetland,NULL,Wetland,Water
346,Bareland,Wetland,NULL,Wetland,Forest
347,Bareland,Wetland,Non_Water,NULL,Wetland
348,Bareland,Wetland,Non_Water,Wetland,Grassland
349,Bareland,Wetland,Non_Water,Wetland,Wetland
350,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
351,Bareland,Wetland,Non_Water,Wetland,Bareland
352,Bareland,Wetland,Non_Water,Wetland,Water
353,Bareland,Wetland,Non_Water,Wetland,Forest
354,Bareland,Wetland,Water,Wetland,Grassland
355,Bareland,Wetland,Water,Wetland,Wetland
356,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
357,Bareland,Wetland,Water,Wetland,Bareland
358,Bareland,Wetland,Water,Wetland,Water
359,Bareland,Wetland,Water,Wetland,Forest
360,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
361,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
362,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
363,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
364,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
365,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
366,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
367,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
368,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
369,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
370,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
371,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
372,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
373,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
374,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
375,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
376,Bareland,Bareland,NULL,Non_Wetland,Grassland
377,Bareland,Bareland,NULL,Non_Wetland,Wetland
378,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
379,Bareland,Bareland,NULL,Non_Wetland,Bareland
380,Bareland,Bareland,NULL,Non_Wetland,Built-up
381,Bareland,Bareland,NULL,Non_Wetland,Water
382,Bareland,Bareland,NULL,Non_Wetland,Forest
383,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
384,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
385,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
386,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
387,Bareland,Bareland,Non_Water,Non_Wetland,Water
388,Bareland,Bareland,Non_Water,Non_Wetland,Forest
389,Bareland,Bareland,Water,Non_Wetland,Grassland
390,Bareland,Bareland,Water,Non_Wetland,Wetland
391,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
392,Bareland,Bareland,Water,Non_Wetland,Bareland
393,Bareland,Bareland,Water,Non_Wetland,Water
394,Bareland,Bareland,Water,Non_Wetland,Forest
395,Bareland,Built-up,NULL,Non_Wetland,Grassland
396,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
397,Bareland,Built-up,NULL,Non_Wetland,Bareland
398,Bareland,Built-up,NULL,Non_Wetland,Built-up
399,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
400,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
401,Bareland,Built-up,Non_Water,Non_Wetland,Water
402,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
403,Bareland,Built-up,Water,Non_Wetland,Bareland
404,Bareland,Built-up,Water,Non_Wetland,Water
405,Bareland,Built-up,Water,Non_Wetland,Forest
406,Bareland,Water,NULL,Water,Grassland
407,Bareland,Water,NULL,Water,Wetland
408,Bareland,Water,NULL,Water,Lichens_and_Mosses
409,Bareland,Water,NULL,Water,Bareland
410,Bareland,Water,NULL,Water,Water
411,Bareland,Water,NULL,Water,Forest
412,Bareland,Water,Non_Water,Water,Grassland
413,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
414,Bareland,Water,Non_Water,Water,Bareland
415,Bareland,Water,Non_Water,Water,Water
416,Bareland,Water,Non_Water,Water,Forest
417,Bareland,Water,Water,NULL,Bareland
418,Bareland,Water,Water,Water,Grassland
419,Bareland,Water,Water,Water,Wetland
420,Bareland,Water,Water,Water,Lichens_and_Mosses
421,Bareland,Water,Water,Water,Bareland
422,Bareland,Water,Water,Water,Water
423,Bareland,Water,Water,Water,Forest
424,Bareland,Forest,NULL,Non_Wetland,Grassland
425,Bareland,Forest,NULL,Non_Wetland,Wetland
426,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
427,Bareland,Forest,NULL,Non_Wetland,Bareland
428,Bareland,Forest,NULL,Non_Wetland,Water
429,Bareland,Forest,NULL,Non_Wetland,Forest
430,Bareland,Forest,Non_Water,Non_Wetland,Grassland
431,Bareland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
432,Bareland,Forest,Non_Water,Non_Wetland,Bareland
433,Bareland,Forest,Non_Water,Non_Wetland,Water
434,Bareland,Forest,Non_Water,Non_Wetland,Forest
435,Bareland,Forest,Water,Non_Wetland,Grassland
436,Bareland,Forest,Water,Non_Wetland,Wetland
437,Bareland,Forest,Water,Non_Wetland,Lichens_and_Mosses
438,Bareland,Forest,Water,Non_Wetland,Bareland
439,Bareland,Forest,Water,Non_Wetland,Water
440,Bareland,Forest,Water,Non_Wetland,Forest
441,Built-up,Shrubland,NULL,Non_Wetland,Grassland
442,Built-up,Shrubland,NULL,Non_Wetland,Wetland
443,Built-up,Shrubland,NULL,Non_Wetland,Bareland
444,Built-up,Shrubland,NULL,Non_Wetland,Built-up
445,Built-up,Grassland,NULL,Non_Wetland,Grassland
446,Built-up,Grassland,NULL,Non_Wetland,Wetland
447,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
448,Built-up,Grassland,NULL,Non_Wetland,Bareland
449,Built-up,Grassland,NULL,Non_Wetland,Built-up
450,Built-up,Grassland,NULL,Non_Wetland,Forest
451,Built-up,Wetland,NULL,Wetland,Grassland
452,Built-up,Wetland,NULL,Wetland,Wetland
453,Built-up,Wetland,NULL,Wetland,Lichens_and_Mosses
454,Built-up,Wetland,NULL,Wetland,Bareland
455,Built-up,Wetland,NULL,Wetland,Built-up
456,Built-up,Wetland,NULL,Wetland,Water
457,Built-up,Wetland,NULL,Wetland,Forest
458,Built-up,Wetland,Water,Wetland,Wetland
459,Built-up,Wetland,Water,Wetland,Water
460,Built-up,Wetland,Water,Wetland,Forest
461,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
462,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
463,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
464,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
465,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
466,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
467,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Grassland
468,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Wetland
469,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Bareland
470,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Built-up
471,Built-up,Bareland,NULL,Non_Wetland,Grassland
472,Built-up,Bareland,NULL,Non_Wetland,Wetland
