Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43WFT_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WFT_M_R,SIBERIA_2024_GSW_Yearly_2021_43WFT_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WFT_M_R,SIBERIA_2024_WorldCover_2021_43WFT_M_R
169,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
170,Wetland,NULL,Water,Non_Wetland,Bareland
171,Wetland,NULL,Water,Non_Wetland,Water
172,Wetland,NULL,Water,Non_Wetland,Forest
173,Wetland,Shrubland,NULL,Non_Wetland,Grassland
174,Wetland,Shrubland,NULL,Non_Wetland,Wetland
175,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
176,Wetland,Shrubland,NULL,Non_Wetland,Bareland
177,Wetland,Shrubland,NULL,Non_Wetland,Water
178,Wetland,Shrubland,NULL,Non_Wetland,Forest
179,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
180,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
181,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
182,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
183,Wetland,Shrubland,Non_Water,Non_Wetland,Water
184,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
185,Wetland,Shrubland,Water,Non_Wetland,Grassland
186,Wetland,Shrubland,Water,Non_Wetland,Wetland
187,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
188,Wetland,Shrubland,Water,Non_Wetland,Bareland
189,Wetland,Shrubland,Water,Non_Wetland,Water
190,Wetland,Shrubland,Water,Non_Wetland,Forest
191,Wetland,Grassland,NULL,Non_Wetland,Grassland
192,Wetland,Grassland,NULL,Non_Wetland,Wetland
193,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
194,Wetland,Grassland,NULL,Non_Wetland,Bareland
195,Wetland,Grassland,NULL,Non_Wetland,Water
196,Wetland,Grassland,NULL,Non_Wetland,Forest
197,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
198,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
199,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
200,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
201,Wetland,Grassland,Non_Water,Non_Wetland,Water
202,Wetland,Grassland,Non_Water,Non_Wetland,Forest
203,Wetland,Grassland,Water,Non_Wetland,Grassland
204,Wetland,Grassland,Water,Non_Wetland,Wetland
205,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
206,Wetland,Grassland,Water,Non_Wetland,Bareland
207,Wetland,Grassland,Water,Non_Wetland,Water
208,Wetland,Grassland,Water,Non_Wetland,Forest
209,Wetland,Wetland,NULL,Wetland,Grassland
210,Wetland,Wetland,NULL,Wetland,Wetland
211,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
212,Wetland,Wetland,NULL,Wetland,Bareland
213,Wetland,Wetland,NULL,Wetland,Water
214,Wetland,Wetland,NULL,Wetland,Forest
215,Wetland,Wetland,Non_Water,Wetland,Grassland
216,Wetland,Wetland,Non_Water,Wetland,Wetland
217,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
218,Wetland,Wetland,Non_Water,Wetland,Bareland
219,Wetland,Wetland,Non_Water,Wetland,Water
220,Wetland,Wetland,Non_Water,Wetland,Forest
221,Wetland,Wetland,Water,Wetland,Grassland
222,Wetland,Wetland,Water,Wetland,Wetland
223,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
224,Wetland,Wetland,Water,Wetland,Bareland
225,Wetland,Wetland,Water,Wetland,Water
226,Wetland,Wetland,Water,Wetland,Forest
227,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
228,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
229,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
230,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
231,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
232,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
233,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
234,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
235,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
236,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
237,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
238,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
239,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
240,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
241,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
242,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
243,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
244,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
245,Wetland,Bareland,NULL,Non_Wetland,Grassland
246,Wetland,Bareland,NULL,Non_Wetland,Wetland
247,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
248,Wetland,Bareland,NULL,Non_Wetland,Bareland
249,Wetland,Bareland,NULL,Non_Wetland,Water
250,Wetland,Bareland,NULL,Non_Wetland,Forest
251,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
252,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
253,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
254,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
255,Wetland,Bareland,Non_Water,Non_Wetland,Water
256,Wetland,Bareland,Non_Water,Non_Wetland,Forest
257,Wetland,Bareland,Water,Non_Wetland,Grassland
258,Wetland,Bareland,Water,Non_Wetland,Wetland
259,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
260,Wetland,Bareland,Water,Non_Wetland,Bareland
261,Wetland,Bareland,Water,Non_Wetland,Water
262,Wetland,Bareland,Water,Non_Wetland,Forest
263,Wetland,Built-up,NULL,Non_Wetland,Grassland
264,Wetland,Built-up,NULL,Non_Wetland,Wetland
265,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
266,Wetland,Built-up,NULL,Non_Wetland,Bareland
267,Wetland,Built-up,NULL,Non_Wetland,Water
268,Wetland,Built-up,NULL,Non_Wetland,Forest
269,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
270,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
271,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
272,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
273,Wetland,Built-up,Non_Water,Non_Wetland,Water
274,Wetland,Built-up,Water,Non_Wetland,Grassland
275,Wetland,Built-up,Water,Non_Wetland,Wetland
276,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
277,Wetland,Built-up,Water,Non_Wetland,Bareland
278,Wetland,Built-up,Water,Non_Wetland,Water
279,Wetland,Built-up,Water,Non_Wetland,Forest
280,Wetland,Water,NULL,Water,Grassland
281,Wetland,Water,NULL,Water,Wetland
282,Wetland,Water,NULL,Water,Lichens_and_Mosses
283,Wetland,Water,NULL,Water,Bareland
284,Wetland,Water,NULL,Water,Water
285,Wetland,Water,NULL,Water,Forest
286,Wetland,Water,Non_Water,Water,Grassland
287,Wetland,Water,Non_Water,Water,Wetland
288,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
289,Wetland,Water,Non_Water,Water,Bareland
290,Wetland,Water,Non_Water,Water,Water
291,Wetland,Water,Non_Water,Water,Forest
292,Wetland,Water,Water,Water,Grassland
293,Wetland,Water,Water,Water,Wetland
294,Wetland,Water,Water,Water,Lichens_and_Mosses
295,Wetland,Water,Water,Water,Bareland
296,Wetland,Water,Water,Water,Water
297,Wetland,Water,Water,Water,Forest
298,Wetland,Forest,NULL,Non_Wetland,Grassland
299,Wetland,Forest,NULL,Non_Wetland,Wetland
300,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
301,Wetland,Forest,NULL,Non_Wetland,Bareland
302,Wetland,Forest,NULL,Non_Wetland,Water
303,Wetland,Forest,NULL,Non_Wetland,Forest
304,Wetland,Forest,Non_Water,Non_Wetland,Grassland
305,Wetland,Forest,Non_Water,Non_Wetland,Wetland
306,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
307,Wetland,Forest,Non_Water,Non_Wetland,Bareland
308,Wetland,Forest,Non_Water,Non_Wetland,Water
309,Wetland,Forest,Non_Water,Non_Wetland,Forest
310,Wetland,Forest,Water,Non_Wetland,Grassland
311,Wetland,Forest,Water,Non_Wetland,Wetland
312,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
313,Wetland,Forest,Water,Non_Wetland,Bareland
314,Wetland,Forest,Water,Non_Wetland,Water
315,Wetland,Forest,Water,Non_Wetland,Forest
316,Bareland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
317,Bareland,NULL,NULL,Non_Wetland,Bareland
318,Bareland,NULL,Water,Non_Wetland,Lichens_and_Mosses
319,Bareland,NULL,Water,Non_Wetland,Bareland
320,Bareland,NULL,Water,Non_Wetland,Water
321,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
322,Bareland,Shrubland,NULL,Non_Wetland,Bareland
323,Bareland,Shrubland,NULL,Non_Wetland,Water
324,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
325,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
326,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
327,Bareland,Shrubland,Water,Non_Wetland,Bareland
328,Bareland,Shrubland,Water,Non_Wetland,Water
329,Bareland,Grassland,NULL,Non_Wetland,Grassland
330,Bareland,Grassland,NULL,Non_Wetland,Wetland
331,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
332,Bareland,Grassland,NULL,Non_Wetland,Bareland
333,Bareland,Grassland,Non_Water,Non_Wetland,Wetland
334,Bareland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
335,Bareland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
336,Bareland,Grassland,Water,Non_Wetland,Bareland
337,Bareland,Wetland,NULL,Wetland,Wetland
338,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
339,Bareland,Wetland,NULL,Wetland,Bareland
340,Bareland,Wetland,NULL,Wetland,Water
341,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
342,Bareland,Wetland,Non_Water,Wetland,Bareland
343,Bareland,Wetland,Non_Water,Wetland,Water
344,Bareland,Wetland,Water,Wetland,Wetland
345,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
346,Bareland,Wetland,Water,Wetland,Bareland
347,Bareland,Wetland,Water,Wetland,Water
348,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
349,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
350,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
351,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
352,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
353,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
354,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
355,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
356,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
357,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
358,Bareland,Bareland,NULL,Non_Wetland,Grassland
359,Bareland,Bareland,NULL,Non_Wetland,Wetland
360,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
361,Bareland,Bareland,NULL,Non_Wetland,Bareland
362,Bareland,Bareland,NULL,Non_Wetland,Water
363,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
364,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
365,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
366,Bareland,Bareland,Non_Water,Non_Wetland,Water
367,Bareland,Bareland,Water,Non_Wetland,Grassland
368,Bareland,Bareland,Water,Non_Wetland,Wetland
369,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
370,Bareland,Bareland,Water,Non_Wetland,Bareland
371,Bareland,Bareland,Water,Non_Wetland,Water
372,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
373,Bareland,Built-up,NULL,Non_Wetland,Bareland
374,Bareland,Built-up,NULL,Non_Wetland,Water
375,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
376,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
377,Bareland,Built-up,Non_Water,Non_Wetland,Water
378,Bareland,Built-up,Water,Non_Wetland,Wetland
379,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
380,Bareland,Built-up,Water,Non_Wetland,Bareland
381,Bareland,Built-up,Water,Non_Wetland,Water
382,Bareland,Water,NULL,Water,Wetland
383,Bareland,Water,NULL,Water,Lichens_and_Mosses
384,Bareland,Water,NULL,Water,Bareland
385,Bareland,Water,NULL,Water,Water
386,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
387,Bareland,Water,Non_Water,Water,Bareland
388,Bareland,Water,Water,Water,Wetland
389,Bareland,Water,Water,Water,Lichens_and_Mosses
390,Bareland,Water,Water,Water,Bareland
391,Bareland,Water,Water,Water,Water
392,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
393,Bareland,Forest,NULL,Non_Wetland,Bareland
394,Bareland,Forest,Water,Non_Wetland,Lichens_and_Mosses
395,Bareland,Forest,Water,Non_Wetland,Water
396,Built-up,Grassland,NULL,Non_Wetland,Grassland
397,Built-up,Grassland,NULL,Non_Wetland,Wetland
398,Built-up,Bareland,NULL,Non_Wetland,Grassland
399,Built-up,Bareland,NULL,Non_Wetland,Wetland
400,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
401,Water,NULL,NULL,Non_Wetland,Grassland
402,Water,NULL,NULL,Non_Wetland,Wetland
403,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
404,Water,NULL,NULL,Non_Wetland,Bareland
405,Water,NULL,NULL,Non_Wetland,Water
406,Water,NULL,NULL,Non_Wetland,Forest
407,Water,NULL,Non_Water,Non_Wetland,Grassland
408,Water,NULL,Non_Water,Non_Wetland,Wetland
409,Water,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
410,Water,NULL,Non_Water,Non_Wetland,Water
411,Water,NULL,Water,Non_Wetland,Grassland
412,Water,NULL,Water,Non_Wetland,Wetland
413,Water,NULL,Water,Non_Wetland,Lichens_and_Mosses
414,Water,NULL,Water,Non_Wetland,Bareland
415,Water,NULL,Water,Non_Wetland,Water
416,Water,NULL,Water,Non_Wetland,Forest
417,Water,Shrubland,NULL,Non_Wetland,Grassland
418,Water,Shrubland,NULL,Non_Wetland,Wetland
419,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
420,Water,Shrubland,NULL,Non_Wetland,Bareland
421,Water,Shrubland,NULL,Non_Wetland,Water
422,Water,Shrubland,NULL,Non_Wetland,Forest
423,Water,Shrubland,Non_Water,Non_Wetland,Grassland
424,Water,Shrubland,Non_Water,Non_Wetland,Wetland
425,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
426,Water,Shrubland,Non_Water,Non_Wetland,Bareland
427,Water,Shrubland,Non_Water,Non_Wetland,Water
428,Water,Shrubland,Non_Water,Non_Wetland,Forest
429,Water,Shrubland,Water,Non_Wetland,Grassland
430,Water,Shrubland,Water,Non_Wetland,Wetland
431,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
432,Water,Shrubland,Water,Non_Wetland,Bareland
433,Water,Shrubland,Water,Non_Wetland,Water
434,Water,Shrubland,Water,Non_Wetland,Forest
435,Water,Grassland,NULL,Non_Wetland,Grassland
436,Water,Grassland,NULL,Non_Wetland,Wetland
437,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
438,Water,Grassland,NULL,Non_Wetland,Bareland
439,Water,Grassland,NULL,Non_Wetland,Water
440,Water,Grassland,NULL,Non_Wetland,Forest
441,Water,Grassland,Non_Water,Non_Wetland,Grassland
442,Water,Grassland,Non_Water,Non_Wetland,Wetland
443,Water,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
444,Water,Grassland,Non_Water,Non_Wetland,Bareland
445,Water,Grassland,Non_Water,Non_Wetland,Water
446,Water,Grassland,Non_Water,Non_Wetland,Forest
447,Water,Grassland,Water,Non_Wetland,Grassland
448,Water,Grassland,Water,Non_Wetland,Wetland
449,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
450,Water,Grassland,Water,Non_Wetland,Bareland
451,Water,Grassland,Water,Non_Wetland,Water
452,Water,Grassland,Water,Non_Wetland,Forest
453,Water,Wetland,NULL,Wetland,Grassland
454,Water,Wetland,NULL,Wetland,Wetland
455,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
456,Water,Wetland,NULL,Wetland,Bareland
457,Water,Wetland,NULL,Wetland,Water
458,Water,Wetland,NULL,Wetland,Forest
459,Water,Wetland,Non_Water,Wetland,Grassland
460,Water,Wetland,Non_Water,Wetland,Wetland
461,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
462,Water,Wetland,Non_Water,Wetland,Bareland
463,Water,Wetland,Non_Water,Wetland,Water
464,Water,Wetland,Water,Wetland,Grassland
465,Water,Wetland,Water,Wetland,Wetland
466,Water,Wetland,Water,Wetland,Lichens_and_Mosses
467,Water,Wetland,Water,Wetland,Bareland
468,Water,Wetland,Water,Wetland,Water
469,Water,Wetland,Water,Wetland,Forest
