Value,SIBERIA_2024_ESA_CALU_2024_42WVA_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WVA_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WVA_M_R,SIBERIA_2024_GSW_Yearly_2021_42WVA_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WVA_M_R,SIBERIA_2024_WorldCover_2021_42WVA_M_R
114,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
115,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Built-up
116,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
117,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
118,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
119,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
120,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
121,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
122,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
123,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
124,NULL,NULL,Bareland,NULL,Non_Wetland,Water
125,NULL,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
126,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
127,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
128,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
129,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
130,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
131,NULL,NULL,Bareland,Non_Water,Non_Wetland,Built-up
132,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
133,NULL,NULL,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
134,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
135,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
136,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
137,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
138,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
139,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
140,NULL,NULL,Bareland,Water,Non_Wetland,Water
141,NULL,NULL,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
142,NULL,NULL,Bareland,Water,Non_Wetland,Forest
143,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
144,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
145,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
146,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
147,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
148,NULL,NULL,Built-up,NULL,Non_Wetland,Water
149,NULL,NULL,Built-up,NULL,Non_Wetland,Permanent_ice_and_snow
150,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
151,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
152,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
153,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
154,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
155,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
156,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
157,NULL,NULL,Built-up,Non_Water,Non_Wetland,Permanent_ice_and_snow
158,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
159,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
160,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
161,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
162,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
163,NULL,NULL,Built-up,Water,Non_Wetland,Water
164,NULL,NULL,Built-up,Water,Non_Wetland,Permanent_ice_and_snow
165,NULL,NULL,Built-up,Water,Non_Wetland,Forest
166,NULL,NULL,Water,NULL,NULL,Wetland
167,NULL,NULL,Water,NULL,NULL,Lichens_and_Mosses
168,NULL,NULL,Water,NULL,NULL,Bareland
169,NULL,NULL,Water,NULL,NULL,Water
170,NULL,NULL,Water,NULL,Water,Grassland
171,NULL,NULL,Water,NULL,Water,Wetland
172,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
173,NULL,NULL,Water,NULL,Water,Bareland
174,NULL,NULL,Water,NULL,Water,Built-up
175,NULL,NULL,Water,NULL,Water,Water
176,NULL,NULL,Water,NULL,Water,Permanent_ice_and_snow
177,NULL,NULL,Water,NULL,Water,Forest
178,NULL,NULL,Water,Non_Water,NULL,Bareland
179,NULL,NULL,Water,Non_Water,NULL,Water
180,NULL,NULL,Water,Non_Water,Water,Grassland
181,NULL,NULL,Water,Non_Water,Water,Wetland
182,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
183,NULL,NULL,Water,Non_Water,Water,Bareland
184,NULL,NULL,Water,Non_Water,Water,Built-up
185,NULL,NULL,Water,Non_Water,Water,Water
186,NULL,NULL,Water,Non_Water,Water,Permanent_ice_and_snow
187,NULL,NULL,Water,Non_Water,Water,Forest
188,NULL,NULL,Water,Water,NULL,Wetland
189,NULL,NULL,Water,Water,NULL,Bareland
190,NULL,NULL,Water,Water,NULL,Water
191,NULL,NULL,Water,Water,Water,Grassland
192,NULL,NULL,Water,Water,Water,Wetland
193,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
194,NULL,NULL,Water,Water,Water,Bareland
195,NULL,NULL,Water,Water,Water,Built-up
196,NULL,NULL,Water,Water,Water,Water
197,NULL,NULL,Water,Water,Water,Permanent_ice_and_snow
198,NULL,NULL,Water,Water,Water,Forest
199,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
200,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
201,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
202,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Water
203,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Permanent_ice_and_snow
204,NULL,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Grassland
205,NULL,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Lichens_and_Mosses
206,NULL,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Bareland
207,NULL,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Water
208,NULL,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Permanent_ice_and_snow
209,NULL,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Grassland
210,NULL,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Lichens_and_Mosses
211,NULL,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Bareland
212,NULL,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Water
213,NULL,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Permanent_ice_and_snow
214,NULL,NULL,Forest,NULL,Non_Wetland,NULL
215,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
216,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
217,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
218,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
219,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
220,NULL,NULL,Forest,NULL,Non_Wetland,Water
221,NULL,NULL,Forest,NULL,Non_Wetland,Permanent_ice_and_snow
222,NULL,NULL,Forest,NULL,Non_Wetland,Forest
223,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
224,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
225,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
226,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
227,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up
228,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
229,NULL,NULL,Forest,Non_Water,Non_Wetland,Permanent_ice_and_snow
230,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
231,NULL,NULL,Forest,Water,Non_Wetland,Grassland
232,NULL,NULL,Forest,Water,Non_Wetland,Wetland
233,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
234,NULL,NULL,Forest,Water,Non_Wetland,Bareland
235,NULL,NULL,Forest,Water,Non_Wetland,Water
236,NULL,NULL,Forest,Water,Non_Wetland,Forest
237,Shrubland,NULL,NULL,NULL,Non_Wetland,Grassland
238,Shrubland,NULL,NULL,NULL,Non_Wetland,Wetland
239,Shrubland,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
240,Shrubland,NULL,NULL,NULL,Non_Wetland,Water
241,Shrubland,NULL,NULL,Non_Water,Non_Wetland,Grassland
242,Shrubland,NULL,NULL,Non_Water,Non_Wetland,Wetland
243,Shrubland,NULL,NULL,Non_Water,Non_Wetland,Water
244,Shrubland,NULL,NULL,Water,Non_Wetland,Grassland
245,Shrubland,NULL,NULL,Water,Non_Wetland,Wetland
246,Shrubland,NULL,NULL,Water,Non_Wetland,Water
247,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Grassland
248,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Wetland
249,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
250,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Bareland
251,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Water
252,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Forest
253,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
254,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
255,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
256,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Water
257,Shrubland,NULL,Shrubland,Water,Non_Wetland,Grassland
258,Shrubland,NULL,Shrubland,Water,Non_Wetland,Wetland
259,Shrubland,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
260,Shrubland,NULL,Shrubland,Water,Non_Wetland,Bareland
261,Shrubland,NULL,Shrubland,Water,Non_Wetland,Water
262,Shrubland,NULL,Shrubland,Water,Non_Wetland,Forest
263,Shrubland,NULL,Grassland,NULL,Non_Wetland,Grassland
264,Shrubland,NULL,Grassland,NULL,Non_Wetland,Wetland
265,Shrubland,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
266,Shrubland,NULL,Grassland,NULL,Non_Wetland,Bareland
267,Shrubland,NULL,Grassland,NULL,Non_Wetland,Water
268,Shrubland,NULL,Grassland,NULL,Non_Wetland,Forest
269,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
270,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
271,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Water
272,Shrubland,NULL,Grassland,Water,Non_Wetland,Grassland
273,Shrubland,NULL,Grassland,Water,Non_Wetland,Wetland
274,Shrubland,NULL,Grassland,Water,Non_Wetland,Water
275,Shrubland,NULL,Wetland,NULL,NULL,Wetland
276,Shrubland,NULL,Wetland,NULL,Wetland,Grassland
277,Shrubland,NULL,Wetland,NULL,Wetland,Wetland
278,Shrubland,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
279,Shrubland,NULL,Wetland,NULL,Wetland,Water
280,Shrubland,NULL,Wetland,NULL,Wetland,Forest
281,Shrubland,NULL,Wetland,Non_Water,Wetland,Grassland
282,Shrubland,NULL,Wetland,Non_Water,Wetland,Wetland
283,Shrubland,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
284,Shrubland,NULL,Wetland,Non_Water,Wetland,Water
285,Shrubland,NULL,Wetland,Water,Wetland,Grassland
286,Shrubland,NULL,Wetland,Water,Wetland,Wetland
287,Shrubland,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
288,Shrubland,NULL,Wetland,Water,Wetland,Bareland
289,Shrubland,NULL,Wetland,Water,Wetland,Water
290,Shrubland,NULL,Wetland,Water,Wetland,Forest
291,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
292,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
293,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
294,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
295,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
296,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
297,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
298,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
299,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
300,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
301,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
302,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
303,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
304,Shrubland,NULL,Bareland,NULL,Non_Wetland,Grassland
305,Shrubland,NULL,Bareland,NULL,Non_Wetland,Wetland
306,Shrubland,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
307,Shrubland,NULL,Bareland,NULL,Non_Wetland,Bareland
308,Shrubland,NULL,Bareland,NULL,Non_Wetland,Water
309,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
310,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
311,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
312,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Water
313,Shrubland,NULL,Bareland,Water,Non_Wetland,Grassland
314,Shrubland,NULL,Bareland,Water,Non_Wetland,Wetland
315,Shrubland,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
316,Shrubland,NULL,Bareland,Water,Non_Wetland,Bareland
317,Shrubland,NULL,Bareland,Water,Non_Wetland,Water
318,Shrubland,NULL,Built-up,NULL,Non_Wetland,Grassland
319,Shrubland,NULL,Built-up,NULL,Non_Wetland,Wetland
320,Shrubland,NULL,Water,NULL,Water,Grassland
321,Shrubland,NULL,Water,NULL,Water,Wetland
322,Shrubland,NULL,Water,NULL,Water,Lichens_and_Mosses
323,Shrubland,NULL,Water,NULL,Water,Water
324,Shrubland,NULL,Water,Non_Water,Water,Grassland
325,Shrubland,NULL,Water,Non_Water,Water,Wetland
326,Shrubland,NULL,Water,Non_Water,Water,Lichens_and_Mosses
327,Shrubland,NULL,Water,Non_Water,Water,Water
328,Shrubland,NULL,Water,Water,Water,Grassland
329,Shrubland,NULL,Water,Water,Water,Wetland
330,Shrubland,NULL,Water,Water,Water,Lichens_and_Mosses
331,Shrubland,NULL,Water,Water,Water,Water
332,Shrubland,NULL,Forest,NULL,Non_Wetland,Grassland
333,Shrubland,NULL,Forest,NULL,Non_Wetland,Wetland
334,Shrubland,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
335,Shrubland,NULL,Forest,NULL,Non_Wetland,Bareland
336,Shrubland,NULL,Forest,NULL,Non_Wetland,Water
337,Shrubland,NULL,Forest,NULL,Non_Wetland,Forest
338,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Grassland
339,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Wetland
340,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
341,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Water
342,Shrubland,NULL,Forest,Water,Non_Wetland,Grassland
343,Shrubland,NULL,Forest,Water,Non_Wetland,Wetland
344,Shrubland,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
345,Shrubland,NULL,Forest,Water,Non_Wetland,Water
346,Shrubland,NULL,Forest,Water,Non_Wetland,Forest
347,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
348,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
349,Wetland,NULL,NULL,NULL,Non_Wetland,Water
350,Wetland,NULL,NULL,Non_Water,Non_Wetland,Wetland
351,Wetland,NULL,NULL,Water,Non_Wetland,Wetland
352,Wetland,NULL,NULL,Water,Non_Wetland,Water
353,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
354,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
355,Wetland,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
356,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water
357,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
358,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
359,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
360,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Water
361,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
362,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
363,Wetland,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
364,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
365,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
366,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
367,Wetland,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
368,Wetland,NULL,Grassland,NULL,Non_Wetland,Water
369,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
370,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
371,Wetland,NULL,Grassland,Water,Non_Wetland,Wetland
372,Wetland,NULL,Grassland,Water,Non_Wetland,Water
373,Wetland,NULL,Wetland,NULL,Wetland,Grassland
374,Wetland,NULL,Wetland,NULL,Wetland,Wetland
375,Wetland,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
376,Wetland,NULL,Wetland,NULL,Wetland,Bareland
377,Wetland,NULL,Wetland,NULL,Wetland,Water
378,Wetland,NULL,Wetland,NULL,Wetland,Forest
379,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
380,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
381,Wetland,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
382,Wetland,NULL,Wetland,Non_Water,Wetland,Water
383,Wetland,NULL,Wetland,Water,Wetland,Grassland
384,Wetland,NULL,Wetland,Water,Wetland,Wetland
385,Wetland,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
386,Wetland,NULL,Wetland,Water,Wetland,Bareland
387,Wetland,NULL,Wetland,Water,Wetland,Water
388,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
389,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
390,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
391,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
392,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
393,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
394,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
395,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
396,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
397,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
398,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
399,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
400,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
401,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
