Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WPS_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WPS_M_R,SIBERIA_2024_GSW_Yearly_2021_44WPS_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WPS_M_R,SIBERIA_2024_WorldCover_2021_44WPS_M_R
267,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
268,Bareland,Bareland,NULL,Non_Wetland,Bareland
269,Bareland,Bareland,NULL,Non_Wetland,Forest
270,Bareland,Bareland,Water,Non_Wetland,Grassland
271,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
272,Bareland,Bareland,Water,Non_Wetland,Bareland
273,Bareland,Bareland,Water,Non_Wetland,Water
274,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
275,Bareland,Built-up,NULL,Non_Wetland,Bareland
276,Bareland,Water,NULL,Water,Forest
277,Bareland,Water,Water,Water,Grassland
278,Bareland,Water,Water,Water,Lichens_and_Mosses
279,Bareland,Water,Water,Water,Bareland
280,Bareland,Water,Water,Water,Water
281,Bareland,Water,Water,Water,Forest
282,Bareland,Forest,NULL,Non_Wetland,Grassland
283,Bareland,Forest,NULL,Non_Wetland,Water
284,Bareland,Forest,NULL,Non_Wetland,Forest
285,Bareland,Forest,Non_Water,Non_Wetland,Forest
286,Built-up,Wetland,NULL,Wetland,Forest
287,Built-up,Bareland,NULL,Non_Wetland,Wetland
288,Built-up,Bareland,NULL,Non_Wetland,Forest
289,Water,NULL,NULL,Non_Wetland,Grassland
290,Water,NULL,NULL,Non_Wetland,Wetland
291,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
292,Water,NULL,NULL,Non_Wetland,Water
293,Water,NULL,NULL,Non_Wetland,Forest
294,Water,NULL,Non_Water,Non_Wetland,Grassland
295,Water,NULL,Non_Water,Non_Wetland,Wetland
296,Water,NULL,Non_Water,Non_Wetland,Water
297,Water,NULL,Non_Water,Non_Wetland,Forest
298,Water,NULL,Water,Non_Wetland,Grassland
299,Water,NULL,Water,Non_Wetland,Wetland
300,Water,NULL,Water,Non_Wetland,Water
301,Water,NULL,Water,Non_Wetland,Forest
302,Water,Shrubland,NULL,Non_Wetland,Grassland
303,Water,Shrubland,NULL,Non_Wetland,Wetland
304,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
305,Water,Shrubland,NULL,Non_Wetland,Water
306,Water,Shrubland,NULL,Non_Wetland,Forest
307,Water,Shrubland,Non_Water,Non_Wetland,Wetland
308,Water,Shrubland,Non_Water,Non_Wetland,Water
309,Water,Shrubland,Water,Non_Wetland,Wetland
310,Water,Shrubland,Water,Non_Wetland,Bareland
311,Water,Shrubland,Water,Non_Wetland,Water
312,Water,Shrubland,Water,Non_Wetland,Forest
313,Water,Grassland,NULL,Non_Wetland,Grassland
314,Water,Grassland,NULL,Non_Wetland,Forest
315,Water,Wetland,NULL,Wetland,Grassland
316,Water,Wetland,NULL,Wetland,Wetland
317,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
318,Water,Wetland,NULL,Wetland,Bareland
319,Water,Wetland,NULL,Wetland,Water
320,Water,Wetland,NULL,Wetland,Forest
321,Water,Wetland,Non_Water,Wetland,Grassland
322,Water,Wetland,Non_Water,Wetland,Wetland
323,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
324,Water,Wetland,Non_Water,Wetland,Bareland
325,Water,Wetland,Non_Water,Wetland,Water
326,Water,Wetland,Non_Water,Wetland,Forest
327,Water,Wetland,Water,Wetland,Grassland
328,Water,Wetland,Water,Wetland,Wetland
329,Water,Wetland,Water,Wetland,Lichens_and_Mosses
330,Water,Wetland,Water,Wetland,Bareland
331,Water,Wetland,Water,Wetland,Water
332,Water,Wetland,Water,Wetland,Forest
333,Water,Lichens_and_Mosses,Water,Non_Wetland,Forest
334,Water,Bareland,NULL,Non_Wetland,Grassland
335,Water,Bareland,NULL,Non_Wetland,Wetland
336,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
337,Water,Bareland,NULL,Non_Wetland,Bareland
338,Water,Bareland,NULL,Non_Wetland,Water
339,Water,Bareland,NULL,Non_Wetland,Forest
340,Water,Bareland,Non_Water,Non_Wetland,Wetland
341,Water,Bareland,Non_Water,Non_Wetland,Bareland
342,Water,Bareland,Non_Water,Non_Wetland,Water
343,Water,Bareland,Non_Water,Non_Wetland,Forest
344,Water,Bareland,Water,Non_Wetland,Grassland
345,Water,Bareland,Water,Non_Wetland,Wetland
346,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
347,Water,Bareland,Water,Non_Wetland,Bareland
348,Water,Bareland,Water,Non_Wetland,Water
349,Water,Bareland,Water,Non_Wetland,Forest
350,Water,Built-up,NULL,Non_Wetland,Grassland
351,Water,Built-up,NULL,Non_Wetland,Wetland
352,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
353,Water,Built-up,NULL,Non_Wetland,Bareland
354,Water,Built-up,NULL,Non_Wetland,Water
355,Water,Built-up,NULL,Non_Wetland,Forest
356,Water,Built-up,Water,Non_Wetland,Water
357,Water,Water,NULL,Water,Grassland
358,Water,Water,NULL,Water,Wetland
359,Water,Water,NULL,Water,Lichens_and_Mosses
360,Water,Water,NULL,Water,Bareland
361,Water,Water,NULL,Water,Water
362,Water,Water,NULL,Water,Forest
363,Water,Water,Non_Water,Water,Grassland
364,Water,Water,Non_Water,Water,Wetland
365,Water,Water,Non_Water,Water,Water
366,Water,Water,Non_Water,Water,Forest
367,Water,Water,Water,Water,Grassland
368,Water,Water,Water,Water,Wetland
369,Water,Water,Water,Water,Lichens_and_Mosses
370,Water,Water,Water,Water,Bareland
371,Water,Water,Water,Water,Water
372,Water,Water,Water,Water,Forest
373,Water,Forest,NULL,Non_Wetland,Grassland
374,Water,Forest,NULL,Non_Wetland,Wetland
375,Water,Forest,NULL,Non_Wetland,Lichens_and_Mosses
376,Water,Forest,NULL,Non_Wetland,Bareland
377,Water,Forest,NULL,Non_Wetland,Water
378,Water,Forest,NULL,Non_Wetland,Forest
379,Water,Forest,Non_Water,Non_Wetland,Grassland
380,Water,Forest,Non_Water,Non_Wetland,Wetland
381,Water,Forest,Non_Water,Non_Wetland,Water
382,Water,Forest,Non_Water,Non_Wetland,Forest
383,Water,Forest,Water,Non_Wetland,Grassland
384,Water,Forest,Water,Non_Wetland,Wetland
385,Water,Forest,Water,Non_Wetland,Water
386,Water,Forest,Water,Non_Wetland,Forest
387,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
388,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
389,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
390,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
391,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Grassland
392,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Wetland
393,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Forest
394,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Grassland
395,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Wetland
396,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Water
397,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
398,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
399,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
400,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
401,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
402,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
403,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
404,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
405,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
406,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
407,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
408,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Grassland
409,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
410,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
411,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
412,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
413,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
414,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Forest
415,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
416,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
417,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
418,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
419,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
420,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
421,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
422,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
423,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
424,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
425,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
426,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
427,Permanent_ice_and_snow,Water,NULL,Water,Wetland
428,Permanent_ice_and_snow,Water,NULL,Water,Water
429,Permanent_ice_and_snow,Water,NULL,Water,Forest
430,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
431,Permanent_ice_and_snow,Water,Water,Water,Wetland
432,Permanent_ice_and_snow,Water,Water,Water,Water
433,Permanent_ice_and_snow,Water,Water,Water,Forest
434,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,NULL
435,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
436,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
437,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
438,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
439,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Grassland
440,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Wetland
441,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
442,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
443,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
444,Forest,NULL,NULL,Non_Wetland,NULL
445,Forest,NULL,NULL,Non_Wetland,Grassland
446,Forest,NULL,NULL,Non_Wetland,Wetland
447,Forest,NULL,NULL,Non_Wetland,Water
448,Forest,NULL,NULL,Non_Wetland,Forest
449,Forest,NULL,Non_Water,Non_Wetland,Grassland
450,Forest,NULL,Non_Water,Non_Wetland,Wetland
451,Forest,NULL,Non_Water,Non_Wetland,Water
452,Forest,NULL,Non_Water,Non_Wetland,Forest
453,Forest,NULL,Water,Non_Wetland,Grassland
454,Forest,NULL,Water,Non_Wetland,Wetland
455,Forest,NULL,Water,Non_Wetland,Water
456,Forest,NULL,Water,Non_Wetland,Forest
457,Forest,Shrubland,NULL,Non_Wetland,NULL
458,Forest,Shrubland,NULL,Non_Wetland,Grassland
459,Forest,Shrubland,NULL,Non_Wetland,Wetland
460,Forest,Shrubland,NULL,Non_Wetland,Water
461,Forest,Shrubland,NULL,Non_Wetland,Forest
462,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
463,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
464,Forest,Shrubland,Non_Water,Non_Wetland,Forest
465,Forest,Shrubland,Water,Non_Wetland,Grassland
466,Forest,Shrubland,Water,Non_Wetland,Wetland
467,Forest,Shrubland,Water,Non_Wetland,Bareland
468,Forest,Shrubland,Water,Non_Wetland,Water
469,Forest,Shrubland,Water,Non_Wetland,Forest
470,Forest,Grassland,NULL,Non_Wetland,NULL
471,Forest,Grassland,NULL,Non_Wetland,Grassland
472,Forest,Grassland,NULL,Non_Wetland,Wetland
473,Forest,Grassland,NULL,Non_Wetland,Forest
474,Forest,Grassland,Non_Water,Non_Wetland,Grassland
475,Forest,Grassland,Non_Water,Non_Wetland,Forest
476,Forest,Grassland,Water,Non_Wetland,Grassland
477,Forest,Grassland,Water,Non_Wetland,Forest
478,Forest,Cropland,NULL,Non_Wetland,Grassland
479,Forest,Cropland,NULL,Non_Wetland,Wetland
480,Forest,Cropland,NULL,Non_Wetland,Forest
481,Forest,Wetland,NULL,Wetland,NULL
482,Forest,Wetland,NULL,Wetland,Grassland
483,Forest,Wetland,NULL,Wetland,Wetland
484,Forest,Wetland,NULL,Wetland,Water
485,Forest,Wetland,NULL,Wetland,Forest
486,Forest,Wetland,Non_Water,Wetland,Grassland
