Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VVQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VVQ_M_R,SIBERIA_2024_GSW_Yearly_2021_42VVQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VVQ_M_R,SIBERIA_2024_WorldCover_2021_42VVQ_M_R
259,Wetland,Wetland,Non_Water,Wetland,Grassland
260,Wetland,Wetland,Non_Water,Wetland,Wetland
261,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
262,Wetland,Wetland,Non_Water,Wetland,Bareland
263,Wetland,Wetland,Non_Water,Wetland,Water
264,Wetland,Wetland,Non_Water,Wetland,Forest
265,Wetland,Wetland,Water,Wetland,NULL
266,Wetland,Wetland,Water,Wetland,Grassland
267,Wetland,Wetland,Water,Wetland,Wetland
268,Wetland,Wetland,Water,Wetland,Bareland
269,Wetland,Wetland,Water,Wetland,Water
270,Wetland,Wetland,Water,Wetland,Forest
271,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
272,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
273,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
274,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
275,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
276,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
277,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
278,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
279,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
280,Wetland,Bareland,NULL,Non_Wetland,NULL
281,Wetland,Bareland,NULL,Non_Wetland,Grassland
282,Wetland,Bareland,NULL,Non_Wetland,Wetland
283,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
284,Wetland,Bareland,NULL,Non_Wetland,Bareland
285,Wetland,Bareland,NULL,Non_Wetland,Water
286,Wetland,Bareland,NULL,Non_Wetland,Forest
287,Wetland,Bareland,Non_Water,Non_Wetland,NULL
288,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
289,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
290,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
291,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
292,Wetland,Bareland,Non_Water,Non_Wetland,Water
293,Wetland,Bareland,Non_Water,Non_Wetland,Forest
294,Wetland,Bareland,Water,Non_Wetland,Grassland
295,Wetland,Bareland,Water,Non_Wetland,Wetland
296,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
297,Wetland,Bareland,Water,Non_Wetland,Water
298,Wetland,Bareland,Water,Non_Wetland,Forest
299,Wetland,Built-up,NULL,Non_Wetland,NULL
300,Wetland,Built-up,NULL,Non_Wetland,Bareland
301,Wetland,Built-up,NULL,Non_Wetland,Forest
302,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
303,Wetland,Built-up,Water,Non_Wetland,Built-up
304,Wetland,Water,NULL,Water,NULL
305,Wetland,Water,NULL,Water,Grassland
306,Wetland,Water,NULL,Water,Wetland
307,Wetland,Water,NULL,Water,Water
308,Wetland,Water,NULL,Water,Forest
309,Wetland,Water,Non_Water,Water,NULL
310,Wetland,Water,Non_Water,Water,Grassland
311,Wetland,Water,Non_Water,Water,Wetland
312,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
313,Wetland,Water,Non_Water,Water,Water
314,Wetland,Water,Non_Water,Water,Forest
315,Wetland,Water,Water,Water,NULL
316,Wetland,Water,Water,Water,Grassland
317,Wetland,Water,Water,Water,Wetland
318,Wetland,Water,Water,Water,Lichens_and_Mosses
319,Wetland,Water,Water,Water,Water
320,Wetland,Water,Water,Water,Forest
321,Wetland,Forest,NULL,Non_Wetland,NULL
322,Wetland,Forest,NULL,Non_Wetland,Grassland
323,Wetland,Forest,NULL,Non_Wetland,Wetland
324,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
325,Wetland,Forest,NULL,Non_Wetland,Bareland
326,Wetland,Forest,NULL,Non_Wetland,Water
327,Wetland,Forest,NULL,Non_Wetland,Forest
328,Wetland,Forest,Non_Water,Non_Wetland,NULL
329,Wetland,Forest,Non_Water,Non_Wetland,Grassland
330,Wetland,Forest,Non_Water,Non_Wetland,Wetland
331,Wetland,Forest,Non_Water,Non_Wetland,Water
332,Wetland,Forest,Non_Water,Non_Wetland,Forest
333,Wetland,Forest,Water,Non_Wetland,NULL
334,Wetland,Forest,Water,Non_Wetland,Grassland
335,Wetland,Forest,Water,Non_Wetland,Wetland
336,Wetland,Forest,Water,Non_Wetland,Water
337,Wetland,Forest,Water,Non_Wetland,Forest
338,Bareland,NULL,NULL,Non_Wetland,Grassland
339,Bareland,NULL,NULL,Non_Wetland,Bareland
340,Bareland,NULL,NULL,Non_Wetland,Water
341,Bareland,NULL,NULL,Non_Wetland,Forest
342,Bareland,NULL,Water,Non_Wetland,Bareland
343,Bareland,NULL,Water,Non_Wetland,Water
344,Bareland,NULL,Water,Non_Wetland,Forest
345,Bareland,Shrubland,NULL,Non_Wetland,NULL
346,Bareland,Shrubland,NULL,Non_Wetland,Grassland
347,Bareland,Shrubland,NULL,Non_Wetland,Wetland
348,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
349,Bareland,Shrubland,NULL,Non_Wetland,Bareland
350,Bareland,Shrubland,NULL,Non_Wetland,Built-up
351,Bareland,Shrubland,NULL,Non_Wetland,Water
352,Bareland,Shrubland,NULL,Non_Wetland,Forest
353,Bareland,Shrubland,Water,Non_Wetland,Water
354,Bareland,Grassland,NULL,Non_Wetland,Grassland
355,Bareland,Grassland,NULL,Non_Wetland,Bareland
356,Bareland,Grassland,NULL,Non_Wetland,Built-up
357,Bareland,Cropland,NULL,Non_Wetland,Grassland
358,Bareland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
359,Bareland,Cropland,NULL,Non_Wetland,Bareland
360,Bareland,Cropland,NULL,Non_Wetland,Built-up
361,Bareland,Cropland,NULL,Non_Wetland,Water
362,Bareland,Cropland,NULL,Non_Wetland,Forest
363,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
364,Bareland,Cropland,Water,Non_Wetland,Bareland
365,Bareland,Cropland,Water,Non_Wetland,Water
366,Bareland,Wetland,NULL,Wetland,NULL
367,Bareland,Wetland,NULL,Wetland,Grassland
368,Bareland,Wetland,NULL,Wetland,Wetland
369,Bareland,Wetland,NULL,Wetland,Bareland
370,Bareland,Wetland,NULL,Wetland,Built-up
371,Bareland,Wetland,NULL,Wetland,Water
372,Bareland,Wetland,NULL,Wetland,Forest
373,Bareland,Wetland,Non_Water,Wetland,Bareland
374,Bareland,Wetland,Non_Water,Wetland,Water
375,Bareland,Wetland,Non_Water,Wetland,Forest
376,Bareland,Wetland,Water,Wetland,Grassland
377,Bareland,Wetland,Water,Wetland,Wetland
378,Bareland,Wetland,Water,Wetland,Water
379,Bareland,Wetland,Water,Wetland,Forest
380,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
381,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
382,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
383,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
384,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
385,Bareland,Bareland,NULL,Non_Wetland,NULL
386,Bareland,Bareland,NULL,Non_Wetland,Grassland
387,Bareland,Bareland,NULL,Non_Wetland,Wetland
388,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
389,Bareland,Bareland,NULL,Non_Wetland,Bareland
390,Bareland,Bareland,NULL,Non_Wetland,Built-up
391,Bareland,Bareland,NULL,Non_Wetland,Water
392,Bareland,Bareland,NULL,Non_Wetland,Forest
393,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
394,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
395,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
396,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
397,Bareland,Bareland,Non_Water,Non_Wetland,Water
398,Bareland,Bareland,Non_Water,Non_Wetland,Forest
399,Bareland,Bareland,Water,Non_Wetland,Grassland
400,Bareland,Bareland,Water,Non_Wetland,Bareland
401,Bareland,Bareland,Water,Non_Wetland,Built-up
402,Bareland,Bareland,Water,Non_Wetland,Water
403,Bareland,Bareland,Water,Non_Wetland,Forest
404,Bareland,Built-up,NULL,Non_Wetland,Grassland
405,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
406,Bareland,Built-up,NULL,Non_Wetland,Bareland
407,Bareland,Built-up,NULL,Non_Wetland,Built-up
408,Bareland,Built-up,NULL,Non_Wetland,Forest
409,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
410,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
411,Bareland,Built-up,Non_Water,Non_Wetland,Water
412,Bareland,Built-up,Non_Water,Non_Wetland,Forest
413,Bareland,Built-up,Water,Non_Wetland,Bareland
414,Bareland,Water,NULL,Water,Grassland
415,Bareland,Water,NULL,Water,Bareland
416,Bareland,Water,NULL,Water,Water
417,Bareland,Water,NULL,Water,Forest
418,Bareland,Water,Non_Water,Water,Water
419,Bareland,Water,Non_Water,Water,Forest
420,Bareland,Water,Water,Water,Wetland
421,Bareland,Water,Water,Water,Bareland
422,Bareland,Water,Water,Water,Water
423,Bareland,Water,Water,Water,Forest
424,Bareland,Forest,NULL,Non_Wetland,Grassland
425,Bareland,Forest,NULL,Non_Wetland,Wetland
426,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
427,Bareland,Forest,NULL,Non_Wetland,Bareland
428,Bareland,Forest,NULL,Non_Wetland,Built-up
429,Bareland,Forest,NULL,Non_Wetland,Water
430,Bareland,Forest,NULL,Non_Wetland,Forest
431,Bareland,Forest,Non_Water,Non_Wetland,Bareland
432,Bareland,Forest,Non_Water,Non_Wetland,Forest
433,Bareland,Forest,Water,Non_Wetland,Water
434,Bareland,Forest,Water,Non_Wetland,Forest
435,Built-up,NULL,NULL,Non_Wetland,Grassland
436,Built-up,NULL,NULL,Non_Wetland,Lichens_and_Mosses
437,Built-up,NULL,NULL,Non_Wetland,Bareland
438,Built-up,NULL,NULL,Non_Wetland,Built-up
439,Built-up,NULL,NULL,Non_Wetland,Water
440,Built-up,NULL,NULL,Non_Wetland,Forest
441,Built-up,Shrubland,NULL,Non_Wetland,Grassland
442,Built-up,Shrubland,NULL,Non_Wetland,Wetland
443,Built-up,Shrubland,NULL,Non_Wetland,Bareland
444,Built-up,Shrubland,NULL,Non_Wetland,Built-up
445,Built-up,Shrubland,NULL,Non_Wetland,Water
446,Built-up,Shrubland,NULL,Non_Wetland,Forest
447,Built-up,Shrubland,Water,Non_Wetland,Grassland
448,Built-up,Grassland,NULL,Non_Wetland,Grassland
449,Built-up,Grassland,NULL,Non_Wetland,Bareland
450,Built-up,Grassland,NULL,Non_Wetland,Built-up
451,Built-up,Grassland,NULL,Non_Wetland,Forest
452,Built-up,Cropland,NULL,Non_Wetland,Grassland
453,Built-up,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
454,Built-up,Cropland,NULL,Non_Wetland,Bareland
455,Built-up,Cropland,NULL,Non_Wetland,Built-up
456,Built-up,Cropland,NULL,Non_Wetland,Forest
457,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
458,Built-up,Wetland,NULL,Wetland,NULL
459,Built-up,Wetland,NULL,Wetland,Grassland
460,Built-up,Wetland,NULL,Wetland,Wetland
461,Built-up,Wetland,NULL,Wetland,Lichens_and_Mosses
462,Built-up,Wetland,NULL,Wetland,Bareland
463,Built-up,Wetland,NULL,Wetland,Forest
464,Built-up,Wetland,Non_Water,Wetland,Wetland
465,Built-up,Wetland,Non_Water,Wetland,Water
466,Built-up,Wetland,Water,Wetland,Lichens_and_Mosses
467,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
468,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
469,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
470,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
471,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
472,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
473,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
474,Built-up,Bareland,NULL,Non_Wetland,NULL
475,Built-up,Bareland,NULL,Non_Wetland,Grassland
476,Built-up,Bareland,NULL,Non_Wetland,Wetland
