Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VUG_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VUG_M_R,SIBERIA_2024_GSW_Yearly_2021_45VUG_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VUG_M_R,SIBERIA_2024_WorldCover_2021_45VUG_M_R
274,Water,NULL,Water,Non_Wetland,Forest
275,Water,Shrubland,NULL,Non_Wetland,Bareland
276,Water,Shrubland,NULL,Non_Wetland,Water
277,Water,Shrubland,NULL,Non_Wetland,Forest
278,Water,Shrubland,Non_Water,Non_Wetland,Water
279,Water,Shrubland,Water,Non_Wetland,Grassland
280,Water,Shrubland,Water,Non_Wetland,Bareland
281,Water,Shrubland,Water,Non_Wetland,Water
282,Water,Shrubland,Water,Non_Wetland,Forest
283,Water,Grassland,NULL,Non_Wetland,Forest
284,Water,Grassland,Water,Non_Wetland,Forest
285,Water,Cropland,NULL,Non_Wetland,Forest
286,Water,Cropland,Water,Non_Wetland,Forest
287,Water,Wetland,NULL,Wetland,NULL
288,Water,Wetland,NULL,Wetland,Grassland
289,Water,Wetland,NULL,Wetland,Wetland
290,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
291,Water,Wetland,NULL,Wetland,Bareland
292,Water,Wetland,NULL,Wetland,Water
293,Water,Wetland,NULL,Wetland,Forest
294,Water,Wetland,Non_Water,Wetland,Grassland
295,Water,Wetland,Non_Water,Wetland,Wetland
296,Water,Wetland,Non_Water,Wetland,Bareland
297,Water,Wetland,Non_Water,Wetland,Water
298,Water,Wetland,Non_Water,Wetland,Forest
299,Water,Wetland,Water,Wetland,NULL
300,Water,Wetland,Water,Wetland,Grassland
301,Water,Wetland,Water,Wetland,Wetland
302,Water,Wetland,Water,Wetland,Lichens_and_Mosses
303,Water,Wetland,Water,Wetland,Bareland
304,Water,Wetland,Water,Wetland,Water
305,Water,Wetland,Water,Wetland,Forest
306,Water,Bareland,NULL,Non_Wetland,Grassland
307,Water,Bareland,NULL,Non_Wetland,Wetland
308,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
309,Water,Bareland,NULL,Non_Wetland,Bareland
310,Water,Bareland,NULL,Non_Wetland,Water
311,Water,Bareland,NULL,Non_Wetland,Forest
312,Water,Bareland,Non_Water,Non_Wetland,Grassland
313,Water,Bareland,Non_Water,Non_Wetland,Wetland
314,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
315,Water,Bareland,Non_Water,Non_Wetland,Water
316,Water,Bareland,Non_Water,Non_Wetland,Forest
317,Water,Bareland,Water,Non_Wetland,Grassland
318,Water,Bareland,Water,Non_Wetland,Wetland
319,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
320,Water,Bareland,Water,Non_Wetland,Bareland
321,Water,Bareland,Water,Non_Wetland,Water
322,Water,Bareland,Water,Non_Wetland,Forest
323,Water,Built-up,NULL,Non_Wetland,Water
324,Water,Built-up,NULL,Non_Wetland,Forest
325,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
326,Water,Built-up,Water,Non_Wetland,Water
327,Water,Built-up,Water,Non_Wetland,Forest
328,Water,Water,NULL,Water,Grassland
329,Water,Water,NULL,Water,Wetland
330,Water,Water,NULL,Water,Bareland
331,Water,Water,NULL,Water,Water
332,Water,Water,NULL,Water,Forest
333,Water,Water,Non_Water,Water,Grassland
334,Water,Water,Non_Water,Water,Wetland
335,Water,Water,Non_Water,Water,Water
336,Water,Water,Non_Water,Water,Forest
337,Water,Water,Water,Water,NULL
338,Water,Water,Water,Water,Grassland
339,Water,Water,Water,Water,Wetland
340,Water,Water,Water,Water,Lichens_and_Mosses
341,Water,Water,Water,Water,Bareland
342,Water,Water,Water,Water,Water
343,Water,Water,Water,Water,Forest
344,Water,Forest,NULL,Non_Wetland,NULL
345,Water,Forest,NULL,Non_Wetland,Grassland
346,Water,Forest,NULL,Non_Wetland,Wetland
347,Water,Forest,NULL,Non_Wetland,Bareland
348,Water,Forest,NULL,Non_Wetland,Water
349,Water,Forest,NULL,Non_Wetland,Forest
350,Water,Forest,Non_Water,Non_Wetland,Grassland
351,Water,Forest,Non_Water,Non_Wetland,Wetland
352,Water,Forest,Non_Water,Non_Wetland,Water
353,Water,Forest,Non_Water,Non_Wetland,Forest
354,Water,Forest,Water,Non_Wetland,Grassland
355,Water,Forest,Water,Non_Wetland,Wetland
356,Water,Forest,Water,Non_Wetland,Lichens_and_Mosses
357,Water,Forest,Water,Non_Wetland,Water
358,Water,Forest,Water,Non_Wetland,Forest
359,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,NULL
360,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
361,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
362,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Bareland
363,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
364,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
365,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Wetland
366,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Water
367,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Forest
368,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Grassland
369,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Wetland
370,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Water
371,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
372,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
373,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
374,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
375,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Bareland
376,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
377,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
378,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Grassland
379,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Wetland
380,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Water
381,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Forest
382,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
383,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Wetland
384,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Water
385,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
386,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Wetland
387,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Bareland
388,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Forest
389,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
390,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
391,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
392,Permanent_ice_and_snow,Wetland,NULL,Wetland,Lichens_and_Mosses
393,Permanent_ice_and_snow,Wetland,NULL,Wetland,Bareland
394,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
395,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
396,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,NULL
397,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
398,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Lichens_and_Mosses
399,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Bareland
400,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
401,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
402,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
403,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
404,Permanent_ice_and_snow,Wetland,Water,Wetland,Lichens_and_Mosses
405,Permanent_ice_and_snow,Wetland,Water,Wetland,Bareland
406,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
407,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
408,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
409,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
410,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
411,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Forest
412,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
413,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
414,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
415,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
416,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
417,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
418,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
419,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
420,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
421,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
422,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
423,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
424,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Lichens_and_Mosses
425,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
426,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
427,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
428,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Wetland
429,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
430,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Water
431,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
432,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Bareland
433,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Forest
434,Permanent_ice_and_snow,Water,NULL,Water,Grassland
435,Permanent_ice_and_snow,Water,NULL,Water,Wetland
436,Permanent_ice_and_snow,Water,NULL,Water,Water
437,Permanent_ice_and_snow,Water,NULL,Water,Forest
438,Permanent_ice_and_snow,Water,Non_Water,Water,Grassland
439,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
440,Permanent_ice_and_snow,Water,Non_Water,Water,Water
441,Permanent_ice_and_snow,Water,Non_Water,Water,Forest
442,Permanent_ice_and_snow,Water,Water,Water,Grassland
443,Permanent_ice_and_snow,Water,Water,Water,Wetland
444,Permanent_ice_and_snow,Water,Water,Water,Lichens_and_Mosses
445,Permanent_ice_and_snow,Water,Water,Water,Bareland
446,Permanent_ice_and_snow,Water,Water,Water,Water
447,Permanent_ice_and_snow,Water,Water,Water,Forest
448,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,NULL
449,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
450,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
451,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Lichens_and_Mosses
452,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
453,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
454,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Wetland
455,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Water
456,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
457,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Grassland
458,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Wetland
459,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Bareland
460,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
461,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
462,Forest,NULL,NULL,Non_Wetland,NULL
463,Forest,NULL,NULL,Non_Wetland,Grassland
464,Forest,NULL,NULL,Non_Wetland,Wetland
465,Forest,NULL,NULL,Non_Wetland,Bareland
466,Forest,NULL,NULL,Non_Wetland,Water
467,Forest,NULL,NULL,Non_Wetland,Forest
468,Forest,NULL,Non_Water,Non_Wetland,Grassland
469,Forest,NULL,Non_Water,Non_Wetland,Wetland
470,Forest,NULL,Non_Water,Non_Wetland,Water
471,Forest,NULL,Non_Water,Non_Wetland,Forest
472,Forest,NULL,Water,Non_Wetland,Grassland
473,Forest,NULL,Water,Non_Wetland,Wetland
474,Forest,NULL,Water,Non_Wetland,Water
475,Forest,NULL,Water,Non_Wetland,Forest
476,Forest,Shrubland,NULL,Non_Wetland,NULL
477,Forest,Shrubland,NULL,Non_Wetland,Grassland
478,Forest,Shrubland,NULL,Non_Wetland,Wetland
