Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WWM_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WWM_M_R,SIBERIA_2024_GSW_Yearly_2021_45WWM_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WWM_M_R,SIBERIA_2024_WorldCover_2021_45WWM_M_R
264,Wetland,Water,Water,Water,Water
265,Wetland,Water,Water,Water,Forest
266,Wetland,Forest,NULL,Non_Wetland,NULL
267,Wetland,Forest,NULL,Non_Wetland,Grassland
268,Wetland,Forest,NULL,Non_Wetland,Wetland
269,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
270,Wetland,Forest,NULL,Non_Wetland,Bareland
271,Wetland,Forest,NULL,Non_Wetland,Water
272,Wetland,Forest,NULL,Non_Wetland,Forest
273,Wetland,Forest,Non_Water,Non_Wetland,Grassland
274,Wetland,Forest,Non_Water,Non_Wetland,Wetland
275,Wetland,Forest,Non_Water,Non_Wetland,Water
276,Wetland,Forest,Non_Water,Non_Wetland,Forest
277,Wetland,Forest,Water,Non_Wetland,Grassland
278,Wetland,Forest,Water,Non_Wetland,Wetland
279,Wetland,Forest,Water,Non_Wetland,Bareland
280,Wetland,Forest,Water,Non_Wetland,Water
281,Wetland,Forest,Water,Non_Wetland,Forest
282,Bareland,NULL,NULL,Non_Wetland,Grassland
283,Bareland,NULL,NULL,Non_Wetland,Forest
284,Bareland,NULL,Water,Non_Wetland,Bareland
285,Bareland,NULL,Water,Non_Wetland,Water
286,Bareland,Shrubland,NULL,Non_Wetland,Grassland
287,Bareland,Shrubland,NULL,Non_Wetland,Bareland
288,Bareland,Shrubland,NULL,Non_Wetland,Forest
289,Bareland,Shrubland,Water,Non_Wetland,Grassland
290,Bareland,Shrubland,Water,Non_Wetland,Wetland
291,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
292,Bareland,Shrubland,Water,Non_Wetland,Bareland
293,Bareland,Shrubland,Water,Non_Wetland,Water
294,Bareland,Shrubland,Water,Non_Wetland,Forest
295,Bareland,Grassland,NULL,Non_Wetland,Grassland
296,Bareland,Grassland,NULL,Non_Wetland,Forest
297,Bareland,Grassland,Water,Non_Wetland,Grassland
298,Bareland,Grassland,Water,Non_Wetland,Wetland
299,Bareland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
300,Bareland,Grassland,Water,Non_Wetland,Bareland
301,Bareland,Grassland,Water,Non_Wetland,Water
302,Bareland,Wetland,NULL,Wetland,Wetland
303,Bareland,Wetland,NULL,Wetland,Bareland
304,Bareland,Wetland,NULL,Wetland,Water
305,Bareland,Wetland,NULL,Wetland,Forest
306,Bareland,Wetland,Water,Wetland,Grassland
307,Bareland,Wetland,Water,Wetland,Wetland
308,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
309,Bareland,Wetland,Water,Wetland,Bareland
310,Bareland,Wetland,Water,Wetland,Water
311,Bareland,Wetland,Water,Wetland,Forest
312,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
313,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
314,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
315,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
316,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
317,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
318,Bareland,Bareland,NULL,Non_Wetland,Grassland
319,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
320,Bareland,Bareland,NULL,Non_Wetland,Bareland
321,Bareland,Bareland,NULL,Non_Wetland,Water
322,Bareland,Bareland,NULL,Non_Wetland,Forest
323,Bareland,Bareland,Water,Non_Wetland,Grassland
324,Bareland,Bareland,Water,Non_Wetland,Wetland
325,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
326,Bareland,Bareland,Water,Non_Wetland,Bareland
327,Bareland,Bareland,Water,Non_Wetland,Water
328,Bareland,Bareland,Water,Non_Wetland,Forest
329,Bareland,Built-up,NULL,Non_Wetland,Grassland
330,Bareland,Built-up,Water,Non_Wetland,Water
331,Bareland,Water,NULL,Water,Grassland
332,Bareland,Water,NULL,Water,Wetland
333,Bareland,Water,NULL,Water,Water
334,Bareland,Water,NULL,Water,Forest
335,Bareland,Water,Water,Water,Grassland
336,Bareland,Water,Water,Water,Wetland
337,Bareland,Water,Water,Water,Lichens_and_Mosses
338,Bareland,Water,Water,Water,Bareland
339,Bareland,Water,Water,Water,Water
340,Bareland,Water,Water,Water,Forest
341,Bareland,Forest,NULL,Non_Wetland,Grassland
342,Bareland,Forest,NULL,Non_Wetland,Wetland
343,Bareland,Forest,NULL,Non_Wetland,Water
344,Bareland,Forest,NULL,Non_Wetland,Forest
345,Bareland,Forest,Water,Non_Wetland,Wetland
346,Bareland,Forest,Water,Non_Wetland,Lichens_and_Mosses
347,Bareland,Forest,Water,Non_Wetland,Bareland
348,Bareland,Forest,Water,Non_Wetland,Water
349,Bareland,Forest,Water,Non_Wetland,Forest
350,Built-up,NULL,NULL,Non_Wetland,Grassland
351,Built-up,NULL,NULL,Non_Wetland,Forest
352,Built-up,Shrubland,NULL,Non_Wetland,Grassland
353,Built-up,Shrubland,NULL,Non_Wetland,Forest
354,Built-up,Grassland,NULL,Non_Wetland,Grassland
355,Built-up,Grassland,NULL,Non_Wetland,Built-up
356,Built-up,Grassland,NULL,Non_Wetland,Forest
357,Built-up,Wetland,NULL,Wetland,Grassland
358,Built-up,Wetland,NULL,Wetland,Forest
359,Built-up,Wetland,Water,Wetland,Grassland
360,Built-up,Wetland,Water,Wetland,Forest
361,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
362,Built-up,Bareland,NULL,Non_Wetland,Grassland
363,Built-up,Bareland,NULL,Non_Wetland,Built-up
364,Built-up,Bareland,NULL,Non_Wetland,Forest
365,Built-up,Bareland,Water,Non_Wetland,Grassland
366,Built-up,Bareland,Water,Non_Wetland,Bareland
367,Built-up,Bareland,Water,Non_Wetland,Water
368,Built-up,Bareland,Water,Non_Wetland,Forest
369,Built-up,Built-up,NULL,Non_Wetland,Built-up
370,Built-up,Built-up,NULL,Non_Wetland,Forest
371,Built-up,Forest,NULL,Non_Wetland,Grassland
372,Built-up,Forest,NULL,Non_Wetland,Lichens_and_Mosses
373,Built-up,Forest,NULL,Non_Wetland,Forest
374,Built-up,Forest,Water,Non_Wetland,Forest
375,Water,NULL,NULL,Non_Wetland,Grassland
376,Water,NULL,NULL,Non_Wetland,Wetland
377,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
378,Water,NULL,NULL,Non_Wetland,Bareland
379,Water,NULL,NULL,Non_Wetland,Water
380,Water,NULL,NULL,Non_Wetland,Forest
381,Water,NULL,Non_Water,Non_Wetland,Grassland
382,Water,NULL,Non_Water,Non_Wetland,Wetland
383,Water,NULL,Non_Water,Non_Wetland,Bareland
384,Water,NULL,Non_Water,Non_Wetland,Water
385,Water,NULL,Non_Water,Non_Wetland,Forest
386,Water,NULL,Water,Non_Wetland,Grassland
387,Water,NULL,Water,Non_Wetland,Wetland
388,Water,NULL,Water,Non_Wetland,Lichens_and_Mosses
389,Water,NULL,Water,Non_Wetland,Bareland
390,Water,NULL,Water,Non_Wetland,Water
391,Water,NULL,Water,Non_Wetland,Forest
392,Water,Shrubland,NULL,Non_Wetland,Grassland
393,Water,Shrubland,NULL,Non_Wetland,Wetland
394,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
395,Water,Shrubland,NULL,Non_Wetland,Bareland
396,Water,Shrubland,NULL,Non_Wetland,Water
397,Water,Shrubland,NULL,Non_Wetland,Forest
398,Water,Shrubland,Non_Water,Non_Wetland,Grassland
399,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
400,Water,Shrubland,Non_Water,Non_Wetland,Water
401,Water,Shrubland,Non_Water,Non_Wetland,Forest
402,Water,Shrubland,Water,Non_Wetland,Grassland
403,Water,Shrubland,Water,Non_Wetland,Wetland
404,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
405,Water,Shrubland,Water,Non_Wetland,Bareland
406,Water,Shrubland,Water,Non_Wetland,Water
407,Water,Shrubland,Water,Non_Wetland,Forest
408,Water,Grassland,NULL,Non_Wetland,Grassland
409,Water,Grassland,NULL,Non_Wetland,Wetland
410,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
411,Water,Grassland,NULL,Non_Wetland,Bareland
412,Water,Grassland,NULL,Non_Wetland,Water
413,Water,Grassland,NULL,Non_Wetland,Forest
414,Water,Grassland,Non_Water,Non_Wetland,Bareland
415,Water,Grassland,Water,Non_Wetland,Grassland
416,Water,Grassland,Water,Non_Wetland,Wetland
417,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
418,Water,Grassland,Water,Non_Wetland,Bareland
419,Water,Grassland,Water,Non_Wetland,Water
420,Water,Grassland,Water,Non_Wetland,Forest
421,Water,Wetland,NULL,Wetland,Grassland
422,Water,Wetland,NULL,Wetland,Wetland
423,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
424,Water,Wetland,NULL,Wetland,Bareland
425,Water,Wetland,NULL,Wetland,Water
426,Water,Wetland,NULL,Wetland,Forest
427,Water,Wetland,Non_Water,Wetland,Grassland
428,Water,Wetland,Non_Water,Wetland,Wetland
429,Water,Wetland,Non_Water,Wetland,Bareland
430,Water,Wetland,Non_Water,Wetland,Water
431,Water,Wetland,Non_Water,Wetland,Forest
432,Water,Wetland,Water,Wetland,Grassland
433,Water,Wetland,Water,Wetland,Wetland
434,Water,Wetland,Water,Wetland,Lichens_and_Mosses
435,Water,Wetland,Water,Wetland,Bareland
436,Water,Wetland,Water,Wetland,Water
437,Water,Wetland,Water,Wetland,Forest
438,Water,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
439,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
440,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
441,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
442,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
443,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
444,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
445,Water,Lichens_and_Mosses,Water,Non_Wetland,Forest
446,Water,Bareland,NULL,Non_Wetland,Grassland
447,Water,Bareland,NULL,Non_Wetland,Wetland
448,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
449,Water,Bareland,NULL,Non_Wetland,Bareland
450,Water,Bareland,NULL,Non_Wetland,Built-up
451,Water,Bareland,NULL,Non_Wetland,Water
452,Water,Bareland,NULL,Non_Wetland,Forest
453,Water,Bareland,Non_Water,Non_Wetland,Grassland
454,Water,Bareland,Non_Water,Non_Wetland,Wetland
455,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
456,Water,Bareland,Non_Water,Non_Wetland,Bareland
457,Water,Bareland,Non_Water,Non_Wetland,Water
458,Water,Bareland,Non_Water,Non_Wetland,Forest
459,Water,Bareland,Water,Non_Wetland,Grassland
460,Water,Bareland,Water,Non_Wetland,Wetland
461,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
462,Water,Bareland,Water,Non_Wetland,Bareland
463,Water,Bareland,Water,Non_Wetland,Water
464,Water,Bareland,Water,Non_Wetland,Forest
465,Water,Built-up,NULL,Non_Wetland,Grassland
466,Water,Built-up,NULL,Non_Wetland,Wetland
467,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
468,Water,Built-up,NULL,Non_Wetland,Bareland
469,Water,Built-up,NULL,Non_Wetland,Water
470,Water,Built-up,NULL,Non_Wetland,Forest
471,Water,Built-up,Non_Water,Non_Wetland,Water
472,Water,Built-up,Non_Water,Non_Wetland,Forest
473,Water,Built-up,Water,Non_Wetland,Grassland
474,Water,Built-up,Water,Non_Wetland,Wetland
475,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
476,Water,Built-up,Water,Non_Wetland,Bareland
477,Water,Built-up,Water,Non_Wetland,Water
478,Water,Built-up,Water,Non_Wetland,Forest
479,Water,Water,NULL,Water,Grassland
480,Water,Water,NULL,Water,Wetland
481,Water,Water,NULL,Water,Lichens_and_Mosses
482,Water,Water,NULL,Water,Bareland
483,Water,Water,NULL,Water,Water
484,Water,Water,NULL,Water,Forest
485,Water,Water,Non_Water,Water,Grassland
486,Water,Water,Non_Water,Water,Wetland
487,Water,Water,Non_Water,Water,Bareland
488,Water,Water,Non_Water,Water,Water
489,Water,Water,Non_Water,Water,Forest
490,Water,Water,Water,Water,Grassland
491,Water,Water,Water,Water,Wetland
492,Water,Water,Water,Water,Lichens_and_Mosses
