Value,SIBERIA_2024_ESA_CALU_2024_42WXD_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WXD_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WXD_M_R,SIBERIA_2024_GSW_Yearly_2021_42WXD_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WXD_M_R,SIBERIA_2024_WorldCover_2021_42WXD_M_R
186,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
187,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
188,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
189,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
190,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
191,NULL,Wetland,Bareland,Water,Non_Wetland,Water
192,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
193,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
194,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
195,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
196,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
197,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
198,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
199,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
200,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
201,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
202,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
203,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
204,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
205,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
206,NULL,Wetland,Water,NULL,Water,Grassland
207,NULL,Wetland,Water,NULL,Water,Wetland
208,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
209,NULL,Wetland,Water,NULL,Water,Bareland
210,NULL,Wetland,Water,NULL,Water,Water
211,NULL,Wetland,Water,Non_Water,Water,Grassland
212,NULL,Wetland,Water,Non_Water,Water,Wetland
213,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
214,NULL,Wetland,Water,Non_Water,Water,Bareland
215,NULL,Wetland,Water,Non_Water,Water,Water
216,NULL,Wetland,Water,Water,NULL,Water
217,NULL,Wetland,Water,Water,Water,Grassland
218,NULL,Wetland,Water,Water,Water,Wetland
219,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
220,NULL,Wetland,Water,Water,Water,Bareland
221,NULL,Wetland,Water,Water,Water,Water
222,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
223,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
224,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
225,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
226,NULL,Wetland,Forest,Water,Non_Wetland,Water
227,NULL,Bareland,Wetland,NULL,NULL,Bareland
228,NULL,Bareland,Wetland,NULL,Wetland,Grassland
229,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
230,NULL,Bareland,Wetland,NULL,Wetland,Bareland
231,NULL,Bareland,Wetland,NULL,Wetland,Water
232,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
233,NULL,Bareland,Wetland,Non_Water,NULL,Water
234,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
235,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
236,NULL,Bareland,Wetland,Non_Water,Wetland,Water
237,NULL,Bareland,Wetland,Water,NULL,Bareland
238,NULL,Bareland,Wetland,Water,NULL,Water
239,NULL,Bareland,Wetland,Water,Wetland,Wetland
240,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
241,NULL,Bareland,Wetland,Water,Wetland,Bareland
242,NULL,Bareland,Wetland,Water,Wetland,Water
243,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
244,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
245,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
246,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
247,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
248,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
249,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
250,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
251,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
252,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
253,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
254,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
255,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
256,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
257,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
258,NULL,Bareland,Bareland,Water,Non_Wetland,Water
259,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
260,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
261,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
262,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
263,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
264,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
265,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
266,NULL,Bareland,Built-up,Water,Non_Wetland,Water
267,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
268,NULL,Bareland,Water,NULL,Water,Bareland
269,NULL,Bareland,Water,Non_Water,Water,Bareland
270,NULL,Bareland,Water,Water,NULL,Bareland
271,NULL,Bareland,Water,Water,NULL,Water
272,NULL,Bareland,Water,Water,Water,Bareland
273,NULL,Bareland,Water,Water,Water,Water
274,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
275,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
276,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
277,NULL,Built-up,Wetland,NULL,Wetland,Wetland
278,NULL,Built-up,Wetland,NULL,Wetland,Lichens_and_Mosses
279,NULL,Built-up,Wetland,NULL,Wetland,Bareland
280,NULL,Built-up,Wetland,NULL,Wetland,Water
281,NULL,Built-up,Wetland,Non_Water,NULL,Water
282,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland
283,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up
284,NULL,Built-up,Wetland,Non_Water,Wetland,Water
285,NULL,Built-up,Wetland,Water,NULL,Bareland
286,NULL,Built-up,Wetland,Water,Wetland,Bareland
287,NULL,Built-up,Wetland,Water,Wetland,Built-up
288,NULL,Built-up,Wetland,Water,Wetland,Water
289,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
290,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
291,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
292,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
293,NULL,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Bareland
294,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
295,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
296,NULL,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
297,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
298,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
299,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
300,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
301,NULL,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
302,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
303,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
304,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
305,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
306,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
307,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
308,NULL,Built-up,Water,NULL,Water,Wetland
309,NULL,Built-up,Water,NULL,Water,Bareland
310,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
311,NULL,Water,Shrubland,NULL,Non_Wetland,Water
312,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
313,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
314,NULL,Water,Shrubland,Water,Non_Wetland,Water
315,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
316,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
317,NULL,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
318,NULL,Water,Grassland,NULL,Non_Wetland,Water
319,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
320,NULL,Water,Grassland,Water,Non_Wetland,Grassland
321,NULL,Water,Grassland,Water,Non_Wetland,Water
322,NULL,Water,Wetland,NULL,NULL,Wetland
323,NULL,Water,Wetland,NULL,NULL,Lichens_and_Mosses
324,NULL,Water,Wetland,NULL,NULL,Bareland
325,NULL,Water,Wetland,NULL,NULL,Water
326,NULL,Water,Wetland,NULL,Wetland,Grassland
327,NULL,Water,Wetland,NULL,Wetland,Wetland
328,NULL,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
329,NULL,Water,Wetland,NULL,Wetland,Bareland
330,NULL,Water,Wetland,NULL,Wetland,Water
331,NULL,Water,Wetland,Non_Water,NULL,Wetland
332,NULL,Water,Wetland,Non_Water,NULL,Bareland
333,NULL,Water,Wetland,Non_Water,NULL,Water
334,NULL,Water,Wetland,Non_Water,Wetland,Grassland
335,NULL,Water,Wetland,Non_Water,Wetland,Wetland
336,NULL,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
337,NULL,Water,Wetland,Non_Water,Wetland,Bareland
338,NULL,Water,Wetland,Non_Water,Wetland,Built-up
339,NULL,Water,Wetland,Non_Water,Wetland,Water
340,NULL,Water,Wetland,Water,NULL,Wetland
341,NULL,Water,Wetland,Water,NULL,Bareland
342,NULL,Water,Wetland,Water,NULL,Built-up
343,NULL,Water,Wetland,Water,NULL,Water
344,NULL,Water,Wetland,Water,Wetland,Grassland
345,NULL,Water,Wetland,Water,Wetland,Wetland
346,NULL,Water,Wetland,Water,Wetland,Lichens_and_Mosses
347,NULL,Water,Wetland,Water,Wetland,Bareland
348,NULL,Water,Wetland,Water,Wetland,Built-up
349,NULL,Water,Wetland,Water,Wetland,Water
350,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
351,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
352,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
353,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
354,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
355,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
356,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
357,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
358,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
359,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
360,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
361,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
362,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
363,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
364,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
365,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
366,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
367,NULL,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
368,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
369,NULL,Water,Bareland,NULL,Non_Wetland,Water
370,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
371,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
372,NULL,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
373,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
374,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
375,NULL,Water,Bareland,Water,Non_Wetland,Grassland
376,NULL,Water,Bareland,Water,Non_Wetland,Wetland
377,NULL,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
378,NULL,Water,Bareland,Water,Non_Wetland,Bareland
379,NULL,Water,Bareland,Water,Non_Wetland,Water
380,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
381,NULL,Water,Built-up,NULL,Non_Wetland,Wetland
382,NULL,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
383,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
384,NULL,Water,Built-up,NULL,Non_Wetland,Water
385,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
386,NULL,Water,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
387,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
388,NULL,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
389,NULL,Water,Built-up,Water,Non_Wetland,Bareland
390,NULL,Water,Built-up,Water,Non_Wetland,Water
391,NULL,Water,Water,NULL,NULL,Wetland
392,NULL,Water,Water,NULL,NULL,Bareland
393,NULL,Water,Water,NULL,NULL,Water
394,NULL,Water,Water,NULL,Water,Grassland
395,NULL,Water,Water,NULL,Water,Wetland
396,NULL,Water,Water,NULL,Water,Lichens_and_Mosses
397,NULL,Water,Water,NULL,Water,Bareland
398,NULL,Water,Water,NULL,Water,Water
399,NULL,Water,Water,Non_Water,NULL,Bareland
400,NULL,Water,Water,Non_Water,NULL,Water
401,NULL,Water,Water,Non_Water,Water,Wetland
402,NULL,Water,Water,Non_Water,Water,Bareland
403,NULL,Water,Water,Non_Water,Water,Water
404,NULL,Water,Water,Water,NULL,Lichens_and_Mosses
405,NULL,Water,Water,Water,NULL,Bareland
406,NULL,Water,Water,Water,NULL,Water
407,NULL,Water,Water,Water,Water,Grassland
408,NULL,Water,Water,Water,Water,Wetland
409,NULL,Water,Water,Water,Water,Lichens_and_Mosses
410,NULL,Water,Water,Water,Water,Bareland
411,NULL,Water,Water,Water,Water,Water
412,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
413,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
414,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
415,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
416,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Wetland
417,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
