Value,SIBERIA_2024_ESA_CALU_2024_45XWB_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_45XWB_M_R,SIBERIA_2024_GLC_FCS30D_2022_45XWB_M_R,SIBERIA_2024_GSW_Yearly_2021_45XWB_M_R,SIBERIA_2024_GWL_FCS30D_2022_45XWB_M_R,SIBERIA_2024_WorldCover_2021_45XWB_M_R
113,NULL,NULL,Water,NULL,Water,Wetland
114,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
115,NULL,NULL,Water,NULL,Water,Bareland
116,NULL,NULL,Water,NULL,Water,Water
117,NULL,NULL,Water,Non_Water,Water,Grassland
118,NULL,NULL,Water,Non_Water,Water,Wetland
119,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
120,NULL,NULL,Water,Non_Water,Water,Bareland
121,NULL,NULL,Water,Non_Water,Water,Water
122,NULL,NULL,Water,Water,Water,Grassland
123,NULL,NULL,Water,Water,Water,Wetland
124,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
125,NULL,NULL,Water,Water,Water,Bareland
126,NULL,NULL,Water,Water,Water,Water
127,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
128,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
129,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Water
130,NULL,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Lichens_and_Mosses
131,NULL,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Bareland
132,NULL,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Lichens_and_Mosses
133,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
134,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
135,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
136,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
137,NULL,NULL,Forest,NULL,Non_Wetland,Water
138,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
139,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
140,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
141,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
142,NULL,NULL,Forest,Water,Non_Wetland,Grassland
143,NULL,NULL,Forest,Water,Non_Wetland,Wetland
144,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
145,NULL,NULL,Forest,Water,Non_Wetland,Water
146,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
147,NULL,Cropland,Wetland,Water,Wetland,Wetland
148,NULL,Cropland,Wetland,Water,Wetland,Water
149,NULL,Wetland,NULL,NULL,NULL,NULL
150,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
151,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
152,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
153,NULL,Wetland,NULL,NULL,Non_Wetland,Water
154,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
155,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
156,NULL,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
157,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water
158,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
159,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
160,NULL,Wetland,NULL,Water,Non_Wetland,Water
161,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
162,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
163,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
164,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
165,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
166,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
167,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
168,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
169,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
170,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
171,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
172,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
173,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
174,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
175,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
176,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
177,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
178,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
179,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
180,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
181,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
182,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
183,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
184,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
185,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
186,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
187,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
188,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
189,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
190,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
191,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
192,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland
193,NULL,Wetland,Grassland,Water,Non_Wetland,Water
194,NULL,Wetland,Wetland,NULL,NULL,Wetland
195,NULL,Wetland,Wetland,NULL,NULL,Water
196,NULL,Wetland,Wetland,NULL,Wetland,Grassland
197,NULL,Wetland,Wetland,NULL,Wetland,Wetland
198,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
199,NULL,Wetland,Wetland,NULL,Wetland,Bareland
200,NULL,Wetland,Wetland,NULL,Wetland,Water
201,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
202,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
203,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
204,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
205,NULL,Wetland,Wetland,Non_Water,Wetland,Water
206,NULL,Wetland,Wetland,Water,NULL,Wetland
207,NULL,Wetland,Wetland,Water,NULL,Water
208,NULL,Wetland,Wetland,Water,Wetland,Grassland
209,NULL,Wetland,Wetland,Water,Wetland,Wetland
210,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
211,NULL,Wetland,Wetland,Water,Wetland,Bareland
212,NULL,Wetland,Wetland,Water,Wetland,Water
213,NULL,Wetland,Wetland,Water,Wetland,Forest
214,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
215,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
216,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
217,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
218,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
219,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
220,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
221,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
222,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
223,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
224,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
225,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
226,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
227,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
228,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
229,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
230,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
231,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
232,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
233,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
234,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
235,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
236,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
237,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
238,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
239,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
240,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
241,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
242,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
243,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
244,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
245,NULL,Wetland,Bareland,Water,Non_Wetland,Water
246,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
247,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
248,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
249,NULL,Wetland,Water,NULL,NULL,Water
250,NULL,Wetland,Water,NULL,Water,Grassland
251,NULL,Wetland,Water,NULL,Water,Wetland
252,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
253,NULL,Wetland,Water,NULL,Water,Bareland
254,NULL,Wetland,Water,NULL,Water,Water
255,NULL,Wetland,Water,Non_Water,Water,Grassland
256,NULL,Wetland,Water,Non_Water,Water,Wetland
257,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
258,NULL,Wetland,Water,Non_Water,Water,Water
259,NULL,Wetland,Water,Water,NULL,Water
260,NULL,Wetland,Water,Water,Water,Grassland
261,NULL,Wetland,Water,Water,Water,Wetland
262,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
263,NULL,Wetland,Water,Water,Water,Bareland
264,NULL,Wetland,Water,Water,Water,Water
265,NULL,Wetland,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
266,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
267,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
268,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
269,NULL,Wetland,Forest,NULL,Non_Wetland,Water
270,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
271,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
272,NULL,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
273,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
274,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
275,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
276,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
277,NULL,Wetland,Forest,Water,Non_Wetland,Water
278,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
279,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
280,NULL,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
281,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
282,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
283,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
284,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
285,NULL,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
286,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
287,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
288,NULL,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
289,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
290,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
291,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water
292,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
293,NULL,Bareland,Grassland,Water,Non_Wetland,Water
294,NULL,Bareland,Wetland,NULL,Wetland,NULL
295,NULL,Bareland,Wetland,NULL,Wetland,Wetland
296,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
297,NULL,Bareland,Wetland,NULL,Wetland,Bareland
298,NULL,Bareland,Wetland,NULL,Wetland,Water
299,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
300,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
301,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
302,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
303,NULL,Bareland,Wetland,Non_Water,Wetland,Water
304,NULL,Bareland,Wetland,Water,Wetland,Grassland
305,NULL,Bareland,Wetland,Water,Wetland,Wetland
306,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
307,NULL,Bareland,Wetland,Water,Wetland,Bareland
308,NULL,Bareland,Wetland,Water,Wetland,Water
309,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
310,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
311,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
312,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
313,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
314,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
315,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
316,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
317,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
318,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
319,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
320,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
321,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
322,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
323,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
324,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
325,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
326,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
327,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
328,NULL,Bareland,Bareland,Water,Non_Wetland,Water
329,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
330,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
331,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
332,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
333,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
334,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
335,NULL,Bareland,Built-up,Water,Non_Wetland,Water
336,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
337,NULL,Bareland,Water,NULL,Water,Bareland
338,NULL,Bareland,Water,NULL,Water,Water
339,NULL,Bareland,Water,Non_Water,Water,Bareland
340,NULL,Bareland,Water,Water,Water,Wetland
341,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
342,NULL,Bareland,Water,Water,Water,Bareland
343,NULL,Bareland,Water,Water,Water,Water
344,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
345,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
346,NULL,Bareland,Permanent_ice_and_snow,Water,Non_Wetland,Bareland
347,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
348,NULL,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
349,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
350,NULL,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
351,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
352,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
353,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Water
354,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
355,NULL,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
356,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
357,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
358,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
359,NULL,Built-up,Bareland,Water,Non_Wetland,Lichens_and_Mosses
360,NULL,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
361,NULL,Water,NULL,NULL,NULL,NULL
362,NULL,Water,NULL,NULL,Non_Wetland,Water
363,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
364,NULL,Water,NULL,Non_Water,Non_Wetland,Water
365,NULL,Water,NULL,Water,Non_Wetland,Wetland
366,NULL,Water,NULL,Water,Non_Wetland,Water
367,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
368,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
369,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
370,NULL,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
371,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
372,NULL,Water,Shrubland,NULL,Non_Wetland,Water
373,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
374,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
375,NULL,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
376,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
377,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
378,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
379,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
380,NULL,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
381,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
382,NULL,Water,Shrubland,Water,Non_Wetland,Water
383,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
384,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
385,NULL,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
386,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
387,NULL,Water,Grassland,NULL,Non_Wetland,Water
388,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
389,NULL,Water,Grassland,Non_Water,Non_Wetland,Wetland
390,NULL,Water,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
391,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
392,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
393,NULL,Water,Grassland,Water,Non_Wetland,Grassland
394,NULL,Water,Grassland,Water,Non_Wetland,Wetland
395,NULL,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
396,NULL,Water,Grassland,Water,Non_Wetland,Bareland
397,NULL,Water,Grassland,Water,Non_Wetland,Water
398,NULL,Water,Wetland,NULL,NULL,Water
399,NULL,Water,Wetland,NULL,Wetland,NULL
400,NULL,Water,Wetland,NULL,Wetland,Grassland
401,NULL,Water,Wetland,NULL,Wetland,Wetland
402,NULL,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
403,NULL,Water,Wetland,NULL,Wetland,Bareland
404,NULL,Water,Wetland,NULL,Wetland,Water
405,NULL,Water,Wetland,Non_Water,Wetland,Grassland
