Value,SIBERIA_2024_ESA_CALU_2024_42WXE_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WXE_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WXE_M_R,SIBERIA_2024_GSW_Yearly_2021_42WXE_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WXE_M_R,SIBERIA_2024_WorldCover_2021_42WXE_M_R
40,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
41,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
42,NULL,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
43,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
44,NULL,NULL,Wetland,Non_Water,Wetland,Water
45,NULL,NULL,Wetland,Water,NULL,Lichens_and_Mosses
46,NULL,NULL,Wetland,Water,NULL,Bareland
47,NULL,NULL,Wetland,Water,NULL,Water
48,NULL,NULL,Wetland,Water,Wetland,Grassland
49,NULL,NULL,Wetland,Water,Wetland,Wetland
50,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
51,NULL,NULL,Wetland,Water,Wetland,Bareland
52,NULL,NULL,Wetland,Water,Wetland,Built-up
53,NULL,NULL,Wetland,Water,Wetland,Water
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
61,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
62,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
63,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
64,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
65,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
66,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
67,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
68,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
69,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
70,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
71,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
72,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
73,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
74,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
75,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
76,NULL,NULL,Bareland,NULL,Non_Wetland,Water
77,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
83,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
84,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
85,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
86,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
87,NULL,NULL,Bareland,Water,Non_Wetland,Water
88,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
90,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
91,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
92,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
93,NULL,NULL,Built-up,NULL,Non_Wetland,Water
94,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
95,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
96,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
97,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
98,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
99,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
100,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
101,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
102,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
103,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
104,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
105,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
106,NULL,NULL,Built-up,Water,Non_Wetland,Water
107,NULL,NULL,Water,NULL,NULL,NULL
108,NULL,NULL,Water,NULL,NULL,Wetland
109,NULL,NULL,Water,NULL,NULL,Water
110,NULL,NULL,Water,NULL,Water,Grassland
111,NULL,NULL,Water,NULL,Water,Wetland
112,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
113,NULL,NULL,Water,NULL,Water,Bareland
114,NULL,NULL,Water,NULL,Water,Water
115,NULL,NULL,Water,Non_Water,Water,Grassland
116,NULL,NULL,Water,Non_Water,Water,Wetland
117,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
118,NULL,NULL,Water,Non_Water,Water,Bareland
119,NULL,NULL,Water,Non_Water,Water,Water
120,NULL,NULL,Water,Water,NULL,Wetland
121,NULL,NULL,Water,Water,NULL,Water
122,NULL,NULL,Water,Water,Water,Grassland
123,NULL,NULL,Water,Water,Water,Wetland
124,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
125,NULL,NULL,Water,Water,Water,Bareland
126,NULL,NULL,Water,Water,Water,Water
127,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
128,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
129,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
130,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
131,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
132,NULL,NULL,Forest,Water,Non_Wetland,Grassland
133,NULL,NULL,Forest,Water,Non_Wetland,Wetland
134,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
135,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
136,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
137,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
138,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
139,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
140,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
141,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
142,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
143,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
144,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
145,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
146,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
147,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
148,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
149,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
150,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
151,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
152,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
153,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
154,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
155,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
156,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
157,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
158,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
159,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
160,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
161,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
162,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
163,NULL,Wetland,Grassland,Water,Non_Wetland,Water
164,NULL,Wetland,Wetland,NULL,Wetland,Grassland
165,NULL,Wetland,Wetland,NULL,Wetland,Wetland
166,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
167,NULL,Wetland,Wetland,NULL,Wetland,Bareland
168,NULL,Wetland,Wetland,NULL,Wetland,Water
169,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
170,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
171,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
172,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
173,NULL,Wetland,Wetland,Non_Water,Wetland,Built-up
174,NULL,Wetland,Wetland,Non_Water,Wetland,Water
175,NULL,Wetland,Wetland,Water,NULL,Bareland
176,NULL,Wetland,Wetland,Water,Wetland,Grassland
177,NULL,Wetland,Wetland,Water,Wetland,Wetland
178,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
179,NULL,Wetland,Wetland,Water,Wetland,Bareland
180,NULL,Wetland,Wetland,Water,Wetland,Water
181,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
182,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
183,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
184,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
185,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
186,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
187,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
188,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
189,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
190,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
191,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
192,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
193,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
194,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
195,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
196,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
197,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
198,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
199,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
200,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
201,NULL,Wetland,Bareland,NULL,Non_Wetland,Built-up
202,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
203,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
204,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
205,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
206,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
207,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
208,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
209,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
210,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
211,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
212,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
213,NULL,Wetland,Bareland,Water,Non_Wetland,Water
214,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
215,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
216,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
217,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
218,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
219,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
220,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
221,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
222,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
223,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
224,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
225,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
226,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
227,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
228,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
229,NULL,Wetland,Built-up,Water,Non_Wetland,Water
230,NULL,Wetland,Water,NULL,Water,Grassland
231,NULL,Wetland,Water,NULL,Water,Wetland
232,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
233,NULL,Wetland,Water,NULL,Water,Bareland
234,NULL,Wetland,Water,NULL,Water,Water
235,NULL,Wetland,Water,Non_Water,Water,Grassland
236,NULL,Wetland,Water,Non_Water,Water,Wetland
237,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
238,NULL,Wetland,Water,Non_Water,Water,Bareland
239,NULL,Wetland,Water,Non_Water,Water,Water
240,NULL,Wetland,Water,Water,Water,Grassland
241,NULL,Wetland,Water,Water,Water,Wetland
242,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
243,NULL,Wetland,Water,Water,Water,Bareland
244,NULL,Wetland,Water,Water,Water,Water
245,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
246,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
247,NULL,Wetland,Forest,NULL,Non_Wetland,Water
248,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
249,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
250,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
251,NULL,Wetland,Forest,Water,Non_Wetland,Water
252,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
253,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
254,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
255,NULL,Bareland,Wetland,NULL,NULL,Wetland
256,NULL,Bareland,Wetland,NULL,NULL,Lichens_and_Mosses
257,NULL,Bareland,Wetland,NULL,NULL,Bareland
258,NULL,Bareland,Wetland,NULL,NULL,Water
259,NULL,Bareland,Wetland,NULL,Wetland,Wetland
260,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
261,NULL,Bareland,Wetland,NULL,Wetland,Bareland
262,NULL,Bareland,Wetland,NULL,Wetland,Built-up
263,NULL,Bareland,Wetland,NULL,Wetland,Water
264,NULL,Bareland,Wetland,NULL,Wetland,Permanent_ice_and_snow
265,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
266,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
267,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
268,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
269,NULL,Bareland,Wetland,Non_Water,Wetland,Built-up
270,NULL,Bareland,Wetland,Non_Water,Wetland,Water
271,NULL,Bareland,Wetland,Water,NULL,Lichens_and_Mosses
272,NULL,Bareland,Wetland,Water,NULL,Bareland
273,NULL,Bareland,Wetland,Water,Wetland,Wetland
274,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
275,NULL,Bareland,Wetland,Water,Wetland,Bareland
276,NULL,Bareland,Wetland,Water,Wetland,Water
277,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
278,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
279,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
280,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
281,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
282,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
283,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Permanent_ice_and_snow
284,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
285,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
286,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
287,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
288,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
289,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
290,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
291,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
292,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
293,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
294,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
295,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
296,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
297,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
298,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
299,NULL,Bareland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
300,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
301,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
302,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
303,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
304,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
305,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
306,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
307,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
308,NULL,Bareland,Bareland,Water,Non_Wetland,Built-up
309,NULL,Bareland,Bareland,Water,Non_Wetland,Water
310,NULL,Bareland,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
311,NULL,Bareland,Built-up,NULL,Non_Wetland,Wetland
312,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
313,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
314,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
315,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
316,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Wetland
317,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
318,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
319,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
320,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
321,NULL,Bareland,Built-up,Water,Non_Wetland,Wetland
322,NULL,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
323,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
324,NULL,Bareland,Built-up,Water,Non_Wetland,Built-up
325,NULL,Bareland,Built-up,Water,Non_Wetland,Water
326,NULL,Bareland,Water,NULL,NULL,Bareland
327,NULL,Bareland,Water,NULL,NULL,Water
328,NULL,Bareland,Water,NULL,Water,Wetland
329,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
330,NULL,Bareland,Water,NULL,Water,Bareland
331,NULL,Bareland,Water,NULL,Water,Water
332,NULL,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
333,NULL,Bareland,Water,Non_Water,Water,Bareland
334,NULL,Bareland,Water,Non_Water,Water,Built-up
335,NULL,Bareland,Water,Non_Water,Water,Water
336,NULL,Bareland,Water,Water,NULL,Bareland
337,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
338,NULL,Bareland,Water,Water,Water,Bareland
339,NULL,Bareland,Water,Water,Water,Water
340,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
341,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland
342,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
343,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
344,NULL,Built-up,Wetland,NULL,Wetland,Grassland
345,NULL,Built-up,Wetland,NULL,Wetland,Wetland
346,NULL,Built-up,Wetland,NULL,Wetland,Lichens_and_Mosses
347,NULL,Built-up,Wetland,NULL,Wetland,Bareland
348,NULL,Built-up,Wetland,NULL,Wetland,Built-up
349,NULL,Built-up,Wetland,NULL,Wetland,Water
350,NULL,Built-up,Wetland,NULL,Wetland,Permanent_ice_and_snow
351,NULL,Built-up,Wetland,NULL,Wetland,Forest
352,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
353,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland
354,NULL,Built-up,Wetland,Non_Water,Wetland,Lichens_and_Mosses
355,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland
356,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up
357,NULL,Built-up,Wetland,Non_Water,Wetland,Water
358,NULL,Built-up,Wetland,Water,NULL,Bareland
359,NULL,Built-up,Wetland,Water,NULL,Built-up
360,NULL,Built-up,Wetland,Water,NULL,Water
361,NULL,Built-up,Wetland,Water,Wetland,Wetland
362,NULL,Built-up,Wetland,Water,Wetland,Lichens_and_Mosses
363,NULL,Built-up,Wetland,Water,Wetland,Bareland
364,NULL,Built-up,Wetland,Water,Wetland,Built-up
365,NULL,Built-up,Wetland,Water,Wetland,Water
366,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
367,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
368,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
369,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
370,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
371,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Water
372,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
373,NULL,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
374,NULL,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
375,NULL,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
376,NULL,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
377,NULL,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
378,NULL,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
379,NULL,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
380,NULL,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Wetland
381,NULL,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Bareland
382,NULL,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Built-up
383,NULL,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Water
384,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
385,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
386,NULL,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
387,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
388,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
389,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
390,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Wetland
391,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
392,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
393,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
394,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Water
395,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
396,NULL,Built-up,Bareland,Water,Non_Wetland,Wetland
397,NULL,Built-up,Bareland,Water,Non_Wetland,Lichens_and_Mosses
398,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
399,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
400,NULL,Built-up,Bareland,Water,Non_Wetland,Water
401,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
402,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
403,NULL,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
404,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
405,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
