Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VPF_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VPF_M_R,SIBERIA_2024_GSW_Yearly_2021_41VPF_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VPF_M_R,SIBERIA_2024_WorldCover_2021_41VPF_M_R
274,Built-up,NULL,NULL,Non_Wetland,Built-up
275,Built-up,NULL,NULL,Non_Wetland,Forest
276,Built-up,Shrubland,NULL,Non_Wetland,Grassland
277,Built-up,Shrubland,NULL,Non_Wetland,Cropland
278,Built-up,Shrubland,NULL,Non_Wetland,Wetland
279,Built-up,Shrubland,NULL,Non_Wetland,Built-up
280,Built-up,Shrubland,NULL,Non_Wetland,Water
281,Built-up,Shrubland,NULL,Non_Wetland,Forest
282,Built-up,Grassland,NULL,Non_Wetland,Grassland
283,Built-up,Grassland,NULL,Non_Wetland,Built-up
284,Built-up,Grassland,NULL,Non_Wetland,Forest
285,Built-up,Cropland,NULL,Non_Wetland,Grassland
286,Built-up,Cropland,NULL,Non_Wetland,Cropland
287,Built-up,Cropland,NULL,Non_Wetland,Wetland
288,Built-up,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
289,Built-up,Cropland,NULL,Non_Wetland,Bareland
290,Built-up,Cropland,NULL,Non_Wetland,Built-up
291,Built-up,Cropland,NULL,Non_Wetland,Water
292,Built-up,Cropland,NULL,Non_Wetland,Forest
293,Built-up,Cropland,Non_Water,Non_Wetland,Forest
294,Built-up,Cropland,Water,Non_Wetland,Forest
295,Built-up,Wetland,NULL,Wetland,Grassland
296,Built-up,Wetland,NULL,Wetland,Forest
297,Built-up,Bareland,NULL,Non_Wetland,Grassland
298,Built-up,Bareland,NULL,Non_Wetland,Cropland
299,Built-up,Bareland,NULL,Non_Wetland,Wetland
300,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
301,Built-up,Bareland,NULL,Non_Wetland,Bareland
302,Built-up,Bareland,NULL,Non_Wetland,Built-up
303,Built-up,Bareland,NULL,Non_Wetland,Water
304,Built-up,Bareland,NULL,Non_Wetland,Forest
305,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
306,Built-up,Built-up,NULL,Non_Wetland,Grassland
307,Built-up,Built-up,NULL,Non_Wetland,Cropland
308,Built-up,Built-up,NULL,Non_Wetland,Wetland
309,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
310,Built-up,Built-up,NULL,Non_Wetland,Bareland
311,Built-up,Built-up,NULL,Non_Wetland,Built-up
312,Built-up,Built-up,NULL,Non_Wetland,Water
313,Built-up,Built-up,NULL,Non_Wetland,Forest
314,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
315,Built-up,Built-up,Water,Non_Wetland,Grassland
316,Built-up,Water,NULL,Water,Bareland
317,Built-up,Water,NULL,Water,Built-up
318,Built-up,Water,NULL,Water,Forest
319,Built-up,Water,Water,Water,Built-up
320,Built-up,Forest,NULL,Non_Wetland,Grassland
321,Built-up,Forest,NULL,Non_Wetland,Cropland
322,Built-up,Forest,NULL,Non_Wetland,Wetland
323,Built-up,Forest,NULL,Non_Wetland,Built-up
324,Built-up,Forest,NULL,Non_Wetland,Forest
325,Water,NULL,NULL,Non_Wetland,Grassland
326,Water,NULL,NULL,Non_Wetland,Wetland
327,Water,NULL,NULL,Non_Wetland,Water
328,Water,NULL,NULL,Non_Wetland,Forest
329,Water,NULL,Non_Water,Non_Wetland,Grassland
330,Water,NULL,Non_Water,Non_Wetland,Water
331,Water,NULL,Non_Water,Non_Wetland,Forest
332,Water,NULL,Water,Non_Wetland,Grassland
333,Water,NULL,Water,Non_Wetland,Wetland
334,Water,NULL,Water,Non_Wetland,Water
335,Water,NULL,Water,Non_Wetland,Forest
336,Water,Shrubland,NULL,Non_Wetland,Grassland
337,Water,Shrubland,NULL,Non_Wetland,Water
338,Water,Shrubland,NULL,Non_Wetland,Forest
339,Water,Shrubland,Water,Non_Wetland,Grassland
340,Water,Cropland,NULL,Non_Wetland,Grassland
341,Water,Cropland,NULL,Non_Wetland,Wetland
342,Water,Cropland,NULL,Non_Wetland,Water
343,Water,Cropland,NULL,Non_Wetland,Forest
344,Water,Cropland,Non_Water,Non_Wetland,Grassland
345,Water,Cropland,Non_Water,Non_Wetland,Wetland
346,Water,Cropland,Non_Water,Non_Wetland,Water
347,Water,Cropland,Water,Non_Wetland,Grassland
348,Water,Cropland,Water,Non_Wetland,Wetland
349,Water,Cropland,Water,Non_Wetland,Water
350,Water,Cropland,Water,Non_Wetland,Forest
351,Water,Wetland,NULL,Wetland,NULL
352,Water,Wetland,NULL,Wetland,Grassland
353,Water,Wetland,NULL,Wetland,Wetland
354,Water,Wetland,NULL,Wetland,Water
355,Water,Wetland,NULL,Wetland,Forest
356,Water,Wetland,Non_Water,Wetland,Grassland
357,Water,Wetland,Non_Water,Wetland,Wetland
358,Water,Wetland,Non_Water,Wetland,Water
359,Water,Wetland,Non_Water,Wetland,Forest
360,Water,Wetland,Water,Wetland,NULL
361,Water,Wetland,Water,Wetland,Grassland
362,Water,Wetland,Water,Wetland,Cropland
363,Water,Wetland,Water,Wetland,Wetland
364,Water,Wetland,Water,Wetland,Lichens_and_Mosses
365,Water,Wetland,Water,Wetland,Water
366,Water,Wetland,Water,Wetland,Forest
367,Water,Bareland,NULL,Non_Wetland,Grassland
368,Water,Bareland,NULL,Non_Wetland,Wetland
369,Water,Bareland,NULL,Non_Wetland,Water
370,Water,Bareland,NULL,Non_Wetland,Forest
371,Water,Bareland,Non_Water,Non_Wetland,Grassland
372,Water,Bareland,Non_Water,Non_Wetland,Wetland
373,Water,Bareland,Non_Water,Non_Wetland,Water
374,Water,Bareland,Non_Water,Non_Wetland,Forest
375,Water,Bareland,Water,Non_Wetland,Grassland
376,Water,Bareland,Water,Non_Wetland,Wetland
377,Water,Bareland,Water,Non_Wetland,Water
378,Water,Bareland,Water,Non_Wetland,Forest
379,Water,Built-up,NULL,Non_Wetland,Grassland
380,Water,Built-up,NULL,Non_Wetland,Bareland
381,Water,Built-up,NULL,Non_Wetland,Water
382,Water,Built-up,NULL,Non_Wetland,Forest
383,Water,Built-up,Water,Non_Wetland,Grassland
384,Water,Built-up,Water,Non_Wetland,Wetland
385,Water,Built-up,Water,Non_Wetland,Bareland
386,Water,Built-up,Water,Non_Wetland,Water
387,Water,Built-up,Water,Non_Wetland,Forest
388,Water,Water,NULL,Water,NULL
389,Water,Water,NULL,Water,Grassland
390,Water,Water,NULL,Water,Wetland
391,Water,Water,NULL,Water,Bareland
392,Water,Water,NULL,Water,Water
393,Water,Water,NULL,Water,Forest
394,Water,Water,Non_Water,Water,Grassland
395,Water,Water,Non_Water,Water,Wetland
396,Water,Water,Non_Water,Water,Water
397,Water,Water,Non_Water,Water,Forest
398,Water,Water,Water,Water,NULL
399,Water,Water,Water,Water,Grassland
400,Water,Water,Water,Water,Wetland
401,Water,Water,Water,Water,Water
402,Water,Water,Water,Water,Forest
403,Water,Forest,NULL,Non_Wetland,NULL
404,Water,Forest,NULL,Non_Wetland,Grassland
405,Water,Forest,NULL,Non_Wetland,Wetland
406,Water,Forest,NULL,Non_Wetland,Water
407,Water,Forest,NULL,Non_Wetland,Forest
408,Water,Forest,Non_Water,Non_Wetland,Grassland
409,Water,Forest,Non_Water,Non_Wetland,Wetland
410,Water,Forest,Non_Water,Non_Wetland,Water
411,Water,Forest,Non_Water,Non_Wetland,Forest
412,Water,Forest,Water,Non_Wetland,NULL
413,Water,Forest,Water,Non_Wetland,Grassland
414,Water,Forest,Water,Non_Wetland,Wetland
415,Water,Forest,Water,Non_Wetland,Water
416,Water,Forest,Water,Non_Wetland,Forest
417,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Grassland
418,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Forest
419,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
420,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
421,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
422,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
423,Forest,NULL,NULL,Non_Wetland,NULL
424,Forest,NULL,NULL,Non_Wetland,Grassland
425,Forest,NULL,NULL,Non_Wetland,Wetland
426,Forest,NULL,NULL,Non_Wetland,Lichens_and_Mosses
427,Forest,NULL,NULL,Non_Wetland,Built-up
428,Forest,NULL,NULL,Non_Wetland,Water
429,Forest,NULL,NULL,Non_Wetland,Forest
430,Forest,NULL,Non_Water,Non_Wetland,Grassland
431,Forest,NULL,Non_Water,Non_Wetland,Wetland
432,Forest,NULL,Non_Water,Non_Wetland,Forest
433,Forest,NULL,Water,Non_Wetland,Grassland
434,Forest,NULL,Water,Non_Wetland,Wetland
435,Forest,NULL,Water,Non_Wetland,Water
436,Forest,NULL,Water,Non_Wetland,Forest
437,Forest,Shrubland,NULL,Non_Wetland,NULL
438,Forest,Shrubland,NULL,Non_Wetland,Grassland
439,Forest,Shrubland,NULL,Non_Wetland,Wetland
440,Forest,Shrubland,NULL,Non_Wetland,Built-up
441,Forest,Shrubland,NULL,Non_Wetland,Forest
442,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
443,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
444,Forest,Shrubland,Non_Water,Non_Wetland,Forest
445,Forest,Shrubland,Water,Non_Wetland,Forest
446,Forest,Grassland,NULL,Non_Wetland,Grassland
447,Forest,Grassland,NULL,Non_Wetland,Wetland
448,Forest,Grassland,NULL,Non_Wetland,Built-up
449,Forest,Grassland,NULL,Non_Wetland,Forest
450,Forest,Cropland,NULL,Non_Wetland,NULL
451,Forest,Cropland,NULL,Non_Wetland,Grassland
452,Forest,Cropland,NULL,Non_Wetland,Cropland
453,Forest,Cropland,NULL,Non_Wetland,Wetland
454,Forest,Cropland,NULL,Non_Wetland,Bareland
455,Forest,Cropland,NULL,Non_Wetland,Built-up
456,Forest,Cropland,NULL,Non_Wetland,Forest
457,Forest,Cropland,Non_Water,Non_Wetland,Grassland
458,Forest,Cropland,Non_Water,Non_Wetland,Wetland
459,Forest,Cropland,Non_Water,Non_Wetland,Forest
460,Forest,Cropland,Water,Non_Wetland,Forest
461,Forest,Wetland,NULL,Wetland,NULL
462,Forest,Wetland,NULL,Wetland,Grassland
463,Forest,Wetland,NULL,Wetland,Wetland
464,Forest,Wetland,NULL,Wetland,Built-up
465,Forest,Wetland,NULL,Wetland,Water
466,Forest,Wetland,NULL,Wetland,Forest
467,Forest,Wetland,Non_Water,Wetland,NULL
468,Forest,Wetland,Non_Water,Wetland,Grassland
469,Forest,Wetland,Non_Water,Wetland,Wetland
470,Forest,Wetland,Non_Water,Wetland,Water
471,Forest,Wetland,Non_Water,Wetland,Forest
472,Forest,Wetland,Water,Wetland,Grassland
473,Forest,Wetland,Water,Wetland,Wetland
474,Forest,Wetland,Water,Wetland,Water
475,Forest,Wetland,Water,Wetland,Forest
476,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
477,Forest,Bareland,NULL,Non_Wetland,NULL
478,Forest,Bareland,NULL,Non_Wetland,Grassland
479,Forest,Bareland,NULL,Non_Wetland,Cropland
480,Forest,Bareland,NULL,Non_Wetland,Wetland
481,Forest,Bareland,NULL,Non_Wetland,Bareland
482,Forest,Bareland,NULL,Non_Wetland,Built-up
483,Forest,Bareland,NULL,Non_Wetland,Water
484,Forest,Bareland,NULL,Non_Wetland,Forest
485,Forest,Bareland,Non_Water,Non_Wetland,Grassland
486,Forest,Bareland,Non_Water,Non_Wetland,Wetland
487,Forest,Bareland,Non_Water,Non_Wetland,Water
488,Forest,Bareland,Non_Water,Non_Wetland,Forest
489,Forest,Bareland,Water,Non_Wetland,Grassland
490,Forest,Bareland,Water,Non_Wetland,Wetland
491,Forest,Bareland,Water,Non_Wetland,Forest
492,Forest,Built-up,NULL,Non_Wetland,Grassland
493,Forest,Built-up,NULL,Non_Wetland,Cropland
494,Forest,Built-up,NULL,Non_Wetland,Wetland
495,Forest,Built-up,NULL,Non_Wetland,Built-up
496,Forest,Built-up,NULL,Non_Wetland,Water
497,Forest,Built-up,NULL,Non_Wetland,Forest
498,Forest,Built-up,Water,Non_Wetland,Grassland
499,Forest,Built-up,Water,Non_Wetland,Built-up
500,Forest,Water,NULL,Water,Grassland
501,Forest,Water,NULL,Water,Wetland
502,Forest,Water,NULL,Water,Water
503,Forest,Water,NULL,Water,Forest
504,Forest,Water,Non_Water,Water,Wetland
505,Forest,Water,Non_Water,Water,Forest
506,Forest,Water,Water,Water,Grassland
507,Forest,Water,Water,Water,Wetland
508,Forest,Water,Water,Water,Built-up
509,Forest,Water,Water,Water,Water
510,Forest,Water,Water,Water,Forest
