Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VEH_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VEH_M_R,SIBERIA_2024_GSW_Yearly_2021_43VEH_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VEH_M_R,SIBERIA_2024_WorldCover_2021_43VEH_M_R
266,Cropland,Forest,Non_Water,Non_Wetland,Forest
267,Cropland,Forest,Water,Non_Wetland,NULL
268,Cropland,Forest,Water,Non_Wetland,Grassland
269,Cropland,Forest,Water,Non_Wetland,Wetland
270,Cropland,Forest,Water,Non_Wetland,Bareland
271,Cropland,Forest,Water,Non_Wetland,Water
272,Cropland,Forest,Water,Non_Wetland,Forest
273,Wetland,NULL,NULL,Non_Wetland,NULL
274,Wetland,NULL,NULL,Non_Wetland,Grassland
275,Wetland,NULL,NULL,Non_Wetland,Wetland
276,Wetland,NULL,NULL,Non_Wetland,Built-up
277,Wetland,NULL,NULL,Non_Wetland,Water
278,Wetland,NULL,NULL,Non_Wetland,Forest
279,Wetland,NULL,Non_Water,Non_Wetland,Grassland
280,Wetland,NULL,Non_Water,Non_Wetland,Wetland
281,Wetland,NULL,Non_Water,Non_Wetland,Water
282,Wetland,NULL,Non_Water,Non_Wetland,Forest
283,Wetland,NULL,Water,Non_Wetland,Grassland
284,Wetland,NULL,Water,Non_Wetland,Wetland
285,Wetland,NULL,Water,Non_Wetland,Water
286,Wetland,NULL,Water,Non_Wetland,Forest
287,Wetland,Shrubland,NULL,Non_Wetland,NULL
288,Wetland,Shrubland,NULL,Non_Wetland,Grassland
289,Wetland,Shrubland,NULL,Non_Wetland,Wetland
290,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
291,Wetland,Shrubland,NULL,Non_Wetland,Bareland
292,Wetland,Shrubland,NULL,Non_Wetland,Built-up
293,Wetland,Shrubland,NULL,Non_Wetland,Water
294,Wetland,Shrubland,NULL,Non_Wetland,Forest
295,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
296,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
297,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
298,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
299,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
300,Wetland,Shrubland,Non_Water,Non_Wetland,Water
301,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
302,Wetland,Shrubland,Water,Non_Wetland,NULL
303,Wetland,Shrubland,Water,Non_Wetland,Grassland
304,Wetland,Shrubland,Water,Non_Wetland,Wetland
305,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
306,Wetland,Shrubland,Water,Non_Wetland,Bareland
307,Wetland,Shrubland,Water,Non_Wetland,Built-up
308,Wetland,Shrubland,Water,Non_Wetland,Water
309,Wetland,Shrubland,Water,Non_Wetland,Forest
310,Wetland,Grassland,NULL,Non_Wetland,NULL
311,Wetland,Grassland,NULL,Non_Wetland,Grassland
312,Wetland,Grassland,NULL,Non_Wetland,Wetland
313,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
314,Wetland,Grassland,NULL,Non_Wetland,Bareland
315,Wetland,Grassland,NULL,Non_Wetland,Built-up
316,Wetland,Grassland,NULL,Non_Wetland,Water
317,Wetland,Grassland,NULL,Non_Wetland,Forest
318,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
319,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
320,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
321,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
322,Wetland,Grassland,Non_Water,Non_Wetland,Built-up
323,Wetland,Grassland,Non_Water,Non_Wetland,Forest
324,Wetland,Grassland,Water,Non_Wetland,Grassland
325,Wetland,Grassland,Water,Non_Wetland,Wetland
326,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
327,Wetland,Grassland,Water,Non_Wetland,Bareland
328,Wetland,Grassland,Water,Non_Wetland,Built-up
329,Wetland,Grassland,Water,Non_Wetland,Water
330,Wetland,Grassland,Water,Non_Wetland,Forest
331,Wetland,Wetland,NULL,Wetland,NULL
332,Wetland,Wetland,NULL,Wetland,Grassland
333,Wetland,Wetland,NULL,Wetland,Wetland
334,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
335,Wetland,Wetland,NULL,Wetland,Bareland
336,Wetland,Wetland,NULL,Wetland,Built-up
337,Wetland,Wetland,NULL,Wetland,Water
338,Wetland,Wetland,NULL,Wetland,Forest
339,Wetland,Wetland,Non_Water,Wetland,NULL
340,Wetland,Wetland,Non_Water,Wetland,Grassland
341,Wetland,Wetland,Non_Water,Wetland,Wetland
342,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
343,Wetland,Wetland,Non_Water,Wetland,Bareland
344,Wetland,Wetland,Non_Water,Wetland,Built-up
345,Wetland,Wetland,Non_Water,Wetland,Water
346,Wetland,Wetland,Non_Water,Wetland,Forest
347,Wetland,Wetland,Water,Wetland,NULL
348,Wetland,Wetland,Water,Wetland,Grassland
349,Wetland,Wetland,Water,Wetland,Wetland
350,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
351,Wetland,Wetland,Water,Wetland,Bareland
352,Wetland,Wetland,Water,Wetland,Built-up
353,Wetland,Wetland,Water,Wetland,Water
354,Wetland,Wetland,Water,Wetland,Forest
355,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
356,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
357,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
358,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
359,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
360,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
361,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
362,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
363,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
364,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
365,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
366,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
367,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
368,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
369,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
370,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Built-up
371,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
372,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
373,Wetland,Bareland,NULL,Non_Wetland,NULL
374,Wetland,Bareland,NULL,Non_Wetland,Grassland
375,Wetland,Bareland,NULL,Non_Wetland,Wetland
376,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
377,Wetland,Bareland,NULL,Non_Wetland,Bareland
378,Wetland,Bareland,NULL,Non_Wetland,Built-up
379,Wetland,Bareland,NULL,Non_Wetland,Water
380,Wetland,Bareland,NULL,Non_Wetland,Forest
381,Wetland,Bareland,Non_Water,Non_Wetland,NULL
382,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
383,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
384,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
385,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
386,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
387,Wetland,Bareland,Non_Water,Non_Wetland,Water
388,Wetland,Bareland,Non_Water,Non_Wetland,Forest
389,Wetland,Bareland,Water,Non_Wetland,NULL
390,Wetland,Bareland,Water,Non_Wetland,Grassland
391,Wetland,Bareland,Water,Non_Wetland,Wetland
392,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
393,Wetland,Bareland,Water,Non_Wetland,Bareland
394,Wetland,Bareland,Water,Non_Wetland,Built-up
395,Wetland,Bareland,Water,Non_Wetland,Water
396,Wetland,Bareland,Water,Non_Wetland,Forest
397,Wetland,Built-up,NULL,Non_Wetland,NULL
398,Wetland,Built-up,NULL,Non_Wetland,Grassland
399,Wetland,Built-up,NULL,Non_Wetland,Wetland
400,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
401,Wetland,Built-up,NULL,Non_Wetland,Bareland
402,Wetland,Built-up,NULL,Non_Wetland,Built-up
403,Wetland,Built-up,NULL,Non_Wetland,Water
404,Wetland,Built-up,NULL,Non_Wetland,Forest
405,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
406,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
407,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
408,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
409,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
410,Wetland,Built-up,Non_Water,Non_Wetland,Water
411,Wetland,Built-up,Non_Water,Non_Wetland,Forest
412,Wetland,Built-up,Water,Non_Wetland,Grassland
413,Wetland,Built-up,Water,Non_Wetland,Wetland
414,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
415,Wetland,Built-up,Water,Non_Wetland,Bareland
416,Wetland,Built-up,Water,Non_Wetland,Built-up
417,Wetland,Built-up,Water,Non_Wetland,Water
418,Wetland,Built-up,Water,Non_Wetland,Forest
419,Wetland,Water,NULL,Water,NULL
420,Wetland,Water,NULL,Water,Grassland
421,Wetland,Water,NULL,Water,Wetland
422,Wetland,Water,NULL,Water,Lichens_and_Mosses
423,Wetland,Water,NULL,Water,Bareland
424,Wetland,Water,NULL,Water,Built-up
425,Wetland,Water,NULL,Water,Water
426,Wetland,Water,NULL,Water,Forest
427,Wetland,Water,Non_Water,Water,NULL
428,Wetland,Water,Non_Water,Water,Grassland
429,Wetland,Water,Non_Water,Water,Wetland
430,Wetland,Water,Non_Water,Water,Bareland
431,Wetland,Water,Non_Water,Water,Built-up
432,Wetland,Water,Non_Water,Water,Water
433,Wetland,Water,Non_Water,Water,Forest
434,Wetland,Water,Water,Water,NULL
435,Wetland,Water,Water,Water,Grassland
436,Wetland,Water,Water,Water,Wetland
437,Wetland,Water,Water,Water,Lichens_and_Mosses
438,Wetland,Water,Water,Water,Bareland
439,Wetland,Water,Water,Water,Built-up
440,Wetland,Water,Water,Water,Water
441,Wetland,Water,Water,Water,Forest
442,Wetland,Forest,NULL,Non_Wetland,NULL
443,Wetland,Forest,NULL,Non_Wetland,Grassland
444,Wetland,Forest,NULL,Non_Wetland,Wetland
445,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
446,Wetland,Forest,NULL,Non_Wetland,Bareland
447,Wetland,Forest,NULL,Non_Wetland,Built-up
448,Wetland,Forest,NULL,Non_Wetland,Water
449,Wetland,Forest,NULL,Non_Wetland,Forest
450,Wetland,Forest,Non_Water,Non_Wetland,NULL
451,Wetland,Forest,Non_Water,Non_Wetland,Grassland
452,Wetland,Forest,Non_Water,Non_Wetland,Wetland
453,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
454,Wetland,Forest,Non_Water,Non_Wetland,Bareland
455,Wetland,Forest,Non_Water,Non_Wetland,Built-up
456,Wetland,Forest,Non_Water,Non_Wetland,Water
457,Wetland,Forest,Non_Water,Non_Wetland,Forest
458,Wetland,Forest,Water,Non_Wetland,NULL
459,Wetland,Forest,Water,Non_Wetland,Grassland
460,Wetland,Forest,Water,Non_Wetland,Wetland
461,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
462,Wetland,Forest,Water,Non_Wetland,Bareland
463,Wetland,Forest,Water,Non_Wetland,Built-up
464,Wetland,Forest,Water,Non_Wetland,Water
465,Wetland,Forest,Water,Non_Wetland,Forest
466,Bareland,NULL,NULL,Non_Wetland,Forest
467,Bareland,NULL,Water,Non_Wetland,Forest
468,Bareland,Shrubland,NULL,Non_Wetland,Grassland
469,Bareland,Shrubland,NULL,Non_Wetland,Wetland
470,Bareland,Shrubland,NULL,Non_Wetland,Bareland
471,Bareland,Shrubland,NULL,Non_Wetland,Built-up
472,Bareland,Shrubland,NULL,Non_Wetland,Forest
473,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
474,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
475,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
476,Bareland,Shrubland,Water,Non_Wetland,Grassland
477,Bareland,Shrubland,Water,Non_Wetland,Water
478,Bareland,Grassland,NULL,Non_Wetland,NULL
479,Bareland,Grassland,NULL,Non_Wetland,Grassland
480,Bareland,Grassland,NULL,Non_Wetland,Wetland
