Value,SIBERIA_2024_ESA_CALU_2024_42WXC_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WXC_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WXC_M_R,SIBERIA_2024_GSW_Yearly_2021_42WXC_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WXC_M_R,SIBERIA_2024_WorldCover_2021_42WXC_M_R
109,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
113,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
114,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
115,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
116,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
117,NULL,NULL,Built-up,Water,Non_Wetland,Water
118,NULL,NULL,Water,NULL,NULL,NULL
119,NULL,NULL,Water,NULL,NULL,Bareland
120,NULL,NULL,Water,NULL,NULL,Water
121,NULL,NULL,Water,NULL,Water,Grassland
122,NULL,NULL,Water,NULL,Water,Wetland
123,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
124,NULL,NULL,Water,NULL,Water,Bareland
125,NULL,NULL,Water,NULL,Water,Water
126,NULL,NULL,Water,NULL,Water,Forest
127,NULL,NULL,Water,Non_Water,NULL,Water
128,NULL,NULL,Water,Non_Water,Water,Grassland
129,NULL,NULL,Water,Non_Water,Water,Wetland
130,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
131,NULL,NULL,Water,Non_Water,Water,Bareland
132,NULL,NULL,Water,Non_Water,Water,Water
133,NULL,NULL,Water,Water,NULL,Bareland
134,NULL,NULL,Water,Water,NULL,Water
135,NULL,NULL,Water,Water,Water,Grassland
136,NULL,NULL,Water,Water,Water,Wetland
137,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
138,NULL,NULL,Water,Water,Water,Bareland
139,NULL,NULL,Water,Water,Water,Water
140,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
141,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
142,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
143,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
144,NULL,NULL,Forest,NULL,Non_Wetland,Water
145,NULL,NULL,Forest,NULL,Non_Wetland,Forest
146,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
147,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
148,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
149,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
150,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
151,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
152,NULL,NULL,Forest,Water,Non_Wetland,Grassland
153,NULL,NULL,Forest,Water,Non_Wetland,Wetland
154,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
155,NULL,NULL,Forest,Water,Non_Wetland,Bareland
156,NULL,NULL,Forest,Water,Non_Wetland,Water
157,NULL,NULL,Forest,Water,Non_Wetland,Forest
158,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland
159,NULL,Cropland,NULL,Water,Non_Wetland,Wetland
160,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
161,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
162,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
163,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
164,NULL,Cropland,Grassland,Water,Non_Wetland,Wetland
165,NULL,Cropland,Wetland,NULL,Wetland,Wetland
166,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
167,NULL,Cropland,Wetland,Water,Wetland,Wetland
168,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
169,NULL,Cropland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
170,NULL,Cropland,Lichens_and_Mosses,Water,Non_Wetland,Water
171,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
172,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
173,NULL,Cropland,Bareland,Water,Non_Wetland,Wetland
174,NULL,Cropland,Water,Water,Water,Wetland
175,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
176,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
177,NULL,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
178,NULL,Wetland,NULL,NULL,Non_Wetland,Water
179,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
180,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
181,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
182,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water
183,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
184,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
185,NULL,Wetland,NULL,Water,Non_Wetland,Water
186,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
187,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
188,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
189,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
190,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
191,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
192,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
193,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
194,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
195,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
196,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
197,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
198,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
199,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
200,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
201,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
202,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
203,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
204,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
205,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
206,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
207,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
208,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
209,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
210,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
211,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
212,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
213,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
214,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
215,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland
216,NULL,Wetland,Grassland,Water,Non_Wetland,Water
217,NULL,Wetland,Grassland,Water,Non_Wetland,Forest
218,NULL,Wetland,Wetland,NULL,NULL,Grassland
219,NULL,Wetland,Wetland,NULL,NULL,Wetland
220,NULL,Wetland,Wetland,NULL,NULL,Bareland
221,NULL,Wetland,Wetland,NULL,NULL,Water
222,NULL,Wetland,Wetland,NULL,Wetland,Grassland
223,NULL,Wetland,Wetland,NULL,Wetland,Wetland
224,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
225,NULL,Wetland,Wetland,NULL,Wetland,Bareland
226,NULL,Wetland,Wetland,NULL,Wetland,Built-up
227,NULL,Wetland,Wetland,NULL,Wetland,Water
228,NULL,Wetland,Wetland,NULL,Wetland,Forest
229,NULL,Wetland,Wetland,Non_Water,NULL,Wetland
230,NULL,Wetland,Wetland,Non_Water,NULL,Bareland
231,NULL,Wetland,Wetland,Non_Water,NULL,Water
232,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
233,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
234,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
235,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
236,NULL,Wetland,Wetland,Non_Water,Wetland,Built-up
237,NULL,Wetland,Wetland,Non_Water,Wetland,Water
238,NULL,Wetland,Wetland,Non_Water,Wetland,Permanent_ice_and_snow
239,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
240,NULL,Wetland,Wetland,Water,NULL,Wetland
241,NULL,Wetland,Wetland,Water,NULL,Bareland
242,NULL,Wetland,Wetland,Water,NULL,Water
243,NULL,Wetland,Wetland,Water,Wetland,Grassland
244,NULL,Wetland,Wetland,Water,Wetland,Wetland
245,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
246,NULL,Wetland,Wetland,Water,Wetland,Bareland
247,NULL,Wetland,Wetland,Water,Wetland,Water
248,NULL,Wetland,Wetland,Water,Wetland,Forest
249,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
250,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
251,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
252,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
253,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
254,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
255,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
256,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
257,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
258,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
259,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
260,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
261,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
262,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
263,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
264,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
265,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
266,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
267,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
268,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
269,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
270,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
271,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
272,NULL,Wetland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
273,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
274,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
275,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
276,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
277,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
278,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
279,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Forest
280,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
281,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
282,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
283,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
284,NULL,Wetland,Bareland,Water,Non_Wetland,Water
285,NULL,Wetland,Bareland,Water,Non_Wetland,Forest
286,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
287,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
288,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
289,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
290,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
291,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
292,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
293,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
294,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
295,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
296,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
297,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
298,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
299,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
300,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
301,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
302,NULL,Wetland,Built-up,Water,Non_Wetland,Water
303,NULL,Wetland,Water,NULL,NULL,Wetland
304,NULL,Wetland,Water,NULL,Water,Grassland
305,NULL,Wetland,Water,NULL,Water,Wetland
306,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
307,NULL,Wetland,Water,NULL,Water,Bareland
308,NULL,Wetland,Water,NULL,Water,Water
309,NULL,Wetland,Water,NULL,Water,Permanent_ice_and_snow
310,NULL,Wetland,Water,NULL,Water,Forest
311,NULL,Wetland,Water,Non_Water,NULL,Wetland
312,NULL,Wetland,Water,Non_Water,Water,Grassland
313,NULL,Wetland,Water,Non_Water,Water,Wetland
314,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
315,NULL,Wetland,Water,Non_Water,Water,Bareland
316,NULL,Wetland,Water,Non_Water,Water,Water
317,NULL,Wetland,Water,Non_Water,Water,Forest
318,NULL,Wetland,Water,Water,NULL,Water
319,NULL,Wetland,Water,Water,Water,Grassland
320,NULL,Wetland,Water,Water,Water,Wetland
321,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
322,NULL,Wetland,Water,Water,Water,Bareland
323,NULL,Wetland,Water,Water,Water,Water
324,NULL,Wetland,Water,Water,Water,Permanent_ice_and_snow
325,NULL,Wetland,Water,Water,Water,Forest
326,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
327,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
328,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
329,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
330,NULL,Wetland,Forest,NULL,Non_Wetland,Water
331,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
332,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
333,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
334,NULL,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
335,NULL,Wetland,Forest,Non_Water,Non_Wetland,Bareland
336,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
337,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
338,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
339,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
340,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
341,NULL,Wetland,Forest,Water,Non_Wetland,Bareland
342,NULL,Wetland,Forest,Water,Non_Wetland,Water
343,NULL,Wetland,Forest,Water,Non_Wetland,Forest
344,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
345,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
346,NULL,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
347,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
348,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
349,NULL,Bareland,Wetland,NULL,NULL,Wetland
350,NULL,Bareland,Wetland,NULL,NULL,Lichens_and_Mosses
351,NULL,Bareland,Wetland,NULL,NULL,Bareland
352,NULL,Bareland,Wetland,NULL,NULL,Water
353,NULL,Bareland,Wetland,NULL,Wetland,Grassland
354,NULL,Bareland,Wetland,NULL,Wetland,Wetland
355,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
356,NULL,Bareland,Wetland,NULL,Wetland,Bareland
357,NULL,Bareland,Wetland,NULL,Wetland,Built-up
358,NULL,Bareland,Wetland,NULL,Wetland,Water
359,NULL,Bareland,Wetland,Non_Water,NULL,Lichens_and_Mosses
360,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
361,NULL,Bareland,Wetland,Non_Water,NULL,Water
362,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
363,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
364,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
365,NULL,Bareland,Wetland,Non_Water,Wetland,Water
366,NULL,Bareland,Wetland,Water,NULL,Wetland
367,NULL,Bareland,Wetland,Water,NULL,Lichens_and_Mosses
368,NULL,Bareland,Wetland,Water,NULL,Bareland
369,NULL,Bareland,Wetland,Water,NULL,Water
370,NULL,Bareland,Wetland,Water,Wetland,Wetland
371,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
372,NULL,Bareland,Wetland,Water,Wetland,Bareland
373,NULL,Bareland,Wetland,Water,Wetland,Water
374,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
375,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
376,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
377,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
378,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
379,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
380,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
381,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
382,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
383,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
384,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
385,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
386,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
387,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
388,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
389,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
390,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
391,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
392,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
393,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
394,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
395,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
396,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
397,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
398,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
399,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
400,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
401,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
402,NULL,Bareland,Bareland,Water,Non_Wetland,Water
403,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
404,NULL,Bareland,Built-up,NULL,Non_Wetland,Wetland
405,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
406,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
407,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
408,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
409,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
410,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
411,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
412,NULL,Bareland,Built-up,Water,Non_Wetland,Wetland
