Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VVF_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VVF_M_R,SIBERIA_2024_GSW_Yearly_2021_45VVF_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VVF_M_R,SIBERIA_2024_WorldCover_2021_45VVF_M_R
264,Wetland,Wetland,Water,Wetland,Wetland
265,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
266,Wetland,Wetland,Water,Wetland,Bareland
267,Wetland,Wetland,Water,Wetland,Water
268,Wetland,Wetland,Water,Wetland,Forest
269,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
270,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
271,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
272,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
273,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Cropland
274,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
275,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
276,Wetland,Bareland,NULL,Non_Wetland,NULL
277,Wetland,Bareland,NULL,Non_Wetland,Grassland
278,Wetland,Bareland,NULL,Non_Wetland,Cropland
279,Wetland,Bareland,NULL,Non_Wetland,Wetland
280,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
281,Wetland,Bareland,NULL,Non_Wetland,Bareland
282,Wetland,Bareland,NULL,Non_Wetland,Water
283,Wetland,Bareland,NULL,Non_Wetland,Forest
284,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
285,Wetland,Bareland,Non_Water,Non_Wetland,Cropland
286,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
287,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
288,Wetland,Bareland,Non_Water,Non_Wetland,Water
289,Wetland,Bareland,Non_Water,Non_Wetland,Forest
290,Wetland,Bareland,Water,Non_Wetland,Grassland
291,Wetland,Bareland,Water,Non_Wetland,Cropland
292,Wetland,Bareland,Water,Non_Wetland,Wetland
293,Wetland,Bareland,Water,Non_Wetland,Bareland
294,Wetland,Bareland,Water,Non_Wetland,Water
295,Wetland,Bareland,Water,Non_Wetland,Forest
296,Wetland,Built-up,NULL,Non_Wetland,Grassland
297,Wetland,Built-up,NULL,Non_Wetland,Cropland
298,Wetland,Built-up,NULL,Non_Wetland,Wetland
299,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
300,Wetland,Built-up,NULL,Non_Wetland,Bareland
301,Wetland,Built-up,NULL,Non_Wetland,Water
302,Wetland,Built-up,NULL,Non_Wetland,Forest
303,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
304,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
305,Wetland,Built-up,Non_Water,Non_Wetland,Water
306,Wetland,Built-up,Non_Water,Non_Wetland,Forest
307,Wetland,Built-up,Water,Non_Wetland,Grassland
308,Wetland,Built-up,Water,Non_Wetland,Cropland
309,Wetland,Built-up,Water,Non_Wetland,Wetland
310,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
311,Wetland,Built-up,Water,Non_Wetland,Bareland
312,Wetland,Built-up,Water,Non_Wetland,Built-up
313,Wetland,Built-up,Water,Non_Wetland,Water
314,Wetland,Built-up,Water,Non_Wetland,Forest
315,Wetland,Water,NULL,Water,Grassland
316,Wetland,Water,NULL,Water,Wetland
317,Wetland,Water,NULL,Water,Lichens_and_Mosses
318,Wetland,Water,NULL,Water,Water
319,Wetland,Water,NULL,Water,Forest
320,Wetland,Water,Non_Water,Water,Grassland
321,Wetland,Water,Non_Water,Water,Wetland
322,Wetland,Water,Non_Water,Water,Water
323,Wetland,Water,Non_Water,Water,Forest
324,Wetland,Water,Water,Water,Grassland
325,Wetland,Water,Water,Water,Cropland
326,Wetland,Water,Water,Water,Wetland
327,Wetland,Water,Water,Water,Lichens_and_Mosses
328,Wetland,Water,Water,Water,Bareland
329,Wetland,Water,Water,Water,Water
330,Wetland,Water,Water,Water,Forest
331,Wetland,Forest,NULL,Non_Wetland,NULL
332,Wetland,Forest,NULL,Non_Wetland,Grassland
333,Wetland,Forest,NULL,Non_Wetland,Cropland
334,Wetland,Forest,NULL,Non_Wetland,Wetland
335,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
336,Wetland,Forest,NULL,Non_Wetland,Bareland
337,Wetland,Forest,NULL,Non_Wetland,Water
338,Wetland,Forest,NULL,Non_Wetland,Forest
339,Wetland,Forest,Non_Water,Non_Wetland,Grassland
340,Wetland,Forest,Non_Water,Non_Wetland,Cropland
341,Wetland,Forest,Non_Water,Non_Wetland,Wetland
342,Wetland,Forest,Non_Water,Non_Wetland,Water
343,Wetland,Forest,Non_Water,Non_Wetland,Forest
344,Wetland,Forest,Water,Non_Wetland,Grassland
345,Wetland,Forest,Water,Non_Wetland,Cropland
346,Wetland,Forest,Water,Non_Wetland,Wetland
347,Wetland,Forest,Water,Non_Wetland,Bareland
348,Wetland,Forest,Water,Non_Wetland,Water
349,Wetland,Forest,Water,Non_Wetland,Forest
350,Bareland,NULL,NULL,Non_Wetland,Forest
351,Bareland,NULL,Water,Non_Wetland,Grassland
352,Bareland,Shrubland,NULL,Non_Wetland,Grassland
353,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
354,Bareland,Shrubland,NULL,Non_Wetland,Bareland
355,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
356,Bareland,Shrubland,Water,Non_Wetland,Grassland
357,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
358,Bareland,Shrubland,Water,Non_Wetland,Bareland
359,Bareland,Shrubland,Water,Non_Wetland,Water
360,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
361,Bareland,Grassland,NULL,Non_Wetland,Bareland
362,Bareland,Grassland,NULL,Non_Wetland,Forest
363,Bareland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
364,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
365,Bareland,Grassland,Water,Non_Wetland,Cropland
366,Bareland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
367,Bareland,Grassland,Water,Non_Wetland,Bareland
368,Bareland,Grassland,Water,Non_Wetland,Water
369,Bareland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
370,Bareland,Cropland,NULL,Non_Wetland,Bareland
371,Bareland,Cropland,NULL,Non_Wetland,Water
372,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
373,Bareland,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
374,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
375,Bareland,Cropland,Water,Non_Wetland,Grassland
376,Bareland,Cropland,Water,Non_Wetland,Lichens_and_Mosses
377,Bareland,Cropland,Water,Non_Wetland,Bareland
378,Bareland,Cropland,Water,Non_Wetland,Water
379,Bareland,Wetland,NULL,Wetland,Grassland
380,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
381,Bareland,Wetland,NULL,Wetland,Bareland
382,Bareland,Wetland,NULL,Wetland,Forest
383,Bareland,Wetland,Non_Water,Wetland,Grassland
384,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
385,Bareland,Wetland,Non_Water,Wetland,Bareland
386,Bareland,Wetland,Water,Wetland,Grassland
387,Bareland,Wetland,Water,Wetland,Wetland
388,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
389,Bareland,Wetland,Water,Wetland,Bareland
390,Bareland,Wetland,Water,Wetland,Water
391,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
392,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
393,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
394,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
395,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
396,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
397,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
398,Bareland,Bareland,NULL,Non_Wetland,Grassland
399,Bareland,Bareland,NULL,Non_Wetland,Bareland
400,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
401,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
402,Bareland,Bareland,Water,Non_Wetland,Grassland
403,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
404,Bareland,Bareland,Water,Non_Wetland,Bareland
405,Bareland,Bareland,Water,Non_Wetland,Water
406,Bareland,Built-up,NULL,Non_Wetland,Grassland
407,Bareland,Built-up,NULL,Non_Wetland,Bareland
408,Bareland,Built-up,NULL,Non_Wetland,Built-up
409,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
410,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
411,Bareland,Built-up,Water,Non_Wetland,Grassland
412,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
413,Bareland,Built-up,Water,Non_Wetland,Bareland
414,Bareland,Water,NULL,Water,Water
415,Bareland,Water,Water,Water,Grassland
416,Bareland,Water,Water,Water,Lichens_and_Mosses
417,Bareland,Water,Water,Water,Bareland
418,Bareland,Water,Water,Water,Water
419,Bareland,Water,Water,Water,Forest
420,Bareland,Forest,NULL,Non_Wetland,Bareland
421,Bareland,Forest,NULL,Non_Wetland,Water
422,Bareland,Forest,NULL,Non_Wetland,Forest
423,Bareland,Forest,Water,Non_Wetland,Forest
424,Built-up,NULL,NULL,Non_Wetland,Grassland
425,Built-up,NULL,NULL,Non_Wetland,Cropland
426,Built-up,NULL,NULL,Non_Wetland,Built-up
427,Built-up,NULL,NULL,Non_Wetland,Forest
428,Built-up,Shrubland,NULL,Non_Wetland,Grassland
429,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
430,Built-up,Shrubland,NULL,Non_Wetland,Built-up
431,Built-up,Shrubland,NULL,Non_Wetland,Forest
432,Built-up,Grassland,NULL,Non_Wetland,Grassland
433,Built-up,Grassland,NULL,Non_Wetland,Cropland
434,Built-up,Grassland,NULL,Non_Wetland,Wetland
435,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
436,Built-up,Grassland,NULL,Non_Wetland,Bareland
437,Built-up,Grassland,NULL,Non_Wetland,Built-up
438,Built-up,Grassland,NULL,Non_Wetland,Forest
439,Built-up,Grassland,Water,Non_Wetland,Forest
440,Built-up,Cropland,NULL,Non_Wetland,Grassland
441,Built-up,Cropland,NULL,Non_Wetland,Cropland
442,Built-up,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
443,Built-up,Cropland,NULL,Non_Wetland,Bareland
444,Built-up,Cropland,NULL,Non_Wetland,Built-up
445,Built-up,Cropland,NULL,Non_Wetland,Forest
446,Built-up,Cropland,Water,Non_Wetland,Grassland
447,Built-up,Cropland,Water,Non_Wetland,Wetland
448,Built-up,Cropland,Water,Non_Wetland,Forest
449,Built-up,Wetland,NULL,Wetland,Wetland
450,Built-up,Wetland,NULL,Wetland,Built-up
451,Built-up,Wetland,NULL,Wetland,Forest
452,Built-up,Wetland,Water,Wetland,Forest
453,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
454,Built-up,Bareland,NULL,Non_Wetland,Grassland
455,Built-up,Bareland,NULL,Non_Wetland,Cropland
456,Built-up,Bareland,NULL,Non_Wetland,Wetland
457,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
458,Built-up,Bareland,NULL,Non_Wetland,Bareland
459,Built-up,Bareland,NULL,Non_Wetland,Built-up
460,Built-up,Bareland,NULL,Non_Wetland,Forest
461,Built-up,Built-up,NULL,Non_Wetland,Grassland
462,Built-up,Built-up,NULL,Non_Wetland,Cropland
463,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
464,Built-up,Built-up,NULL,Non_Wetland,Bareland
465,Built-up,Built-up,NULL,Non_Wetland,Built-up
466,Built-up,Built-up,NULL,Non_Wetland,Forest
467,Built-up,Water,Water,Water,Forest
468,Built-up,Forest,NULL,Non_Wetland,Grassland
469,Built-up,Forest,NULL,Non_Wetland,Cropland
470,Built-up,Forest,NULL,Non_Wetland,Wetland
471,Built-up,Forest,NULL,Non_Wetland,Lichens_and_Mosses
472,Built-up,Forest,NULL,Non_Wetland,Built-up
473,Built-up,Forest,NULL,Non_Wetland,Forest
474,Built-up,Forest,Water,Non_Wetland,Grassland
475,Built-up,Forest,Water,Non_Wetland,Forest
476,Water,NULL,NULL,Non_Wetland,Grassland
477,Water,NULL,NULL,Non_Wetland,Wetland
478,Water,NULL,NULL,Non_Wetland,Water
479,Water,NULL,NULL,Non_Wetland,Forest
480,Water,NULL,Non_Water,Non_Wetland,Grassland
