Value,SIBERIA_2024_ESA_CALU_2024_44WNE_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_44WNE_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WNE_M_R,SIBERIA_2024_GSW_Yearly_2021_44WNE_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WNE_M_R,SIBERIA_2024_WorldCover_2021_44WNE_M_R
190,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
191,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
192,NULL,Wetland,Wetland,Non_Water,Wetland,Water
193,NULL,Wetland,Wetland,Water,NULL,Grassland
194,NULL,Wetland,Wetland,Water,NULL,Wetland
195,NULL,Wetland,Wetland,Water,NULL,Lichens_and_Mosses
196,NULL,Wetland,Wetland,Water,NULL,Bareland
197,NULL,Wetland,Wetland,Water,NULL,Water
198,NULL,Wetland,Wetland,Water,Wetland,Grassland
199,NULL,Wetland,Wetland,Water,Wetland,Wetland
200,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
201,NULL,Wetland,Wetland,Water,Wetland,Bareland
202,NULL,Wetland,Wetland,Water,Wetland,Water
203,NULL,Wetland,Wetland,Water,Wetland,Forest
204,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
205,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
206,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
207,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
208,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
209,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
210,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
211,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
212,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
213,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
214,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
215,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
216,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
217,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
218,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
219,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
220,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
221,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
222,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
223,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
224,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
225,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
226,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
227,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
228,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
229,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
230,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
231,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
232,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
233,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
234,NULL,Wetland,Bareland,Water,Non_Wetland,Water
235,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
236,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
237,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
238,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
239,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
240,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
241,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
242,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
243,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
244,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
245,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
246,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
247,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
248,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
249,NULL,Wetland,Built-up,Water,Non_Wetland,Water
250,NULL,Wetland,Water,NULL,NULL,Water
251,NULL,Wetland,Water,NULL,Water,Grassland
252,NULL,Wetland,Water,NULL,Water,Wetland
253,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
254,NULL,Wetland,Water,NULL,Water,Bareland
255,NULL,Wetland,Water,NULL,Water,Water
256,NULL,Wetland,Water,NULL,Water,Forest
257,NULL,Wetland,Water,Non_Water,Water,Grassland
258,NULL,Wetland,Water,Non_Water,Water,Wetland
259,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
260,NULL,Wetland,Water,Non_Water,Water,Water
261,NULL,Wetland,Water,Water,NULL,Wetland
262,NULL,Wetland,Water,Water,NULL,Lichens_and_Mosses
263,NULL,Wetland,Water,Water,NULL,Water
264,NULL,Wetland,Water,Water,Water,Grassland
265,NULL,Wetland,Water,Water,Water,Wetland
266,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
267,NULL,Wetland,Water,Water,Water,Bareland
268,NULL,Wetland,Water,Water,Water,Water
269,NULL,Wetland,Water,Water,Water,Forest
270,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
271,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
272,NULL,Wetland,Forest,NULL,Non_Wetland,Water
273,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
274,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
275,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
276,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
277,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
278,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
279,NULL,Wetland,Forest,Water,Non_Wetland,Water
280,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
281,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
282,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
283,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
284,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
285,NULL,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
286,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
287,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
288,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
289,NULL,Bareland,Wetland,NULL,NULL,Wetland
290,NULL,Bareland,Wetland,NULL,NULL,Lichens_and_Mosses
291,NULL,Bareland,Wetland,NULL,NULL,Bareland
292,NULL,Bareland,Wetland,NULL,NULL,Water
293,NULL,Bareland,Wetland,NULL,Wetland,Wetland
294,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
295,NULL,Bareland,Wetland,NULL,Wetland,Bareland
296,NULL,Bareland,Wetland,NULL,Wetland,Water
297,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
298,NULL,Bareland,Wetland,Non_Water,NULL,Water
299,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
300,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
301,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
302,NULL,Bareland,Wetland,Non_Water,Wetland,Water
303,NULL,Bareland,Wetland,Water,NULL,Lichens_and_Mosses
304,NULL,Bareland,Wetland,Water,NULL,Bareland
305,NULL,Bareland,Wetland,Water,NULL,Water
306,NULL,Bareland,Wetland,Water,Wetland,Wetland
307,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
308,NULL,Bareland,Wetland,Water,Wetland,Bareland
309,NULL,Bareland,Wetland,Water,Wetland,Water
310,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
311,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
312,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
313,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
314,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
315,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
316,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
317,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
318,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
319,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
320,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
321,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
322,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
323,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
324,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
325,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
326,NULL,Bareland,Bareland,Water,Non_Wetland,Water
327,NULL,Bareland,Built-up,NULL,Non_Wetland,Wetland
328,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
329,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
330,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
331,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Wetland
332,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
333,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
334,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
335,NULL,Bareland,Built-up,Water,Non_Wetland,Wetland
336,NULL,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
337,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
338,NULL,Bareland,Built-up,Water,Non_Wetland,Water
339,NULL,Bareland,Water,NULL,Water,Wetland
340,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
341,NULL,Bareland,Water,NULL,Water,Bareland
342,NULL,Bareland,Water,Water,NULL,Water
343,NULL,Bareland,Water,Water,Water,Wetland
344,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
345,NULL,Bareland,Water,Water,Water,Bareland
346,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
347,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
348,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland
349,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
350,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
351,NULL,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
352,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Wetland
353,NULL,Built-up,Wetland,NULL,Wetland,Grassland
354,NULL,Built-up,Wetland,NULL,Wetland,Wetland
355,NULL,Built-up,Wetland,NULL,Wetland,Lichens_and_Mosses
356,NULL,Built-up,Wetland,NULL,Wetland,Bareland
357,NULL,Built-up,Wetland,NULL,Wetland,Water
358,NULL,Built-up,Wetland,NULL,Wetland,Forest
359,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland
360,NULL,Built-up,Wetland,Non_Water,Wetland,Water
361,NULL,Built-up,Wetland,Water,NULL,Lichens_and_Mosses
362,NULL,Built-up,Wetland,Water,NULL,Bareland
363,NULL,Built-up,Wetland,Water,NULL,Water
364,NULL,Built-up,Wetland,Water,Wetland,Grassland
365,NULL,Built-up,Wetland,Water,Wetland,Wetland
366,NULL,Built-up,Wetland,Water,Wetland,Lichens_and_Mosses
367,NULL,Built-up,Wetland,Water,Wetland,Bareland
368,NULL,Built-up,Wetland,Water,Wetland,Water
369,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
370,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
371,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
372,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
373,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Water
374,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
375,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
376,NULL,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
377,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
378,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Wetland
379,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
380,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
381,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
382,NULL,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
383,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
384,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
385,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
386,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
387,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
388,NULL,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
389,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
390,NULL,Water,Shrubland,NULL,Non_Wetland,Water
391,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
392,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
393,NULL,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
394,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
395,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
396,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
397,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
398,NULL,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
399,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
400,NULL,Water,Shrubland,Water,Non_Wetland,Water
401,NULL,Water,Shrubland,Water,Non_Wetland,Forest
402,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
403,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
404,NULL,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
405,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
406,NULL,Water,Grassland,NULL,Non_Wetland,Water
407,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
408,NULL,Water,Grassland,Non_Water,Non_Wetland,Wetland
409,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
410,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
411,NULL,Water,Grassland,Water,Non_Wetland,Grassland
412,NULL,Water,Grassland,Water,Non_Wetland,Wetland
