Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43WFU_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WFU_M_R,SIBERIA_2024_GSW_Yearly_2021_43WFU_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WFU_M_R,SIBERIA_2024_WorldCover_2021_43WFU_M_R
170,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
171,Wetland,Shrubland,Water,Non_Wetland,Grassland
172,Wetland,Shrubland,Water,Non_Wetland,Wetland
173,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
174,Wetland,Shrubland,Water,Non_Wetland,Bareland
175,Wetland,Shrubland,Water,Non_Wetland,Water
176,Wetland,Shrubland,Water,Non_Wetland,Forest
177,Wetland,Grassland,NULL,Non_Wetland,Grassland
178,Wetland,Grassland,NULL,Non_Wetland,Wetland
179,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
180,Wetland,Grassland,NULL,Non_Wetland,Bareland
181,Wetland,Grassland,NULL,Non_Wetland,Water
182,Wetland,Grassland,NULL,Non_Wetland,Forest
183,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
184,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
185,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
186,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
187,Wetland,Grassland,Non_Water,Non_Wetland,Water
188,Wetland,Grassland,Non_Water,Non_Wetland,Forest
189,Wetland,Grassland,Water,Non_Wetland,Grassland
190,Wetland,Grassland,Water,Non_Wetland,Wetland
191,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
192,Wetland,Grassland,Water,Non_Wetland,Bareland
193,Wetland,Grassland,Water,Non_Wetland,Water
194,Wetland,Grassland,Water,Non_Wetland,Forest
195,Wetland,Wetland,NULL,NULL,Grassland
196,Wetland,Wetland,NULL,NULL,Wetland
197,Wetland,Wetland,NULL,NULL,Water
198,Wetland,Wetland,NULL,Wetland,Grassland
199,Wetland,Wetland,NULL,Wetland,Wetland
200,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
201,Wetland,Wetland,NULL,Wetland,Bareland
202,Wetland,Wetland,NULL,Wetland,Water
203,Wetland,Wetland,NULL,Wetland,Forest
204,Wetland,Wetland,Non_Water,NULL,Wetland
205,Wetland,Wetland,Non_Water,NULL,Water
206,Wetland,Wetland,Non_Water,Wetland,Grassland
207,Wetland,Wetland,Non_Water,Wetland,Wetland
208,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
209,Wetland,Wetland,Non_Water,Wetland,Bareland
210,Wetland,Wetland,Non_Water,Wetland,Water
211,Wetland,Wetland,Non_Water,Wetland,Forest
212,Wetland,Wetland,Water,NULL,Wetland
213,Wetland,Wetland,Water,NULL,Water
214,Wetland,Wetland,Water,Wetland,Grassland
215,Wetland,Wetland,Water,Wetland,Wetland
216,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
217,Wetland,Wetland,Water,Wetland,Bareland
218,Wetland,Wetland,Water,Wetland,Water
219,Wetland,Wetland,Water,Wetland,Forest
220,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
221,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
222,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
223,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
224,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
225,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
226,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
227,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
228,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
229,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
230,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
231,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
232,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
233,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
234,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
235,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
236,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
237,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
238,Wetland,Bareland,NULL,Non_Wetland,Grassland
239,Wetland,Bareland,NULL,Non_Wetland,Wetland
240,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
241,Wetland,Bareland,NULL,Non_Wetland,Bareland
242,Wetland,Bareland,NULL,Non_Wetland,Water
243,Wetland,Bareland,NULL,Non_Wetland,Forest
244,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
245,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
246,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
247,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
248,Wetland,Bareland,Non_Water,Non_Wetland,Water
249,Wetland,Bareland,Non_Water,Non_Wetland,Forest
250,Wetland,Bareland,Water,Non_Wetland,Grassland
251,Wetland,Bareland,Water,Non_Wetland,Wetland
252,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
253,Wetland,Bareland,Water,Non_Wetland,Bareland
254,Wetland,Bareland,Water,Non_Wetland,Water
255,Wetland,Bareland,Water,Non_Wetland,Forest
256,Wetland,Built-up,NULL,Non_Wetland,Grassland
257,Wetland,Built-up,NULL,Non_Wetland,Wetland
258,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
259,Wetland,Built-up,NULL,Non_Wetland,Bareland
260,Wetland,Built-up,NULL,Non_Wetland,Water
261,Wetland,Built-up,NULL,Non_Wetland,Forest
262,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
263,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
264,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
265,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
266,Wetland,Built-up,Non_Water,Non_Wetland,Water
267,Wetland,Built-up,Water,Non_Wetland,Grassland
268,Wetland,Built-up,Water,Non_Wetland,Wetland
269,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
270,Wetland,Built-up,Water,Non_Wetland,Bareland
271,Wetland,Built-up,Water,Non_Wetland,Water
272,Wetland,Water,NULL,NULL,Wetland
273,Wetland,Water,NULL,NULL,Lichens_and_Mosses
274,Wetland,Water,NULL,NULL,Water
275,Wetland,Water,NULL,Water,Grassland
276,Wetland,Water,NULL,Water,Wetland
277,Wetland,Water,NULL,Water,Lichens_and_Mosses
278,Wetland,Water,NULL,Water,Bareland
279,Wetland,Water,NULL,Water,Water
280,Wetland,Water,NULL,Water,Forest
281,Wetland,Water,Non_Water,Water,Grassland
282,Wetland,Water,Non_Water,Water,Wetland
283,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
284,Wetland,Water,Non_Water,Water,Bareland
285,Wetland,Water,Non_Water,Water,Water
286,Wetland,Water,Non_Water,Water,Forest
287,Wetland,Water,Water,NULL,Wetland
288,Wetland,Water,Water,NULL,Water
289,Wetland,Water,Water,Water,Grassland
290,Wetland,Water,Water,Water,Wetland
291,Wetland,Water,Water,Water,Lichens_and_Mosses
292,Wetland,Water,Water,Water,Bareland
293,Wetland,Water,Water,Water,Water
294,Wetland,Water,Water,Water,Forest
295,Wetland,Forest,NULL,Non_Wetland,Grassland
296,Wetland,Forest,NULL,Non_Wetland,Wetland
297,Wetland,Forest,NULL,Non_Wetland,Water
298,Wetland,Forest,NULL,Non_Wetland,Forest
299,Wetland,Forest,Non_Water,Non_Wetland,Wetland
300,Wetland,Forest,Non_Water,Non_Wetland,Forest
301,Wetland,Forest,Water,Non_Wetland,Grassland
302,Wetland,Forest,Water,Non_Wetland,Wetland
303,Wetland,Forest,Water,Non_Wetland,Water
304,Wetland,Forest,Water,Non_Wetland,Forest
305,Bareland,NULL,Water,Non_Wetland,Bareland
306,Bareland,Shrubland,NULL,Non_Wetland,Grassland
307,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
308,Bareland,Shrubland,NULL,Non_Wetland,Bareland
309,Bareland,Shrubland,NULL,Non_Wetland,Water
310,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
311,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
312,Bareland,Shrubland,Water,Non_Wetland,Wetland
313,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
314,Bareland,Shrubland,Water,Non_Wetland,Bareland
315,Bareland,Shrubland,Water,Non_Wetland,Water
316,Bareland,Grassland,NULL,Non_Wetland,Grassland
317,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
318,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
319,Bareland,Wetland,NULL,Wetland,Bareland
320,Bareland,Wetland,NULL,Wetland,Water
321,Bareland,Wetland,Non_Water,Wetland,Wetland
322,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
323,Bareland,Wetland,Non_Water,Wetland,Bareland
324,Bareland,Wetland,Non_Water,Wetland,Water
325,Bareland,Wetland,Water,Wetland,Wetland
326,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
327,Bareland,Wetland,Water,Wetland,Bareland
328,Bareland,Wetland,Water,Wetland,Water
329,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
330,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
331,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
332,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
333,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
334,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
335,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
336,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
337,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
338,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
339,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
340,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
341,Bareland,Bareland,NULL,Non_Wetland,Wetland
342,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
343,Bareland,Bareland,NULL,Non_Wetland,Bareland
344,Bareland,Bareland,NULL,Non_Wetland,Water
345,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
346,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
347,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
348,Bareland,Bareland,Non_Water,Non_Wetland,Water
349,Bareland,Bareland,Water,Non_Wetland,Wetland
350,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
351,Bareland,Bareland,Water,Non_Wetland,Bareland
352,Bareland,Bareland,Water,Non_Wetland,Water
353,Bareland,Built-up,NULL,Non_Wetland,Grassland
354,Bareland,Built-up,NULL,Non_Wetland,Wetland
355,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
356,Bareland,Built-up,NULL,Non_Wetland,Bareland
357,Bareland,Built-up,NULL,Non_Wetland,Water
358,Bareland,Built-up,Non_Water,Non_Wetland,Wetland
359,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
360,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
361,Bareland,Built-up,Non_Water,Non_Wetland,Water
362,Bareland,Built-up,Water,Non_Wetland,Wetland
363,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
364,Bareland,Built-up,Water,Non_Wetland,Bareland
365,Bareland,Built-up,Water,Non_Wetland,Water
366,Bareland,Water,NULL,Water,Bareland
367,Bareland,Water,NULL,Water,Water
368,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
369,Bareland,Water,Water,Water,Wetland
370,Bareland,Water,Water,Water,Lichens_and_Mosses
371,Bareland,Water,Water,Water,Bareland
372,Bareland,Water,Water,Water,Water
373,Built-up,Shrubland,NULL,Non_Wetland,Grassland
374,Built-up,Shrubland,NULL,Non_Wetland,Wetland
375,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
376,Built-up,Shrubland,NULL,Non_Wetland,Water
377,Built-up,Shrubland,NULL,Non_Wetland,Forest
378,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland
379,Built-up,Shrubland,Water,Non_Wetland,Grassland
380,Built-up,Shrubland,Water,Non_Wetland,Wetland
381,Built-up,Grassland,NULL,Non_Wetland,Grassland
382,Built-up,Grassland,NULL,Non_Wetland,Wetland
383,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
384,Built-up,Wetland,NULL,Wetland,Grassland
385,Built-up,Wetland,NULL,Wetland,Wetland
386,Built-up,Wetland,NULL,Wetland,Lichens_and_Mosses
387,Built-up,Wetland,NULL,Wetland,Bareland
388,Built-up,Wetland,NULL,Wetland,Built-up
389,Built-up,Wetland,NULL,Wetland,Water
390,Built-up,Wetland,Non_Water,Wetland,Wetland
391,Built-up,Wetland,Non_Water,Wetland,Bareland
392,Built-up,Wetland,Non_Water,Wetland,Built-up
393,Built-up,Wetland,Non_Water,Wetland,Water
394,Built-up,Wetland,Water,Wetland,Grassland
395,Built-up,Wetland,Water,Wetland,Wetland
396,Built-up,Wetland,Water,Wetland,Lichens_and_Mosses
397,Built-up,Wetland,Water,Wetland,Bareland
398,Built-up,Wetland,Water,Wetland,Built-up
399,Built-up,Wetland,Water,Wetland,Water
400,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
401,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
402,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
403,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
404,Built-up,Bareland,NULL,Non_Wetland,Grassland
405,Built-up,Bareland,NULL,Non_Wetland,Wetland
406,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
407,Built-up,Bareland,NULL,Non_Wetland,Bareland
408,Built-up,Bareland,Water,Non_Wetland,Grassland
409,Built-up,Bareland,Water,Non_Wetland,Wetland
410,Built-up,Bareland,Water,Non_Wetland,Lichens_and_Mosses
411,Built-up,Built-up,NULL,Non_Wetland,Grassland
412,Built-up,Built-up,NULL,Non_Wetland,Wetland
413,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
414,Built-up,Built-up,NULL,Non_Wetland,Bareland
415,Built-up,Built-up,NULL,Non_Wetland,Built-up
416,Built-up,Built-up,NULL,Non_Wetland,Water
417,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
418,Built-up,Built-up,Water,Non_Wetland,Built-up
419,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
420,Water,NULL,NULL,Non_Wetland,Water
421,Water,NULL,Non_Water,Non_Wetland,Wetland
422,Water,NULL,Non_Water,Non_Wetland,Water
423,Water,NULL,Water,Non_Wetland,Water
424,Water,Shrubland,NULL,Non_Wetland,Grassland
425,Water,Shrubland,NULL,Non_Wetland,Wetland
426,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
427,Water,Shrubland,NULL,Non_Wetland,Bareland
428,Water,Shrubland,NULL,Non_Wetland,Water
429,Water,Shrubland,NULL,Non_Wetland,Forest
430,Water,Shrubland,Non_Water,Non_Wetland,Grassland
431,Water,Shrubland,Non_Water,Non_Wetland,Wetland
432,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
433,Water,Shrubland,Non_Water,Non_Wetland,Bareland
434,Water,Shrubland,Non_Water,Non_Wetland,Water
435,Water,Shrubland,Non_Water,Non_Wetland,Forest
436,Water,Shrubland,Water,Non_Wetland,Grassland
437,Water,Shrubland,Water,Non_Wetland,Wetland
438,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
439,Water,Shrubland,Water,Non_Wetland,Bareland
440,Water,Shrubland,Water,Non_Wetland,Water
441,Water,Shrubland,Water,Non_Wetland,Forest
442,Water,Grassland,NULL,Non_Wetland,Grassland
443,Water,Grassland,NULL,Non_Wetland,Wetland
444,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
445,Water,Grassland,NULL,Non_Wetland,Bareland
446,Water,Grassland,NULL,Non_Wetland,Water
447,Water,Grassland,NULL,Non_Wetland,Forest
448,Water,Grassland,Non_Water,Non_Wetland,Grassland
449,Water,Grassland,Non_Water,Non_Wetland,Wetland
450,Water,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
451,Water,Grassland,Non_Water,Non_Wetland,Water
452,Water,Grassland,Water,Non_Wetland,Grassland
453,Water,Grassland,Water,Non_Wetland,Wetland
454,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
455,Water,Grassland,Water,Non_Wetland,Water
456,Water,Grassland,Water,Non_Wetland,Forest
457,Water,Wetland,NULL,NULL,Wetland
458,Water,Wetland,NULL,NULL,Lichens_and_Mosses
459,Water,Wetland,NULL,NULL,Bareland
460,Water,Wetland,NULL,NULL,Water
461,Water,Wetland,NULL,Wetland,Grassland
462,Water,Wetland,NULL,Wetland,Wetland
463,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
464,Water,Wetland,NULL,Wetland,Bareland
465,Water,Wetland,NULL,Wetland,Water
466,Water,Wetland,NULL,Wetland,Forest
467,Water,Wetland,Non_Water,NULL,Water
468,Water,Wetland,Non_Water,Wetland,Grassland
469,Water,Wetland,Non_Water,Wetland,Wetland
470,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
471,Water,Wetland,Non_Water,Wetland,Bareland
