Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VEK_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VEK_M_R,SIBERIA_2024_GSW_Yearly_2021_43VEK_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VEK_M_R,SIBERIA_2024_WorldCover_2021_43VEK_M_R
263,Wetland,Wetland,Water,Wetland,Water
264,Wetland,Wetland,Water,Wetland,Forest
265,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
266,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
267,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
268,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
269,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
270,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
271,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
272,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
273,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
274,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
275,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
276,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
277,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
278,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
279,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
280,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
281,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
282,Wetland,Bareland,NULL,Non_Wetland,NULL
283,Wetland,Bareland,NULL,Non_Wetland,Grassland
284,Wetland,Bareland,NULL,Non_Wetland,Cropland
285,Wetland,Bareland,NULL,Non_Wetland,Wetland
286,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
287,Wetland,Bareland,NULL,Non_Wetland,Bareland
288,Wetland,Bareland,NULL,Non_Wetland,Built-up
289,Wetland,Bareland,NULL,Non_Wetland,Water
290,Wetland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
291,Wetland,Bareland,NULL,Non_Wetland,Forest
292,Wetland,Bareland,Non_Water,Non_Wetland,NULL
293,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
294,Wetland,Bareland,Non_Water,Non_Wetland,Cropland
295,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
296,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
297,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
298,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
299,Wetland,Bareland,Non_Water,Non_Wetland,Water
300,Wetland,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
301,Wetland,Bareland,Non_Water,Non_Wetland,Forest
302,Wetland,Bareland,Water,Non_Wetland,NULL
303,Wetland,Bareland,Water,Non_Wetland,Grassland
304,Wetland,Bareland,Water,Non_Wetland,Wetland
305,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
306,Wetland,Bareland,Water,Non_Wetland,Bareland
307,Wetland,Bareland,Water,Non_Wetland,Built-up
308,Wetland,Bareland,Water,Non_Wetland,Water
309,Wetland,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
310,Wetland,Bareland,Water,Non_Wetland,Forest
311,Wetland,Built-up,NULL,Non_Wetland,NULL
312,Wetland,Built-up,NULL,Non_Wetland,Grassland
313,Wetland,Built-up,NULL,Non_Wetland,Wetland
314,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
315,Wetland,Built-up,NULL,Non_Wetland,Bareland
316,Wetland,Built-up,NULL,Non_Wetland,Built-up
317,Wetland,Built-up,NULL,Non_Wetland,Water
318,Wetland,Built-up,NULL,Non_Wetland,Forest
319,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
320,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
321,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
322,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
323,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
324,Wetland,Built-up,Non_Water,Non_Wetland,Water
325,Wetland,Built-up,Non_Water,Non_Wetland,Forest
326,Wetland,Built-up,Water,Non_Wetland,Grassland
327,Wetland,Built-up,Water,Non_Wetland,Wetland
328,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
329,Wetland,Built-up,Water,Non_Wetland,Bareland
330,Wetland,Built-up,Water,Non_Wetland,Built-up
331,Wetland,Built-up,Water,Non_Wetland,Water
332,Wetland,Built-up,Water,Non_Wetland,Forest
333,Wetland,Water,NULL,Water,NULL
334,Wetland,Water,NULL,Water,Grassland
335,Wetland,Water,NULL,Water,Wetland
336,Wetland,Water,NULL,Water,Lichens_and_Mosses
337,Wetland,Water,NULL,Water,Bareland
338,Wetland,Water,NULL,Water,Built-up
339,Wetland,Water,NULL,Water,Water
340,Wetland,Water,NULL,Water,Forest
341,Wetland,Water,Non_Water,Water,NULL
342,Wetland,Water,Non_Water,Water,Grassland
343,Wetland,Water,Non_Water,Water,Wetland
344,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
345,Wetland,Water,Non_Water,Water,Bareland
346,Wetland,Water,Non_Water,Water,Built-up
347,Wetland,Water,Non_Water,Water,Water
348,Wetland,Water,Non_Water,Water,Forest
349,Wetland,Water,Water,Water,NULL
350,Wetland,Water,Water,Water,Grassland
351,Wetland,Water,Water,Water,Wetland
352,Wetland,Water,Water,Water,Lichens_and_Mosses
353,Wetland,Water,Water,Water,Bareland
354,Wetland,Water,Water,Water,Built-up
355,Wetland,Water,Water,Water,Water
356,Wetland,Water,Water,Water,Permanent_ice_and_snow
357,Wetland,Water,Water,Water,Forest
358,Wetland,Forest,NULL,Non_Wetland,NULL
359,Wetland,Forest,NULL,Non_Wetland,Grassland
360,Wetland,Forest,NULL,Non_Wetland,Wetland
361,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
362,Wetland,Forest,NULL,Non_Wetland,Bareland
363,Wetland,Forest,NULL,Non_Wetland,Built-up
364,Wetland,Forest,NULL,Non_Wetland,Water
365,Wetland,Forest,NULL,Non_Wetland,Permanent_ice_and_snow
366,Wetland,Forest,NULL,Non_Wetland,Forest
367,Wetland,Forest,Non_Water,Non_Wetland,NULL
368,Wetland,Forest,Non_Water,Non_Wetland,Grassland
369,Wetland,Forest,Non_Water,Non_Wetland,Wetland
370,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
371,Wetland,Forest,Non_Water,Non_Wetland,Bareland
372,Wetland,Forest,Non_Water,Non_Wetland,Built-up
373,Wetland,Forest,Non_Water,Non_Wetland,Water
374,Wetland,Forest,Non_Water,Non_Wetland,Forest
375,Wetland,Forest,Water,Non_Wetland,NULL
376,Wetland,Forest,Water,Non_Wetland,Grassland
377,Wetland,Forest,Water,Non_Wetland,Wetland
378,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
379,Wetland,Forest,Water,Non_Wetland,Bareland
380,Wetland,Forest,Water,Non_Wetland,Built-up
381,Wetland,Forest,Water,Non_Wetland,Water
382,Wetland,Forest,Water,Non_Wetland,Forest
383,Bareland,Shrubland,NULL,Non_Wetland,Bareland
384,Bareland,Shrubland,NULL,Non_Wetland,Forest
385,Bareland,Shrubland,Water,Non_Wetland,Forest
386,Bareland,Grassland,NULL,Non_Wetland,Grassland
387,Bareland,Grassland,NULL,Non_Wetland,Bareland
388,Bareland,Grassland,NULL,Non_Wetland,Forest
389,Bareland,Wetland,NULL,Wetland,Grassland
390,Bareland,Wetland,NULL,Wetland,Wetland
391,Bareland,Wetland,NULL,Wetland,Bareland
392,Bareland,Wetland,NULL,Wetland,Water
393,Bareland,Wetland,NULL,Wetland,Forest
394,Bareland,Wetland,Non_Water,Wetland,Bareland
395,Bareland,Wetland,Non_Water,Wetland,Water
396,Bareland,Wetland,Water,Wetland,Grassland
397,Bareland,Wetland,Water,Wetland,Wetland
398,Bareland,Wetland,Water,Wetland,Bareland
399,Bareland,Wetland,Water,Wetland,Water
400,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
401,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
402,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
403,Bareland,Bareland,NULL,Non_Wetland,Grassland
404,Bareland,Bareland,NULL,Non_Wetland,Wetland
405,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
406,Bareland,Bareland,NULL,Non_Wetland,Bareland
407,Bareland,Bareland,NULL,Non_Wetland,Built-up
408,Bareland,Bareland,NULL,Non_Wetland,Water
409,Bareland,Bareland,NULL,Non_Wetland,Forest
410,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
411,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
412,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
413,Bareland,Bareland,Non_Water,Non_Wetland,Water
414,Bareland,Bareland,Non_Water,Non_Wetland,Forest
415,Bareland,Bareland,Water,Non_Wetland,Bareland
416,Bareland,Bareland,Water,Non_Wetland,Water
417,Bareland,Built-up,NULL,Non_Wetland,Grassland
418,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
419,Bareland,Built-up,NULL,Non_Wetland,Bareland
420,Bareland,Built-up,NULL,Non_Wetland,Built-up
421,Bareland,Built-up,NULL,Non_Wetland,Water
422,Bareland,Built-up,NULL,Non_Wetland,Forest
423,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
424,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
425,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
426,Bareland,Built-up,Non_Water,Non_Wetland,Water
427,Bareland,Built-up,Water,Non_Wetland,Bareland
428,Bareland,Built-up,Water,Non_Wetland,Built-up
429,Bareland,Built-up,Water,Non_Wetland,Water
430,Bareland,Water,NULL,Water,Bareland
431,Bareland,Water,NULL,Water,Water
432,Bareland,Water,Non_Water,Water,Bareland
433,Bareland,Water,Non_Water,Water,Water
434,Bareland,Water,Non_Water,Water,Forest
435,Bareland,Water,Water,Water,Bareland
436,Bareland,Water,Water,Water,Water
437,Bareland,Water,Water,Water,Forest
438,Bareland,Forest,NULL,Non_Wetland,Grassland
439,Bareland,Forest,NULL,Non_Wetland,Wetland
440,Bareland,Forest,NULL,Non_Wetland,Bareland
441,Bareland,Forest,NULL,Non_Wetland,Water
442,Bareland,Forest,NULL,Non_Wetland,Forest
443,Bareland,Forest,Non_Water,Non_Wetland,Bareland
444,Built-up,NULL,NULL,Non_Wetland,Forest
445,Built-up,NULL,Non_Water,Non_Wetland,Forest
446,Built-up,Shrubland,NULL,Non_Wetland,NULL
447,Built-up,Shrubland,NULL,Non_Wetland,Grassland
448,Built-up,Shrubland,NULL,Non_Wetland,Wetland
449,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
450,Built-up,Shrubland,NULL,Non_Wetland,Bareland
451,Built-up,Shrubland,NULL,Non_Wetland,Built-up
452,Built-up,Shrubland,NULL,Non_Wetland,Forest
453,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
454,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
455,Built-up,Grassland,NULL,Non_Wetland,Grassland
456,Built-up,Grassland,NULL,Non_Wetland,Cropland
457,Built-up,Grassland,NULL,Non_Wetland,Wetland
458,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
459,Built-up,Grassland,NULL,Non_Wetland,Bareland
460,Built-up,Grassland,NULL,Non_Wetland,Built-up
461,Built-up,Grassland,NULL,Non_Wetland,Forest
462,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
463,Built-up,Grassland,Water,Non_Wetland,Forest
464,Built-up,Wetland,NULL,Wetland,NULL
465,Built-up,Wetland,NULL,Wetland,Grassland
466,Built-up,Wetland,NULL,Wetland,Wetland
467,Built-up,Wetland,NULL,Wetland,Bareland
468,Built-up,Wetland,NULL,Wetland,Built-up
469,Built-up,Wetland,NULL,Wetland,Water
470,Built-up,Wetland,NULL,Wetland,Forest
471,Built-up,Wetland,Non_Water,Wetland,Water
472,Built-up,Wetland,Non_Water,Wetland,Forest
473,Built-up,Wetland,Water,Wetland,Grassland
474,Built-up,Wetland,Water,Wetland,Wetland
475,Built-up,Wetland,Water,Wetland,Bareland
476,Built-up,Wetland,Water,Wetland,Water
477,Built-up,Wetland,Water,Wetland,Forest
478,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
479,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
