Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WNV_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WNV_M_R,SIBERIA_2024_GSW_Yearly_2021_44WNV_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WNV_M_R,SIBERIA_2024_WorldCover_2021_44WNV_M_R
170,Wetland,NULL,Water,Non_Wetland,Bareland
171,Wetland,NULL,Water,Non_Wetland,Water
172,Wetland,NULL,Water,Non_Wetland,Forest
173,Wetland,Shrubland,NULL,Non_Wetland,Grassland
174,Wetland,Shrubland,NULL,Non_Wetland,Wetland
175,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
176,Wetland,Shrubland,NULL,Non_Wetland,Bareland
177,Wetland,Shrubland,NULL,Non_Wetland,Water
178,Wetland,Shrubland,NULL,Non_Wetland,Forest
179,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
180,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
181,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
182,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
183,Wetland,Shrubland,Non_Water,Non_Wetland,Water
184,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
185,Wetland,Shrubland,Water,Non_Wetland,Grassland
186,Wetland,Shrubland,Water,Non_Wetland,Wetland
187,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
188,Wetland,Shrubland,Water,Non_Wetland,Bareland
189,Wetland,Shrubland,Water,Non_Wetland,Water
190,Wetland,Shrubland,Water,Non_Wetland,Forest
191,Wetland,Grassland,NULL,Non_Wetland,Grassland
192,Wetland,Grassland,NULL,Non_Wetland,Wetland
193,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
194,Wetland,Grassland,NULL,Non_Wetland,Bareland
195,Wetland,Grassland,NULL,Non_Wetland,Water
196,Wetland,Grassland,NULL,Non_Wetland,Forest
197,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
198,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
199,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
200,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
201,Wetland,Grassland,Non_Water,Non_Wetland,Water
202,Wetland,Grassland,Non_Water,Non_Wetland,Forest
203,Wetland,Grassland,Water,Non_Wetland,Grassland
204,Wetland,Grassland,Water,Non_Wetland,Wetland
205,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
206,Wetland,Grassland,Water,Non_Wetland,Bareland
207,Wetland,Grassland,Water,Non_Wetland,Water
208,Wetland,Grassland,Water,Non_Wetland,Forest
209,Wetland,Wetland,NULL,Wetland,Grassland
210,Wetland,Wetland,NULL,Wetland,Wetland
211,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
212,Wetland,Wetland,NULL,Wetland,Bareland
213,Wetland,Wetland,NULL,Wetland,Water
214,Wetland,Wetland,NULL,Wetland,Forest
215,Wetland,Wetland,Non_Water,Wetland,Grassland
216,Wetland,Wetland,Non_Water,Wetland,Wetland
217,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
218,Wetland,Wetland,Non_Water,Wetland,Bareland
219,Wetland,Wetland,Non_Water,Wetland,Water
220,Wetland,Wetland,Non_Water,Wetland,Forest
221,Wetland,Wetland,Water,Wetland,Grassland
222,Wetland,Wetland,Water,Wetland,Wetland
223,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
224,Wetland,Wetland,Water,Wetland,Bareland
225,Wetland,Wetland,Water,Wetland,Water
226,Wetland,Wetland,Water,Wetland,Forest
227,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
228,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
229,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
230,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
231,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
232,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
233,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
234,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
235,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
236,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
237,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
238,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
239,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
240,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
241,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
242,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
243,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
244,Wetland,Bareland,NULL,Non_Wetland,Grassland
245,Wetland,Bareland,NULL,Non_Wetland,Wetland
246,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
247,Wetland,Bareland,NULL,Non_Wetland,Bareland
248,Wetland,Bareland,NULL,Non_Wetland,Built-up
249,Wetland,Bareland,NULL,Non_Wetland,Water
250,Wetland,Bareland,NULL,Non_Wetland,Forest
251,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
252,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
253,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
254,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
255,Wetland,Bareland,Non_Water,Non_Wetland,Water
256,Wetland,Bareland,Non_Water,Non_Wetland,Forest
257,Wetland,Bareland,Water,Non_Wetland,Grassland
258,Wetland,Bareland,Water,Non_Wetland,Wetland
259,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
260,Wetland,Bareland,Water,Non_Wetland,Bareland
261,Wetland,Bareland,Water,Non_Wetland,Water
262,Wetland,Bareland,Water,Non_Wetland,Forest
263,Wetland,Built-up,NULL,Non_Wetland,Grassland
264,Wetland,Built-up,NULL,Non_Wetland,Wetland
265,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
266,Wetland,Built-up,NULL,Non_Wetland,Bareland
267,Wetland,Built-up,NULL,Non_Wetland,Water
268,Wetland,Built-up,NULL,Non_Wetland,Forest
269,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
270,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
271,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
272,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
273,Wetland,Built-up,Non_Water,Non_Wetland,Water
274,Wetland,Built-up,Non_Water,Non_Wetland,Forest
275,Wetland,Built-up,Water,Non_Wetland,Grassland
276,Wetland,Built-up,Water,Non_Wetland,Wetland
277,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
278,Wetland,Built-up,Water,Non_Wetland,Bareland
279,Wetland,Built-up,Water,Non_Wetland,Water
280,Wetland,Built-up,Water,Non_Wetland,Forest
281,Wetland,Water,NULL,Water,Grassland
282,Wetland,Water,NULL,Water,Wetland
283,Wetland,Water,NULL,Water,Lichens_and_Mosses
284,Wetland,Water,NULL,Water,Bareland
285,Wetland,Water,NULL,Water,Water
286,Wetland,Water,NULL,Water,Forest
287,Wetland,Water,Non_Water,Water,Grassland
288,Wetland,Water,Non_Water,Water,Wetland
289,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
290,Wetland,Water,Non_Water,Water,Bareland
291,Wetland,Water,Non_Water,Water,Water
292,Wetland,Water,Non_Water,Water,Forest
293,Wetland,Water,Water,Water,Grassland
294,Wetland,Water,Water,Water,Wetland
295,Wetland,Water,Water,Water,Lichens_and_Mosses
296,Wetland,Water,Water,Water,Bareland
297,Wetland,Water,Water,Water,Water
298,Wetland,Water,Water,Water,Forest
299,Wetland,Forest,NULL,Non_Wetland,Grassland
300,Wetland,Forest,NULL,Non_Wetland,Wetland
301,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
302,Wetland,Forest,NULL,Non_Wetland,Bareland
303,Wetland,Forest,NULL,Non_Wetland,Water
304,Wetland,Forest,NULL,Non_Wetland,Forest
305,Wetland,Forest,Non_Water,Non_Wetland,Grassland
306,Wetland,Forest,Non_Water,Non_Wetland,Wetland
307,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
308,Wetland,Forest,Non_Water,Non_Wetland,Bareland
309,Wetland,Forest,Non_Water,Non_Wetland,Water
310,Wetland,Forest,Non_Water,Non_Wetland,Forest
311,Wetland,Forest,Water,Non_Wetland,Grassland
312,Wetland,Forest,Water,Non_Wetland,Wetland
313,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
314,Wetland,Forest,Water,Non_Wetland,Bareland
315,Wetland,Forest,Water,Non_Wetland,Water
316,Wetland,Forest,Water,Non_Wetland,Forest
317,Bareland,NULL,NULL,Non_Wetland,Grassland
318,Bareland,NULL,NULL,Non_Wetland,Wetland
319,Bareland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
320,Bareland,NULL,NULL,Non_Wetland,Bareland
321,Bareland,NULL,NULL,Non_Wetland,Water
322,Bareland,NULL,NULL,Non_Wetland,Forest
323,Bareland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
324,Bareland,NULL,Water,Non_Wetland,Wetland
325,Bareland,NULL,Water,Non_Wetland,Lichens_and_Mosses
326,Bareland,NULL,Water,Non_Wetland,Bareland
327,Bareland,NULL,Water,Non_Wetland,Water
328,Bareland,Shrubland,NULL,Non_Wetland,Grassland
329,Bareland,Shrubland,NULL,Non_Wetland,Wetland
330,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
331,Bareland,Shrubland,NULL,Non_Wetland,Bareland
332,Bareland,Shrubland,NULL,Non_Wetland,Water
333,Bareland,Shrubland,NULL,Non_Wetland,Forest
334,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
335,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
336,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
337,Bareland,Shrubland,Non_Water,Non_Wetland,Water
338,Bareland,Shrubland,Water,Non_Wetland,Wetland
339,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
340,Bareland,Shrubland,Water,Non_Wetland,Bareland
341,Bareland,Shrubland,Water,Non_Wetland,Water
342,Bareland,Grassland,NULL,Non_Wetland,Grassland
343,Bareland,Grassland,NULL,Non_Wetland,Wetland
344,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
345,Bareland,Grassland,NULL,Non_Wetland,Bareland
346,Bareland,Grassland,NULL,Non_Wetland,Water
347,Bareland,Grassland,NULL,Non_Wetland,Forest
348,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
349,Bareland,Grassland,Water,Non_Wetland,Wetland
350,Bareland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
351,Bareland,Grassland,Water,Non_Wetland,Bareland
352,Bareland,Grassland,Water,Non_Wetland,Water
353,Bareland,Wetland,NULL,Wetland,Grassland
354,Bareland,Wetland,NULL,Wetland,Wetland
355,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
356,Bareland,Wetland,NULL,Wetland,Bareland
357,Bareland,Wetland,NULL,Wetland,Water
358,Bareland,Wetland,Non_Water,Wetland,Grassland
359,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
360,Bareland,Wetland,Non_Water,Wetland,Bareland
361,Bareland,Wetland,Non_Water,Wetland,Water
362,Bareland,Wetland,Water,Wetland,Grassland
363,Bareland,Wetland,Water,Wetland,Wetland
364,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
365,Bareland,Wetland,Water,Wetland,Bareland
366,Bareland,Wetland,Water,Wetland,Water
367,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
368,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
369,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
370,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
371,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
372,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
373,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
374,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
375,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
376,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
377,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
378,Bareland,Bareland,NULL,Non_Wetland,Grassland
379,Bareland,Bareland,NULL,Non_Wetland,Wetland
380,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
381,Bareland,Bareland,NULL,Non_Wetland,Bareland
382,Bareland,Bareland,NULL,Non_Wetland,Water
383,Bareland,Bareland,NULL,Non_Wetland,Forest
384,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
385,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
386,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
387,Bareland,Bareland,Non_Water,Non_Wetland,Water
388,Bareland,Bareland,Water,Non_Wetland,Grassland
389,Bareland,Bareland,Water,Non_Wetland,Wetland
390,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
391,Bareland,Bareland,Water,Non_Wetland,Bareland
392,Bareland,Bareland,Water,Non_Wetland,Water
393,Bareland,Built-up,NULL,Non_Wetland,Grassland
394,Bareland,Built-up,NULL,Non_Wetland,Wetland
395,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
396,Bareland,Built-up,NULL,Non_Wetland,Bareland
397,Bareland,Built-up,NULL,Non_Wetland,Water
398,Bareland,Built-up,NULL,Non_Wetland,Forest
399,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
400,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
401,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
402,Bareland,Built-up,Water,Non_Wetland,Bareland
403,Bareland,Built-up,Water,Non_Wetland,Water
404,Bareland,Water,NULL,Water,Grassland
405,Bareland,Water,NULL,Water,Wetland
406,Bareland,Water,NULL,Water,Lichens_and_Mosses
407,Bareland,Water,NULL,Water,Bareland
408,Bareland,Water,NULL,Water,Water
409,Bareland,Water,NULL,Water,Forest
410,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
411,Bareland,Water,Non_Water,Water,Bareland
412,Bareland,Water,Non_Water,Water,Water
413,Bareland,Water,Water,Water,Wetland
414,Bareland,Water,Water,Water,Lichens_and_Mosses
415,Bareland,Water,Water,Water,Bareland
416,Bareland,Water,Water,Water,Water
417,Bareland,Water,Water,Water,Forest
418,Bareland,Forest,NULL,Non_Wetland,Grassland
419,Bareland,Forest,NULL,Non_Wetland,Wetland
420,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
421,Bareland,Forest,NULL,Non_Wetland,Bareland
422,Bareland,Forest,NULL,Non_Wetland,Water
423,Bareland,Forest,NULL,Non_Wetland,Forest
424,Bareland,Forest,Non_Water,Non_Wetland,Wetland
425,Bareland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
426,Bareland,Forest,Non_Water,Non_Wetland,Bareland
427,Bareland,Forest,Water,Non_Wetland,Wetland
428,Bareland,Forest,Water,Non_Wetland,Lichens_and_Mosses
429,Bareland,Forest,Water,Non_Wetland,Water
430,Bareland,Forest,Water,Non_Wetland,Forest
431,Built-up,NULL,NULL,Non_Wetland,Grassland
432,Built-up,NULL,NULL,Non_Wetland,Wetland
433,Built-up,NULL,NULL,Non_Wetland,Lichens_and_Mosses
434,Built-up,NULL,NULL,Non_Wetland,Bareland
435,Built-up,NULL,NULL,Non_Wetland,Water
436,Built-up,NULL,NULL,Non_Wetland,Forest
437,Built-up,NULL,Non_Water,Non_Wetland,Wetland
438,Built-up,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
439,Built-up,Shrubland,NULL,Non_Wetland,Grassland
440,Built-up,Shrubland,NULL,Non_Wetland,Wetland
441,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
442,Built-up,Shrubland,NULL,Non_Wetland,Bareland
443,Built-up,Shrubland,NULL,Non_Wetland,Water
444,Built-up,Shrubland,NULL,Non_Wetland,Forest
445,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
446,Built-up,Shrubland,Water,Non_Wetland,Bareland
447,Built-up,Shrubland,Water,Non_Wetland,Water
448,Built-up,Grassland,NULL,Non_Wetland,Grassland
449,Built-up,Grassland,NULL,Non_Wetland,Wetland
450,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
451,Built-up,Grassland,NULL,Non_Wetland,Bareland
452,Built-up,Grassland,NULL,Non_Wetland,Water
453,Built-up,Grassland,NULL,Non_Wetland,Forest
454,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
455,Built-up,Grassland,Water,Non_Wetland,Wetland
456,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
457,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
458,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
459,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
460,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Water
461,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
462,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
463,Built-up,Bareland,NULL,Non_Wetland,Grassland
464,Built-up,Bareland,NULL,Non_Wetland,Wetland
465,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
466,Built-up,Bareland,NULL,Non_Wetland,Bareland
