Value,SIBERIA_2024_ESA_CALU_2024_42WVD_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WVD_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WVD_M_R,SIBERIA_2024_GSW_Yearly_2021_42WVD_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WVD_M_R,SIBERIA_2024_WorldCover_2021_42WVD_M_R
189,Shrubland,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
190,Shrubland,NULL,Wetland,NULL,Wetland,Bareland
191,Shrubland,NULL,Wetland,NULL,Wetland,Water
192,Shrubland,NULL,Wetland,NULL,Wetland,Forest
193,Shrubland,NULL,Wetland,Non_Water,Wetland,Grassland
194,Shrubland,NULL,Wetland,Non_Water,Wetland,Wetland
195,Shrubland,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
196,Shrubland,NULL,Wetland,Non_Water,Wetland,Bareland
197,Shrubland,NULL,Wetland,Non_Water,Wetland,Water
198,Shrubland,NULL,Wetland,Non_Water,Wetland,Forest
199,Shrubland,NULL,Wetland,Water,NULL,Wetland
200,Shrubland,NULL,Wetland,Water,NULL,Water
201,Shrubland,NULL,Wetland,Water,Wetland,Grassland
202,Shrubland,NULL,Wetland,Water,Wetland,Wetland
203,Shrubland,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
204,Shrubland,NULL,Wetland,Water,Wetland,Bareland
205,Shrubland,NULL,Wetland,Water,Wetland,Built-up
206,Shrubland,NULL,Wetland,Water,Wetland,Water
207,Shrubland,NULL,Wetland,Water,Wetland,Forest
208,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
209,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
210,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
211,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
212,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
213,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
214,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
215,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
216,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
217,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
218,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
219,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
220,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
221,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
222,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
223,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
224,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
225,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
226,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
227,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
228,Shrubland,NULL,Bareland,NULL,Non_Wetland,Grassland
229,Shrubland,NULL,Bareland,NULL,Non_Wetland,Wetland
230,Shrubland,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
231,Shrubland,NULL,Bareland,NULL,Non_Wetland,Bareland
232,Shrubland,NULL,Bareland,NULL,Non_Wetland,Built-up
233,Shrubland,NULL,Bareland,NULL,Non_Wetland,Water
234,Shrubland,NULL,Bareland,NULL,Non_Wetland,Forest
235,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
236,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
237,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
238,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
239,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Water
240,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Forest
241,Shrubland,NULL,Bareland,Water,Non_Wetland,Grassland
242,Shrubland,NULL,Bareland,Water,Non_Wetland,Wetland
243,Shrubland,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
244,Shrubland,NULL,Bareland,Water,Non_Wetland,Bareland
245,Shrubland,NULL,Bareland,Water,Non_Wetland,Built-up
246,Shrubland,NULL,Bareland,Water,Non_Wetland,Water
247,Shrubland,NULL,Bareland,Water,Non_Wetland,Forest
248,Shrubland,NULL,Built-up,NULL,Non_Wetland,Grassland
249,Shrubland,NULL,Built-up,NULL,Non_Wetland,Wetland
250,Shrubland,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
251,Shrubland,NULL,Built-up,NULL,Non_Wetland,Bareland
252,Shrubland,NULL,Built-up,NULL,Non_Wetland,Built-up
253,Shrubland,NULL,Built-up,NULL,Non_Wetland,Water
254,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
255,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
256,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
257,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
258,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Built-up
259,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Water
260,Shrubland,NULL,Built-up,Water,Non_Wetland,Grassland
261,Shrubland,NULL,Built-up,Water,Non_Wetland,Wetland
262,Shrubland,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
263,Shrubland,NULL,Built-up,Water,Non_Wetland,Bareland
264,Shrubland,NULL,Built-up,Water,Non_Wetland,Built-up
265,Shrubland,NULL,Built-up,Water,Non_Wetland,Water
266,Shrubland,NULL,Water,NULL,NULL,Wetland
267,Shrubland,NULL,Water,NULL,NULL,Water
268,Shrubland,NULL,Water,NULL,Water,Grassland
269,Shrubland,NULL,Water,NULL,Water,Wetland
270,Shrubland,NULL,Water,NULL,Water,Lichens_and_Mosses
271,Shrubland,NULL,Water,NULL,Water,Bareland
272,Shrubland,NULL,Water,NULL,Water,Water
273,Shrubland,NULL,Water,NULL,Water,Forest
274,Shrubland,NULL,Water,Non_Water,Water,Grassland
275,Shrubland,NULL,Water,Non_Water,Water,Wetland
276,Shrubland,NULL,Water,Non_Water,Water,Lichens_and_Mosses
277,Shrubland,NULL,Water,Non_Water,Water,Bareland
278,Shrubland,NULL,Water,Non_Water,Water,Water
279,Shrubland,NULL,Water,Water,NULL,Wetland
280,Shrubland,NULL,Water,Water,NULL,Water
281,Shrubland,NULL,Water,Water,Water,Grassland
282,Shrubland,NULL,Water,Water,Water,Wetland
283,Shrubland,NULL,Water,Water,Water,Lichens_and_Mosses
284,Shrubland,NULL,Water,Water,Water,Bareland
285,Shrubland,NULL,Water,Water,Water,Water
286,Shrubland,NULL,Water,Water,Water,Forest
287,Shrubland,NULL,Forest,NULL,Non_Wetland,Grassland
288,Shrubland,NULL,Forest,NULL,Non_Wetland,Wetland
289,Shrubland,NULL,Forest,NULL,Non_Wetland,Water
290,Shrubland,NULL,Forest,NULL,Non_Wetland,Forest
291,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Grassland
292,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Wetland
293,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Water
294,Shrubland,NULL,Forest,Water,Non_Wetland,Grassland
295,Shrubland,NULL,Forest,Water,Non_Wetland,Wetland
296,Shrubland,NULL,Forest,Water,Non_Wetland,Water
297,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
298,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
299,Wetland,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
300,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
301,Wetland,NULL,Shrubland,NULL,Non_Wetland,Built-up
302,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water
303,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
304,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
305,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
306,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
307,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Water
308,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
309,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
310,Wetland,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
311,Wetland,NULL,Shrubland,Water,Non_Wetland,Bareland
312,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
313,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
314,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
315,Wetland,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
316,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
317,Wetland,NULL,Grassland,NULL,Non_Wetland,Built-up
318,Wetland,NULL,Grassland,NULL,Non_Wetland,Water
319,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
320,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
321,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
322,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
323,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
324,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Water
325,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
326,Wetland,NULL,Grassland,Water,Non_Wetland,Wetland
327,Wetland,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
328,Wetland,NULL,Grassland,Water,Non_Wetland,Bareland
329,Wetland,NULL,Grassland,Water,Non_Wetland,Water
330,Wetland,NULL,Wetland,NULL,NULL,Wetland
331,Wetland,NULL,Wetland,NULL,NULL,Water
332,Wetland,NULL,Wetland,NULL,Wetland,Grassland
333,Wetland,NULL,Wetland,NULL,Wetland,Wetland
334,Wetland,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
335,Wetland,NULL,Wetland,NULL,Wetland,Bareland
336,Wetland,NULL,Wetland,NULL,Wetland,Built-up
337,Wetland,NULL,Wetland,NULL,Wetland,Water
338,Wetland,NULL,Wetland,NULL,Wetland,Permanent_ice_and_snow
339,Wetland,NULL,Wetland,NULL,Wetland,Forest
340,Wetland,NULL,Wetland,Non_Water,NULL,Water
341,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
342,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
343,Wetland,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
344,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland
345,Wetland,NULL,Wetland,Non_Water,Wetland,Built-up
346,Wetland,NULL,Wetland,Non_Water,Wetland,Water
347,Wetland,NULL,Wetland,Water,NULL,Wetland
348,Wetland,NULL,Wetland,Water,NULL,Bareland
349,Wetland,NULL,Wetland,Water,NULL,Water
350,Wetland,NULL,Wetland,Water,Wetland,Grassland
351,Wetland,NULL,Wetland,Water,Wetland,Wetland
352,Wetland,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
353,Wetland,NULL,Wetland,Water,Wetland,Bareland
354,Wetland,NULL,Wetland,Water,Wetland,Built-up
355,Wetland,NULL,Wetland,Water,Wetland,Water
356,Wetland,NULL,Wetland,Water,Wetland,Permanent_ice_and_snow
357,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
358,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
359,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
360,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
361,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
362,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
363,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
364,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
365,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
366,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
367,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
368,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
369,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
370,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
371,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
372,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
373,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Built-up
374,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
375,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
376,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
377,Wetland,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
378,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
379,Wetland,NULL,Bareland,NULL,Non_Wetland,Built-up
380,Wetland,NULL,Bareland,NULL,Non_Wetland,Water
381,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
382,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
383,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
384,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
385,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
386,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Built-up
387,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Water
388,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Forest
389,Wetland,NULL,Bareland,Water,Non_Wetland,Grassland
390,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland
391,Wetland,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
392,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland
393,Wetland,NULL,Bareland,Water,Non_Wetland,Built-up
394,Wetland,NULL,Bareland,Water,Non_Wetland,Water
395,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland
396,Wetland,NULL,Built-up,NULL,Non_Wetland,Wetland
397,Wetland,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
398,Wetland,NULL,Built-up,NULL,Non_Wetland,Bareland
399,Wetland,NULL,Built-up,NULL,Non_Wetland,Built-up
400,Wetland,NULL,Built-up,NULL,Non_Wetland,Water
401,Wetland,NULL,Built-up,NULL,Non_Wetland,Forest
402,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
403,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
404,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
