Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VNQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VNQ_M_R,SIBERIA_2024_GSW_Yearly_2021_44VNQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VNQ_M_R,SIBERIA_2024_WorldCover_2021_44VNQ_M_R
268,Wetland,Water,NULL,Water,Forest
269,Wetland,Water,Non_Water,Water,Grassland
270,Wetland,Water,Non_Water,Water,Wetland
271,Wetland,Water,Non_Water,Water,Water
272,Wetland,Water,Non_Water,Water,Forest
273,Wetland,Water,Water,Water,NULL
274,Wetland,Water,Water,Water,Grassland
275,Wetland,Water,Water,Water,Wetland
276,Wetland,Water,Water,Water,Lichens_and_Mosses
277,Wetland,Water,Water,Water,Water
278,Wetland,Water,Water,Water,Forest
279,Wetland,Forest,NULL,Non_Wetland,NULL
280,Wetland,Forest,NULL,Non_Wetland,Grassland
281,Wetland,Forest,NULL,Non_Wetland,Wetland
282,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
283,Wetland,Forest,NULL,Non_Wetland,Water
284,Wetland,Forest,NULL,Non_Wetland,Forest
285,Wetland,Forest,Non_Water,Non_Wetland,NULL
286,Wetland,Forest,Non_Water,Non_Wetland,Grassland
287,Wetland,Forest,Non_Water,Non_Wetland,Wetland
288,Wetland,Forest,Non_Water,Non_Wetland,Water
289,Wetland,Forest,Non_Water,Non_Wetland,Forest
290,Wetland,Forest,Water,Non_Wetland,NULL
291,Wetland,Forest,Water,Non_Wetland,Grassland
292,Wetland,Forest,Water,Non_Wetland,Wetland
293,Wetland,Forest,Water,Non_Wetland,Water
294,Wetland,Forest,Water,Non_Wetland,Forest
295,Bareland,NULL,NULL,Non_Wetland,Grassland
296,Bareland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
297,Bareland,NULL,NULL,Non_Wetland,Water
298,Bareland,NULL,NULL,Non_Wetland,Forest
299,Bareland,NULL,Water,Non_Wetland,Water
300,Bareland,Shrubland,NULL,Non_Wetland,Wetland
301,Bareland,Shrubland,NULL,Non_Wetland,Water
302,Bareland,Wetland,NULL,Wetland,Wetland
303,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
304,Bareland,Wetland,NULL,Wetland,Bareland
305,Bareland,Wetland,NULL,Wetland,Water
306,Bareland,Wetland,NULL,Wetland,Forest
307,Bareland,Wetland,Non_Water,Wetland,Bareland
308,Bareland,Wetland,Non_Water,Wetland,Water
309,Bareland,Wetland,Non_Water,Wetland,Forest
310,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
311,Bareland,Wetland,Water,Wetland,Bareland
312,Bareland,Wetland,Water,Wetland,Water
313,Bareland,Wetland,Water,Wetland,Forest
314,Bareland,Bareland,NULL,Non_Wetland,Grassland
315,Bareland,Bareland,NULL,Non_Wetland,Wetland
316,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
317,Bareland,Bareland,NULL,Non_Wetland,Bareland
318,Bareland,Bareland,NULL,Non_Wetland,Water
319,Bareland,Bareland,NULL,Non_Wetland,Forest
320,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
321,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
322,Bareland,Bareland,Non_Water,Non_Wetland,Water
323,Bareland,Bareland,Water,Non_Wetland,Grassland
324,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
325,Bareland,Bareland,Water,Non_Wetland,Bareland
326,Bareland,Bareland,Water,Non_Wetland,Water
327,Bareland,Bareland,Water,Non_Wetland,Forest
328,Bareland,Built-up,NULL,Non_Wetland,Grassland
329,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
330,Bareland,Built-up,NULL,Non_Wetland,Bareland
331,Bareland,Built-up,NULL,Non_Wetland,Forest
332,Bareland,Water,NULL,Water,Grassland
333,Bareland,Water,NULL,Water,Water
334,Bareland,Water,NULL,Water,Forest
335,Bareland,Water,Non_Water,Water,Water
336,Bareland,Water,Water,Water,Lichens_and_Mosses
337,Bareland,Water,Water,Water,Water
338,Bareland,Water,Water,Water,Forest
339,Bareland,Forest,NULL,Non_Wetland,Grassland
340,Bareland,Forest,NULL,Non_Wetland,Wetland
341,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
342,Bareland,Forest,NULL,Non_Wetland,Water
343,Bareland,Forest,NULL,Non_Wetland,Forest
344,Bareland,Forest,Non_Water,Non_Wetland,Forest
345,Bareland,Forest,Water,Non_Wetland,Water
346,Bareland,Forest,Water,Non_Wetland,Forest
347,Water,NULL,NULL,Non_Wetland,Grassland
348,Water,NULL,NULL,Non_Wetland,Wetland
349,Water,NULL,NULL,Non_Wetland,Bareland
350,Water,NULL,NULL,Non_Wetland,Water
351,Water,NULL,NULL,Non_Wetland,Forest
352,Water,NULL,Non_Water,Non_Wetland,Grassland
353,Water,NULL,Non_Water,Non_Wetland,Wetland
354,Water,NULL,Non_Water,Non_Wetland,Water
355,Water,NULL,Non_Water,Non_Wetland,Forest
356,Water,NULL,Water,Non_Wetland,Grassland
357,Water,NULL,Water,Non_Wetland,Wetland
358,Water,NULL,Water,Non_Wetland,Water
359,Water,NULL,Water,Non_Wetland,Forest
360,Water,Shrubland,NULL,Non_Wetland,Grassland
361,Water,Shrubland,NULL,Non_Wetland,Wetland
362,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
363,Water,Shrubland,NULL,Non_Wetland,Bareland
364,Water,Shrubland,NULL,Non_Wetland,Water
365,Water,Shrubland,NULL,Non_Wetland,Forest
366,Water,Shrubland,Non_Water,Non_Wetland,Wetland
367,Water,Shrubland,Non_Water,Non_Wetland,Water
368,Water,Shrubland,Non_Water,Non_Wetland,Forest
369,Water,Shrubland,Water,Non_Wetland,Grassland
370,Water,Shrubland,Water,Non_Wetland,Wetland
371,Water,Shrubland,Water,Non_Wetland,Bareland
372,Water,Shrubland,Water,Non_Wetland,Water
373,Water,Shrubland,Water,Non_Wetland,Forest
374,Water,Grassland,NULL,Non_Wetland,Grassland
375,Water,Grassland,NULL,Non_Wetland,Water
376,Water,Grassland,Water,Non_Wetland,Grassland
377,Water,Grassland,Water,Non_Wetland,Water
378,Water,Cropland,NULL,Non_Wetland,Water
379,Water,Cropland,NULL,Non_Wetland,Forest
380,Water,Cropland,Water,Non_Wetland,Grassland
381,Water,Cropland,Water,Non_Wetland,Water
382,Water,Wetland,NULL,Wetland,Grassland
383,Water,Wetland,NULL,Wetland,Wetland
384,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
385,Water,Wetland,NULL,Wetland,Bareland
386,Water,Wetland,NULL,Wetland,Water
387,Water,Wetland,NULL,Wetland,Forest
388,Water,Wetland,Non_Water,Wetland,Grassland
389,Water,Wetland,Non_Water,Wetland,Wetland
390,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
391,Water,Wetland,Non_Water,Wetland,Bareland
392,Water,Wetland,Non_Water,Wetland,Water
393,Water,Wetland,Non_Water,Wetland,Forest
394,Water,Wetland,Water,Wetland,Grassland
395,Water,Wetland,Water,Wetland,Wetland
396,Water,Wetland,Water,Wetland,Lichens_and_Mosses
397,Water,Wetland,Water,Wetland,Bareland
398,Water,Wetland,Water,Wetland,Water
399,Water,Wetland,Water,Wetland,Forest
400,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
401,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
402,Water,Bareland,NULL,Non_Wetland,Grassland
403,Water,Bareland,NULL,Non_Wetland,Wetland
404,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
405,Water,Bareland,NULL,Non_Wetland,Bareland
406,Water,Bareland,NULL,Non_Wetland,Water
407,Water,Bareland,NULL,Non_Wetland,Forest
408,Water,Bareland,Non_Water,Non_Wetland,Grassland
409,Water,Bareland,Non_Water,Non_Wetland,Wetland
410,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
411,Water,Bareland,Non_Water,Non_Wetland,Bareland
412,Water,Bareland,Non_Water,Non_Wetland,Water
413,Water,Bareland,Non_Water,Non_Wetland,Forest
414,Water,Bareland,Water,Non_Wetland,Grassland
415,Water,Bareland,Water,Non_Wetland,Wetland
416,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
417,Water,Bareland,Water,Non_Wetland,Bareland
418,Water,Bareland,Water,Non_Wetland,Water
419,Water,Bareland,Water,Non_Wetland,Forest
420,Water,Built-up,NULL,Non_Wetland,Grassland
421,Water,Built-up,NULL,Non_Wetland,Wetland
422,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
423,Water,Built-up,NULL,Non_Wetland,Bareland
424,Water,Built-up,NULL,Non_Wetland,Water
425,Water,Built-up,NULL,Non_Wetland,Forest
426,Water,Built-up,Non_Water,Non_Wetland,Water
427,Water,Built-up,Non_Water,Non_Wetland,Forest
428,Water,Built-up,Water,Non_Wetland,Grassland
429,Water,Built-up,Water,Non_Wetland,Bareland
430,Water,Built-up,Water,Non_Wetland,Water
431,Water,Built-up,Water,Non_Wetland,Forest
432,Water,Water,NULL,Water,Grassland
433,Water,Water,NULL,Water,Wetland
434,Water,Water,NULL,Water,Lichens_and_Mosses
435,Water,Water,NULL,Water,Bareland
436,Water,Water,NULL,Water,Water
437,Water,Water,NULL,Water,Forest
438,Water,Water,Non_Water,Water,Grassland
439,Water,Water,Non_Water,Water,Wetland
440,Water,Water,Non_Water,Water,Bareland
441,Water,Water,Non_Water,Water,Water
442,Water,Water,Non_Water,Water,Forest
443,Water,Water,Water,Water,Grassland
444,Water,Water,Water,Water,Wetland
445,Water,Water,Water,Water,Lichens_and_Mosses
446,Water,Water,Water,Water,Bareland
447,Water,Water,Water,Water,Water
448,Water,Water,Water,Water,Forest
449,Water,Forest,NULL,Non_Wetland,Grassland
450,Water,Forest,NULL,Non_Wetland,Wetland
451,Water,Forest,NULL,Non_Wetland,Lichens_and_Mosses
452,Water,Forest,NULL,Non_Wetland,Bareland
453,Water,Forest,NULL,Non_Wetland,Water
454,Water,Forest,NULL,Non_Wetland,Forest
455,Water,Forest,Non_Water,Non_Wetland,Grassland
456,Water,Forest,Non_Water,Non_Wetland,Wetland
457,Water,Forest,Non_Water,Non_Wetland,Water
458,Water,Forest,Non_Water,Non_Wetland,Forest
459,Water,Forest,Water,Non_Wetland,Grassland
460,Water,Forest,Water,Non_Wetland,Wetland
461,Water,Forest,Water,Non_Wetland,Lichens_and_Mosses
462,Water,Forest,Water,Non_Wetland,Bareland
463,Water,Forest,Water,Non_Wetland,Water
464,Water,Forest,Water,Non_Wetland,Forest
465,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,NULL
466,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
467,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
468,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Lichens_and_Mosses
469,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Bareland
470,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
471,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
472,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Wetland
473,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Water
474,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Forest
475,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
476,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
477,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
478,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
479,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
480,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Bareland
481,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
482,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
483,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Grassland
484,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Wetland
485,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Forest
486,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Wetland
487,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
488,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Water
489,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Forest
490,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
491,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
492,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Grassland
493,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Forest
