Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VLR_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VLR_M_R,SIBERIA_2024_GSW_Yearly_2021_44VLR_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VLR_M_R,SIBERIA_2024_WorldCover_2021_44VLR_M_R
261,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
262,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
263,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
264,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
265,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
266,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
267,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
268,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
269,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
270,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
271,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
272,Wetland,Bareland,NULL,Non_Wetland,NULL
273,Wetland,Bareland,NULL,Non_Wetland,Grassland
274,Wetland,Bareland,NULL,Non_Wetland,Wetland
275,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
276,Wetland,Bareland,NULL,Non_Wetland,Bareland
277,Wetland,Bareland,NULL,Non_Wetland,Built-up
278,Wetland,Bareland,NULL,Non_Wetland,Water
279,Wetland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
280,Wetland,Bareland,NULL,Non_Wetland,Forest
281,Wetland,Bareland,Non_Water,Non_Wetland,NULL
282,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
283,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
284,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
285,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
286,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
287,Wetland,Bareland,Non_Water,Non_Wetland,Water
288,Wetland,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
289,Wetland,Bareland,Non_Water,Non_Wetland,Forest
290,Wetland,Bareland,Water,Non_Wetland,NULL
291,Wetland,Bareland,Water,Non_Wetland,Grassland
292,Wetland,Bareland,Water,Non_Wetland,Wetland
293,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
294,Wetland,Bareland,Water,Non_Wetland,Bareland
295,Wetland,Bareland,Water,Non_Wetland,Built-up
296,Wetland,Bareland,Water,Non_Wetland,Water
297,Wetland,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
298,Wetland,Bareland,Water,Non_Wetland,Forest
299,Wetland,Built-up,NULL,Non_Wetland,Grassland
300,Wetland,Built-up,NULL,Non_Wetland,Wetland
301,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
302,Wetland,Built-up,NULL,Non_Wetland,Bareland
303,Wetland,Built-up,NULL,Non_Wetland,Built-up
304,Wetland,Built-up,NULL,Non_Wetland,Water
305,Wetland,Built-up,NULL,Non_Wetland,Forest
306,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
307,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
308,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
309,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
310,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
311,Wetland,Built-up,Non_Water,Non_Wetland,Water
312,Wetland,Built-up,Non_Water,Non_Wetland,Forest
313,Wetland,Built-up,Water,Non_Wetland,Grassland
314,Wetland,Built-up,Water,Non_Wetland,Wetland
315,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
316,Wetland,Built-up,Water,Non_Wetland,Bareland
317,Wetland,Built-up,Water,Non_Wetland,Water
318,Wetland,Built-up,Water,Non_Wetland,Permanent_ice_and_snow
319,Wetland,Built-up,Water,Non_Wetland,Forest
320,Wetland,Water,NULL,Water,NULL
321,Wetland,Water,NULL,Water,Grassland
322,Wetland,Water,NULL,Water,Wetland
323,Wetland,Water,NULL,Water,Lichens_and_Mosses
324,Wetland,Water,NULL,Water,Bareland
325,Wetland,Water,NULL,Water,Built-up
326,Wetland,Water,NULL,Water,Water
327,Wetland,Water,NULL,Water,Forest
328,Wetland,Water,Non_Water,Water,Grassland
329,Wetland,Water,Non_Water,Water,Wetland
330,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
331,Wetland,Water,Non_Water,Water,Bareland
332,Wetland,Water,Non_Water,Water,Water
333,Wetland,Water,Non_Water,Water,Forest
334,Wetland,Water,Water,Water,NULL
335,Wetland,Water,Water,Water,Grassland
336,Wetland,Water,Water,Water,Wetland
337,Wetland,Water,Water,Water,Lichens_and_Mosses
338,Wetland,Water,Water,Water,Bareland
339,Wetland,Water,Water,Water,Water
340,Wetland,Water,Water,Water,Permanent_ice_and_snow
341,Wetland,Water,Water,Water,Forest
342,Wetland,Forest,NULL,Non_Wetland,NULL
343,Wetland,Forest,NULL,Non_Wetland,Grassland
344,Wetland,Forest,NULL,Non_Wetland,Wetland
345,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
346,Wetland,Forest,NULL,Non_Wetland,Bareland
347,Wetland,Forest,NULL,Non_Wetland,Built-up
348,Wetland,Forest,NULL,Non_Wetland,Water
349,Wetland,Forest,NULL,Non_Wetland,Forest
350,Wetland,Forest,Non_Water,Non_Wetland,NULL
351,Wetland,Forest,Non_Water,Non_Wetland,Grassland
352,Wetland,Forest,Non_Water,Non_Wetland,Wetland
353,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
354,Wetland,Forest,Non_Water,Non_Wetland,Bareland
355,Wetland,Forest,Non_Water,Non_Wetland,Water
356,Wetland,Forest,Non_Water,Non_Wetland,Forest
357,Wetland,Forest,Water,Non_Wetland,NULL
358,Wetland,Forest,Water,Non_Wetland,Grassland
359,Wetland,Forest,Water,Non_Wetland,Wetland
360,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
361,Wetland,Forest,Water,Non_Wetland,Bareland
362,Wetland,Forest,Water,Non_Wetland,Water
363,Wetland,Forest,Water,Non_Wetland,Forest
364,Bareland,NULL,NULL,Non_Wetland,Forest
365,Bareland,Shrubland,NULL,Non_Wetland,Bareland
366,Bareland,Grassland,NULL,Non_Wetland,Grassland
367,Bareland,Cropland,NULL,Non_Wetland,Forest
368,Bareland,Wetland,NULL,Wetland,Wetland
369,Bareland,Wetland,NULL,Wetland,Bareland
370,Bareland,Wetland,NULL,Wetland,Forest
371,Bareland,Wetland,Non_Water,Wetland,Water
372,Bareland,Wetland,Water,Wetland,Bareland
373,Bareland,Wetland,Water,Wetland,Water
374,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
375,Bareland,Bareland,NULL,Non_Wetland,Grassland
376,Bareland,Bareland,NULL,Non_Wetland,Wetland
377,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
378,Bareland,Bareland,NULL,Non_Wetland,Bareland
379,Bareland,Bareland,NULL,Non_Wetland,Built-up
380,Bareland,Bareland,NULL,Non_Wetland,Water
381,Bareland,Bareland,NULL,Non_Wetland,Forest
382,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
383,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
384,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
385,Bareland,Bareland,Non_Water,Non_Wetland,Water
386,Bareland,Bareland,Non_Water,Non_Wetland,Forest
387,Bareland,Bareland,Water,Non_Wetland,Grassland
388,Bareland,Bareland,Water,Non_Wetland,Bareland
389,Bareland,Bareland,Water,Non_Wetland,Water
390,Bareland,Bareland,Water,Non_Wetland,Forest
391,Bareland,Built-up,NULL,Non_Wetland,Grassland
392,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
393,Bareland,Built-up,NULL,Non_Wetland,Bareland
394,Bareland,Built-up,NULL,Non_Wetland,Built-up
395,Bareland,Built-up,NULL,Non_Wetland,Water
396,Bareland,Built-up,NULL,Non_Wetland,Forest
397,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
398,Bareland,Water,NULL,Water,Bareland
399,Bareland,Water,NULL,Water,Forest
400,Bareland,Water,Non_Water,Water,Bareland
401,Bareland,Water,Water,Water,Bareland
402,Bareland,Water,Water,Water,Water
403,Bareland,Water,Water,Water,Forest
404,Bareland,Forest,NULL,Non_Wetland,Grassland
405,Bareland,Forest,NULL,Non_Wetland,Wetland
406,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
407,Bareland,Forest,NULL,Non_Wetland,Bareland
408,Bareland,Forest,NULL,Non_Wetland,Water
409,Bareland,Forest,NULL,Non_Wetland,Forest
410,Bareland,Forest,Non_Water,Non_Wetland,Bareland
411,Bareland,Forest,Water,Non_Wetland,Water
412,Built-up,Shrubland,NULL,Non_Wetland,Grassland
413,Built-up,Shrubland,NULL,Non_Wetland,Wetland
414,Built-up,Shrubland,NULL,Non_Wetland,Bareland
415,Built-up,Shrubland,NULL,Non_Wetland,Forest
416,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
417,Built-up,Grassland,NULL,Non_Wetland,Forest
418,Built-up,Wetland,NULL,Wetland,Grassland
419,Built-up,Wetland,NULL,Wetland,Wetland
420,Built-up,Wetland,NULL,Wetland,Bareland
421,Built-up,Wetland,NULL,Wetland,Built-up
422,Built-up,Wetland,NULL,Wetland,Water
423,Built-up,Wetland,NULL,Wetland,Forest
424,Built-up,Wetland,Water,Wetland,Wetland
425,Built-up,Wetland,Water,Wetland,Water
426,Built-up,Bareland,NULL,Non_Wetland,NULL
427,Built-up,Bareland,NULL,Non_Wetland,Grassland
428,Built-up,Bareland,NULL,Non_Wetland,Wetland
429,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
430,Built-up,Bareland,NULL,Non_Wetland,Bareland
431,Built-up,Bareland,NULL,Non_Wetland,Built-up
432,Built-up,Bareland,NULL,Non_Wetland,Water
433,Built-up,Bareland,NULL,Non_Wetland,Forest
434,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
435,Built-up,Bareland,Non_Water,Non_Wetland,Wetland
436,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
437,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
438,Built-up,Bareland,Non_Water,Non_Wetland,Forest
439,Built-up,Bareland,Water,Non_Wetland,Grassland
440,Built-up,Bareland,Water,Non_Wetland,Wetland
441,Built-up,Bareland,Water,Non_Wetland,Lichens_and_Mosses
442,Built-up,Bareland,Water,Non_Wetland,Bareland
443,Built-up,Bareland,Water,Non_Wetland,Water
444,Built-up,Bareland,Water,Non_Wetland,Forest
445,Built-up,Built-up,NULL,Non_Wetland,Grassland
446,Built-up,Built-up,NULL,Non_Wetland,Wetland
447,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
448,Built-up,Built-up,NULL,Non_Wetland,Bareland
449,Built-up,Built-up,NULL,Non_Wetland,Built-up
450,Built-up,Built-up,NULL,Non_Wetland,Water
451,Built-up,Built-up,NULL,Non_Wetland,Forest
452,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
453,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
454,Built-up,Built-up,Non_Water,Non_Wetland,Water
455,Built-up,Built-up,Non_Water,Non_Wetland,Forest
456,Built-up,Built-up,Water,Non_Wetland,Built-up
457,Built-up,Built-up,Water,Non_Wetland,Forest
458,Built-up,Water,NULL,Water,Wetland
459,Built-up,Water,NULL,Water,Water
460,Built-up,Water,Non_Water,Water,Water
461,Built-up,Water,Water,Water,Wetland
462,Built-up,Water,Water,Water,Water
463,Built-up,Water,Water,Water,Forest
464,Built-up,Forest,NULL,Non_Wetland,Grassland
465,Built-up,Forest,NULL,Non_Wetland,Wetland
466,Built-up,Forest,NULL,Non_Wetland,Lichens_and_Mosses
467,Built-up,Forest,NULL,Non_Wetland,Bareland
468,Built-up,Forest,NULL,Non_Wetland,Water
469,Built-up,Forest,NULL,Non_Wetland,Forest
470,Built-up,Forest,Non_Water,Non_Wetland,Grassland
471,Built-up,Forest,Water,Non_Wetland,Wetland
472,Built-up,Forest,Water,Non_Wetland,Forest
473,Water,NULL,NULL,Non_Wetland,Wetland
474,Water,NULL,NULL,Non_Wetland,Water
475,Water,NULL,NULL,Non_Wetland,Forest
476,Water,NULL,Water,Non_Wetland,Grassland
477,Water,NULL,Water,Non_Wetland,Water
478,Water,NULL,Water,Non_Wetland,Forest
479,Water,Shrubland,NULL,Non_Wetland,Grassland
480,Water,Shrubland,NULL,Non_Wetland,Wetland
481,Water,Shrubland,NULL,Non_Wetland,Water
