Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VUN_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VUN_M_R,SIBERIA_2024_GSW_Yearly_2021_42VUN_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VUN_M_R,SIBERIA_2024_WorldCover_2021_42VUN_M_R
264,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
265,Wetland,Bareland,NULL,Non_Wetland,NULL
266,Wetland,Bareland,NULL,Non_Wetland,Grassland
267,Wetland,Bareland,NULL,Non_Wetland,Cropland
268,Wetland,Bareland,NULL,Non_Wetland,Wetland
269,Wetland,Bareland,NULL,Non_Wetland,Bareland
270,Wetland,Bareland,NULL,Non_Wetland,Built-up
271,Wetland,Bareland,NULL,Non_Wetland,Water
272,Wetland,Bareland,NULL,Non_Wetland,Forest
273,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
274,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
275,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
276,Wetland,Bareland,Non_Water,Non_Wetland,Water
277,Wetland,Bareland,Non_Water,Non_Wetland,Forest
278,Wetland,Bareland,Water,Non_Wetland,NULL
279,Wetland,Bareland,Water,Non_Wetland,Grassland
280,Wetland,Bareland,Water,Non_Wetland,Wetland
281,Wetland,Bareland,Water,Non_Wetland,Bareland
282,Wetland,Bareland,Water,Non_Wetland,Water
283,Wetland,Bareland,Water,Non_Wetland,Forest
284,Wetland,Built-up,NULL,Non_Wetland,NULL
285,Wetland,Built-up,NULL,Non_Wetland,Grassland
286,Wetland,Built-up,NULL,Non_Wetland,Cropland
287,Wetland,Built-up,NULL,Non_Wetland,Wetland
288,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
289,Wetland,Built-up,NULL,Non_Wetland,Bareland
290,Wetland,Built-up,NULL,Non_Wetland,Built-up
291,Wetland,Built-up,NULL,Non_Wetland,Water
292,Wetland,Built-up,NULL,Non_Wetland,Forest
293,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
294,Wetland,Built-up,Water,Non_Wetland,Grassland
295,Wetland,Built-up,Water,Non_Wetland,Wetland
296,Wetland,Water,NULL,Water,NULL
297,Wetland,Water,NULL,Water,Grassland
298,Wetland,Water,NULL,Water,Wetland
299,Wetland,Water,NULL,Water,Water
300,Wetland,Water,NULL,Water,Forest
301,Wetland,Water,Non_Water,Water,Grassland
302,Wetland,Water,Non_Water,Water,Wetland
303,Wetland,Water,Non_Water,Water,Water
304,Wetland,Water,Non_Water,Water,Forest
305,Wetland,Water,Water,Water,NULL
306,Wetland,Water,Water,Water,Grassland
307,Wetland,Water,Water,Water,Wetland
308,Wetland,Water,Water,Water,Water
309,Wetland,Water,Water,Water,Forest
310,Wetland,Forest,NULL,Non_Wetland,NULL
311,Wetland,Forest,NULL,Non_Wetland,Grassland
312,Wetland,Forest,NULL,Non_Wetland,Cropland
313,Wetland,Forest,NULL,Non_Wetland,Wetland
314,Wetland,Forest,NULL,Non_Wetland,Bareland
315,Wetland,Forest,NULL,Non_Wetland,Built-up
316,Wetland,Forest,NULL,Non_Wetland,Water
317,Wetland,Forest,NULL,Non_Wetland,Forest
318,Wetland,Forest,Non_Water,Non_Wetland,NULL
319,Wetland,Forest,Non_Water,Non_Wetland,Grassland
320,Wetland,Forest,Non_Water,Non_Wetland,Wetland
321,Wetland,Forest,Non_Water,Non_Wetland,Water
322,Wetland,Forest,Non_Water,Non_Wetland,Forest
323,Wetland,Forest,Water,Non_Wetland,NULL
324,Wetland,Forest,Water,Non_Wetland,Grassland
325,Wetland,Forest,Water,Non_Wetland,Wetland
326,Wetland,Forest,Water,Non_Wetland,Water
327,Wetland,Forest,Water,Non_Wetland,Forest
328,Bareland,NULL,NULL,Non_Wetland,Wetland
329,Bareland,NULL,NULL,Non_Wetland,Water
330,Bareland,NULL,NULL,Non_Wetland,Forest
331,Bareland,Shrubland,NULL,Non_Wetland,Bareland
332,Bareland,Grassland,NULL,Non_Wetland,Bareland
333,Bareland,Cropland,NULL,Non_Wetland,Cropland
334,Bareland,Cropland,NULL,Non_Wetland,Wetland
335,Bareland,Cropland,NULL,Non_Wetland,Bareland
336,Bareland,Cropland,NULL,Non_Wetland,Built-up
337,Bareland,Cropland,NULL,Non_Wetland,Forest
338,Bareland,Wetland,NULL,Wetland,NULL
339,Bareland,Wetland,NULL,Wetland,Grassland
340,Bareland,Wetland,NULL,Wetland,Wetland
341,Bareland,Wetland,NULL,Wetland,Bareland
342,Bareland,Wetland,NULL,Wetland,Built-up
343,Bareland,Wetland,NULL,Wetland,Water
344,Bareland,Wetland,NULL,Wetland,Forest
345,Bareland,Wetland,Non_Water,Wetland,Bareland
346,Bareland,Wetland,Water,Wetland,Forest
347,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
348,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
349,Bareland,Bareland,NULL,Non_Wetland,Grassland
350,Bareland,Bareland,NULL,Non_Wetland,Wetland
351,Bareland,Bareland,NULL,Non_Wetland,Bareland
352,Bareland,Bareland,NULL,Non_Wetland,Built-up
353,Bareland,Bareland,NULL,Non_Wetland,Water
354,Bareland,Bareland,NULL,Non_Wetland,Forest
355,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
356,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
357,Bareland,Bareland,Water,Non_Wetland,Forest
358,Bareland,Built-up,NULL,Non_Wetland,Grassland
359,Bareland,Built-up,NULL,Non_Wetland,Bareland
360,Bareland,Built-up,NULL,Non_Wetland,Built-up
361,Bareland,Built-up,NULL,Non_Wetland,Forest
362,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
363,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
364,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
365,Bareland,Water,NULL,Water,Grassland
366,Bareland,Water,NULL,Water,Forest
367,Bareland,Water,Water,Water,Water
368,Bareland,Water,Water,Water,Forest
369,Bareland,Forest,NULL,Non_Wetland,NULL
370,Bareland,Forest,NULL,Non_Wetland,Grassland
371,Bareland,Forest,NULL,Non_Wetland,Wetland
372,Bareland,Forest,NULL,Non_Wetland,Bareland
373,Bareland,Forest,NULL,Non_Wetland,Water
374,Bareland,Forest,NULL,Non_Wetland,Forest
375,Bareland,Forest,Non_Water,Non_Wetland,Forest
376,Bareland,Forest,Water,Non_Wetland,Water
377,Bareland,Forest,Water,Non_Wetland,Forest
378,Built-up,NULL,NULL,Non_Wetland,Grassland
379,Built-up,NULL,NULL,Non_Wetland,Built-up
380,Built-up,NULL,NULL,Non_Wetland,Forest
381,Built-up,Shrubland,NULL,Non_Wetland,Grassland
382,Built-up,Shrubland,NULL,Non_Wetland,Wetland
383,Built-up,Shrubland,NULL,Non_Wetland,Bareland
384,Built-up,Shrubland,NULL,Non_Wetland,Built-up
385,Built-up,Shrubland,NULL,Non_Wetland,Forest
386,Built-up,Grassland,NULL,Non_Wetland,Grassland
387,Built-up,Grassland,NULL,Non_Wetland,Built-up
388,Built-up,Grassland,NULL,Non_Wetland,Forest
389,Built-up,Cropland,NULL,Non_Wetland,Grassland
390,Built-up,Cropland,NULL,Non_Wetland,Bareland
391,Built-up,Cropland,NULL,Non_Wetland,Water
392,Built-up,Cropland,NULL,Non_Wetland,Forest
393,Built-up,Wetland,NULL,Wetland,NULL
394,Built-up,Wetland,NULL,Wetland,Grassland
395,Built-up,Wetland,NULL,Wetland,Wetland
396,Built-up,Wetland,NULL,Wetland,Bareland
397,Built-up,Wetland,NULL,Wetland,Built-up
398,Built-up,Wetland,NULL,Wetland,Water
399,Built-up,Wetland,NULL,Wetland,Forest
400,Built-up,Wetland,Non_Water,Wetland,Forest
401,Built-up,Wetland,Water,Wetland,Water
402,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
403,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
404,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
405,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
406,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
407,Built-up,Bareland,NULL,Non_Wetland,Grassland
408,Built-up,Bareland,NULL,Non_Wetland,Wetland
409,Built-up,Bareland,NULL,Non_Wetland,Bareland
410,Built-up,Bareland,NULL,Non_Wetland,Built-up
411,Built-up,Bareland,NULL,Non_Wetland,Water
412,Built-up,Bareland,NULL,Non_Wetland,Forest
413,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
414,Built-up,Bareland,Non_Water,Non_Wetland,Wetland
415,Built-up,Built-up,NULL,Non_Wetland,Grassland
416,Built-up,Built-up,NULL,Non_Wetland,Cropland
417,Built-up,Built-up,NULL,Non_Wetland,Wetland
418,Built-up,Built-up,NULL,Non_Wetland,Bareland
419,Built-up,Built-up,NULL,Non_Wetland,Built-up
420,Built-up,Built-up,NULL,Non_Wetland,Water
421,Built-up,Built-up,NULL,Non_Wetland,Forest
422,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
423,Built-up,Water,NULL,Water,Bareland
424,Built-up,Forest,NULL,Non_Wetland,Grassland
425,Built-up,Forest,NULL,Non_Wetland,Wetland
426,Built-up,Forest,NULL,Non_Wetland,Bareland
427,Built-up,Forest,NULL,Non_Wetland,Built-up
428,Built-up,Forest,NULL,Non_Wetland,Forest
429,Built-up,Forest,Non_Water,Non_Wetland,Forest
430,Water,NULL,NULL,Non_Wetland,Wetland
431,Water,NULL,NULL,Non_Wetland,Water
432,Water,NULL,NULL,Non_Wetland,Forest
433,Water,NULL,Non_Water,Non_Wetland,Wetland
434,Water,NULL,Non_Water,Non_Wetland,Water
435,Water,NULL,Non_Water,Non_Wetland,Forest
436,Water,NULL,Water,Non_Wetland,Wetland
437,Water,NULL,Water,Non_Wetland,Water
438,Water,NULL,Water,Non_Wetland,Forest
439,Water,Shrubland,NULL,Non_Wetland,Grassland
440,Water,Shrubland,NULL,Non_Wetland,Wetland
441,Water,Shrubland,NULL,Non_Wetland,Water
442,Water,Shrubland,NULL,Non_Wetland,Forest
443,Water,Shrubland,Non_Water,Non_Wetland,Wetland
444,Water,Shrubland,Non_Water,Non_Wetland,Water
445,Water,Shrubland,Non_Water,Non_Wetland,Forest
446,Water,Shrubland,Water,Non_Wetland,Grassland
447,Water,Shrubland,Water,Non_Wetland,Wetland
448,Water,Shrubland,Water,Non_Wetland,Water
449,Water,Shrubland,Water,Non_Wetland,Forest
450,Water,Cropland,NULL,Non_Wetland,Grassland
451,Water,Cropland,NULL,Non_Wetland,Water
452,Water,Cropland,NULL,Non_Wetland,Forest
453,Water,Wetland,NULL,Wetland,NULL
454,Water,Wetland,NULL,Wetland,Grassland
455,Water,Wetland,NULL,Wetland,Wetland
456,Water,Wetland,NULL,Wetland,Bareland
457,Water,Wetland,NULL,Wetland,Water
458,Water,Wetland,NULL,Wetland,Forest
459,Water,Wetland,Non_Water,Wetland,NULL
460,Water,Wetland,Non_Water,Wetland,Grassland
461,Water,Wetland,Non_Water,Wetland,Wetland
462,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
463,Water,Wetland,Non_Water,Wetland,Bareland
464,Water,Wetland,Non_Water,Wetland,Water
465,Water,Wetland,Non_Water,Wetland,Forest
466,Water,Wetland,Water,Wetland,NULL
467,Water,Wetland,Water,Wetland,Grassland
468,Water,Wetland,Water,Wetland,Wetland
469,Water,Wetland,Water,Wetland,Bareland
470,Water,Wetland,Water,Wetland,Water
471,Water,Wetland,Water,Wetland,Forest
472,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
473,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
474,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
475,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
476,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
477,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
478,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
479,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
480,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
481,Water,Lichens_and_Mosses,Water,Non_Wetland,Forest
482,Water,Bareland,NULL,Non_Wetland,NULL
483,Water,Bareland,NULL,Non_Wetland,Grassland
484,Water,Bareland,NULL,Non_Wetland,Wetland
485,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
486,Water,Bareland,NULL,Non_Wetland,Bareland
487,Water,Bareland,NULL,Non_Wetland,Water
488,Water,Bareland,NULL,Non_Wetland,Forest
489,Water,Bareland,Non_Water,Non_Wetland,Grassland
490,Water,Bareland,Non_Water,Non_Wetland,Wetland
