Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VNP_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VNP_M_R,SIBERIA_2024_GSW_Yearly_2021_44VNP_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VNP_M_R,SIBERIA_2024_WorldCover_2021_44VNP_M_R
266,Wetland,Bareland,NULL,Non_Wetland,Built-up
267,Wetland,Bareland,NULL,Non_Wetland,Water
268,Wetland,Bareland,NULL,Non_Wetland,Forest
269,Wetland,Bareland,Non_Water,Non_Wetland,NULL
270,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
271,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
272,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
273,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
274,Wetland,Bareland,Non_Water,Non_Wetland,Water
275,Wetland,Bareland,Non_Water,Non_Wetland,Forest
276,Wetland,Bareland,Water,Non_Wetland,NULL
277,Wetland,Bareland,Water,Non_Wetland,Grassland
278,Wetland,Bareland,Water,Non_Wetland,Wetland
279,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
280,Wetland,Bareland,Water,Non_Wetland,Bareland
281,Wetland,Bareland,Water,Non_Wetland,Water
282,Wetland,Bareland,Water,Non_Wetland,Forest
283,Wetland,Built-up,NULL,Non_Wetland,NULL
284,Wetland,Built-up,NULL,Non_Wetland,Grassland
285,Wetland,Built-up,NULL,Non_Wetland,Wetland
286,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
287,Wetland,Built-up,NULL,Non_Wetland,Bareland
288,Wetland,Built-up,NULL,Non_Wetland,Built-up
289,Wetland,Built-up,NULL,Non_Wetland,Water
290,Wetland,Built-up,NULL,Non_Wetland,Forest
291,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
292,Wetland,Built-up,Non_Water,Non_Wetland,Water
293,Wetland,Built-up,Non_Water,Non_Wetland,Forest
294,Wetland,Built-up,Water,Non_Wetland,Grassland
295,Wetland,Built-up,Water,Non_Wetland,Wetland
296,Wetland,Built-up,Water,Non_Wetland,Bareland
297,Wetland,Built-up,Water,Non_Wetland,Water
298,Wetland,Built-up,Water,Non_Wetland,Forest
299,Wetland,Water,NULL,Water,NULL
300,Wetland,Water,NULL,Water,Grassland
301,Wetland,Water,NULL,Water,Wetland
302,Wetland,Water,NULL,Water,Bareland
303,Wetland,Water,NULL,Water,Water
304,Wetland,Water,NULL,Water,Forest
305,Wetland,Water,Non_Water,Water,NULL
306,Wetland,Water,Non_Water,Water,Grassland
307,Wetland,Water,Non_Water,Water,Wetland
308,Wetland,Water,Non_Water,Water,Water
309,Wetland,Water,Non_Water,Water,Forest
310,Wetland,Water,Water,Water,NULL
311,Wetland,Water,Water,Water,Grassland
312,Wetland,Water,Water,Water,Wetland
313,Wetland,Water,Water,Water,Lichens_and_Mosses
314,Wetland,Water,Water,Water,Bareland
315,Wetland,Water,Water,Water,Water
316,Wetland,Water,Water,Water,Forest
317,Wetland,Forest,NULL,Non_Wetland,NULL
318,Wetland,Forest,NULL,Non_Wetland,Grassland
319,Wetland,Forest,NULL,Non_Wetland,Wetland
320,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
321,Wetland,Forest,NULL,Non_Wetland,Water
322,Wetland,Forest,NULL,Non_Wetland,Forest
323,Wetland,Forest,Non_Water,Non_Wetland,NULL
324,Wetland,Forest,Non_Water,Non_Wetland,Grassland
325,Wetland,Forest,Non_Water,Non_Wetland,Wetland
326,Wetland,Forest,Non_Water,Non_Wetland,Bareland
327,Wetland,Forest,Non_Water,Non_Wetland,Water
328,Wetland,Forest,Non_Water,Non_Wetland,Forest
329,Wetland,Forest,Water,Non_Wetland,NULL
330,Wetland,Forest,Water,Non_Wetland,Grassland
331,Wetland,Forest,Water,Non_Wetland,Wetland
332,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
333,Wetland,Forest,Water,Non_Wetland,Bareland
334,Wetland,Forest,Water,Non_Wetland,Water
335,Wetland,Forest,Water,Non_Wetland,Forest
336,Bareland,NULL,NULL,Non_Wetland,Grassland
337,Bareland,NULL,NULL,Non_Wetland,Wetland
338,Bareland,NULL,NULL,Non_Wetland,Water
339,Bareland,NULL,NULL,Non_Wetland,Forest
340,Bareland,NULL,Non_Water,Non_Wetland,Grassland
341,Bareland,NULL,Non_Water,Non_Wetland,Forest
342,Bareland,NULL,Water,Non_Wetland,Grassland
343,Bareland,NULL,Water,Non_Wetland,Wetland
344,Bareland,NULL,Water,Non_Wetland,Water
345,Bareland,NULL,Water,Non_Wetland,Forest
346,Bareland,Shrubland,NULL,Non_Wetland,Water
347,Bareland,Shrubland,NULL,Non_Wetland,Forest
348,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
349,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
350,Bareland,Shrubland,Water,Non_Wetland,Bareland
351,Bareland,Shrubland,Water,Non_Wetland,Water
352,Bareland,Shrubland,Water,Non_Wetland,Forest
353,Bareland,Grassland,Water,Non_Wetland,Forest
354,Bareland,Wetland,NULL,Wetland,Grassland
355,Bareland,Wetland,NULL,Wetland,Wetland
356,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
357,Bareland,Wetland,NULL,Wetland,Bareland
358,Bareland,Wetland,NULL,Wetland,Water
359,Bareland,Wetland,NULL,Wetland,Forest
360,Bareland,Wetland,Non_Water,Wetland,Grassland
361,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
362,Bareland,Wetland,Non_Water,Wetland,Bareland
363,Bareland,Wetland,Non_Water,Wetland,Water
364,Bareland,Wetland,Non_Water,Wetland,Forest
365,Bareland,Wetland,Water,Wetland,Grassland
366,Bareland,Wetland,Water,Wetland,Wetland
367,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
368,Bareland,Wetland,Water,Wetland,Bareland
369,Bareland,Wetland,Water,Wetland,Water
370,Bareland,Wetland,Water,Wetland,Forest
371,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Forest
372,Bareland,Bareland,NULL,Non_Wetland,Grassland
373,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
374,Bareland,Bareland,NULL,Non_Wetland,Bareland
375,Bareland,Bareland,NULL,Non_Wetland,Water
376,Bareland,Bareland,NULL,Non_Wetland,Forest
377,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
378,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
379,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
380,Bareland,Bareland,Non_Water,Non_Wetland,Water
381,Bareland,Bareland,Non_Water,Non_Wetland,Forest
382,Bareland,Bareland,Water,Non_Wetland,Grassland
383,Bareland,Bareland,Water,Non_Wetland,Wetland
384,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
385,Bareland,Bareland,Water,Non_Wetland,Bareland
386,Bareland,Bareland,Water,Non_Wetland,Water
387,Bareland,Bareland,Water,Non_Wetland,Forest
388,Bareland,Built-up,NULL,Non_Wetland,Bareland
389,Bareland,Built-up,NULL,Non_Wetland,Built-up
390,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
391,Bareland,Built-up,Water,Non_Wetland,Grassland
392,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
393,Bareland,Built-up,Water,Non_Wetland,Bareland
394,Bareland,Built-up,Water,Non_Wetland,Forest
395,Bareland,Water,NULL,Water,Wetland
396,Bareland,Water,NULL,Water,Bareland
397,Bareland,Water,NULL,Water,Water
398,Bareland,Water,NULL,Water,Forest
399,Bareland,Water,Non_Water,Water,Grassland
400,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
401,Bareland,Water,Non_Water,Water,Bareland
402,Bareland,Water,Non_Water,Water,Water
403,Bareland,Water,Non_Water,Water,Forest
404,Bareland,Water,Water,Water,Grassland
405,Bareland,Water,Water,Water,Wetland
406,Bareland,Water,Water,Water,Lichens_and_Mosses
407,Bareland,Water,Water,Water,Bareland
408,Bareland,Water,Water,Water,Water
409,Bareland,Water,Water,Water,Forest
410,Bareland,Forest,NULL,Non_Wetland,Grassland
411,Bareland,Forest,NULL,Non_Wetland,Wetland
412,Bareland,Forest,NULL,Non_Wetland,Water
413,Bareland,Forest,NULL,Non_Wetland,Forest
414,Bareland,Forest,Non_Water,Non_Wetland,Grassland
415,Bareland,Forest,Non_Water,Non_Wetland,Water
416,Bareland,Forest,Non_Water,Non_Wetland,Forest
417,Bareland,Forest,Water,Non_Wetland,Grassland
418,Bareland,Forest,Water,Non_Wetland,Wetland
419,Bareland,Forest,Water,Non_Wetland,Bareland
420,Bareland,Forest,Water,Non_Wetland,Water
421,Bareland,Forest,Water,Non_Wetland,Forest
422,Built-up,Shrubland,NULL,Non_Wetland,Forest
423,Built-up,Cropland,NULL,Non_Wetland,Forest
424,Built-up,Bareland,NULL,Non_Wetland,Grassland
425,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
426,Built-up,Bareland,NULL,Non_Wetland,Bareland
427,Built-up,Bareland,NULL,Non_Wetland,Built-up
428,Built-up,Bareland,NULL,Non_Wetland,Forest
429,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
430,Built-up,Bareland,Water,Non_Wetland,Grassland
431,Built-up,Bareland,Water,Non_Wetland,Lichens_and_Mosses
432,Built-up,Bareland,Water,Non_Wetland,Bareland
433,Built-up,Built-up,NULL,Non_Wetland,Grassland
434,Built-up,Built-up,NULL,Non_Wetland,Bareland
435,Built-up,Built-up,NULL,Non_Wetland,Built-up
436,Built-up,Built-up,NULL,Non_Wetland,Forest
437,Built-up,Water,NULL,Water,Grassland
438,Built-up,Forest,NULL,Non_Wetland,Forest
439,Water,NULL,NULL,Non_Wetland,NULL
440,Water,NULL,NULL,Non_Wetland,Grassland
441,Water,NULL,NULL,Non_Wetland,Wetland
442,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
443,Water,NULL,NULL,Non_Wetland,Bareland
444,Water,NULL,NULL,Non_Wetland,Water
445,Water,NULL,NULL,Non_Wetland,Forest
446,Water,NULL,Non_Water,Non_Wetland,Grassland
447,Water,NULL,Non_Water,Non_Wetland,Wetland
448,Water,NULL,Non_Water,Non_Wetland,Bareland
449,Water,NULL,Non_Water,Non_Wetland,Water
450,Water,NULL,Non_Water,Non_Wetland,Forest
451,Water,NULL,Water,Non_Wetland,Grassland
452,Water,NULL,Water,Non_Wetland,Wetland
453,Water,NULL,Water,Non_Wetland,Water
454,Water,NULL,Water,Non_Wetland,Forest
455,Water,Shrubland,NULL,Non_Wetland,Grassland
456,Water,Shrubland,NULL,Non_Wetland,Wetland
457,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
458,Water,Shrubland,NULL,Non_Wetland,Bareland
459,Water,Shrubland,NULL,Non_Wetland,Water
460,Water,Shrubland,NULL,Non_Wetland,Forest
461,Water,Shrubland,Non_Water,Non_Wetland,Grassland
462,Water,Shrubland,Non_Water,Non_Wetland,Wetland
463,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
464,Water,Shrubland,Non_Water,Non_Wetland,Bareland
465,Water,Shrubland,Non_Water,Non_Wetland,Water
466,Water,Shrubland,Non_Water,Non_Wetland,Forest
467,Water,Shrubland,Water,Non_Wetland,Grassland
468,Water,Shrubland,Water,Non_Wetland,Wetland
469,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
470,Water,Shrubland,Water,Non_Wetland,Bareland
471,Water,Shrubland,Water,Non_Wetland,Water
472,Water,Shrubland,Water,Non_Wetland,Forest
473,Water,Grassland,NULL,Non_Wetland,Water
474,Water,Grassland,Non_Water,Non_Wetland,Grassland
475,Water,Grassland,Non_Water,Non_Wetland,Forest
476,Water,Grassland,Water,Non_Wetland,Grassland
477,Water,Grassland,Water,Non_Wetland,Water
478,Water,Cropland,NULL,Non_Wetland,Grassland
479,Water,Cropland,NULL,Non_Wetland,Forest
480,Water,Cropland,Water,Non_Wetland,Grassland
481,Water,Cropland,Water,Non_Wetland,Bareland
482,Water,Wetland,NULL,Wetland,NULL
483,Water,Wetland,NULL,Wetland,Grassland
484,Water,Wetland,NULL,Wetland,Wetland
485,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
486,Water,Wetland,NULL,Wetland,Bareland
487,Water,Wetland,NULL,Wetland,Water
488,Water,Wetland,NULL,Wetland,Forest
489,Water,Wetland,Non_Water,Wetland,NULL
490,Water,Wetland,Non_Water,Wetland,Grassland
491,Water,Wetland,Non_Water,Wetland,Wetland
492,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
493,Water,Wetland,Non_Water,Wetland,Bareland
