Value,SIBERIA_2024_ESA_CALU_2024_41WPT_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_41WPT_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WPT_M_R,SIBERIA_2024_GSW_Yearly_2021_41WPT_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WPT_M_R,SIBERIA_2024_WorldCover_2021_41WPT_M_R
112,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
113,NULL,NULL,Water,Water,Water,Bareland
114,NULL,NULL,Water,Water,Water,Water
115,NULL,NULL,Water,Water,Water,Forest
116,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
117,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
118,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
119,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
120,NULL,NULL,Forest,NULL,Non_Wetland,Water
121,NULL,NULL,Forest,NULL,Non_Wetland,Forest
122,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
123,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
124,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
125,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
126,NULL,NULL,Forest,Water,Non_Wetland,Grassland
127,NULL,NULL,Forest,Water,Non_Wetland,Wetland
128,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
129,NULL,NULL,Forest,Water,Non_Wetland,Water
130,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
131,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
132,NULL,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
133,NULL,Wetland,NULL,NULL,Non_Wetland,Water
134,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
135,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
136,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water
137,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
138,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
139,NULL,Wetland,NULL,Water,Non_Wetland,Water
140,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
141,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
142,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
143,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
144,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
145,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
146,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
147,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
148,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
149,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
150,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
151,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
152,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
153,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
154,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
155,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
156,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
157,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
158,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
159,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
160,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
161,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
162,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
163,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
164,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
165,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
166,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
167,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
168,NULL,Wetland,Grassland,Water,Non_Wetland,Water
169,NULL,Wetland,Wetland,NULL,NULL,Grassland
170,NULL,Wetland,Wetland,NULL,NULL,Wetland
171,NULL,Wetland,Wetland,NULL,NULL,Lichens_and_Mosses
172,NULL,Wetland,Wetland,NULL,NULL,Water
173,NULL,Wetland,Wetland,NULL,Wetland,Grassland
174,NULL,Wetland,Wetland,NULL,Wetland,Wetland
175,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
176,NULL,Wetland,Wetland,NULL,Wetland,Bareland
177,NULL,Wetland,Wetland,NULL,Wetland,Water
178,NULL,Wetland,Wetland,NULL,Wetland,Forest
179,NULL,Wetland,Wetland,Non_Water,NULL,Water
180,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
181,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
182,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
183,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
184,NULL,Wetland,Wetland,Non_Water,Wetland,Water
185,NULL,Wetland,Wetland,Water,NULL,Wetland
186,NULL,Wetland,Wetland,Water,NULL,Water
187,NULL,Wetland,Wetland,Water,Wetland,Grassland
188,NULL,Wetland,Wetland,Water,Wetland,Wetland
189,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
190,NULL,Wetland,Wetland,Water,Wetland,Bareland
191,NULL,Wetland,Wetland,Water,Wetland,Water
192,NULL,Wetland,Wetland,Water,Wetland,Permanent_ice_and_snow
193,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
194,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
195,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
196,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
197,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
198,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
199,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
200,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
201,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
202,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
203,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
204,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
205,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
206,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
207,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
208,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
209,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
210,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
211,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
212,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
213,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
214,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
215,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
216,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
217,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
218,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
219,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
220,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
221,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
222,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
223,NULL,Wetland,Bareland,Water,Non_Wetland,Water
224,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
225,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
226,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
227,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
228,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
229,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
230,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
231,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
232,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
233,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
234,NULL,Wetland,Built-up,Water,Non_Wetland,Water
235,NULL,Wetland,Water,NULL,NULL,Wetland
236,NULL,Wetland,Water,NULL,NULL,Water
237,NULL,Wetland,Water,NULL,Water,Grassland
238,NULL,Wetland,Water,NULL,Water,Wetland
239,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
240,NULL,Wetland,Water,NULL,Water,Bareland
241,NULL,Wetland,Water,NULL,Water,Water
242,NULL,Wetland,Water,Non_Water,NULL,Water
243,NULL,Wetland,Water,Non_Water,Water,Grassland
244,NULL,Wetland,Water,Non_Water,Water,Wetland
245,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
246,NULL,Wetland,Water,Non_Water,Water,Bareland
247,NULL,Wetland,Water,Non_Water,Water,Water
248,NULL,Wetland,Water,Water,NULL,Grassland
249,NULL,Wetland,Water,Water,NULL,Wetland
250,NULL,Wetland,Water,Water,NULL,Water
251,NULL,Wetland,Water,Water,Water,Grassland
252,NULL,Wetland,Water,Water,Water,Wetland
253,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
254,NULL,Wetland,Water,Water,Water,Bareland
255,NULL,Wetland,Water,Water,Water,Water
256,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
257,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
258,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
259,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
260,NULL,Wetland,Forest,NULL,Non_Wetland,Water
261,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
262,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
263,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
264,NULL,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
265,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
266,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
267,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
268,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
269,NULL,Wetland,Forest,Water,Non_Wetland,Bareland
270,NULL,Wetland,Forest,Water,Non_Wetland,Water
271,NULL,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
272,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
273,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
274,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
275,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
276,NULL,Bareland,Wetland,NULL,Wetland,Bareland
277,NULL,Bareland,Wetland,NULL,Wetland,Water
278,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
279,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
280,NULL,Bareland,Wetland,Non_Water,Wetland,Water
281,NULL,Bareland,Wetland,Water,NULL,Bareland
282,NULL,Bareland,Wetland,Water,NULL,Water
283,NULL,Bareland,Wetland,Water,Wetland,Wetland
284,NULL,Bareland,Wetland,Water,Wetland,Bareland
285,NULL,Bareland,Wetland,Water,Wetland,Water
286,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
287,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
288,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
289,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
290,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
291,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
292,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
293,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
294,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
295,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
296,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
297,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
298,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
299,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
300,NULL,Bareland,Bareland,Water,Non_Wetland,Water
301,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
302,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
303,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
304,NULL,Bareland,Built-up,Water,Non_Wetland,Water
305,NULL,Bareland,Water,NULL,Water,Bareland
306,NULL,Bareland,Water,NULL,Water,Water
307,NULL,Bareland,Water,Non_Water,Water,Bareland
308,NULL,Bareland,Water,Water,NULL,Bareland
309,NULL,Bareland,Water,Water,NULL,Water
310,NULL,Bareland,Water,Water,Water,Bareland
311,NULL,Bareland,Water,Water,Water,Water
312,NULL,Bareland,Forest,NULL,Non_Wetland,Wetland
313,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
314,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
315,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
316,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
317,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
318,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
319,NULL,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
320,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
321,NULL,Built-up,Wetland,NULL,Wetland,Wetland
322,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
323,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
324,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
325,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
326,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
327,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
328,NULL,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
329,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
330,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
331,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
332,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
333,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
334,NULL,Water,NULL,NULL,Non_Wetland,Grassland
335,NULL,Water,NULL,NULL,Non_Wetland,Wetland
336,NULL,Water,NULL,NULL,Non_Wetland,Water
337,NULL,Water,NULL,Non_Water,Non_Wetland,Wetland
338,NULL,Water,NULL,Non_Water,Non_Wetland,Water
339,NULL,Water,NULL,Water,Non_Wetland,Wetland
340,NULL,Water,NULL,Water,Non_Wetland,Water
341,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
342,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
343,NULL,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
344,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
345,NULL,Water,Shrubland,NULL,Non_Wetland,Water
346,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
347,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
348,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
349,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
350,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
351,NULL,Water,Shrubland,Water,Non_Wetland,Water
352,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
353,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
354,NULL,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
355,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
356,NULL,Water,Grassland,NULL,Non_Wetland,Water
357,NULL,Water,Grassland,Non_Water,Non_Wetland,Wetland
358,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
359,NULL,Water,Grassland,Water,Non_Wetland,Grassland
360,NULL,Water,Grassland,Water,Non_Wetland,Wetland
361,NULL,Water,Grassland,Water,Non_Wetland,Bareland
362,NULL,Water,Grassland,Water,Non_Wetland,Water
363,NULL,Water,Wetland,NULL,NULL,Grassland
364,NULL,Water,Wetland,NULL,NULL,Wetland
365,NULL,Water,Wetland,NULL,NULL,Lichens_and_Mosses
366,NULL,Water,Wetland,NULL,NULL,Bareland
367,NULL,Water,Wetland,NULL,NULL,Water
368,NULL,Water,Wetland,NULL,Wetland,Grassland
369,NULL,Water,Wetland,NULL,Wetland,Wetland
370,NULL,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
371,NULL,Water,Wetland,NULL,Wetland,Bareland
372,NULL,Water,Wetland,NULL,Wetland,Water
373,NULL,Water,Wetland,NULL,Wetland,Permanent_ice_and_snow
374,NULL,Water,Wetland,Non_Water,NULL,Bareland
375,NULL,Water,Wetland,Non_Water,NULL,Water
376,NULL,Water,Wetland,Non_Water,Wetland,Wetland
377,NULL,Water,Wetland,Non_Water,Wetland,Bareland
378,NULL,Water,Wetland,Non_Water,Wetland,Water
379,NULL,Water,Wetland,Water,NULL,Grassland
380,NULL,Water,Wetland,Water,NULL,Wetland
381,NULL,Water,Wetland,Water,NULL,Lichens_and_Mosses
382,NULL,Water,Wetland,Water,NULL,Bareland
383,NULL,Water,Wetland,Water,NULL,Water
384,NULL,Water,Wetland,Water,NULL,Permanent_ice_and_snow
385,NULL,Water,Wetland,Water,Wetland,Grassland
386,NULL,Water,Wetland,Water,Wetland,Wetland
387,NULL,Water,Wetland,Water,Wetland,Lichens_and_Mosses
388,NULL,Water,Wetland,Water,Wetland,Bareland
389,NULL,Water,Wetland,Water,Wetland,Built-up
390,NULL,Water,Wetland,Water,Wetland,Water
391,NULL,Water,Wetland,Water,Wetland,Permanent_ice_and_snow
392,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
393,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
394,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
395,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
396,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
397,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
398,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
399,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
400,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
401,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
402,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
403,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
404,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
405,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
406,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
407,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
408,NULL,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
409,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
410,NULL,Water,Bareland,NULL,Non_Wetland,Water
411,NULL,Water,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
412,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
413,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
414,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
415,NULL,Water,Bareland,Water,Non_Wetland,Grassland
416,NULL,Water,Bareland,Water,Non_Wetland,Wetland
417,NULL,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
418,NULL,Water,Bareland,Water,Non_Wetland,Bareland
