Value,SIBERIA_2024_ESA_CALU_2024_45XVB_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_45XVB_M_R,SIBERIA_2024_GLC_FCS30D_2022_45XVB_M_R,SIBERIA_2024_GSW_Yearly_2021_45XVB_M_R,SIBERIA_2024_GWL_FCS30D_2022_45XVB_M_R,SIBERIA_2024_WorldCover_2021_45XVB_M_R
108,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
109,NULL,NULL,Bareland,Water,Non_Wetland,Water
110,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
111,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
112,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
113,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
114,NULL,NULL,Built-up,NULL,Non_Wetland,Water
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
118,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
119,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
120,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
121,NULL,NULL,Built-up,Water,Non_Wetland,Water
122,NULL,NULL,Water,NULL,NULL,Grassland
123,NULL,NULL,Water,NULL,NULL,Water
124,NULL,NULL,Water,NULL,Water,Grassland
125,NULL,NULL,Water,NULL,Water,Wetland
126,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
127,NULL,NULL,Water,NULL,Water,Bareland
128,NULL,NULL,Water,NULL,Water,Water
129,NULL,NULL,Water,Non_Water,NULL,Forest
130,NULL,NULL,Water,Non_Water,Water,Grassland
131,NULL,NULL,Water,Non_Water,Water,Wetland
132,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
133,NULL,NULL,Water,Non_Water,Water,Bareland
134,NULL,NULL,Water,Non_Water,Water,Water
135,NULL,NULL,Water,Water,NULL,Grassland
136,NULL,NULL,Water,Water,NULL,Water
137,NULL,NULL,Water,Water,Water,Grassland
138,NULL,NULL,Water,Water,Water,Wetland
139,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
140,NULL,NULL,Water,Water,Water,Bareland
141,NULL,NULL,Water,Water,Water,Water
142,NULL,NULL,Water,Water,Water,Forest
143,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
144,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
145,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
146,NULL,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Grassland
147,NULL,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Bareland
148,NULL,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Grassland
149,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
150,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
151,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
152,NULL,NULL,Forest,NULL,Non_Wetland,Water
153,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
154,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
155,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
156,NULL,NULL,Forest,Water,Non_Wetland,Grassland
157,NULL,NULL,Forest,Water,Non_Wetland,Wetland
158,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
159,NULL,NULL,Forest,Water,Non_Wetland,Water
160,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
161,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
162,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
163,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
164,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
165,NULL,Cropland,Wetland,NULL,Wetland,Wetland
166,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
167,NULL,Cropland,Wetland,Water,Wetland,Wetland
168,NULL,Cropland,Wetland,Water,Wetland,Water
169,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
170,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
171,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
172,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
173,NULL,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
174,NULL,Wetland,NULL,NULL,Non_Wetland,Water
175,NULL,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
176,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
177,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
178,NULL,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
179,NULL,Wetland,NULL,Water,Non_Wetland,Water
180,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
181,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
182,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
183,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
184,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
185,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
186,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
187,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
188,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
189,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
190,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
191,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
192,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
193,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
194,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
195,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
196,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
197,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
198,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
199,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
200,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
201,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
202,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
203,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
204,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
205,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
206,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
207,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
208,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
209,NULL,Wetland,Grassland,Water,Non_Wetland,Water
210,NULL,Wetland,Wetland,NULL,NULL,Grassland
211,NULL,Wetland,Wetland,NULL,NULL,Wetland
212,NULL,Wetland,Wetland,NULL,NULL,Water
213,NULL,Wetland,Wetland,NULL,Wetland,Grassland
214,NULL,Wetland,Wetland,NULL,Wetland,Wetland
215,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
216,NULL,Wetland,Wetland,NULL,Wetland,Bareland
217,NULL,Wetland,Wetland,NULL,Wetland,Water
218,NULL,Wetland,Wetland,Non_Water,NULL,Wetland
219,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
220,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
221,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
222,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
223,NULL,Wetland,Wetland,Non_Water,Wetland,Water
224,NULL,Wetland,Wetland,Water,NULL,Wetland
225,NULL,Wetland,Wetland,Water,NULL,Water
226,NULL,Wetland,Wetland,Water,Wetland,Grassland
227,NULL,Wetland,Wetland,Water,Wetland,Wetland
228,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
229,NULL,Wetland,Wetland,Water,Wetland,Bareland
230,NULL,Wetland,Wetland,Water,Wetland,Water
231,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
232,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
233,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
234,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
235,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
236,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
237,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
238,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
239,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
240,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
241,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
242,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
243,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
244,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
245,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
246,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
247,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
248,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
249,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
250,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
251,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
252,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
253,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
254,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
255,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
256,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
257,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
258,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
259,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
260,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
261,NULL,Wetland,Bareland,Water,Non_Wetland,Water
262,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
263,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
264,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
265,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
266,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
267,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
268,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
269,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
270,NULL,Wetland,Built-up,Water,Non_Wetland,Water
271,NULL,Wetland,Water,NULL,NULL,Wetland
272,NULL,Wetland,Water,NULL,NULL,Water
273,NULL,Wetland,Water,NULL,Water,Grassland
274,NULL,Wetland,Water,NULL,Water,Wetland
275,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
276,NULL,Wetland,Water,NULL,Water,Bareland
277,NULL,Wetland,Water,NULL,Water,Water
278,NULL,Wetland,Water,Non_Water,NULL,Water
279,NULL,Wetland,Water,Non_Water,Water,Grassland
280,NULL,Wetland,Water,Non_Water,Water,Wetland
281,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
282,NULL,Wetland,Water,Non_Water,Water,Water
283,NULL,Wetland,Water,Water,NULL,Wetland
284,NULL,Wetland,Water,Water,NULL,Water
285,NULL,Wetland,Water,Water,Water,Grassland
286,NULL,Wetland,Water,Water,Water,Wetland
287,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
288,NULL,Wetland,Water,Water,Water,Bareland
289,NULL,Wetland,Water,Water,Water,Water
290,NULL,Wetland,Water,Water,Water,Forest
291,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
292,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
293,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
294,NULL,Wetland,Forest,NULL,Non_Wetland,Water
295,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
296,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
297,NULL,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
298,NULL,Wetland,Forest,Non_Water,Non_Wetland,Bareland
299,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
300,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
301,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
302,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
303,NULL,Wetland,Forest,Water,Non_Wetland,Water
304,NULL,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
305,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
306,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
307,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
308,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
309,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
310,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
311,NULL,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
312,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
313,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
314,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
315,NULL,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
316,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
317,NULL,Bareland,Wetland,NULL,NULL,Grassland
318,NULL,Bareland,Wetland,NULL,NULL,Wetland
319,NULL,Bareland,Wetland,NULL,NULL,Bareland
320,NULL,Bareland,Wetland,NULL,NULL,Water
321,NULL,Bareland,Wetland,NULL,Wetland,Grassland
322,NULL,Bareland,Wetland,NULL,Wetland,Wetland
323,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
324,NULL,Bareland,Wetland,NULL,Wetland,Bareland
325,NULL,Bareland,Wetland,NULL,Wetland,Water
326,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
327,NULL,Bareland,Wetland,Non_Water,NULL,Water
328,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
329,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
330,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
331,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
332,NULL,Bareland,Wetland,Non_Water,Wetland,Water
333,NULL,Bareland,Wetland,Water,NULL,Lichens_and_Mosses
334,NULL,Bareland,Wetland,Water,NULL,Bareland
335,NULL,Bareland,Wetland,Water,NULL,Water
336,NULL,Bareland,Wetland,Water,Wetland,Wetland
337,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
338,NULL,Bareland,Wetland,Water,Wetland,Bareland
339,NULL,Bareland,Wetland,Water,Wetland,Water
340,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
341,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
342,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
343,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
344,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
345,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
346,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
347,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
348,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
349,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
350,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
351,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
352,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
353,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
354,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
355,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
356,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
357,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
358,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
359,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
360,NULL,Bareland,Bareland,Water,Non_Wetland,Water
361,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
362,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
363,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
364,NULL,Bareland,Built-up,Water,Non_Wetland,Water
365,NULL,Bareland,Water,NULL,NULL,Water
366,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
367,NULL,Bareland,Water,NULL,Water,Bareland
368,NULL,Bareland,Water,NULL,Water,Water
369,NULL,Bareland,Water,Non_Water,Water,Bareland
370,NULL,Bareland,Water,Non_Water,Water,Water
371,NULL,Bareland,Water,Water,NULL,Bareland
372,NULL,Bareland,Water,Water,NULL,Water
373,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
374,NULL,Bareland,Water,Water,Water,Bareland
375,NULL,Bareland,Water,Water,Water,Water
376,NULL,Bareland,Permanent_ice_and_snow,Water,Non_Wetland,Bareland
377,NULL,Bareland,Permanent_ice_and_snow,Water,Non_Wetland,Water
378,NULL,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
379,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
380,NULL,Built-up,Wetland,NULL,Wetland,Wetland
381,NULL,Built-up,Wetland,NULL,Wetland,Lichens_and_Mosses
382,NULL,Built-up,Wetland,NULL,Wetland,Water
383,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland
384,NULL,Built-up,Wetland,Non_Water,Wetland,Lichens_and_Mosses
385,NULL,Built-up,Wetland,Non_Water,Wetland,Water
386,NULL,Built-up,Wetland,Water,Wetland,Grassland
387,NULL,Built-up,Wetland,Water,Wetland,Wetland
388,NULL,Built-up,Wetland,Water,Wetland,Lichens_and_Mosses
389,NULL,Built-up,Wetland,Water,Wetland,Water
390,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
391,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Water
392,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
393,NULL,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
394,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
395,NULL,Water,NULL,NULL,Non_Wetland,Water
396,NULL,Water,NULL,Non_Water,Non_Wetland,Water
397,NULL,Water,NULL,Water,Non_Wetland,Lichens_and_Mosses
398,NULL,Water,NULL,Water,Non_Wetland,Water
399,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
400,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
401,NULL,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
402,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
403,NULL,Water,Shrubland,NULL,Non_Wetland,Water
404,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
405,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
406,NULL,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
407,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
408,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
409,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
410,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
411,NULL,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
