Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VXN_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VXN_M_R,SIBERIA_2024_GSW_Yearly_2021_42VXN_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VXN_M_R,SIBERIA_2024_WorldCover_2021_42VXN_M_R
262,Cropland,Built-up,NULL,Non_Wetland,NULL
263,Cropland,Built-up,NULL,Non_Wetland,Grassland
264,Cropland,Built-up,NULL,Non_Wetland,Wetland
265,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
266,Cropland,Built-up,NULL,Non_Wetland,Bareland
267,Cropland,Built-up,NULL,Non_Wetland,Built-up
268,Cropland,Built-up,NULL,Non_Wetland,Forest
269,Cropland,Built-up,Non_Water,Non_Wetland,Bareland
270,Cropland,Built-up,Non_Water,Non_Wetland,Built-up
271,Cropland,Built-up,Water,Non_Wetland,Built-up
272,Cropland,Built-up,Water,Non_Wetland,Water
273,Cropland,Built-up,Water,Non_Wetland,Forest
274,Cropland,Water,Water,Water,Water
275,Cropland,Forest,NULL,Non_Wetland,NULL
276,Cropland,Forest,NULL,Non_Wetland,Grassland
277,Cropland,Forest,NULL,Non_Wetland,Cropland
278,Cropland,Forest,NULL,Non_Wetland,Wetland
279,Cropland,Forest,NULL,Non_Wetland,Bareland
280,Cropland,Forest,NULL,Non_Wetland,Built-up
281,Cropland,Forest,NULL,Non_Wetland,Water
282,Cropland,Forest,NULL,Non_Wetland,Forest
283,Cropland,Forest,Non_Water,Non_Wetland,Grassland
284,Cropland,Forest,Non_Water,Non_Wetland,Wetland
285,Cropland,Forest,Non_Water,Non_Wetland,Forest
286,Cropland,Forest,Water,Non_Wetland,Grassland
287,Cropland,Forest,Water,Non_Wetland,Wetland
288,Cropland,Forest,Water,Non_Wetland,Forest
289,Wetland,NULL,NULL,Non_Wetland,NULL
290,Wetland,NULL,NULL,Non_Wetland,Grassland
291,Wetland,NULL,NULL,Non_Wetland,Wetland
292,Wetland,NULL,NULL,Non_Wetland,Bareland
293,Wetland,NULL,NULL,Non_Wetland,Built-up
294,Wetland,NULL,NULL,Non_Wetland,Water
295,Wetland,NULL,NULL,Non_Wetland,Forest
296,Wetland,NULL,Non_Water,Non_Wetland,Grassland
297,Wetland,NULL,Non_Water,Non_Wetland,Cropland
298,Wetland,NULL,Non_Water,Non_Wetland,Wetland
299,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
300,Wetland,NULL,Non_Water,Non_Wetland,Bareland
301,Wetland,NULL,Non_Water,Non_Wetland,Water
302,Wetland,NULL,Non_Water,Non_Wetland,Forest
303,Wetland,NULL,Water,Non_Wetland,Grassland
304,Wetland,NULL,Water,Non_Wetland,Wetland
305,Wetland,NULL,Water,Non_Wetland,Water
306,Wetland,NULL,Water,Non_Wetland,Forest
307,Wetland,Shrubland,NULL,Non_Wetland,NULL
308,Wetland,Shrubland,NULL,Non_Wetland,Grassland
309,Wetland,Shrubland,NULL,Non_Wetland,Cropland
310,Wetland,Shrubland,NULL,Non_Wetland,Wetland
311,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
312,Wetland,Shrubland,NULL,Non_Wetland,Bareland
313,Wetland,Shrubland,NULL,Non_Wetland,Built-up
314,Wetland,Shrubland,NULL,Non_Wetland,Water
315,Wetland,Shrubland,NULL,Non_Wetland,Forest
316,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
317,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
318,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
319,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
320,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
321,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
322,Wetland,Shrubland,Non_Water,Non_Wetland,Water
323,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
324,Wetland,Shrubland,Water,Non_Wetland,Grassland
325,Wetland,Shrubland,Water,Non_Wetland,Cropland
326,Wetland,Shrubland,Water,Non_Wetland,Wetland
327,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
328,Wetland,Shrubland,Water,Non_Wetland,Bareland
329,Wetland,Shrubland,Water,Non_Wetland,Water
330,Wetland,Shrubland,Water,Non_Wetland,Forest
331,Wetland,Grassland,NULL,Non_Wetland,NULL
332,Wetland,Grassland,NULL,Non_Wetland,Grassland
333,Wetland,Grassland,NULL,Non_Wetland,Wetland
334,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
335,Wetland,Grassland,NULL,Non_Wetland,Bareland
336,Wetland,Grassland,NULL,Non_Wetland,Built-up
337,Wetland,Grassland,NULL,Non_Wetland,Water
338,Wetland,Grassland,NULL,Non_Wetland,Forest
339,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
340,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
341,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
342,Wetland,Grassland,Non_Water,Non_Wetland,Built-up
343,Wetland,Grassland,Non_Water,Non_Wetland,Water
344,Wetland,Grassland,Non_Water,Non_Wetland,Forest
345,Wetland,Grassland,Water,Non_Wetland,Grassland
346,Wetland,Grassland,Water,Non_Wetland,Wetland
347,Wetland,Grassland,Water,Non_Wetland,Built-up
348,Wetland,Grassland,Water,Non_Wetland,Water
349,Wetland,Grassland,Water,Non_Wetland,Forest
350,Wetland,Cropland,NULL,Non_Wetland,NULL
351,Wetland,Cropland,NULL,Non_Wetland,Grassland
352,Wetland,Cropland,NULL,Non_Wetland,Cropland
353,Wetland,Cropland,NULL,Non_Wetland,Wetland
354,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
355,Wetland,Cropland,NULL,Non_Wetland,Bareland
356,Wetland,Cropland,NULL,Non_Wetland,Built-up
357,Wetland,Cropland,NULL,Non_Wetland,Water
358,Wetland,Cropland,NULL,Non_Wetland,Forest
359,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
360,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
361,Wetland,Cropland,Non_Water,Non_Wetland,Bareland
362,Wetland,Cropland,Non_Water,Non_Wetland,Built-up
363,Wetland,Cropland,Non_Water,Non_Wetland,Forest
364,Wetland,Cropland,Water,Non_Wetland,Grassland
365,Wetland,Cropland,Water,Non_Wetland,Wetland
366,Wetland,Cropland,Water,Non_Wetland,Water
367,Wetland,Cropland,Water,Non_Wetland,Forest
368,Wetland,Wetland,NULL,Wetland,NULL
369,Wetland,Wetland,NULL,Wetland,Grassland
370,Wetland,Wetland,NULL,Wetland,Cropland
371,Wetland,Wetland,NULL,Wetland,Wetland
372,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
373,Wetland,Wetland,NULL,Wetland,Bareland
374,Wetland,Wetland,NULL,Wetland,Built-up
375,Wetland,Wetland,NULL,Wetland,Water
376,Wetland,Wetland,NULL,Wetland,Forest
377,Wetland,Wetland,Non_Water,Wetland,NULL
378,Wetland,Wetland,Non_Water,Wetland,Grassland
379,Wetland,Wetland,Non_Water,Wetland,Cropland
380,Wetland,Wetland,Non_Water,Wetland,Wetland
381,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
382,Wetland,Wetland,Non_Water,Wetland,Bareland
383,Wetland,Wetland,Non_Water,Wetland,Built-up
384,Wetland,Wetland,Non_Water,Wetland,Water
385,Wetland,Wetland,Non_Water,Wetland,Forest
386,Wetland,Wetland,Water,Wetland,NULL
387,Wetland,Wetland,Water,Wetland,Grassland
388,Wetland,Wetland,Water,Wetland,Cropland
389,Wetland,Wetland,Water,Wetland,Wetland
390,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
391,Wetland,Wetland,Water,Wetland,Bareland
392,Wetland,Wetland,Water,Wetland,Built-up
393,Wetland,Wetland,Water,Wetland,Water
394,Wetland,Wetland,Water,Wetland,Forest
395,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
396,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
397,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
398,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
399,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
400,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
401,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
402,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
403,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
404,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
405,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
406,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
407,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
408,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
409,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
410,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
411,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
412,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Built-up
413,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
414,Wetland,Bareland,NULL,Non_Wetland,NULL
415,Wetland,Bareland,NULL,Non_Wetland,Grassland
416,Wetland,Bareland,NULL,Non_Wetland,Cropland
417,Wetland,Bareland,NULL,Non_Wetland,Wetland
418,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
419,Wetland,Bareland,NULL,Non_Wetland,Bareland
420,Wetland,Bareland,NULL,Non_Wetland,Built-up
421,Wetland,Bareland,NULL,Non_Wetland,Water
422,Wetland,Bareland,NULL,Non_Wetland,Forest
423,Wetland,Bareland,Non_Water,Non_Wetland,NULL
424,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
425,Wetland,Bareland,Non_Water,Non_Wetland,Cropland
426,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
427,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
428,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
429,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
430,Wetland,Bareland,Non_Water,Non_Wetland,Water
431,Wetland,Bareland,Non_Water,Non_Wetland,Forest
432,Wetland,Bareland,Water,Non_Wetland,Grassland
433,Wetland,Bareland,Water,Non_Wetland,Cropland
434,Wetland,Bareland,Water,Non_Wetland,Wetland
435,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
436,Wetland,Bareland,Water,Non_Wetland,Bareland
437,Wetland,Bareland,Water,Non_Wetland,Built-up
438,Wetland,Bareland,Water,Non_Wetland,Water
439,Wetland,Bareland,Water,Non_Wetland,Forest
440,Wetland,Built-up,NULL,Non_Wetland,NULL
441,Wetland,Built-up,NULL,Non_Wetland,Grassland
442,Wetland,Built-up,NULL,Non_Wetland,Wetland
443,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
444,Wetland,Built-up,NULL,Non_Wetland,Bareland
445,Wetland,Built-up,NULL,Non_Wetland,Built-up
446,Wetland,Built-up,NULL,Non_Wetland,Water
447,Wetland,Built-up,NULL,Non_Wetland,Forest
448,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
449,Wetland,Built-up,Non_Water,Non_Wetland,Cropland
450,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
451,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
452,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
453,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
454,Wetland,Built-up,Non_Water,Non_Wetland,Water
455,Wetland,Built-up,Non_Water,Non_Wetland,Forest
456,Wetland,Built-up,Water,Non_Wetland,Grassland
457,Wetland,Built-up,Water,Non_Wetland,Wetland
458,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
459,Wetland,Built-up,Water,Non_Wetland,Bareland
460,Wetland,Built-up,Water,Non_Wetland,Built-up
461,Wetland,Built-up,Water,Non_Wetland,Water
462,Wetland,Built-up,Water,Non_Wetland,Forest
463,Wetland,Water,NULL,Water,NULL
464,Wetland,Water,NULL,Water,Grassland
465,Wetland,Water,NULL,Water,Wetland
466,Wetland,Water,NULL,Water,Lichens_and_Mosses
467,Wetland,Water,NULL,Water,Built-up
468,Wetland,Water,NULL,Water,Water
469,Wetland,Water,NULL,Water,Forest
470,Wetland,Water,Non_Water,Water,Grassland
471,Wetland,Water,Non_Water,Water,Wetland
472,Wetland,Water,Non_Water,Water,Bareland
473,Wetland,Water,Non_Water,Water,Built-up
474,Wetland,Water,Non_Water,Water,Water
475,Wetland,Water,Non_Water,Water,Forest
