Value,SIBERIA_2024_ESA_CALU_2024_43WDN_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WDN_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WDN_M_R,SIBERIA_2024_GSW_Yearly_2021_43WDN_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WDN_M_R,SIBERIA_2024_WorldCover_2021_43WDN_M_R
114,NULL,NULL,Bareland,Water,Non_Wetland,Forest
115,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
116,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
117,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
118,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
119,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
120,NULL,NULL,Built-up,NULL,Non_Wetland,Water
121,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
122,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
123,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
124,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
125,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
126,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
127,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
128,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
129,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
130,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
131,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
132,NULL,NULL,Built-up,Water,Non_Wetland,Water
133,NULL,NULL,Water,NULL,Water,Grassland
134,NULL,NULL,Water,NULL,Water,Wetland
135,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
136,NULL,NULL,Water,NULL,Water,Bareland
137,NULL,NULL,Water,NULL,Water,Water
138,NULL,NULL,Water,NULL,Water,Forest
139,NULL,NULL,Water,Non_Water,Water,Grassland
140,NULL,NULL,Water,Non_Water,Water,Wetland
141,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
142,NULL,NULL,Water,Non_Water,Water,Bareland
143,NULL,NULL,Water,Non_Water,Water,Water
144,NULL,NULL,Water,Non_Water,Water,Forest
145,NULL,NULL,Water,Water,Water,Grassland
146,NULL,NULL,Water,Water,Water,Wetland
147,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
148,NULL,NULL,Water,Water,Water,Bareland
149,NULL,NULL,Water,Water,Water,Water
150,NULL,NULL,Water,Water,Water,Forest
151,NULL,NULL,Forest,NULL,Non_Wetland,NULL
152,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
153,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
154,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
155,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
156,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
157,NULL,NULL,Forest,NULL,Non_Wetland,Water
158,NULL,NULL,Forest,NULL,Non_Wetland,Forest
159,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
160,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
161,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
162,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
163,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
164,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
165,NULL,NULL,Forest,Water,Non_Wetland,Grassland
166,NULL,NULL,Forest,Water,Non_Wetland,Wetland
167,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
168,NULL,NULL,Forest,Water,Non_Wetland,Bareland
169,NULL,NULL,Forest,Water,Non_Wetland,Water
170,NULL,NULL,Forest,Water,Non_Wetland,Forest
171,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
172,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
173,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
174,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
175,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
176,NULL,Cropland,Wetland,NULL,Wetland,Grassland
177,NULL,Cropland,Wetland,NULL,Wetland,Wetland
178,NULL,Cropland,Wetland,NULL,Wetland,Lichens_and_Mosses
179,NULL,Cropland,Wetland,NULL,Wetland,Forest
180,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
181,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
182,NULL,Cropland,Wetland,Water,Wetland,Wetland
183,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
184,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
185,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
186,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
187,NULL,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
188,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
189,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
190,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
191,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
192,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
193,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
194,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
195,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
196,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
197,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
198,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
199,NULL,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
200,NULL,Wetland,NULL,NULL,Non_Wetland,Water
201,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
202,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
203,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
204,NULL,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
205,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water
206,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
207,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
208,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
209,NULL,Wetland,NULL,Water,Non_Wetland,Water
210,NULL,Wetland,NULL,Water,Non_Wetland,Forest
211,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
212,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
213,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
214,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
215,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
216,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
217,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
218,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
219,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
220,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
221,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
222,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
223,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
224,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
225,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
226,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
227,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
228,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
229,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
230,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
231,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
232,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
233,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
234,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
235,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
236,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
237,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
238,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
239,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
240,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
241,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
242,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
243,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
244,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
245,NULL,Wetland,Grassland,Water,Non_Wetland,Water
246,NULL,Wetland,Grassland,Water,Non_Wetland,Forest
247,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
248,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
249,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
250,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
251,NULL,Wetland,Wetland,NULL,Wetland,NULL
252,NULL,Wetland,Wetland,NULL,Wetland,Grassland
253,NULL,Wetland,Wetland,NULL,Wetland,Wetland
254,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
255,NULL,Wetland,Wetland,NULL,Wetland,Bareland
256,NULL,Wetland,Wetland,NULL,Wetland,Built-up
257,NULL,Wetland,Wetland,NULL,Wetland,Water
258,NULL,Wetland,Wetland,NULL,Wetland,Forest
259,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
260,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
261,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
262,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
263,NULL,Wetland,Wetland,Non_Water,Wetland,Built-up
264,NULL,Wetland,Wetland,Non_Water,Wetland,Water
265,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
266,NULL,Wetland,Wetland,Water,Wetland,Grassland
267,NULL,Wetland,Wetland,Water,Wetland,Wetland
268,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
269,NULL,Wetland,Wetland,Water,Wetland,Bareland
270,NULL,Wetland,Wetland,Water,Wetland,Built-up
271,NULL,Wetland,Wetland,Water,Wetland,Water
272,NULL,Wetland,Wetland,Water,Wetland,Forest
273,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
274,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
275,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
276,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
277,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
278,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
279,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
280,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
281,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
282,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
283,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
284,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
285,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
286,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
287,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
288,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
289,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
290,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
291,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
292,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
293,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
294,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
295,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
296,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
297,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
298,NULL,Wetland,Bareland,NULL,Non_Wetland,Built-up
299,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
300,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
301,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
302,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
303,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
304,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
305,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
306,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
307,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Forest
308,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
309,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
310,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
311,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
312,NULL,Wetland,Bareland,Water,Non_Wetland,Water
313,NULL,Wetland,Bareland,Water,Non_Wetland,Forest
314,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
315,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
316,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
317,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
318,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
319,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
320,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
321,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
322,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
323,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
324,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
325,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
326,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
327,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Forest
328,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
329,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
330,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
331,NULL,Wetland,Built-up,Water,Non_Wetland,Water
332,NULL,Wetland,Water,NULL,Water,Grassland
333,NULL,Wetland,Water,NULL,Water,Wetland
334,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
335,NULL,Wetland,Water,NULL,Water,Bareland
336,NULL,Wetland,Water,NULL,Water,Built-up
337,NULL,Wetland,Water,NULL,Water,Water
338,NULL,Wetland,Water,NULL,Water,Forest
339,NULL,Wetland,Water,Non_Water,Water,Grassland
340,NULL,Wetland,Water,Non_Water,Water,Wetland
341,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
342,NULL,Wetland,Water,Non_Water,Water,Bareland
343,NULL,Wetland,Water,Non_Water,Water,Water
344,NULL,Wetland,Water,Non_Water,Water,Forest
345,NULL,Wetland,Water,Water,Water,Grassland
346,NULL,Wetland,Water,Water,Water,Wetland
347,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
348,NULL,Wetland,Water,Water,Water,Bareland
349,NULL,Wetland,Water,Water,Water,Water
350,NULL,Wetland,Water,Water,Water,Forest
351,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
352,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
353,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
354,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
355,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
356,NULL,Wetland,Forest,NULL,Non_Wetland,Built-up
357,NULL,Wetland,Forest,NULL,Non_Wetland,Water
358,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
359,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
360,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
361,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
362,NULL,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
363,NULL,Wetland,Forest,Non_Water,Non_Wetland,Bareland
364,NULL,Wetland,Forest,Non_Water,Non_Wetland,Built-up
365,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
366,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
367,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
368,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
369,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
370,NULL,Wetland,Forest,Water,Non_Wetland,Bareland
371,NULL,Wetland,Forest,Water,Non_Wetland,Water
372,NULL,Wetland,Forest,Water,Non_Wetland,Forest
373,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
374,NULL,Bareland,NULL,NULL,Non_Wetland,Water
375,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
376,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
377,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
378,NULL,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
379,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
380,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
381,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
382,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
383,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
384,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
385,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
386,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
387,NULL,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
388,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
389,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
390,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
391,NULL,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
392,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
393,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
394,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
395,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
396,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
397,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
398,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
399,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
400,NULL,Bareland,Grassland,Water,Non_Wetland,Water
401,NULL,Bareland,Wetland,NULL,Wetland,Grassland
402,NULL,Bareland,Wetland,NULL,Wetland,Wetland
403,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
404,NULL,Bareland,Wetland,NULL,Wetland,Bareland
405,NULL,Bareland,Wetland,NULL,Wetland,Built-up
406,NULL,Bareland,Wetland,NULL,Wetland,Water
407,NULL,Bareland,Wetland,NULL,Wetland,Forest
408,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
409,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
410,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
