Value,SIBERIA_2024_ESA_CALU_2024_41WPV_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_41WPV_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WPV_M_R,SIBERIA_2024_GSW_Yearly_2021_41WPV_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WPV_M_R,SIBERIA_2024_WorldCover_2021_41WPV_M_R
108,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
109,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
110,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL
111,NULL,Water,Bareland,NULL,Non_Wetland,NULL
112,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
113,NULL,Water,Bareland,Water,Non_Wetland,NULL
114,NULL,Water,Built-up,NULL,Non_Wetland,NULL
115,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL
116,NULL,Water,Built-up,Water,Non_Wetland,NULL
117,NULL,Water,Water,NULL,NULL,NULL
118,NULL,Water,Water,NULL,Water,NULL
119,NULL,Water,Water,Non_Water,NULL,NULL
120,NULL,Water,Water,Non_Water,Water,NULL
121,NULL,Water,Water,Water,NULL,NULL
122,NULL,Water,Water,Water,Water,NULL
123,NULL,Water,Forest,NULL,Non_Wetland,NULL
124,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
125,NULL,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,NULL
126,NULL,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,NULL
127,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,NULL
128,NULL,Permanent_ice_and_snow,Wetland,NULL,NULL,NULL
129,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
130,NULL,Permanent_ice_and_snow,Wetland,Non_Water,NULL,NULL
131,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,NULL
132,NULL,Permanent_ice_and_snow,Wetland,Water,NULL,NULL
133,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,NULL
134,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,NULL
135,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
136,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,NULL
137,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
138,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,NULL
139,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,NULL
140,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,NULL
141,NULL,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,NULL
142,NULL,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,NULL
143,NULL,Permanent_ice_and_snow,Water,NULL,NULL,NULL
144,NULL,Permanent_ice_and_snow,Water,NULL,Water,NULL
145,NULL,Permanent_ice_and_snow,Water,Non_Water,Water,NULL
146,NULL,Permanent_ice_and_snow,Water,Water,NULL,NULL
147,NULL,Permanent_ice_and_snow,Water,Water,Water,NULL
148,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
149,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
150,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
151,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
152,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
153,NULL,Forest,Wetland,NULL,Wetland,NULL
154,NULL,Forest,Wetland,Non_Water,Wetland,NULL
155,NULL,Forest,Wetland,Water,Wetland,NULL
156,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
157,NULL,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
158,NULL,Forest,Lichens_and_Mosses,Water,Non_Wetland,NULL
159,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
160,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL
161,NULL,Forest,Bareland,Water,Non_Wetland,NULL
162,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
163,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL
164,NULL,Forest,Water,NULL,Water,NULL
165,NULL,Forest,Water,Non_Water,Water,NULL
166,NULL,Forest,Water,Water,Water,NULL
167,Shrubland,NULL,Shrubland,NULL,Non_Wetland,NULL
168,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
169,Shrubland,NULL,Shrubland,Water,Non_Wetland,NULL
170,Shrubland,NULL,Grassland,NULL,Non_Wetland,NULL
171,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,NULL
172,Shrubland,NULL,Grassland,Water,Non_Wetland,NULL
173,Shrubland,NULL,Wetland,NULL,Wetland,NULL
174,Shrubland,NULL,Wetland,Non_Water,Wetland,NULL
175,Shrubland,NULL,Wetland,Water,Wetland,NULL
176,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
177,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
178,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
179,Shrubland,NULL,Bareland,NULL,Non_Wetland,NULL
180,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,NULL
181,Shrubland,NULL,Bareland,Water,Non_Wetland,NULL
182,Shrubland,NULL,Built-up,NULL,Non_Wetland,NULL
183,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,NULL
184,Shrubland,NULL,Built-up,Water,Non_Wetland,NULL
185,Shrubland,NULL,Water,NULL,Water,NULL
186,Shrubland,NULL,Water,Non_Water,Water,NULL
187,Shrubland,NULL,Water,Water,Water,NULL
188,Shrubland,NULL,Forest,NULL,Non_Wetland,NULL
189,Shrubland,NULL,Forest,Water,Non_Wetland,NULL
190,Shrubland,Cropland,Grassland,NULL,Non_Wetland,NULL
191,Shrubland,Cropland,Bareland,NULL,Non_Wetland,NULL
192,Shrubland,Cropland,Built-up,NULL,Non_Wetland,NULL
193,Shrubland,Wetland,Shrubland,NULL,Non_Wetland,NULL
194,Shrubland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
195,Shrubland,Wetland,Shrubland,Water,Non_Wetland,NULL
196,Shrubland,Wetland,Grassland,NULL,Non_Wetland,NULL
197,Shrubland,Wetland,Grassland,Non_Water,Non_Wetland,NULL
198,Shrubland,Wetland,Grassland,Water,Non_Wetland,NULL
199,Shrubland,Wetland,Wetland,NULL,Wetland,NULL
200,Shrubland,Wetland,Wetland,Non_Water,Wetland,NULL
201,Shrubland,Wetland,Wetland,Water,Wetland,NULL
202,Shrubland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
203,Shrubland,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
204,Shrubland,Wetland,Lichens_and_Mosses,Water,Non_Wetland,NULL
205,Shrubland,Wetland,Bareland,NULL,Non_Wetland,NULL
206,Shrubland,Wetland,Bareland,Non_Water,Non_Wetland,NULL
207,Shrubland,Wetland,Bareland,Water,Non_Wetland,NULL
208,Shrubland,Wetland,Built-up,NULL,Non_Wetland,NULL
209,Shrubland,Wetland,Built-up,Non_Water,Non_Wetland,NULL
210,Shrubland,Wetland,Water,NULL,Water,NULL
211,Shrubland,Wetland,Water,Non_Water,Water,NULL
212,Shrubland,Wetland,Water,Water,Water,NULL
213,Shrubland,Wetland,Forest,NULL,Non_Wetland,NULL
214,Shrubland,Wetland,Forest,Non_Water,Non_Wetland,NULL
215,Shrubland,Bareland,Bareland,NULL,Non_Wetland,NULL
216,Shrubland,Built-up,Shrubland,NULL,Non_Wetland,NULL
217,Shrubland,Built-up,Grassland,NULL,Non_Wetland,NULL
218,Shrubland,Built-up,Wetland,NULL,Wetland,NULL
219,Shrubland,Built-up,Wetland,Water,Wetland,NULL
220,Shrubland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
221,Shrubland,Built-up,Bareland,NULL,Non_Wetland,NULL
222,Shrubland,Built-up,Bareland,Non_Water,Non_Wetland,NULL
223,Shrubland,Built-up,Built-up,NULL,Non_Wetland,NULL
224,Shrubland,Water,Shrubland,NULL,Non_Wetland,NULL
225,Shrubland,Water,Shrubland,Non_Water,Non_Wetland,NULL
226,Shrubland,Water,Shrubland,Water,Non_Wetland,NULL
227,Shrubland,Water,Grassland,NULL,Non_Wetland,NULL
228,Shrubland,Water,Grassland,Non_Water,Non_Wetland,NULL
229,Shrubland,Water,Grassland,Water,Non_Wetland,NULL
230,Shrubland,Water,Wetland,NULL,Wetland,NULL
231,Shrubland,Water,Wetland,Non_Water,Wetland,NULL
232,Shrubland,Water,Wetland,Water,Wetland,NULL
233,Shrubland,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
234,Shrubland,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
235,Shrubland,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL
236,Shrubland,Water,Bareland,NULL,Non_Wetland,NULL
237,Shrubland,Water,Bareland,Non_Water,Non_Wetland,NULL
238,Shrubland,Water,Bareland,Water,Non_Wetland,NULL
239,Shrubland,Water,Built-up,NULL,Non_Wetland,NULL
240,Shrubland,Water,Water,NULL,Water,NULL
241,Shrubland,Water,Water,Non_Water,Water,NULL
242,Shrubland,Water,Water,Water,Water,NULL
243,Shrubland,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
244,Shrubland,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,NULL
245,Shrubland,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,NULL
246,Shrubland,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
247,Shrubland,Permanent_ice_and_snow,Wetland,Water,Wetland,NULL
248,Shrubland,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,NULL
249,Shrubland,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
250,Shrubland,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,NULL
251,Shrubland,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
252,Shrubland,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,NULL
253,Shrubland,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,NULL
254,Shrubland,Permanent_ice_and_snow,Water,NULL,Water,NULL
255,Shrubland,Forest,Shrubland,NULL,Non_Wetland,NULL
256,Shrubland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
257,Shrubland,Forest,Shrubland,Water,Non_Wetland,NULL
258,Shrubland,Forest,Grassland,NULL,Non_Wetland,NULL
259,Shrubland,Forest,Grassland,Non_Water,Non_Wetland,NULL
260,Shrubland,Forest,Grassland,Water,Non_Wetland,NULL
261,Shrubland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
262,Shrubland,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
263,Shrubland,Forest,Lichens_and_Mosses,Water,Non_Wetland,NULL
264,Shrubland,Forest,Bareland,NULL,Non_Wetland,NULL
265,Shrubland,Forest,Bareland,Non_Water,Non_Wetland,NULL
266,Shrubland,Forest,Bareland,Water,Non_Wetland,NULL
267,Shrubland,Forest,Built-up,Non_Water,Non_Wetland,NULL
268,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
269,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
270,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL
271,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
272,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL
273,Wetland,NULL,Grassland,Water,Non_Wetland,NULL
274,Wetland,NULL,Wetland,NULL,NULL,NULL
275,Wetland,NULL,Wetland,NULL,Wetland,NULL
276,Wetland,NULL,Wetland,Non_Water,Wetland,NULL
277,Wetland,NULL,Wetland,Water,Wetland,NULL
278,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
279,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
280,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
281,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
282,Wetland,NULL,Bareland,Non_Water,Non_Wetland,NULL
283,Wetland,NULL,Bareland,Water,Non_Wetland,NULL
284,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL
285,Wetland,NULL,Built-up,Non_Water,Non_Wetland,NULL
286,Wetland,NULL,Water,NULL,NULL,NULL
287,Wetland,NULL,Water,NULL,Water,NULL
288,Wetland,NULL,Water,Non_Water,Water,NULL
289,Wetland,NULL,Water,Water,Water,NULL
290,Wetland,Cropland,Grassland,NULL,Non_Wetland,NULL
291,Wetland,Cropland,Bareland,NULL,Non_Wetland,NULL
292,Wetland,Cropland,Built-up,NULL,Non_Wetland,NULL
293,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
294,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
295,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL
296,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL
297,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL
298,Wetland,Wetland,Grassland,Water,Non_Wetland,NULL
299,Wetland,Wetland,Wetland,NULL,Wetland,NULL
300,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL
301,Wetland,Wetland,Wetland,Water,Wetland,NULL
302,Wetland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
303,Wetland,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
304,Wetland,Wetland,Lichens_and_Mosses,Water,Non_Wetland,NULL
305,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL
306,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,NULL
307,Wetland,Wetland,Bareland,Water,Non_Wetland,NULL
308,Wetland,Wetland,Built-up,NULL,Non_Wetland,NULL
309,Wetland,Wetland,Built-up,Non_Water,Non_Wetland,NULL
310,Wetland,Wetland,Built-up,Water,Non_Wetland,NULL
311,Wetland,Wetland,Water,NULL,Water,NULL
312,Wetland,Wetland,Water,Non_Water,Water,NULL
313,Wetland,Wetland,Water,Water,Water,NULL
314,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
315,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL
316,Wetland,Bareland,Grassland,NULL,Non_Wetland,NULL
317,Wetland,Bareland,Wetland,Water,Wetland,NULL
318,Wetland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
319,Wetland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL
320,Wetland,Bareland,Bareland,NULL,Non_Wetland,NULL
321,Wetland,Bareland,Bareland,Water,Non_Wetland,NULL
322,Wetland,Bareland,Built-up,NULL,Non_Wetland,NULL
323,Wetland,Bareland,Water,Water,Water,NULL
324,Wetland,Built-up,Grassland,NULL,Non_Wetland,NULL
325,Wetland,Built-up,Wetland,NULL,Wetland,NULL
326,Wetland,Built-up,Wetland,Non_Water,Wetland,NULL
327,Wetland,Built-up,Wetland,Water,NULL,NULL
328,Wetland,Built-up,Wetland,Water,Wetland,NULL
329,Wetland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
330,Wetland,Built-up,Lichens_and_Mosses,Water,Non_Wetland,NULL
331,Wetland,Built-up,Bareland,NULL,Non_Wetland,NULL
332,Wetland,Built-up,Bareland,Non_Water,Non_Wetland,NULL
333,Wetland,Built-up,Built-up,NULL,Non_Wetland,NULL
334,Wetland,Built-up,Built-up,Non_Water,Non_Wetland,NULL
335,Wetland,Built-up,Built-up,Water,Non_Wetland,NULL
336,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL
337,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL
338,Wetland,Water,Shrubland,Water,Non_Wetland,NULL
339,Wetland,Water,Grassland,NULL,Non_Wetland,NULL
340,Wetland,Water,Grassland,Water,Non_Wetland,NULL
341,Wetland,Water,Wetland,NULL,Wetland,NULL
342,Wetland,Water,Wetland,Non_Water,Wetland,NULL
343,Wetland,Water,Wetland,Water,NULL,NULL
344,Wetland,Water,Wetland,Water,Wetland,NULL
345,Wetland,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
346,Wetland,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
347,Wetland,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL
348,Wetland,Water,Bareland,NULL,Non_Wetland,NULL
349,Wetland,Water,Bareland,Non_Water,Non_Wetland,NULL
350,Wetland,Water,Bareland,Water,Non_Wetland,NULL
351,Wetland,Water,Built-up,NULL,Non_Wetland,NULL
352,Wetland,Water,Built-up,Non_Water,Non_Wetland,NULL
353,Wetland,Water,Built-up,Water,Non_Wetland,NULL
354,Wetland,Water,Water,NULL,Water,NULL
355,Wetland,Water,Water,Non_Water,Water,NULL
356,Wetland,Water,Water,Water,NULL,NULL
357,Wetland,Water,Water,Water,Water,NULL
358,Wetland,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
359,Wetland,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,NULL
360,Wetland,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
361,Wetland,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,NULL
362,Wetland,Permanent_ice_and_snow,Wetland,Water,Wetland,NULL
363,Wetland,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,NULL
364,Wetland,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
365,Wetland,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,NULL
366,Wetland,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
367,Wetland,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,NULL
368,Wetland,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,NULL
369,Wetland,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,NULL
370,Wetland,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,NULL
371,Wetland,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,NULL
372,Wetland,Permanent_ice_and_snow,Water,NULL,Water,NULL
373,Wetland,Permanent_ice_and_snow,Water,Water,Water,NULL
374,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
375,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
376,Wetland,Forest,Shrubland,Water,Non_Wetland,NULL
377,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL
378,Wetland,Forest,Wetland,NULL,Wetland,NULL
379,Wetland,Forest,Wetland,Water,Wetland,NULL
380,Wetland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
381,Wetland,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
382,Wetland,Forest,Lichens_and_Mosses,Water,Non_Wetland,NULL
383,Wetland,Forest,Bareland,NULL,Non_Wetland,NULL
384,Wetland,Forest,Bareland,Non_Water,Non_Wetland,NULL
385,Wetland,Forest,Bareland,Water,Non_Wetland,NULL
386,Wetland,Forest,Water,Water,Water,NULL
387,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
388,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
389,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL
390,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
391,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL
392,Bareland,NULL,Grassland,Water,Non_Wetland,NULL
393,Bareland,NULL,Wetland,NULL,Wetland,NULL
394,Bareland,NULL,Wetland,Non_Water,Wetland,NULL
395,Bareland,NULL,Wetland,Water,NULL,NULL
396,Bareland,NULL,Wetland,Water,Wetland,NULL
397,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
398,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
399,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
400,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
401,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL
402,Bareland,NULL,Bareland,Water,Non_Wetland,NULL
403,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
404,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL
405,Bareland,NULL,Built-up,Water,Non_Wetland,NULL
406,Bareland,NULL,Water,NULL,NULL,NULL
407,Bareland,NULL,Water,NULL,Water,NULL
408,Bareland,NULL,Water,Non_Water,Water,NULL
409,Bareland,NULL,Water,Water,NULL,NULL
410,Bareland,NULL,Water,Water,Water,NULL
411,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
412,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
