Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WMT_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WMT_M_R,SIBERIA_2024_GSW_Yearly_2021_44WMT_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WMT_M_R,SIBERIA_2024_WorldCover_2021_44WMT_M_R
261,Wetland,Wetland,Non_Water,Wetland,Forest
262,Wetland,Wetland,Water,Wetland,Grassland
263,Wetland,Wetland,Water,Wetland,Wetland
264,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
265,Wetland,Wetland,Water,Wetland,Bareland
266,Wetland,Wetland,Water,Wetland,Water
267,Wetland,Wetland,Water,Wetland,Forest
268,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
269,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
270,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
271,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
272,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
273,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
274,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
275,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
276,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
277,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
278,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
279,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
280,Wetland,Bareland,NULL,Non_Wetland,NULL
281,Wetland,Bareland,NULL,Non_Wetland,Grassland
282,Wetland,Bareland,NULL,Non_Wetland,Wetland
283,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
284,Wetland,Bareland,NULL,Non_Wetland,Bareland
285,Wetland,Bareland,NULL,Non_Wetland,Built-up
286,Wetland,Bareland,NULL,Non_Wetland,Water
287,Wetland,Bareland,NULL,Non_Wetland,Forest
288,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
289,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
290,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
291,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
292,Wetland,Bareland,Non_Water,Non_Wetland,Water
293,Wetland,Bareland,Non_Water,Non_Wetland,Forest
294,Wetland,Bareland,Water,Non_Wetland,Grassland
295,Wetland,Bareland,Water,Non_Wetland,Wetland
296,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
297,Wetland,Bareland,Water,Non_Wetland,Bareland
298,Wetland,Bareland,Water,Non_Wetland,Water
299,Wetland,Bareland,Water,Non_Wetland,Forest
300,Wetland,Built-up,NULL,Non_Wetland,Grassland
301,Wetland,Built-up,NULL,Non_Wetland,Wetland
302,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
303,Wetland,Built-up,NULL,Non_Wetland,Bareland
304,Wetland,Built-up,NULL,Non_Wetland,Water
305,Wetland,Built-up,NULL,Non_Wetland,Forest
306,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
307,Wetland,Built-up,Non_Water,Non_Wetland,Water
308,Wetland,Built-up,Non_Water,Non_Wetland,Forest
309,Wetland,Built-up,Water,Non_Wetland,Wetland
310,Wetland,Built-up,Water,Non_Wetland,Water
311,Wetland,Built-up,Water,Non_Wetland,Forest
312,Wetland,Water,NULL,Water,Grassland
313,Wetland,Water,NULL,Water,Wetland
314,Wetland,Water,NULL,Water,Lichens_and_Mosses
315,Wetland,Water,NULL,Water,Bareland
316,Wetland,Water,NULL,Water,Water
317,Wetland,Water,NULL,Water,Forest
318,Wetland,Water,Non_Water,Water,Grassland
319,Wetland,Water,Non_Water,Water,Wetland
320,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
321,Wetland,Water,Non_Water,Water,Water
322,Wetland,Water,Non_Water,Water,Forest
323,Wetland,Water,Water,Water,Grassland
324,Wetland,Water,Water,Water,Wetland
325,Wetland,Water,Water,Water,Lichens_and_Mosses
326,Wetland,Water,Water,Water,Bareland
327,Wetland,Water,Water,Water,Water
328,Wetland,Water,Water,Water,Forest
329,Wetland,Forest,NULL,Non_Wetland,NULL
330,Wetland,Forest,NULL,Non_Wetland,Grassland
331,Wetland,Forest,NULL,Non_Wetland,Wetland
332,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
333,Wetland,Forest,NULL,Non_Wetland,Bareland
334,Wetland,Forest,NULL,Non_Wetland,Built-up
335,Wetland,Forest,NULL,Non_Wetland,Water
336,Wetland,Forest,NULL,Non_Wetland,Forest
337,Wetland,Forest,Non_Water,Non_Wetland,Grassland
338,Wetland,Forest,Non_Water,Non_Wetland,Wetland
339,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
340,Wetland,Forest,Non_Water,Non_Wetland,Bareland
341,Wetland,Forest,Non_Water,Non_Wetland,Water
342,Wetland,Forest,Non_Water,Non_Wetland,Forest
343,Wetland,Forest,Water,Non_Wetland,Grassland
344,Wetland,Forest,Water,Non_Wetland,Wetland
345,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
346,Wetland,Forest,Water,Non_Wetland,Water
347,Wetland,Forest,Water,Non_Wetland,Forest
348,Bareland,NULL,NULL,Non_Wetland,Grassland
349,Bareland,NULL,NULL,Non_Wetland,Wetland
350,Bareland,NULL,NULL,Non_Wetland,Bareland
351,Bareland,NULL,NULL,Non_Wetland,Water
352,Bareland,NULL,NULL,Non_Wetland,Forest
353,Bareland,NULL,Water,Non_Wetland,Water
354,Bareland,NULL,Water,Non_Wetland,Forest
355,Bareland,Shrubland,NULL,Non_Wetland,Grassland
356,Bareland,Shrubland,NULL,Non_Wetland,Wetland
357,Bareland,Shrubland,NULL,Non_Wetland,Bareland
358,Bareland,Shrubland,NULL,Non_Wetland,Water
359,Bareland,Shrubland,NULL,Non_Wetland,Forest
360,Bareland,Shrubland,Water,Non_Wetland,Grassland
361,Bareland,Shrubland,Water,Non_Wetland,Wetland
362,Bareland,Shrubland,Water,Non_Wetland,Bareland
363,Bareland,Shrubland,Water,Non_Wetland,Water
364,Bareland,Shrubland,Water,Non_Wetland,Forest
365,Bareland,Grassland,NULL,Non_Wetland,Grassland
366,Bareland,Grassland,NULL,Non_Wetland,Bareland
367,Bareland,Grassland,NULL,Non_Wetland,Water
368,Bareland,Grassland,NULL,Non_Wetland,Forest
369,Bareland,Wetland,NULL,Wetland,Grassland
370,Bareland,Wetland,NULL,Wetland,Wetland
371,Bareland,Wetland,NULL,Wetland,Bareland
372,Bareland,Wetland,NULL,Wetland,Water
373,Bareland,Wetland,NULL,Wetland,Forest
374,Bareland,Wetland,Non_Water,Wetland,Grassland
375,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
376,Bareland,Wetland,Non_Water,Wetland,Water
377,Bareland,Wetland,Non_Water,Wetland,Forest
378,Bareland,Wetland,Water,Wetland,Grassland
379,Bareland,Wetland,Water,Wetland,Wetland
380,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
381,Bareland,Wetland,Water,Wetland,Bareland
382,Bareland,Wetland,Water,Wetland,Water
383,Bareland,Wetland,Water,Wetland,Forest
384,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
385,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
386,Bareland,Bareland,NULL,Non_Wetland,Grassland
387,Bareland,Bareland,NULL,Non_Wetland,Wetland
388,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
389,Bareland,Bareland,NULL,Non_Wetland,Bareland
390,Bareland,Bareland,NULL,Non_Wetland,Built-up
391,Bareland,Bareland,NULL,Non_Wetland,Water
392,Bareland,Bareland,NULL,Non_Wetland,Forest
393,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
394,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
395,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
396,Bareland,Bareland,Non_Water,Non_Wetland,Forest
397,Bareland,Bareland,Water,Non_Wetland,Grassland
398,Bareland,Bareland,Water,Non_Wetland,Bareland
399,Bareland,Bareland,Water,Non_Wetland,Water
400,Bareland,Bareland,Water,Non_Wetland,Forest
401,Bareland,Built-up,NULL,Non_Wetland,Grassland
402,Bareland,Built-up,NULL,Non_Wetland,Bareland
403,Bareland,Built-up,NULL,Non_Wetland,Water
404,Bareland,Built-up,NULL,Non_Wetland,Forest
405,Bareland,Built-up,Water,Non_Wetland,Water
406,Bareland,Water,NULL,Water,Grassland
407,Bareland,Water,NULL,Water,Wetland
408,Bareland,Water,NULL,Water,Bareland
409,Bareland,Water,NULL,Water,Water
410,Bareland,Water,NULL,Water,Forest
411,Bareland,Water,Non_Water,Water,Grassland
412,Bareland,Water,Non_Water,Water,Water
413,Bareland,Water,Non_Water,Water,Forest
414,Bareland,Water,Water,Water,Grassland
415,Bareland,Water,Water,Water,Wetland
416,Bareland,Water,Water,Water,Bareland
417,Bareland,Water,Water,Water,Water
418,Bareland,Water,Water,Water,Forest
419,Bareland,Forest,NULL,Non_Wetland,Grassland
420,Bareland,Forest,NULL,Non_Wetland,Wetland
421,Bareland,Forest,NULL,Non_Wetland,Bareland
422,Bareland,Forest,NULL,Non_Wetland,Water
423,Bareland,Forest,NULL,Non_Wetland,Forest
424,Bareland,Forest,Water,Non_Wetland,Wetland
425,Bareland,Forest,Water,Non_Wetland,Water
426,Bareland,Forest,Water,Non_Wetland,Forest
427,Built-up,NULL,NULL,Non_Wetland,Grassland
428,Built-up,NULL,NULL,Non_Wetland,Bareland
429,Built-up,Shrubland,NULL,Non_Wetland,Grassland
430,Built-up,Shrubland,NULL,Non_Wetland,Bareland
431,Built-up,Shrubland,NULL,Non_Wetland,Forest
432,Built-up,Grassland,NULL,Non_Wetland,Grassland
433,Built-up,Grassland,NULL,Non_Wetland,Wetland
434,Built-up,Grassland,NULL,Non_Wetland,Bareland
435,Built-up,Grassland,NULL,Non_Wetland,Forest
436,Built-up,Grassland,Water,Non_Wetland,Bareland
437,Built-up,Wetland,NULL,Wetland,Grassland
438,Built-up,Wetland,NULL,Wetland,Wetland
439,Built-up,Wetland,NULL,Wetland,Bareland
440,Built-up,Wetland,NULL,Wetland,Forest
441,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
442,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
443,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Water
444,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
445,Built-up,Bareland,NULL,Non_Wetland,Grassland
446,Built-up,Bareland,NULL,Non_Wetland,Wetland
447,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
448,Built-up,Bareland,NULL,Non_Wetland,Bareland
449,Built-up,Bareland,NULL,Non_Wetland,Built-up
450,Built-up,Bareland,NULL,Non_Wetland,Water
451,Built-up,Bareland,NULL,Non_Wetland,Forest
452,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
453,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
454,Built-up,Bareland,Non_Water,Non_Wetland,Forest
455,Built-up,Bareland,Water,Non_Wetland,Grassland
456,Built-up,Bareland,Water,Non_Wetland,Bareland
457,Built-up,Bareland,Water,Non_Wetland,Built-up
458,Built-up,Built-up,NULL,Non_Wetland,Grassland
459,Built-up,Built-up,NULL,Non_Wetland,Wetland
460,Built-up,Built-up,NULL,Non_Wetland,Bareland
461,Built-up,Built-up,NULL,Non_Wetland,Built-up
462,Built-up,Built-up,NULL,Non_Wetland,Forest
463,Built-up,Built-up,Water,Non_Wetland,Bareland
464,Built-up,Built-up,Water,Non_Wetland,Built-up
465,Built-up,Forest,NULL,Non_Wetland,Grassland
466,Built-up,Forest,NULL,Non_Wetland,Bareland
467,Built-up,Forest,NULL,Non_Wetland,Forest
468,Water,NULL,NULL,Non_Wetland,Grassland
469,Water,NULL,NULL,Non_Wetland,Wetland
470,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
471,Water,NULL,NULL,Non_Wetland,Bareland
472,Water,NULL,NULL,Non_Wetland,Water
473,Water,NULL,NULL,Non_Wetland,Forest
474,Water,NULL,Non_Water,Non_Wetland,Grassland
475,Water,NULL,Non_Water,Non_Wetland,Wetland
476,Water,NULL,Non_Water,Non_Wetland,Water
477,Water,NULL,Non_Water,Non_Wetland,Forest
478,Water,NULL,Water,Non_Wetland,Grassland
479,Water,NULL,Water,Non_Wetland,Wetland
480,Water,NULL,Water,Non_Wetland,Water
481,Water,NULL,Water,Non_Wetland,Forest
482,Water,Shrubland,NULL,Non_Wetland,Grassland
483,Water,Shrubland,NULL,Non_Wetland,Wetland
