Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VEL_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VEL_M_R,SIBERIA_2024_GSW_Yearly_2021_43VEL_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VEL_M_R,SIBERIA_2024_WorldCover_2021_43VEL_M_R
261,Wetland,Wetland,NULL,Wetland,Bareland
262,Wetland,Wetland,NULL,Wetland,Built-up
263,Wetland,Wetland,NULL,Wetland,Water
264,Wetland,Wetland,NULL,Wetland,Forest
265,Wetland,Wetland,Non_Water,Wetland,NULL
266,Wetland,Wetland,Non_Water,Wetland,Grassland
267,Wetland,Wetland,Non_Water,Wetland,Wetland
268,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
269,Wetland,Wetland,Non_Water,Wetland,Bareland
270,Wetland,Wetland,Non_Water,Wetland,Built-up
271,Wetland,Wetland,Non_Water,Wetland,Water
272,Wetland,Wetland,Non_Water,Wetland,Forest
273,Wetland,Wetland,Water,Wetland,Grassland
274,Wetland,Wetland,Water,Wetland,Wetland
275,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
276,Wetland,Wetland,Water,Wetland,Bareland
277,Wetland,Wetland,Water,Wetland,Built-up
278,Wetland,Wetland,Water,Wetland,Water
279,Wetland,Wetland,Water,Wetland,Permanent_ice_and_snow
280,Wetland,Wetland,Water,Wetland,Forest
281,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
282,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
283,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
284,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
285,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
286,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
287,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
288,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
289,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
290,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
291,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
292,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
293,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
294,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Built-up
295,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
296,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
297,Wetland,Bareland,NULL,Non_Wetland,NULL
298,Wetland,Bareland,NULL,Non_Wetland,Grassland
299,Wetland,Bareland,NULL,Non_Wetland,Wetland
300,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
301,Wetland,Bareland,NULL,Non_Wetland,Bareland
302,Wetland,Bareland,NULL,Non_Wetland,Built-up
303,Wetland,Bareland,NULL,Non_Wetland,Water
304,Wetland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
305,Wetland,Bareland,NULL,Non_Wetland,Forest
306,Wetland,Bareland,Non_Water,Non_Wetland,NULL
307,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
308,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
309,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
310,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
311,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
312,Wetland,Bareland,Non_Water,Non_Wetland,Water
313,Wetland,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
314,Wetland,Bareland,Non_Water,Non_Wetland,Forest
315,Wetland,Bareland,Water,Non_Wetland,Grassland
316,Wetland,Bareland,Water,Non_Wetland,Wetland
317,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
318,Wetland,Bareland,Water,Non_Wetland,Bareland
319,Wetland,Bareland,Water,Non_Wetland,Built-up
320,Wetland,Bareland,Water,Non_Wetland,Water
321,Wetland,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
322,Wetland,Bareland,Water,Non_Wetland,Forest
323,Wetland,Built-up,NULL,Non_Wetland,Grassland
324,Wetland,Built-up,NULL,Non_Wetland,Wetland
325,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
326,Wetland,Built-up,NULL,Non_Wetland,Bareland
327,Wetland,Built-up,NULL,Non_Wetland,Built-up
328,Wetland,Built-up,NULL,Non_Wetland,Water
329,Wetland,Built-up,NULL,Non_Wetland,Forest
330,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
331,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
332,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
333,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
334,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
335,Wetland,Built-up,Non_Water,Non_Wetland,Water
336,Wetland,Built-up,Non_Water,Non_Wetland,Forest
337,Wetland,Built-up,Water,Non_Wetland,Grassland
338,Wetland,Built-up,Water,Non_Wetland,Wetland
339,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
340,Wetland,Built-up,Water,Non_Wetland,Bareland
341,Wetland,Built-up,Water,Non_Wetland,Built-up
342,Wetland,Built-up,Water,Non_Wetland,Water
343,Wetland,Built-up,Water,Non_Wetland,Forest
344,Wetland,Water,NULL,Water,NULL
345,Wetland,Water,NULL,Water,Grassland
346,Wetland,Water,NULL,Water,Wetland
347,Wetland,Water,NULL,Water,Lichens_and_Mosses
348,Wetland,Water,NULL,Water,Bareland
349,Wetland,Water,NULL,Water,Built-up
350,Wetland,Water,NULL,Water,Water
351,Wetland,Water,NULL,Water,Forest
352,Wetland,Water,Non_Water,Water,Grassland
353,Wetland,Water,Non_Water,Water,Wetland
354,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
355,Wetland,Water,Non_Water,Water,Bareland
356,Wetland,Water,Non_Water,Water,Built-up
357,Wetland,Water,Non_Water,Water,Water
358,Wetland,Water,Non_Water,Water,Forest
359,Wetland,Water,Water,Water,NULL
360,Wetland,Water,Water,Water,Grassland
361,Wetland,Water,Water,Water,Wetland
362,Wetland,Water,Water,Water,Lichens_and_Mosses
363,Wetland,Water,Water,Water,Bareland
364,Wetland,Water,Water,Water,Built-up
365,Wetland,Water,Water,Water,Water
366,Wetland,Water,Water,Water,Permanent_ice_and_snow
367,Wetland,Water,Water,Water,Forest
368,Wetland,Forest,NULL,Non_Wetland,NULL
369,Wetland,Forest,NULL,Non_Wetland,Grassland
370,Wetland,Forest,NULL,Non_Wetland,Wetland
371,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
372,Wetland,Forest,NULL,Non_Wetland,Bareland
373,Wetland,Forest,NULL,Non_Wetland,Built-up
374,Wetland,Forest,NULL,Non_Wetland,Water
375,Wetland,Forest,NULL,Non_Wetland,Forest
376,Wetland,Forest,Non_Water,Non_Wetland,NULL
377,Wetland,Forest,Non_Water,Non_Wetland,Grassland
378,Wetland,Forest,Non_Water,Non_Wetland,Wetland
379,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
380,Wetland,Forest,Non_Water,Non_Wetland,Bareland
381,Wetland,Forest,Non_Water,Non_Wetland,Water
382,Wetland,Forest,Non_Water,Non_Wetland,Forest
383,Wetland,Forest,Water,Non_Wetland,Grassland
384,Wetland,Forest,Water,Non_Wetland,Wetland
385,Wetland,Forest,Water,Non_Wetland,Bareland
386,Wetland,Forest,Water,Non_Wetland,Built-up
387,Wetland,Forest,Water,Non_Wetland,Water
388,Wetland,Forest,Water,Non_Wetland,Forest
389,Bareland,NULL,NULL,Non_Wetland,Water
390,Bareland,NULL,NULL,Non_Wetland,Forest
391,Bareland,NULL,Water,Non_Wetland,Forest
392,Bareland,Shrubland,NULL,Non_Wetland,Grassland
393,Bareland,Shrubland,NULL,Non_Wetland,Bareland
394,Bareland,Shrubland,NULL,Non_Wetland,Forest
395,Bareland,Shrubland,Water,Non_Wetland,Forest
396,Bareland,Grassland,NULL,Non_Wetland,Grassland
397,Bareland,Grassland,NULL,Non_Wetland,Wetland
398,Bareland,Grassland,NULL,Non_Wetland,Bareland
399,Bareland,Grassland,NULL,Non_Wetland,Forest
400,Bareland,Grassland,Water,Non_Wetland,Grassland
401,Bareland,Wetland,NULL,Wetland,Grassland
402,Bareland,Wetland,NULL,Wetland,Wetland
403,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
404,Bareland,Wetland,NULL,Wetland,Bareland
405,Bareland,Wetland,NULL,Wetland,Water
406,Bareland,Wetland,NULL,Wetland,Forest
407,Bareland,Wetland,Non_Water,Wetland,Grassland
408,Bareland,Wetland,Non_Water,Wetland,Wetland
409,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
410,Bareland,Wetland,Non_Water,Wetland,Bareland
411,Bareland,Wetland,Non_Water,Wetland,Water
412,Bareland,Wetland,Non_Water,Wetland,Forest
413,Bareland,Wetland,Water,Wetland,Grassland
414,Bareland,Wetland,Water,Wetland,Wetland
415,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
416,Bareland,Wetland,Water,Wetland,Bareland
417,Bareland,Wetland,Water,Wetland,Water
418,Bareland,Wetland,Water,Wetland,Forest
419,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
420,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
421,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
422,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
423,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
424,Bareland,Bareland,NULL,Non_Wetland,NULL
425,Bareland,Bareland,NULL,Non_Wetland,Grassland
426,Bareland,Bareland,NULL,Non_Wetland,Wetland
427,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
428,Bareland,Bareland,NULL,Non_Wetland,Bareland
429,Bareland,Bareland,NULL,Non_Wetland,Built-up
430,Bareland,Bareland,NULL,Non_Wetland,Water
431,Bareland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
432,Bareland,Bareland,NULL,Non_Wetland,Forest
433,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
434,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
435,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
436,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
437,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
438,Bareland,Bareland,Non_Water,Non_Wetland,Water
439,Bareland,Bareland,Non_Water,Non_Wetland,Forest
440,Bareland,Bareland,Water,Non_Wetland,Grassland
441,Bareland,Bareland,Water,Non_Wetland,Wetland
442,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
443,Bareland,Bareland,Water,Non_Wetland,Bareland
444,Bareland,Bareland,Water,Non_Wetland,Water
445,Bareland,Bareland,Water,Non_Wetland,Forest
446,Bareland,Built-up,NULL,Non_Wetland,NULL
447,Bareland,Built-up,NULL,Non_Wetland,Grassland
448,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
449,Bareland,Built-up,NULL,Non_Wetland,Bareland
450,Bareland,Built-up,NULL,Non_Wetland,Built-up
451,Bareland,Built-up,NULL,Non_Wetland,Water
452,Bareland,Built-up,NULL,Non_Wetland,Forest
453,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
454,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
455,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
456,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
457,Bareland,Built-up,Non_Water,Non_Wetland,Water
458,Bareland,Built-up,Non_Water,Non_Wetland,Forest
459,Bareland,Built-up,Water,Non_Wetland,Grassland
460,Bareland,Built-up,Water,Non_Wetland,Wetland
461,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
462,Bareland,Built-up,Water,Non_Wetland,Bareland
463,Bareland,Built-up,Water,Non_Wetland,Built-up
464,Bareland,Built-up,Water,Non_Wetland,Water
465,Bareland,Water,NULL,Water,Wetland
466,Bareland,Water,NULL,Water,Bareland
467,Bareland,Water,NULL,Water,Water
468,Bareland,Water,NULL,Water,Forest
469,Bareland,Water,Non_Water,Water,Grassland
470,Bareland,Water,Non_Water,Water,Bareland
471,Bareland,Water,Non_Water,Water,Water
472,Bareland,Water,Non_Water,Water,Forest
473,Bareland,Water,Water,Water,Grassland
474,Bareland,Water,Water,Water,Wetland
475,Bareland,Water,Water,Water,Lichens_and_Mosses
476,Bareland,Water,Water,Water,Bareland
477,Bareland,Water,Water,Water,Water
478,Bareland,Water,Water,Water,Forest
