Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41WPP_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WPP_M_R,SIBERIA_2024_GSW_Yearly_2021_41WPP_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WPP_M_R,SIBERIA_2024_WorldCover_2021_41WPP_M_R
168,Cropland,Bareland,NULL,Non_Wetland,Grassland
169,Cropland,Bareland,NULL,Non_Wetland,Wetland
170,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
171,Cropland,Bareland,NULL,Non_Wetland,Forest
172,Cropland,Water,NULL,Water,Grassland
173,Cropland,Water,NULL,Water,Forest
174,Cropland,Forest,NULL,Non_Wetland,Grassland
175,Cropland,Forest,NULL,Non_Wetland,Wetland
176,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
177,Cropland,Forest,NULL,Non_Wetland,Forest
178,Wetland,NULL,NULL,Non_Wetland,Grassland
179,Wetland,NULL,NULL,Non_Wetland,Wetland
180,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
181,Wetland,NULL,NULL,Non_Wetland,Bareland
182,Wetland,NULL,NULL,Non_Wetland,Built-up
183,Wetland,NULL,NULL,Non_Wetland,Water
184,Wetland,NULL,NULL,Non_Wetland,Forest
185,Wetland,NULL,Non_Water,Non_Wetland,Grassland
186,Wetland,NULL,Non_Water,Non_Wetland,Wetland
187,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
188,Wetland,NULL,Non_Water,Non_Wetland,Water
189,Wetland,NULL,Non_Water,Non_Wetland,Forest
190,Wetland,NULL,Water,Non_Wetland,Grassland
191,Wetland,NULL,Water,Non_Wetland,Wetland
192,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
193,Wetland,NULL,Water,Non_Wetland,Water
194,Wetland,NULL,Water,Non_Wetland,Forest
195,Wetland,Shrubland,NULL,Non_Wetland,NULL
196,Wetland,Shrubland,NULL,Non_Wetland,Grassland
197,Wetland,Shrubland,NULL,Non_Wetland,Wetland
198,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
199,Wetland,Shrubland,NULL,Non_Wetland,Bareland
200,Wetland,Shrubland,NULL,Non_Wetland,Built-up
201,Wetland,Shrubland,NULL,Non_Wetland,Water
202,Wetland,Shrubland,NULL,Non_Wetland,Forest
203,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
204,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
205,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
206,Wetland,Shrubland,Non_Water,Non_Wetland,Water
207,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
208,Wetland,Shrubland,Water,Non_Wetland,Grassland
209,Wetland,Shrubland,Water,Non_Wetland,Wetland
210,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
211,Wetland,Shrubland,Water,Non_Wetland,Bareland
212,Wetland,Shrubland,Water,Non_Wetland,Built-up
213,Wetland,Shrubland,Water,Non_Wetland,Water
214,Wetland,Shrubland,Water,Non_Wetland,Forest
215,Wetland,Grassland,NULL,Non_Wetland,Grassland
216,Wetland,Grassland,NULL,Non_Wetland,Wetland
217,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
218,Wetland,Grassland,NULL,Non_Wetland,Bareland
219,Wetland,Grassland,NULL,Non_Wetland,Built-up
220,Wetland,Grassland,NULL,Non_Wetland,Water
221,Wetland,Grassland,NULL,Non_Wetland,Forest
222,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
223,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
224,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
225,Wetland,Grassland,Non_Water,Non_Wetland,Water
226,Wetland,Grassland,Non_Water,Non_Wetland,Forest
227,Wetland,Grassland,Water,Non_Wetland,Grassland
228,Wetland,Grassland,Water,Non_Wetland,Wetland
229,Wetland,Grassland,Water,Non_Wetland,Water
230,Wetland,Grassland,Water,Non_Wetland,Forest
231,Wetland,Wetland,NULL,Wetland,NULL
232,Wetland,Wetland,NULL,Wetland,Grassland
233,Wetland,Wetland,NULL,Wetland,Wetland
234,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
235,Wetland,Wetland,NULL,Wetland,Bareland
236,Wetland,Wetland,NULL,Wetland,Built-up
237,Wetland,Wetland,NULL,Wetland,Water
238,Wetland,Wetland,NULL,Wetland,Forest
239,Wetland,Wetland,Non_Water,Wetland,NULL
240,Wetland,Wetland,Non_Water,Wetland,Grassland
241,Wetland,Wetland,Non_Water,Wetland,Wetland
242,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
243,Wetland,Wetland,Non_Water,Wetland,Bareland
244,Wetland,Wetland,Non_Water,Wetland,Built-up
245,Wetland,Wetland,Non_Water,Wetland,Water
246,Wetland,Wetland,Non_Water,Wetland,Forest
247,Wetland,Wetland,Water,Wetland,NULL
248,Wetland,Wetland,Water,Wetland,Grassland
249,Wetland,Wetland,Water,Wetland,Wetland
250,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
251,Wetland,Wetland,Water,Wetland,Bareland
252,Wetland,Wetland,Water,Wetland,Built-up
253,Wetland,Wetland,Water,Wetland,Water
254,Wetland,Wetland,Water,Wetland,Forest
255,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
256,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
257,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
258,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
259,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
260,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
261,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
262,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
263,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
264,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
265,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
266,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
267,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
268,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
269,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
270,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Built-up
271,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
272,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
273,Wetland,Bareland,NULL,Non_Wetland,NULL
274,Wetland,Bareland,NULL,Non_Wetland,Grassland
275,Wetland,Bareland,NULL,Non_Wetland,Wetland
276,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
277,Wetland,Bareland,NULL,Non_Wetland,Bareland
278,Wetland,Bareland,NULL,Non_Wetland,Built-up
279,Wetland,Bareland,NULL,Non_Wetland,Water
280,Wetland,Bareland,NULL,Non_Wetland,Forest
281,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
282,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
283,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
284,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
285,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
286,Wetland,Bareland,Non_Water,Non_Wetland,Water
287,Wetland,Bareland,Non_Water,Non_Wetland,Forest
288,Wetland,Bareland,Water,Non_Wetland,Grassland
289,Wetland,Bareland,Water,Non_Wetland,Wetland
290,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
291,Wetland,Bareland,Water,Non_Wetland,Bareland
292,Wetland,Bareland,Water,Non_Wetland,Built-up
293,Wetland,Bareland,Water,Non_Wetland,Water
294,Wetland,Bareland,Water,Non_Wetland,Forest
295,Wetland,Built-up,NULL,Non_Wetland,Grassland
296,Wetland,Built-up,NULL,Non_Wetland,Wetland
297,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
298,Wetland,Built-up,NULL,Non_Wetland,Bareland
299,Wetland,Built-up,NULL,Non_Wetland,Built-up
300,Wetland,Built-up,NULL,Non_Wetland,Water
301,Wetland,Built-up,NULL,Non_Wetland,Forest
302,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
303,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
304,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
305,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
306,Wetland,Built-up,Non_Water,Non_Wetland,Water
307,Wetland,Built-up,Non_Water,Non_Wetland,Forest
308,Wetland,Built-up,Water,Non_Wetland,Grassland
309,Wetland,Built-up,Water,Non_Wetland,Built-up
310,Wetland,Built-up,Water,Non_Wetland,Water
311,Wetland,Built-up,Water,Non_Wetland,Forest
312,Wetland,Water,NULL,Water,Grassland
313,Wetland,Water,NULL,Water,Wetland
314,Wetland,Water,NULL,Water,Lichens_and_Mosses
315,Wetland,Water,NULL,Water,Bareland
316,Wetland,Water,NULL,Water,Built-up
317,Wetland,Water,NULL,Water,Water
318,Wetland,Water,NULL,Water,Forest
319,Wetland,Water,Non_Water,Water,Grassland
320,Wetland,Water,Non_Water,Water,Wetland
321,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
322,Wetland,Water,Non_Water,Water,Water
323,Wetland,Water,Non_Water,Water,Forest
324,Wetland,Water,Water,Water,NULL
325,Wetland,Water,Water,Water,Grassland
326,Wetland,Water,Water,Water,Wetland
327,Wetland,Water,Water,Water,Lichens_and_Mosses
328,Wetland,Water,Water,Water,Bareland
329,Wetland,Water,Water,Water,Built-up
330,Wetland,Water,Water,Water,Water
331,Wetland,Water,Water,Water,Forest
332,Wetland,Forest,NULL,Non_Wetland,NULL
333,Wetland,Forest,NULL,Non_Wetland,Grassland
334,Wetland,Forest,NULL,Non_Wetland,Wetland
335,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
336,Wetland,Forest,NULL,Non_Wetland,Bareland
337,Wetland,Forest,NULL,Non_Wetland,Built-up
338,Wetland,Forest,NULL,Non_Wetland,Water
339,Wetland,Forest,NULL,Non_Wetland,Forest
340,Wetland,Forest,Non_Water,Non_Wetland,Grassland
341,Wetland,Forest,Non_Water,Non_Wetland,Wetland
342,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
343,Wetland,Forest,Non_Water,Non_Wetland,Bareland
344,Wetland,Forest,Non_Water,Non_Wetland,Built-up
345,Wetland,Forest,Non_Water,Non_Wetland,Water
346,Wetland,Forest,Non_Water,Non_Wetland,Forest
347,Wetland,Forest,Water,Non_Wetland,Grassland
348,Wetland,Forest,Water,Non_Wetland,Wetland
349,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
350,Wetland,Forest,Water,Non_Wetland,Water
351,Wetland,Forest,Water,Non_Wetland,Forest
352,Bareland,NULL,NULL,Non_Wetland,Forest
353,Bareland,Shrubland,NULL,Non_Wetland,Grassland
354,Bareland,Shrubland,NULL,Non_Wetland,Wetland
355,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
356,Bareland,Shrubland,NULL,Non_Wetland,Bareland
357,Bareland,Shrubland,NULL,Non_Wetland,Built-up
358,Bareland,Shrubland,NULL,Non_Wetland,Water
359,Bareland,Shrubland,NULL,Non_Wetland,Forest
360,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
361,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
362,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
363,Bareland,Shrubland,Non_Water,Non_Wetland,Built-up
364,Bareland,Shrubland,Non_Water,Non_Wetland,Water
365,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
366,Bareland,Shrubland,Water,Non_Wetland,Bareland
367,Bareland,Shrubland,Water,Non_Wetland,Water
368,Bareland,Shrubland,Water,Non_Wetland,Forest
369,Bareland,Grassland,NULL,Non_Wetland,Grassland
370,Bareland,Grassland,NULL,Non_Wetland,Wetland
371,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
372,Bareland,Grassland,NULL,Non_Wetland,Built-up
373,Bareland,Grassland,NULL,Non_Wetland,Forest
374,Bareland,Wetland,NULL,Wetland,Grassland
375,Bareland,Wetland,NULL,Wetland,Wetland
376,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
377,Bareland,Wetland,NULL,Wetland,Bareland
378,Bareland,Wetland,NULL,Wetland,Built-up
379,Bareland,Wetland,NULL,Wetland,Water
380,Bareland,Wetland,NULL,Wetland,Forest
381,Bareland,Wetland,Non_Water,Wetland,Grassland
382,Bareland,Wetland,Non_Water,Wetland,Wetland
383,Bareland,Wetland,Non_Water,Wetland,Bareland
384,Bareland,Wetland,Non_Water,Wetland,Water
385,Bareland,Wetland,Non_Water,Wetland,Forest
386,Bareland,Wetland,Water,Wetland,Grassland
387,Bareland,Wetland,Water,Wetland,Wetland
388,Bareland,Wetland,Water,Wetland,Bareland
389,Bareland,Wetland,Water,Wetland,Water
390,Bareland,Wetland,Water,Wetland,Forest
391,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
392,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
393,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
394,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
395,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
396,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
397,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
398,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
399,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
400,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
401,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
402,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
403,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
404,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
405,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
406,Bareland,Bareland,NULL,Non_Wetland,Grassland
407,Bareland,Bareland,NULL,Non_Wetland,Wetland
408,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
409,Bareland,Bareland,NULL,Non_Wetland,Bareland
410,Bareland,Bareland,NULL,Non_Wetland,Built-up
411,Bareland,Bareland,NULL,Non_Wetland,Water
412,Bareland,Bareland,NULL,Non_Wetland,Forest
413,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
414,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
415,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
416,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
417,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
418,Bareland,Bareland,Non_Water,Non_Wetland,Water
419,Bareland,Bareland,Non_Water,Non_Wetland,Forest
420,Bareland,Bareland,Water,Non_Wetland,Grassland
421,Bareland,Bareland,Water,Non_Wetland,Wetland
422,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
423,Bareland,Bareland,Water,Non_Wetland,Bareland
424,Bareland,Bareland,Water,Non_Wetland,Built-up
425,Bareland,Bareland,Water,Non_Wetland,Water
426,Bareland,Bareland,Water,Non_Wetland,Forest
427,Bareland,Built-up,NULL,Non_Wetland,Grassland
428,Bareland,Built-up,NULL,Non_Wetland,Wetland
429,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
430,Bareland,Built-up,NULL,Non_Wetland,Bareland
431,Bareland,Built-up,NULL,Non_Wetland,Built-up
432,Bareland,Built-up,NULL,Non_Wetland,Water
433,Bareland,Built-up,NULL,Non_Wetland,Forest
434,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
435,Bareland,Built-up,Non_Water,Non_Wetland,Wetland
436,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
437,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
438,Bareland,Built-up,Non_Water,Non_Wetland,Water
439,Bareland,Built-up,Non_Water,Non_Wetland,Forest
440,Bareland,Built-up,Water,Non_Wetland,Grassland
441,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
442,Bareland,Built-up,Water,Non_Wetland,Bareland
443,Bareland,Built-up,Water,Non_Wetland,Built-up
444,Bareland,Built-up,Water,Non_Wetland,Water
445,Bareland,Built-up,Water,Non_Wetland,Forest
446,Bareland,Water,NULL,Water,Grassland
447,Bareland,Water,NULL,Water,Bareland
448,Bareland,Water,NULL,Water,Built-up
449,Bareland,Water,NULL,Water,Water
450,Bareland,Water,Non_Water,Water,Bareland
451,Bareland,Water,Non_Water,Water,Water
452,Bareland,Water,Water,Water,Grassland
453,Bareland,Water,Water,Water,Bareland
454,Bareland,Water,Water,Water,Built-up
455,Bareland,Water,Water,Water,Water
456,Bareland,Water,Water,Water,Forest
457,Bareland,Forest,NULL,Non_Wetland,Grassland
458,Bareland,Forest,NULL,Non_Wetland,Wetland
459,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
460,Bareland,Forest,NULL,Non_Wetland,Bareland
461,Bareland,Forest,NULL,Non_Wetland,Built-up
462,Bareland,Forest,NULL,Non_Wetland,Water
463,Bareland,Forest,NULL,Non_Wetland,Forest
464,Bareland,Forest,Non_Water,Non_Wetland,Grassland
465,Bareland,Forest,Non_Water,Non_Wetland,Water
466,Bareland,Forest,Water,Non_Wetland,Bareland
467,Bareland,Forest,Water,Non_Wetland,Forest
468,Built-up,NULL,NULL,Non_Wetland,Grassland
469,Built-up,NULL,NULL,Non_Wetland,Wetland
