Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VCK_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VCK_M_R,SIBERIA_2024_GSW_Yearly_2021_43VCK_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VCK_M_R,SIBERIA_2024_WorldCover_2021_43VCK_M_R
260,Wetland,Grassland,Water,Non_Wetland,Wetland
261,Wetland,Grassland,Water,Non_Wetland,Water
262,Wetland,Grassland,Water,Non_Wetland,Forest
263,Wetland,Cropland,NULL,Non_Wetland,NULL
264,Wetland,Cropland,NULL,Non_Wetland,Grassland
265,Wetland,Cropland,NULL,Non_Wetland,Wetland
266,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
267,Wetland,Cropland,NULL,Non_Wetland,Bareland
268,Wetland,Cropland,NULL,Non_Wetland,Built-up
269,Wetland,Cropland,NULL,Non_Wetland,Forest
270,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
271,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
272,Wetland,Wetland,NULL,Wetland,NULL
273,Wetland,Wetland,NULL,Wetland,Grassland
274,Wetland,Wetland,NULL,Wetland,Wetland
275,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
276,Wetland,Wetland,NULL,Wetland,Bareland
277,Wetland,Wetland,NULL,Wetland,Built-up
278,Wetland,Wetland,NULL,Wetland,Water
279,Wetland,Wetland,NULL,Wetland,Permanent_ice_and_snow
280,Wetland,Wetland,NULL,Wetland,Forest
281,Wetland,Wetland,Non_Water,Wetland,NULL
282,Wetland,Wetland,Non_Water,Wetland,Grassland
283,Wetland,Wetland,Non_Water,Wetland,Wetland
284,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
285,Wetland,Wetland,Non_Water,Wetland,Bareland
286,Wetland,Wetland,Non_Water,Wetland,Built-up
287,Wetland,Wetland,Non_Water,Wetland,Water
288,Wetland,Wetland,Non_Water,Wetland,Forest
289,Wetland,Wetland,Water,Wetland,NULL
290,Wetland,Wetland,Water,Wetland,Grassland
291,Wetland,Wetland,Water,Wetland,Wetland
292,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
293,Wetland,Wetland,Water,Wetland,Bareland
294,Wetland,Wetland,Water,Wetland,Built-up
295,Wetland,Wetland,Water,Wetland,Water
296,Wetland,Wetland,Water,Wetland,Forest
297,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
298,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
299,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
300,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
301,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
302,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
303,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
304,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
305,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
306,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
307,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
308,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
309,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
310,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
311,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
312,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
313,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
314,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
315,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
316,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
317,Wetland,Bareland,NULL,Non_Wetland,NULL
318,Wetland,Bareland,NULL,Non_Wetland,Grassland
319,Wetland,Bareland,NULL,Non_Wetland,Cropland
320,Wetland,Bareland,NULL,Non_Wetland,Wetland
321,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
322,Wetland,Bareland,NULL,Non_Wetland,Bareland
323,Wetland,Bareland,NULL,Non_Wetland,Built-up
324,Wetland,Bareland,NULL,Non_Wetland,Water
325,Wetland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
326,Wetland,Bareland,NULL,Non_Wetland,Forest
327,Wetland,Bareland,Non_Water,Non_Wetland,NULL
328,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
329,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
330,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
331,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
332,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
333,Wetland,Bareland,Non_Water,Non_Wetland,Water
334,Wetland,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
335,Wetland,Bareland,Non_Water,Non_Wetland,Forest
336,Wetland,Bareland,Water,Non_Wetland,NULL
337,Wetland,Bareland,Water,Non_Wetland,Grassland
338,Wetland,Bareland,Water,Non_Wetland,Wetland
339,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
340,Wetland,Bareland,Water,Non_Wetland,Bareland
341,Wetland,Bareland,Water,Non_Wetland,Built-up
342,Wetland,Bareland,Water,Non_Wetland,Water
343,Wetland,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
344,Wetland,Bareland,Water,Non_Wetland,Forest
345,Wetland,Built-up,NULL,Non_Wetland,NULL
346,Wetland,Built-up,NULL,Non_Wetland,Grassland
347,Wetland,Built-up,NULL,Non_Wetland,Wetland
348,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
349,Wetland,Built-up,NULL,Non_Wetland,Bareland
350,Wetland,Built-up,NULL,Non_Wetland,Built-up
351,Wetland,Built-up,NULL,Non_Wetland,Water
352,Wetland,Built-up,NULL,Non_Wetland,Forest
353,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
354,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
355,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
356,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
357,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
358,Wetland,Built-up,Non_Water,Non_Wetland,Water
359,Wetland,Built-up,Non_Water,Non_Wetland,Permanent_ice_and_snow
360,Wetland,Built-up,Non_Water,Non_Wetland,Forest
361,Wetland,Built-up,Water,Non_Wetland,Grassland
362,Wetland,Built-up,Water,Non_Wetland,Wetland
363,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
364,Wetland,Built-up,Water,Non_Wetland,Bareland
365,Wetland,Built-up,Water,Non_Wetland,Built-up
366,Wetland,Built-up,Water,Non_Wetland,Water
367,Wetland,Built-up,Water,Non_Wetland,Forest
368,Wetland,Water,NULL,Water,NULL
369,Wetland,Water,NULL,Water,Grassland
370,Wetland,Water,NULL,Water,Wetland
371,Wetland,Water,NULL,Water,Lichens_and_Mosses
372,Wetland,Water,NULL,Water,Bareland
373,Wetland,Water,NULL,Water,Built-up
374,Wetland,Water,NULL,Water,Water
375,Wetland,Water,NULL,Water,Permanent_ice_and_snow
376,Wetland,Water,NULL,Water,Forest
377,Wetland,Water,Non_Water,Water,NULL
378,Wetland,Water,Non_Water,Water,Grassland
379,Wetland,Water,Non_Water,Water,Wetland
380,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
381,Wetland,Water,Non_Water,Water,Bareland
382,Wetland,Water,Non_Water,Water,Built-up
383,Wetland,Water,Non_Water,Water,Water
384,Wetland,Water,Non_Water,Water,Forest
385,Wetland,Water,Water,Water,NULL
386,Wetland,Water,Water,Water,Grassland
387,Wetland,Water,Water,Water,Wetland
388,Wetland,Water,Water,Water,Lichens_and_Mosses
389,Wetland,Water,Water,Water,Bareland
390,Wetland,Water,Water,Water,Built-up
391,Wetland,Water,Water,Water,Water
392,Wetland,Water,Water,Water,Permanent_ice_and_snow
393,Wetland,Water,Water,Water,Forest
394,Wetland,Forest,NULL,Non_Wetland,NULL
395,Wetland,Forest,NULL,Non_Wetland,Grassland
396,Wetland,Forest,NULL,Non_Wetland,Wetland
397,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
398,Wetland,Forest,NULL,Non_Wetland,Bareland
399,Wetland,Forest,NULL,Non_Wetland,Built-up
400,Wetland,Forest,NULL,Non_Wetland,Water
401,Wetland,Forest,NULL,Non_Wetland,Forest
402,Wetland,Forest,Non_Water,Non_Wetland,NULL
403,Wetland,Forest,Non_Water,Non_Wetland,Grassland
404,Wetland,Forest,Non_Water,Non_Wetland,Wetland
405,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
406,Wetland,Forest,Non_Water,Non_Wetland,Bareland
407,Wetland,Forest,Non_Water,Non_Wetland,Built-up
408,Wetland,Forest,Non_Water,Non_Wetland,Water
409,Wetland,Forest,Non_Water,Non_Wetland,Forest
410,Wetland,Forest,Water,Non_Wetland,NULL
411,Wetland,Forest,Water,Non_Wetland,Grassland
412,Wetland,Forest,Water,Non_Wetland,Wetland
413,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
414,Wetland,Forest,Water,Non_Wetland,Bareland
415,Wetland,Forest,Water,Non_Wetland,Built-up
416,Wetland,Forest,Water,Non_Wetland,Water
417,Wetland,Forest,Water,Non_Wetland,Forest
418,Bareland,NULL,NULL,Non_Wetland,Wetland
419,Bareland,NULL,NULL,Non_Wetland,Bareland
420,Bareland,NULL,NULL,Non_Wetland,Built-up
421,Bareland,NULL,NULL,Non_Wetland,Water
422,Bareland,NULL,NULL,Non_Wetland,Forest
423,Bareland,Shrubland,NULL,Non_Wetland,Grassland
424,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
425,Bareland,Shrubland,NULL,Non_Wetland,Bareland
426,Bareland,Shrubland,NULL,Non_Wetland,Water
427,Bareland,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
428,Bareland,Shrubland,NULL,Non_Wetland,Forest
429,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
430,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
431,Bareland,Shrubland,Non_Water,Non_Wetland,Water
432,Bareland,Shrubland,Water,Non_Wetland,Bareland
433,Bareland,Grassland,NULL,Non_Wetland,NULL
434,Bareland,Cropland,NULL,Non_Wetland,Grassland
435,Bareland,Cropland,NULL,Non_Wetland,Bareland
436,Bareland,Wetland,NULL,Wetland,NULL
437,Bareland,Wetland,NULL,Wetland,Wetland
438,Bareland,Wetland,NULL,Wetland,Bareland
439,Bareland,Wetland,NULL,Wetland,Water
440,Bareland,Wetland,NULL,Wetland,Forest
441,Bareland,Wetland,Non_Water,Wetland,Grassland
442,Bareland,Wetland,Non_Water,Wetland,Bareland
443,Bareland,Wetland,Non_Water,Wetland,Water
444,Bareland,Wetland,Non_Water,Wetland,Forest
445,Bareland,Wetland,Water,Wetland,Bareland
446,Bareland,Wetland,Water,Wetland,Water
447,Bareland,Wetland,Water,Wetland,Forest
448,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
449,Bareland,Bareland,NULL,Non_Wetland,Grassland
450,Bareland,Bareland,NULL,Non_Wetland,Wetland
451,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
452,Bareland,Bareland,NULL,Non_Wetland,Bareland
453,Bareland,Bareland,NULL,Non_Wetland,Built-up
454,Bareland,Bareland,NULL,Non_Wetland,Water
455,Bareland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
456,Bareland,Bareland,NULL,Non_Wetland,Forest
457,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
458,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
459,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
460,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
461,Bareland,Bareland,Non_Water,Non_Wetland,Water
462,Bareland,Bareland,Water,Non_Wetland,Grassland
463,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
464,Bareland,Bareland,Water,Non_Wetland,Bareland
465,Bareland,Bareland,Water,Non_Wetland,Water
466,Bareland,Bareland,Water,Non_Wetland,Forest
467,Bareland,Built-up,NULL,Non_Wetland,Grassland
468,Bareland,Built-up,NULL,Non_Wetland,Bareland
469,Bareland,Built-up,NULL,Non_Wetland,Built-up
470,Bareland,Built-up,NULL,Non_Wetland,Water
471,Bareland,Built-up,NULL,Non_Wetland,Forest
472,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
473,Bareland,Built-up,Water,Non_Wetland,Bareland
