Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VVL_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VVL_M_R,SIBERIA_2024_GSW_Yearly_2021_42VVL_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VVL_M_R,SIBERIA_2024_WorldCover_2021_42VVL_M_R
267,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
268,Wetland,Bareland,Non_Water,Non_Wetland,Water
269,Wetland,Bareland,Non_Water,Non_Wetland,Forest
270,Wetland,Bareland,Water,Non_Wetland,Grassland
271,Wetland,Bareland,Water,Non_Wetland,Cropland
272,Wetland,Bareland,Water,Non_Wetland,Wetland
273,Wetland,Bareland,Water,Non_Wetland,Water
274,Wetland,Bareland,Water,Non_Wetland,Forest
275,Wetland,Built-up,NULL,Non_Wetland,Grassland
276,Wetland,Built-up,NULL,Non_Wetland,Cropland
277,Wetland,Built-up,NULL,Non_Wetland,Wetland
278,Wetland,Built-up,NULL,Non_Wetland,Built-up
279,Wetland,Built-up,NULL,Non_Wetland,Forest
280,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
281,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
282,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
283,Wetland,Built-up,Non_Water,Non_Wetland,Forest
284,Wetland,Built-up,Water,Non_Wetland,Grassland
285,Wetland,Built-up,Water,Non_Wetland,Wetland
286,Wetland,Built-up,Water,Non_Wetland,Water
287,Wetland,Built-up,Water,Non_Wetland,Forest
288,Wetland,Water,NULL,Water,NULL
289,Wetland,Water,NULL,Water,Grassland
290,Wetland,Water,NULL,Water,Wetland
291,Wetland,Water,NULL,Water,Water
292,Wetland,Water,NULL,Water,Forest
293,Wetland,Water,Non_Water,Water,Grassland
294,Wetland,Water,Non_Water,Water,Cropland
295,Wetland,Water,Non_Water,Water,Wetland
296,Wetland,Water,Non_Water,Water,Water
297,Wetland,Water,Non_Water,Water,Forest
298,Wetland,Water,Water,Water,NULL
299,Wetland,Water,Water,Water,Grassland
300,Wetland,Water,Water,Water,Cropland
301,Wetland,Water,Water,Water,Wetland
302,Wetland,Water,Water,Water,Bareland
303,Wetland,Water,Water,Water,Water
304,Wetland,Water,Water,Water,Forest
305,Wetland,Forest,NULL,Non_Wetland,NULL
306,Wetland,Forest,NULL,Non_Wetland,Grassland
307,Wetland,Forest,NULL,Non_Wetland,Cropland
308,Wetland,Forest,NULL,Non_Wetland,Wetland
309,Wetland,Forest,NULL,Non_Wetland,Built-up
310,Wetland,Forest,NULL,Non_Wetland,Water
311,Wetland,Forest,NULL,Non_Wetland,Forest
312,Wetland,Forest,Non_Water,Non_Wetland,NULL
313,Wetland,Forest,Non_Water,Non_Wetland,Grassland
314,Wetland,Forest,Non_Water,Non_Wetland,Cropland
315,Wetland,Forest,Non_Water,Non_Wetland,Wetland
316,Wetland,Forest,Non_Water,Non_Wetland,Water
317,Wetland,Forest,Non_Water,Non_Wetland,Forest
318,Wetland,Forest,Water,Non_Wetland,NULL
319,Wetland,Forest,Water,Non_Wetland,Grassland
320,Wetland,Forest,Water,Non_Wetland,Cropland
321,Wetland,Forest,Water,Non_Wetland,Wetland
322,Wetland,Forest,Water,Non_Wetland,Water
323,Wetland,Forest,Water,Non_Wetland,Forest
324,Bareland,NULL,NULL,Non_Wetland,Forest
325,Bareland,NULL,Water,Non_Wetland,Water
326,Bareland,Shrubland,NULL,Non_Wetland,Forest
327,Bareland,Cropland,NULL,Non_Wetland,Cropland
328,Bareland,Cropland,NULL,Non_Wetland,Built-up
329,Bareland,Cropland,NULL,Non_Wetland,Forest
330,Bareland,Wetland,NULL,Wetland,Cropland
331,Bareland,Bareland,NULL,Non_Wetland,Built-up
332,Bareland,Bareland,NULL,Non_Wetland,Forest
333,Bareland,Bareland,Water,Non_Wetland,Bareland
334,Bareland,Built-up,NULL,Non_Wetland,Grassland
335,Bareland,Built-up,NULL,Non_Wetland,Built-up
336,Bareland,Built-up,NULL,Non_Wetland,Forest
337,Bareland,Forest,NULL,Non_Wetland,Forest
338,Built-up,NULL,NULL,Non_Wetland,Grassland
339,Built-up,NULL,NULL,Non_Wetland,Cropland
340,Built-up,NULL,NULL,Non_Wetland,Wetland
341,Built-up,NULL,NULL,Non_Wetland,Bareland
342,Built-up,NULL,NULL,Non_Wetland,Built-up
343,Built-up,NULL,NULL,Non_Wetland,Forest
344,Built-up,NULL,Non_Water,Non_Wetland,Grassland
345,Built-up,NULL,Non_Water,Non_Wetland,Water
346,Built-up,Shrubland,NULL,Non_Wetland,Grassland
347,Built-up,Shrubland,NULL,Non_Wetland,Cropland
348,Built-up,Shrubland,NULL,Non_Wetland,Wetland
349,Built-up,Shrubland,NULL,Non_Wetland,Bareland
350,Built-up,Shrubland,NULL,Non_Wetland,Built-up
351,Built-up,Shrubland,NULL,Non_Wetland,Forest
352,Built-up,Grassland,NULL,Non_Wetland,Grassland
353,Built-up,Grassland,NULL,Non_Wetland,Cropland
354,Built-up,Grassland,NULL,Non_Wetland,Bareland
355,Built-up,Grassland,NULL,Non_Wetland,Built-up
356,Built-up,Grassland,NULL,Non_Wetland,Forest
357,Built-up,Grassland,Water,Non_Wetland,Grassland
358,Built-up,Cropland,NULL,Non_Wetland,Grassland
359,Built-up,Cropland,NULL,Non_Wetland,Cropland
360,Built-up,Cropland,NULL,Non_Wetland,Wetland
361,Built-up,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
362,Built-up,Cropland,NULL,Non_Wetland,Bareland
363,Built-up,Cropland,NULL,Non_Wetland,Built-up
364,Built-up,Cropland,NULL,Non_Wetland,Water
365,Built-up,Cropland,NULL,Non_Wetland,Forest
366,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
367,Built-up,Cropland,Non_Water,Non_Wetland,Forest
368,Built-up,Cropland,Water,Non_Wetland,Grassland
369,Built-up,Cropland,Water,Non_Wetland,Forest
370,Built-up,Wetland,NULL,Wetland,Grassland
371,Built-up,Wetland,NULL,Wetland,Cropland
372,Built-up,Wetland,NULL,Wetland,Wetland
373,Built-up,Wetland,NULL,Wetland,Built-up
374,Built-up,Wetland,NULL,Wetland,Water
375,Built-up,Wetland,NULL,Wetland,Forest
376,Built-up,Wetland,Non_Water,Wetland,Grassland
377,Built-up,Wetland,Non_Water,Wetland,Cropland
378,Built-up,Wetland,Non_Water,Wetland,Wetland
379,Built-up,Wetland,Non_Water,Wetland,Forest
380,Built-up,Wetland,Water,Wetland,Grassland
381,Built-up,Wetland,Water,Wetland,Bareland
382,Built-up,Wetland,Water,Wetland,Water
383,Built-up,Wetland,Water,Wetland,Forest
384,Built-up,Bareland,NULL,Non_Wetland,Grassland
385,Built-up,Bareland,NULL,Non_Wetland,Cropland
386,Built-up,Bareland,NULL,Non_Wetland,Wetland
387,Built-up,Bareland,NULL,Non_Wetland,Bareland
388,Built-up,Bareland,NULL,Non_Wetland,Built-up
389,Built-up,Bareland,NULL,Non_Wetland,Water
390,Built-up,Bareland,NULL,Non_Wetland,Forest
391,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
392,Built-up,Bareland,Non_Water,Non_Wetland,Forest
393,Built-up,Bareland,Water,Non_Wetland,Grassland
394,Built-up,Bareland,Water,Non_Wetland,Forest
395,Built-up,Built-up,NULL,Non_Wetland,Grassland
396,Built-up,Built-up,NULL,Non_Wetland,Cropland
397,Built-up,Built-up,NULL,Non_Wetland,Wetland
398,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
399,Built-up,Built-up,NULL,Non_Wetland,Bareland
400,Built-up,Built-up,NULL,Non_Wetland,Built-up
401,Built-up,Built-up,NULL,Non_Wetland,Water
402,Built-up,Built-up,NULL,Non_Wetland,Forest
403,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
404,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
405,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
406,Built-up,Built-up,Water,Non_Wetland,Grassland
407,Built-up,Built-up,Water,Non_Wetland,Built-up
408,Built-up,Built-up,Water,Non_Wetland,Forest
409,Built-up,Water,NULL,Water,Forest
410,Built-up,Water,Water,Water,Forest
411,Built-up,Forest,NULL,Non_Wetland,Grassland
412,Built-up,Forest,NULL,Non_Wetland,Cropland
413,Built-up,Forest,NULL,Non_Wetland,Wetland
414,Built-up,Forest,NULL,Non_Wetland,Bareland
415,Built-up,Forest,NULL,Non_Wetland,Built-up
416,Built-up,Forest,NULL,Non_Wetland,Water
417,Built-up,Forest,NULL,Non_Wetland,Forest
418,Built-up,Forest,Non_Water,Non_Wetland,Grassland
419,Built-up,Forest,Non_Water,Non_Wetland,Wetland
420,Built-up,Forest,Non_Water,Non_Wetland,Forest
421,Built-up,Forest,Water,Non_Wetland,Grassland
422,Built-up,Forest,Water,Non_Wetland,Forest
423,Water,NULL,NULL,Non_Wetland,Grassland
424,Water,NULL,NULL,Non_Wetland,Wetland
425,Water,NULL,NULL,Non_Wetland,Bareland
426,Water,NULL,NULL,Non_Wetland,Water
427,Water,NULL,NULL,Non_Wetland,Forest
428,Water,NULL,Non_Water,Non_Wetland,Grassland
429,Water,NULL,Non_Water,Non_Wetland,Cropland
430,Water,NULL,Non_Water,Non_Wetland,Wetland
431,Water,NULL,Non_Water,Non_Wetland,Bareland
432,Water,NULL,Non_Water,Non_Wetland,Water
433,Water,NULL,Non_Water,Non_Wetland,Forest
434,Water,NULL,Water,Non_Wetland,Grassland
435,Water,NULL,Water,Non_Wetland,Cropland
436,Water,NULL,Water,Non_Wetland,Wetland
437,Water,NULL,Water,Non_Wetland,Bareland
438,Water,NULL,Water,Non_Wetland,Water
439,Water,NULL,Water,Non_Wetland,Forest
440,Water,Shrubland,NULL,Non_Wetland,NULL
441,Water,Shrubland,NULL,Non_Wetland,Grassland
442,Water,Shrubland,NULL,Non_Wetland,Wetland
443,Water,Shrubland,NULL,Non_Wetland,Water
444,Water,Shrubland,NULL,Non_Wetland,Forest
445,Water,Shrubland,Non_Water,Non_Wetland,Grassland
446,Water,Shrubland,Non_Water,Non_Wetland,Wetland
447,Water,Shrubland,Non_Water,Non_Wetland,Bareland
448,Water,Shrubland,Non_Water,Non_Wetland,Water
449,Water,Shrubland,Non_Water,Non_Wetland,Forest
450,Water,Shrubland,Water,Non_Wetland,Grassland
451,Water,Shrubland,Water,Non_Wetland,Cropland
452,Water,Shrubland,Water,Non_Wetland,Wetland
453,Water,Shrubland,Water,Non_Wetland,Bareland
454,Water,Shrubland,Water,Non_Wetland,Water
455,Water,Shrubland,Water,Non_Wetland,Forest
456,Water,Grassland,NULL,Non_Wetland,Water
457,Water,Grassland,NULL,Non_Wetland,Forest
458,Water,Grassland,Non_Water,Non_Wetland,Water
459,Water,Grassland,Water,Non_Wetland,Grassland
460,Water,Grassland,Water,Non_Wetland,Bareland
461,Water,Grassland,Water,Non_Wetland,Built-up
462,Water,Grassland,Water,Non_Wetland,Water
463,Water,Cropland,NULL,Non_Wetland,NULL
464,Water,Cropland,NULL,Non_Wetland,Grassland
465,Water,Cropland,NULL,Non_Wetland,Cropland
466,Water,Cropland,NULL,Non_Wetland,Wetland
467,Water,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
468,Water,Cropland,NULL,Non_Wetland,Bareland
469,Water,Cropland,NULL,Non_Wetland,Built-up
470,Water,Cropland,NULL,Non_Wetland,Water
471,Water,Cropland,NULL,Non_Wetland,Forest
472,Water,Cropland,Non_Water,Non_Wetland,Grassland
473,Water,Cropland,Non_Water,Non_Wetland,Cropland
474,Water,Cropland,Non_Water,Non_Wetland,Wetland
475,Water,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
476,Water,Cropland,Non_Water,Non_Wetland,Bareland
477,Water,Cropland,Non_Water,Non_Wetland,Built-up
478,Water,Cropland,Non_Water,Non_Wetland,Water
479,Water,Cropland,Non_Water,Non_Wetland,Forest
480,Water,Cropland,Water,Non_Wetland,Grassland
481,Water,Cropland,Water,Non_Wetland,Cropland
482,Water,Cropland,Water,Non_Wetland,Wetland
483,Water,Cropland,Water,Non_Wetland,Lichens_and_Mosses
484,Water,Cropland,Water,Non_Wetland,Bareland
485,Water,Cropland,Water,Non_Wetland,Built-up
486,Water,Cropland,Water,Non_Wetland,Water
487,Water,Cropland,Water,Non_Wetland,Forest
488,Water,Wetland,NULL,Wetland,NULL
489,Water,Wetland,NULL,Wetland,Grassland
490,Water,Wetland,NULL,Wetland,Cropland
491,Water,Wetland,NULL,Wetland,Wetland
492,Water,Wetland,NULL,Wetland,Bareland
493,Water,Wetland,NULL,Wetland,Built-up
494,Water,Wetland,NULL,Wetland,Water
495,Water,Wetland,NULL,Wetland,Forest
496,Water,Wetland,Non_Water,Wetland,NULL
497,Water,Wetland,Non_Water,Wetland,Grassland
