Value,SIBERIA_2024_ESA_CALU_2024_45XWC_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_45XWC_M_R,SIBERIA_2024_GLC_FCS30D_2022_45XWC_M_R,SIBERIA_2024_GSW_Yearly_2021_45XWC_M_R,SIBERIA_2024_GWL_FCS30D_2022_45XWC_M_R,SIBERIA_2024_WorldCover_2021_45XWC_M_R
114,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
115,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
116,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
117,NULL,NULL,Built-up,Water,Non_Wetland,Water
118,NULL,NULL,Water,NULL,NULL,Grassland
119,NULL,NULL,Water,NULL,NULL,Water
120,NULL,NULL,Water,NULL,Water,Grassland
121,NULL,NULL,Water,NULL,Water,Wetland
122,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
123,NULL,NULL,Water,NULL,Water,Bareland
124,NULL,NULL,Water,NULL,Water,Water
125,NULL,NULL,Water,Non_Water,Water,Grassland
126,NULL,NULL,Water,Non_Water,Water,Wetland
127,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
128,NULL,NULL,Water,Non_Water,Water,Bareland
129,NULL,NULL,Water,Non_Water,Water,Water
130,NULL,NULL,Water,Water,NULL,Grassland
131,NULL,NULL,Water,Water,NULL,Wetland
132,NULL,NULL,Water,Water,NULL,Water
133,NULL,NULL,Water,Water,Water,Grassland
134,NULL,NULL,Water,Water,Water,Wetland
135,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
136,NULL,NULL,Water,Water,Water,Bareland
137,NULL,NULL,Water,Water,Water,Water
138,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
139,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
140,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Water
141,NULL,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Lichens_and_Mosses
142,NULL,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Bareland
143,NULL,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Lichens_and_Mosses
144,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
145,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
146,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
147,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
148,NULL,NULL,Forest,NULL,Non_Wetland,Water
149,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
150,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
151,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
152,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
153,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
154,NULL,NULL,Forest,Water,Non_Wetland,Grassland
155,NULL,NULL,Forest,Water,Non_Wetland,Wetland
156,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
157,NULL,NULL,Forest,Water,Non_Wetland,Water
158,NULL,Wetland,NULL,NULL,NULL,NULL
159,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
160,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
161,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
162,NULL,Wetland,NULL,NULL,Non_Wetland,Water
163,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
164,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water
165,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
166,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
167,NULL,Wetland,NULL,Water,Non_Wetland,Water
168,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
169,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
170,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
171,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
172,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
173,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
174,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
175,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
176,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
177,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
178,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
179,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
180,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
181,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
182,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
183,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
184,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
185,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
186,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
187,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
188,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
189,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
190,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
191,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
192,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
193,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
194,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
195,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
196,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
197,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland
198,NULL,Wetland,Grassland,Water,Non_Wetland,Water
199,NULL,Wetland,Wetland,NULL,NULL,Grassland
200,NULL,Wetland,Wetland,NULL,NULL,Wetland
201,NULL,Wetland,Wetland,NULL,NULL,Lichens_and_Mosses
202,NULL,Wetland,Wetland,NULL,NULL,Water
203,NULL,Wetland,Wetland,NULL,Wetland,Grassland
204,NULL,Wetland,Wetland,NULL,Wetland,Wetland
205,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
206,NULL,Wetland,Wetland,NULL,Wetland,Bareland
207,NULL,Wetland,Wetland,NULL,Wetland,Water
208,NULL,Wetland,Wetland,Non_Water,NULL,Wetland
209,NULL,Wetland,Wetland,Non_Water,NULL,Water
210,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
211,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
212,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
213,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
214,NULL,Wetland,Wetland,Non_Water,Wetland,Water
215,NULL,Wetland,Wetland,Water,NULL,Grassland
216,NULL,Wetland,Wetland,Water,NULL,Wetland
217,NULL,Wetland,Wetland,Water,NULL,Lichens_and_Mosses
218,NULL,Wetland,Wetland,Water,NULL,Water
219,NULL,Wetland,Wetland,Water,Wetland,Grassland
220,NULL,Wetland,Wetland,Water,Wetland,Wetland
221,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
222,NULL,Wetland,Wetland,Water,Wetland,Bareland
223,NULL,Wetland,Wetland,Water,Wetland,Water
224,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
225,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
226,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
227,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
228,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
229,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
230,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
231,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
232,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
233,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
234,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
235,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
236,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
237,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
238,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
239,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
240,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
241,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
242,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
243,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
244,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
245,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
246,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
247,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
248,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
249,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
250,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
251,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
252,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
253,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
254,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
255,NULL,Wetland,Bareland,Water,Non_Wetland,Water
256,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
257,NULL,Wetland,Built-up,Water,Non_Wetland,Water
258,NULL,Wetland,Water,NULL,NULL,Water
259,NULL,Wetland,Water,NULL,Water,Grassland
260,NULL,Wetland,Water,NULL,Water,Wetland
261,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
262,NULL,Wetland,Water,NULL,Water,Bareland
263,NULL,Wetland,Water,NULL,Water,Water
264,NULL,Wetland,Water,Non_Water,NULL,Water
265,NULL,Wetland,Water,Non_Water,Water,Grassland
266,NULL,Wetland,Water,Non_Water,Water,Wetland
267,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
268,NULL,Wetland,Water,Non_Water,Water,Bareland
269,NULL,Wetland,Water,Non_Water,Water,Water
270,NULL,Wetland,Water,Water,NULL,Wetland
271,NULL,Wetland,Water,Water,NULL,Water
272,NULL,Wetland,Water,Water,Water,Grassland
273,NULL,Wetland,Water,Water,Water,Wetland
274,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
275,NULL,Wetland,Water,Water,Water,Bareland
276,NULL,Wetland,Water,Water,Water,Water
277,NULL,Wetland,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
278,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
279,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
280,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
281,NULL,Wetland,Forest,NULL,Non_Wetland,Water
282,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
283,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
284,NULL,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
285,NULL,Wetland,Forest,Non_Water,Non_Wetland,Bareland
286,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
287,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
288,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
289,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
290,NULL,Wetland,Forest,Water,Non_Wetland,Water
291,NULL,Bareland,NULL,NULL,NULL,NULL
292,NULL,Bareland,NULL,NULL,Non_Wetland,Water
293,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
294,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
295,NULL,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
296,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
297,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
298,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
299,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
300,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
301,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
302,NULL,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
303,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
304,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
305,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
306,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland
307,NULL,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
308,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
309,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
310,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water
311,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
312,NULL,Bareland,Grassland,Water,Non_Wetland,Water
313,NULL,Bareland,Wetland,NULL,NULL,Water
314,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
315,NULL,Bareland,Wetland,NULL,Wetland,Bareland
316,NULL,Bareland,Wetland,NULL,Wetland,Water
317,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
318,NULL,Bareland,Wetland,Non_Water,NULL,Water
319,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
320,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
321,NULL,Bareland,Wetland,Non_Water,Wetland,Water
322,NULL,Bareland,Wetland,Water,NULL,Bareland
323,NULL,Bareland,Wetland,Water,NULL,Water
324,NULL,Bareland,Wetland,Water,Wetland,Grassland
325,NULL,Bareland,Wetland,Water,Wetland,Wetland
326,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
327,NULL,Bareland,Wetland,Water,Wetland,Bareland
328,NULL,Bareland,Wetland,Water,Wetland,Water
329,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
330,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
331,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
332,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
333,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
334,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
335,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
336,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
337,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
338,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
339,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
340,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
341,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
342,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
343,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
344,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
345,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
346,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
347,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
348,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
349,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
350,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
351,NULL,Bareland,Bareland,Water,Non_Wetland,Water
352,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
353,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
354,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
355,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
356,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
357,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
358,NULL,Bareland,Built-up,Water,Non_Wetland,Water
359,NULL,Bareland,Water,NULL,NULL,Water
360,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
361,NULL,Bareland,Water,NULL,Water,Bareland
362,NULL,Bareland,Water,NULL,Water,Water
363,NULL,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
364,NULL,Bareland,Water,Non_Water,Water,Bareland
365,NULL,Bareland,Water,Non_Water,Water,Water
366,NULL,Bareland,Water,Water,NULL,Lichens_and_Mosses
367,NULL,Bareland,Water,Water,NULL,Water
368,NULL,Bareland,Water,Water,Water,Grassland
369,NULL,Bareland,Water,Water,Water,Wetland
370,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
371,NULL,Bareland,Water,Water,Water,Bareland
372,NULL,Bareland,Water,Water,Water,Water
373,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
374,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
375,NULL,Bareland,Permanent_ice_and_snow,Water,Non_Wetland,Bareland
376,NULL,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
377,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
378,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
379,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
380,NULL,Built-up,Wetland,NULL,Wetland,Water
381,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
382,NULL,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
383,NULL,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
384,NULL,Built-up,Bareland,Water,Non_Wetland,Lichens_and_Mosses
385,NULL,Water,NULL,NULL,NULL,NULL
386,NULL,Water,NULL,NULL,Non_Wetland,Water
387,NULL,Water,NULL,Non_Water,Non_Wetland,Water
388,NULL,Water,NULL,Water,Non_Wetland,Grassland
389,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
390,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
391,NULL,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
392,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
393,NULL,Water,Shrubland,NULL,Non_Wetland,Water
394,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
395,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
396,NULL,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
397,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
398,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
399,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
400,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
401,NULL,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
402,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
403,NULL,Water,Shrubland,Water,Non_Wetland,Water
404,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
405,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
406,NULL,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
407,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
408,NULL,Water,Grassland,NULL,Non_Wetland,Water
409,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
