Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VUH_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VUH_M_R,SIBERIA_2024_GSW_Yearly_2021_45VUH_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VUH_M_R,SIBERIA_2024_WorldCover_2021_45VUH_M_R
275,Water,Wetland,NULL,Wetland,Bareland
276,Water,Wetland,NULL,Wetland,Water
277,Water,Wetland,NULL,Wetland,Forest
278,Water,Wetland,Non_Water,Wetland,Grassland
279,Water,Wetland,Non_Water,Wetland,Wetland
280,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
281,Water,Wetland,Non_Water,Wetland,Bareland
282,Water,Wetland,Non_Water,Wetland,Water
283,Water,Wetland,Non_Water,Wetland,Forest
284,Water,Wetland,Water,Wetland,Grassland
285,Water,Wetland,Water,Wetland,Wetland
286,Water,Wetland,Water,Wetland,Lichens_and_Mosses
287,Water,Wetland,Water,Wetland,Bareland
288,Water,Wetland,Water,Wetland,Water
289,Water,Wetland,Water,Wetland,Forest
290,Water,Bareland,NULL,Non_Wetland,Grassland
291,Water,Bareland,NULL,Non_Wetland,Wetland
292,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
293,Water,Bareland,NULL,Non_Wetland,Bareland
294,Water,Bareland,NULL,Non_Wetland,Water
295,Water,Bareland,NULL,Non_Wetland,Forest
296,Water,Bareland,Non_Water,Non_Wetland,Wetland
297,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
298,Water,Bareland,Non_Water,Non_Wetland,Bareland
299,Water,Bareland,Non_Water,Non_Wetland,Water
300,Water,Bareland,Non_Water,Non_Wetland,Forest
301,Water,Bareland,Water,Non_Wetland,Grassland
302,Water,Bareland,Water,Non_Wetland,Wetland
303,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
304,Water,Bareland,Water,Non_Wetland,Bareland
305,Water,Bareland,Water,Non_Wetland,Water
306,Water,Bareland,Water,Non_Wetland,Forest
307,Water,Built-up,NULL,Non_Wetland,Water
308,Water,Built-up,NULL,Non_Wetland,Forest
309,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
310,Water,Built-up,Water,Non_Wetland,Water
311,Water,Built-up,Water,Non_Wetland,Forest
312,Water,Water,NULL,Water,NULL
313,Water,Water,NULL,Water,Grassland
314,Water,Water,NULL,Water,Wetland
315,Water,Water,NULL,Water,Bareland
316,Water,Water,NULL,Water,Water
317,Water,Water,NULL,Water,Forest
318,Water,Water,Non_Water,Water,Grassland
319,Water,Water,Non_Water,Water,Wetland
320,Water,Water,Non_Water,Water,Bareland
321,Water,Water,Non_Water,Water,Water
322,Water,Water,Non_Water,Water,Forest
323,Water,Water,Water,Water,NULL
324,Water,Water,Water,Water,Grassland
325,Water,Water,Water,Water,Wetland
326,Water,Water,Water,Water,Lichens_and_Mosses
327,Water,Water,Water,Water,Bareland
328,Water,Water,Water,Water,Water
329,Water,Water,Water,Water,Forest
330,Water,Forest,NULL,Non_Wetland,Grassland
331,Water,Forest,NULL,Non_Wetland,Wetland
332,Water,Forest,NULL,Non_Wetland,Bareland
333,Water,Forest,NULL,Non_Wetland,Water
334,Water,Forest,NULL,Non_Wetland,Forest
335,Water,Forest,Non_Water,Non_Wetland,Grassland
336,Water,Forest,Non_Water,Non_Wetland,Wetland
337,Water,Forest,Non_Water,Non_Wetland,Water
338,Water,Forest,Non_Water,Non_Wetland,Forest
339,Water,Forest,Water,Non_Wetland,Wetland
340,Water,Forest,Water,Non_Wetland,Water
341,Water,Forest,Water,Non_Wetland,Forest
342,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,NULL
343,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
344,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
345,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Bareland
346,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
347,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
348,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Wetland
349,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Water
350,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Forest
351,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Water
352,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
353,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
354,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
355,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
356,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Bareland
357,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
358,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
359,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Grassland
360,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Wetland
361,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Water
362,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Forest
363,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
364,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
365,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Wetland
366,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Forest
367,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
368,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
369,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
370,Permanent_ice_and_snow,Wetland,NULL,Wetland,Lichens_and_Mosses
371,Permanent_ice_and_snow,Wetland,NULL,Wetland,Bareland
372,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
373,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
374,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,NULL
375,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Grassland
376,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
377,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Lichens_and_Mosses
378,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Bareland
379,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
380,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
381,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
382,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
383,Permanent_ice_and_snow,Wetland,Water,Wetland,Lichens_and_Mosses
384,Permanent_ice_and_snow,Wetland,Water,Wetland,Bareland
385,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
386,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
387,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
388,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
389,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
390,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
391,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
392,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
393,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
394,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
395,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
396,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
397,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Water
398,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
399,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
400,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
401,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Lichens_and_Mosses
402,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
403,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
404,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
405,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Wetland
406,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
407,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Water
408,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
409,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Water
410,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Grassland
411,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Bareland
412,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Water
413,Permanent_ice_and_snow,Water,NULL,Water,NULL
414,Permanent_ice_and_snow,Water,NULL,Water,Grassland
415,Permanent_ice_and_snow,Water,NULL,Water,Wetland
416,Permanent_ice_and_snow,Water,NULL,Water,Water
417,Permanent_ice_and_snow,Water,NULL,Water,Forest
418,Permanent_ice_and_snow,Water,Non_Water,Water,Grassland
419,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
420,Permanent_ice_and_snow,Water,Non_Water,Water,Water
421,Permanent_ice_and_snow,Water,Non_Water,Water,Forest
422,Permanent_ice_and_snow,Water,Water,Water,NULL
423,Permanent_ice_and_snow,Water,Water,Water,Grassland
424,Permanent_ice_and_snow,Water,Water,Water,Wetland
425,Permanent_ice_and_snow,Water,Water,Water,Lichens_and_Mosses
426,Permanent_ice_and_snow,Water,Water,Water,Bareland
427,Permanent_ice_and_snow,Water,Water,Water,Water
428,Permanent_ice_and_snow,Water,Water,Water,Forest
429,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,NULL
430,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
431,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
432,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Lichens_and_Mosses
433,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
434,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
435,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Wetland
436,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Water
437,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
438,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Grassland
439,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Wetland
440,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Bareland
441,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
442,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
443,Forest,NULL,NULL,Non_Wetland,NULL
444,Forest,NULL,NULL,Non_Wetland,Grassland
445,Forest,NULL,NULL,Non_Wetland,Wetland
446,Forest,NULL,NULL,Non_Wetland,Bareland
447,Forest,NULL,NULL,Non_Wetland,Water
448,Forest,NULL,NULL,Non_Wetland,Forest
449,Forest,NULL,Non_Water,Non_Wetland,Grassland
450,Forest,NULL,Non_Water,Non_Wetland,Wetland
451,Forest,NULL,Non_Water,Non_Wetland,Water
452,Forest,NULL,Non_Water,Non_Wetland,Forest
453,Forest,NULL,Water,Non_Wetland,Grassland
454,Forest,NULL,Water,Non_Wetland,Wetland
455,Forest,NULL,Water,Non_Wetland,Water
456,Forest,NULL,Water,Non_Wetland,Forest
457,Forest,Shrubland,NULL,Non_Wetland,NULL
458,Forest,Shrubland,NULL,Non_Wetland,Grassland
459,Forest,Shrubland,NULL,Non_Wetland,Wetland
460,Forest,Shrubland,NULL,Non_Wetland,Water
461,Forest,Shrubland,NULL,Non_Wetland,Forest
462,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
463,Forest,Shrubland,Non_Water,Non_Wetland,Water
464,Forest,Shrubland,Non_Water,Non_Wetland,Forest
465,Forest,Shrubland,Water,Non_Wetland,Wetland
466,Forest,Shrubland,Water,Non_Wetland,Water
467,Forest,Shrubland,Water,Non_Wetland,Forest
468,Forest,Grassland,NULL,Non_Wetland,NULL
469,Forest,Grassland,NULL,Non_Wetland,Grassland
470,Forest,Grassland,NULL,Non_Wetland,Wetland
471,Forest,Grassland,NULL,Non_Wetland,Forest
472,Forest,Grassland,Non_Water,Non_Wetland,Grassland
473,Forest,Grassland,Water,Non_Wetland,Grassland
474,Forest,Grassland,Water,Non_Wetland,Forest
475,Forest,Cropland,NULL,Non_Wetland,Grassland
476,Forest,Cropland,NULL,Non_Wetland,Forest
477,Forest,Cropland,Water,Non_Wetland,Forest
478,Forest,Wetland,NULL,Wetland,NULL
479,Forest,Wetland,NULL,Wetland,Grassland
480,Forest,Wetland,NULL,Wetland,Wetland
481,Forest,Wetland,NULL,Wetland,Bareland
