Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WWR_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WWR_M_R,SIBERIA_2024_GSW_Yearly_2021_45WWR_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WWR_M_R,SIBERIA_2024_WorldCover_2021_45WWR_M_R
254,Wetland,Grassland,Water,Non_Wetland,Bareland
255,Wetland,Grassland,Water,Non_Wetland,Water
256,Wetland,Grassland,Water,Non_Wetland,Forest
257,Wetland,Wetland,NULL,Wetland,Grassland
258,Wetland,Wetland,NULL,Wetland,Wetland
259,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
260,Wetland,Wetland,NULL,Wetland,Bareland
261,Wetland,Wetland,NULL,Wetland,Water
262,Wetland,Wetland,NULL,Wetland,Permanent_ice_and_snow
263,Wetland,Wetland,NULL,Wetland,Forest
264,Wetland,Wetland,Non_Water,Wetland,Grassland
265,Wetland,Wetland,Non_Water,Wetland,Wetland
266,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
267,Wetland,Wetland,Non_Water,Wetland,Bareland
268,Wetland,Wetland,Non_Water,Wetland,Water
269,Wetland,Wetland,Non_Water,Wetland,Forest
270,Wetland,Wetland,Water,Wetland,Grassland
271,Wetland,Wetland,Water,Wetland,Wetland
272,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
273,Wetland,Wetland,Water,Wetland,Bareland
274,Wetland,Wetland,Water,Wetland,Water
275,Wetland,Wetland,Water,Wetland,Forest
276,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
277,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
278,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
279,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
280,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
281,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
282,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
283,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
284,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
285,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
286,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
287,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
288,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
289,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
290,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
291,Wetland,Bareland,NULL,Non_Wetland,Grassland
292,Wetland,Bareland,NULL,Non_Wetland,Wetland
293,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
294,Wetland,Bareland,NULL,Non_Wetland,Bareland
295,Wetland,Bareland,NULL,Non_Wetland,Water
296,Wetland,Bareland,NULL,Non_Wetland,Forest
297,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
298,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
299,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
300,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
301,Wetland,Bareland,Non_Water,Non_Wetland,Water
302,Wetland,Bareland,Non_Water,Non_Wetland,Forest
303,Wetland,Bareland,Water,Non_Wetland,Grassland
304,Wetland,Bareland,Water,Non_Wetland,Wetland
305,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
306,Wetland,Bareland,Water,Non_Wetland,Bareland
307,Wetland,Bareland,Water,Non_Wetland,Water
308,Wetland,Bareland,Water,Non_Wetland,Forest
309,Wetland,Built-up,NULL,Non_Wetland,Grassland
310,Wetland,Built-up,NULL,Non_Wetland,Wetland
311,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
312,Wetland,Built-up,NULL,Non_Wetland,Bareland
313,Wetland,Built-up,NULL,Non_Wetland,Water
314,Wetland,Built-up,NULL,Non_Wetland,Forest
315,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
316,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
317,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
318,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
319,Wetland,Built-up,Non_Water,Non_Wetland,Water
320,Wetland,Built-up,Non_Water,Non_Wetland,Forest
321,Wetland,Built-up,Water,Non_Wetland,Grassland
322,Wetland,Built-up,Water,Non_Wetland,Wetland
323,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
324,Wetland,Built-up,Water,Non_Wetland,Bareland
325,Wetland,Built-up,Water,Non_Wetland,Water
326,Wetland,Built-up,Water,Non_Wetland,Forest
327,Wetland,Water,NULL,Water,Grassland
328,Wetland,Water,NULL,Water,Wetland
329,Wetland,Water,NULL,Water,Lichens_and_Mosses
330,Wetland,Water,NULL,Water,Bareland
331,Wetland,Water,NULL,Water,Water
332,Wetland,Water,NULL,Water,Forest
333,Wetland,Water,Non_Water,Water,Grassland
334,Wetland,Water,Non_Water,Water,Wetland
335,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
336,Wetland,Water,Non_Water,Water,Bareland
337,Wetland,Water,Non_Water,Water,Water
338,Wetland,Water,Non_Water,Water,Forest
339,Wetland,Water,Water,Water,Grassland
340,Wetland,Water,Water,Water,Wetland
341,Wetland,Water,Water,Water,Lichens_and_Mosses
342,Wetland,Water,Water,Water,Bareland
343,Wetland,Water,Water,Water,Water
344,Wetland,Water,Water,Water,Forest
345,Wetland,Forest,NULL,Non_Wetland,Grassland
346,Wetland,Forest,NULL,Non_Wetland,Wetland
347,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
348,Wetland,Forest,NULL,Non_Wetland,Bareland
349,Wetland,Forest,NULL,Non_Wetland,Water
350,Wetland,Forest,NULL,Non_Wetland,Forest
351,Wetland,Forest,Non_Water,Non_Wetland,Grassland
352,Wetland,Forest,Non_Water,Non_Wetland,Wetland
353,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
354,Wetland,Forest,Non_Water,Non_Wetland,Bareland
355,Wetland,Forest,Non_Water,Non_Wetland,Water
356,Wetland,Forest,Non_Water,Non_Wetland,Forest
357,Wetland,Forest,Water,Non_Wetland,Grassland
358,Wetland,Forest,Water,Non_Wetland,Wetland
359,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
360,Wetland,Forest,Water,Non_Wetland,Bareland
361,Wetland,Forest,Water,Non_Wetland,Water
362,Wetland,Forest,Water,Non_Wetland,Forest
363,Bareland,NULL,NULL,Non_Wetland,Grassland
364,Bareland,NULL,NULL,Non_Wetland,Wetland
365,Bareland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
366,Bareland,NULL,NULL,Non_Wetland,Bareland
367,Bareland,NULL,NULL,Non_Wetland,Water
368,Bareland,NULL,NULL,Non_Wetland,Forest
369,Bareland,NULL,Water,Non_Wetland,Wetland
370,Bareland,NULL,Water,Non_Wetland,Forest
371,Bareland,Shrubland,NULL,Non_Wetland,Grassland
372,Bareland,Shrubland,NULL,Non_Wetland,Wetland
373,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
374,Bareland,Shrubland,NULL,Non_Wetland,Bareland
375,Bareland,Shrubland,NULL,Non_Wetland,Water
376,Bareland,Shrubland,NULL,Non_Wetland,Forest
377,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
378,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
379,Bareland,Shrubland,Water,Non_Wetland,Water
380,Bareland,Shrubland,Water,Non_Wetland,Forest
381,Bareland,Grassland,NULL,Non_Wetland,Grassland
382,Bareland,Grassland,NULL,Non_Wetland,Wetland
383,Bareland,Grassland,NULL,Non_Wetland,Forest
384,Bareland,Wetland,NULL,Wetland,Grassland
385,Bareland,Wetland,NULL,Wetland,Wetland
386,Bareland,Wetland,NULL,Wetland,Bareland
387,Bareland,Wetland,NULL,Wetland,Water
388,Bareland,Wetland,NULL,Wetland,Forest
389,Bareland,Wetland,Non_Water,Wetland,Wetland
390,Bareland,Wetland,Non_Water,Wetland,Bareland
391,Bareland,Wetland,Non_Water,Wetland,Water
392,Bareland,Wetland,Non_Water,Wetland,Forest
393,Bareland,Wetland,Water,Wetland,Wetland
394,Bareland,Wetland,Water,Wetland,Bareland
395,Bareland,Wetland,Water,Wetland,Water
396,Bareland,Wetland,Water,Wetland,Forest
397,Bareland,Bareland,NULL,Non_Wetland,Grassland
398,Bareland,Bareland,NULL,Non_Wetland,Wetland
399,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
400,Bareland,Bareland,NULL,Non_Wetland,Bareland
401,Bareland,Bareland,NULL,Non_Wetland,Water
402,Bareland,Bareland,NULL,Non_Wetland,Forest
403,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
404,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
405,Bareland,Bareland,Non_Water,Non_Wetland,Water
406,Bareland,Bareland,Water,Non_Wetland,Grassland
407,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
408,Bareland,Bareland,Water,Non_Wetland,Bareland
409,Bareland,Bareland,Water,Non_Wetland,Water
410,Bareland,Bareland,Water,Non_Wetland,Forest
411,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
412,Bareland,Built-up,NULL,Non_Wetland,Bareland
413,Bareland,Built-up,NULL,Non_Wetland,Water
414,Bareland,Built-up,NULL,Non_Wetland,Forest
415,Bareland,Built-up,Non_Water,Non_Wetland,Water
416,Bareland,Built-up,Water,Non_Wetland,Bareland
417,Bareland,Built-up,Water,Non_Wetland,Water
418,Bareland,Built-up,Water,Non_Wetland,Forest
419,Bareland,Water,NULL,Water,Grassland
420,Bareland,Water,NULL,Water,Wetland
421,Bareland,Water,NULL,Water,Lichens_and_Mosses
422,Bareland,Water,NULL,Water,Bareland
423,Bareland,Water,NULL,Water,Water
424,Bareland,Water,NULL,Water,Forest
425,Bareland,Water,Non_Water,Water,Wetland
426,Bareland,Water,Non_Water,Water,Water
427,Bareland,Water,Water,Water,Grassland
428,Bareland,Water,Water,Water,Wetland
429,Bareland,Water,Water,Water,Lichens_and_Mosses
430,Bareland,Water,Water,Water,Bareland
431,Bareland,Water,Water,Water,Built-up
432,Bareland,Water,Water,Water,Water
433,Bareland,Water,Water,Water,Forest
434,Bareland,Forest,NULL,Non_Wetland,Grassland
435,Bareland,Forest,NULL,Non_Wetland,Wetland
436,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
437,Bareland,Forest,NULL,Non_Wetland,Bareland
438,Bareland,Forest,NULL,Non_Wetland,Water
439,Bareland,Forest,NULL,Non_Wetland,Forest
440,Bareland,Forest,Non_Water,Non_Wetland,Wetland
441,Bareland,Forest,Non_Water,Non_Wetland,Bareland
442,Bareland,Forest,Non_Water,Non_Wetland,Water
443,Bareland,Forest,Water,Non_Wetland,Grassland
444,Bareland,Forest,Water,Non_Wetland,Wetland
445,Bareland,Forest,Water,Non_Wetland,Water
446,Bareland,Forest,Water,Non_Wetland,Forest
447,Built-up,NULL,NULL,Non_Wetland,Grassland
448,Built-up,NULL,NULL,Non_Wetland,Bareland
449,Built-up,NULL,NULL,Non_Wetland,Built-up
450,Built-up,NULL,NULL,Non_Wetland,Forest
451,Built-up,Shrubland,NULL,Non_Wetland,Grassland
452,Built-up,Shrubland,NULL,Non_Wetland,Wetland
453,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
454,Built-up,Shrubland,NULL,Non_Wetland,Bareland
455,Built-up,Shrubland,NULL,Non_Wetland,Built-up
456,Built-up,Shrubland,NULL,Non_Wetland,Forest
457,Built-up,Shrubland,Water,Non_Wetland,Bareland
458,Built-up,Grassland,NULL,Non_Wetland,Grassland
459,Built-up,Grassland,NULL,Non_Wetland,Wetland
460,Built-up,Grassland,NULL,Non_Wetland,Bareland
461,Built-up,Grassland,NULL,Non_Wetland,Built-up
462,Built-up,Grassland,NULL,Non_Wetland,Forest
463,Built-up,Grassland,Water,Non_Wetland,Forest
464,Built-up,Wetland,NULL,Wetland,Forest
465,Built-up,Wetland,Water,Wetland,Bareland
466,Built-up,Wetland,Water,Wetland,Water
467,Built-up,Bareland,NULL,Non_Wetland,Grassland
468,Built-up,Bareland,NULL,Non_Wetland,Wetland
469,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
470,Built-up,Bareland,NULL,Non_Wetland,Bareland
471,Built-up,Bareland,NULL,Non_Wetland,Built-up
472,Built-up,Bareland,NULL,Non_Wetland,Water
473,Built-up,Bareland,NULL,Non_Wetland,Forest
