Value,SIBERIA_2024_ESA_CALU_2024_42XWF_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42XWF_M_R,SIBERIA_2024_GLC_FCS30D_2022_42XWF_M_R,SIBERIA_2024_GSW_Yearly_2021_42XWF_M_R,SIBERIA_2024_GWL_FCS30D_2022_42XWF_M_R,SIBERIA_2024_WorldCover_2021_42XWF_M_R
109,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
110,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
111,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
112,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
113,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
114,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
115,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
116,NULL,Wetland,Grassland,Water,Non_Wetland,Water
117,NULL,Wetland,Wetland,NULL,Wetland,Grassland
118,NULL,Wetland,Wetland,NULL,Wetland,Wetland
119,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
120,NULL,Wetland,Wetland,NULL,Wetland,Bareland
121,NULL,Wetland,Wetland,NULL,Wetland,Water
122,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
123,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
124,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
125,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
126,NULL,Wetland,Wetland,Non_Water,Wetland,Water
127,NULL,Wetland,Wetland,Water,NULL,Wetland
128,NULL,Wetland,Wetland,Water,Wetland,Grassland
129,NULL,Wetland,Wetland,Water,Wetland,Wetland
130,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
131,NULL,Wetland,Wetland,Water,Wetland,Bareland
132,NULL,Wetland,Wetland,Water,Wetland,Water
133,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
134,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
135,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
136,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
137,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
138,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
139,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
140,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
141,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
142,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
143,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
144,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
145,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
146,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
147,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
148,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
149,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
150,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
151,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
152,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
153,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
154,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
155,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
156,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
157,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
158,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
159,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
160,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
161,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
162,NULL,Wetland,Bareland,Water,Non_Wetland,Water
163,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
164,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
165,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
166,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
167,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
168,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
169,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
170,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
171,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
172,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
173,NULL,Wetland,Built-up,Water,Non_Wetland,Water
174,NULL,Wetland,Water,NULL,Water,Grassland
175,NULL,Wetland,Water,NULL,Water,Wetland
176,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
177,NULL,Wetland,Water,NULL,Water,Bareland
178,NULL,Wetland,Water,NULL,Water,Water
179,NULL,Wetland,Water,Non_Water,Water,Wetland
180,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
181,NULL,Wetland,Water,Non_Water,Water,Water
182,NULL,Wetland,Water,Water,NULL,Water
183,NULL,Wetland,Water,Water,Water,Grassland
184,NULL,Wetland,Water,Water,Water,Wetland
185,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
186,NULL,Wetland,Water,Water,Water,Bareland
187,NULL,Wetland,Water,Water,Water,Water
188,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
189,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
190,NULL,Bareland,Wetland,NULL,NULL,Water
191,NULL,Bareland,Wetland,NULL,Wetland,Wetland
192,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
193,NULL,Bareland,Wetland,NULL,Wetland,Bareland
194,NULL,Bareland,Wetland,NULL,Wetland,Water
195,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
196,NULL,Bareland,Wetland,Non_Water,NULL,Water
197,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
198,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
199,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
200,NULL,Bareland,Wetland,Non_Water,Wetland,Water
201,NULL,Bareland,Wetland,Water,NULL,Water
202,NULL,Bareland,Wetland,Water,Wetland,Wetland
203,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
204,NULL,Bareland,Wetland,Water,Wetland,Bareland
205,NULL,Bareland,Wetland,Water,Wetland,Water
206,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
207,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
208,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
209,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
210,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
211,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
212,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
213,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
214,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
215,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
216,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
217,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
218,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
219,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
220,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
221,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
222,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
223,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
224,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
225,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
226,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
227,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
228,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
229,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
230,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
231,NULL,Bareland,Bareland,Water,Non_Wetland,Water
232,NULL,Bareland,Built-up,NULL,Non_Wetland,Wetland
233,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
234,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
235,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Wetland
236,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
237,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
238,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
239,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
240,NULL,Bareland,Built-up,Water,Non_Wetland,Water
241,NULL,Bareland,Water,NULL,NULL,Water
242,NULL,Bareland,Water,NULL,Water,Wetland
243,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
244,NULL,Bareland,Water,NULL,Water,Bareland
245,NULL,Bareland,Water,NULL,Water,Water
246,NULL,Bareland,Water,Non_Water,Water,Wetland
247,NULL,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
248,NULL,Bareland,Water,Non_Water,Water,Bareland
249,NULL,Bareland,Water,Non_Water,Water,Water
250,NULL,Bareland,Water,Water,NULL,Water
251,NULL,Bareland,Water,Water,Water,Wetland
252,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
253,NULL,Bareland,Water,Water,Water,Bareland
254,NULL,Bareland,Water,Water,Water,Water
255,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
256,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
257,NULL,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
258,NULL,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Wetland
259,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
260,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
261,NULL,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
262,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
263,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
264,NULL,Water,Shrubland,NULL,Non_Wetland,Water
265,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
266,NULL,Water,Grassland,NULL,Non_Wetland,Water
267,NULL,Water,Grassland,Water,Non_Wetland,Wetland
268,NULL,Water,Wetland,NULL,NULL,Water
269,NULL,Water,Wetland,NULL,Wetland,Wetland
270,NULL,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
271,NULL,Water,Wetland,NULL,Wetland,Bareland
272,NULL,Water,Wetland,NULL,Wetland,Water
273,NULL,Water,Wetland,Non_Water,NULL,Bareland
274,NULL,Water,Wetland,Non_Water,NULL,Water
275,NULL,Water,Wetland,Non_Water,Wetland,Wetland
276,NULL,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
277,NULL,Water,Wetland,Non_Water,Wetland,Bareland
278,NULL,Water,Wetland,Non_Water,Wetland,Water
279,NULL,Water,Wetland,Water,NULL,Water
280,NULL,Water,Wetland,Water,Wetland,Grassland
281,NULL,Water,Wetland,Water,Wetland,Wetland
282,NULL,Water,Wetland,Water,Wetland,Lichens_and_Mosses
283,NULL,Water,Wetland,Water,Wetland,Bareland
284,NULL,Water,Wetland,Water,Wetland,Water
285,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
286,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
287,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
288,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
289,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
290,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
291,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
292,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
293,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
294,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
295,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
296,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
297,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
298,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
299,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
300,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
301,NULL,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
302,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
303,NULL,Water,Bareland,NULL,Non_Wetland,Water
304,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
305,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
306,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
307,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
308,NULL,Water,Bareland,Water,Non_Wetland,Grassland
309,NULL,Water,Bareland,Water,Non_Wetland,Wetland
310,NULL,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
311,NULL,Water,Bareland,Water,Non_Wetland,Bareland
312,NULL,Water,Bareland,Water,Non_Wetland,Water
313,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
314,NULL,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
315,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
316,NULL,Water,Built-up,NULL,Non_Wetland,Water
317,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
318,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
319,NULL,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
320,NULL,Water,Built-up,Water,Non_Wetland,Bareland
321,NULL,Water,Built-up,Water,Non_Wetland,Water
322,NULL,Water,Water,NULL,NULL,Wetland
323,NULL,Water,Water,NULL,NULL,Water
324,NULL,Water,Water,NULL,Water,Grassland
325,NULL,Water,Water,NULL,Water,Wetland
326,NULL,Water,Water,NULL,Water,Bareland
327,NULL,Water,Water,NULL,Water,Water
328,NULL,Water,Water,Non_Water,NULL,Water
329,NULL,Water,Water,Non_Water,Water,Grassland
330,NULL,Water,Water,Non_Water,Water,Bareland
331,NULL,Water,Water,Non_Water,Water,Water
332,NULL,Water,Water,Water,NULL,Water
333,NULL,Water,Water,Water,Water,Wetland
334,NULL,Water,Water,Water,Water,Lichens_and_Mosses
335,NULL,Water,Water,Water,Water,Bareland
336,NULL,Water,Water,Water,Water,Water
337,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
338,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
339,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
340,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
341,NULL,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
342,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
343,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Wetland
344,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
345,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Water
346,NULL,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Grassland
347,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
348,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
349,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Lichens_and_Mosses
350,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Bareland
351,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
352,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
353,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Lichens_and_Mosses
354,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Bareland
355,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
356,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
357,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
358,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Lichens_and_Mosses
359,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Bareland
360,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
361,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
362,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
363,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
364,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
365,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Water
366,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
367,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
368,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
369,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
370,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
371,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Grassland
372,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Wetland
373,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
374,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Bareland
375,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Water
376,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
377,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
378,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
379,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
380,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
381,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
382,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
383,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
384,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Bareland
385,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Water
386,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
387,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
388,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Lichens_and_Mosses
389,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
390,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
391,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
392,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
393,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Water
394,NULL,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Water
