Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VPQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VPQ_M_R,SIBERIA_2024_GSW_Yearly_2021_44VPQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VPQ_M_R,SIBERIA_2024_WorldCover_2021_44VPQ_M_R
268,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
269,Bareland,Grassland,NULL,Non_Wetland,Bareland
270,Bareland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
271,Bareland,Wetland,NULL,Wetland,Grassland
272,Bareland,Wetland,NULL,Wetland,Wetland
273,Bareland,Wetland,NULL,Wetland,Water
274,Bareland,Wetland,NULL,Wetland,Forest
275,Bareland,Wetland,Non_Water,Wetland,Wetland
276,Bareland,Wetland,Non_Water,Wetland,Water
277,Bareland,Wetland,Non_Water,Wetland,Forest
278,Bareland,Wetland,Water,Wetland,Wetland
279,Bareland,Wetland,Water,Wetland,Water
280,Bareland,Wetland,Water,Wetland,Forest
281,Bareland,Bareland,NULL,Non_Wetland,Grassland
282,Bareland,Bareland,NULL,Non_Wetland,Wetland
283,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
284,Bareland,Bareland,NULL,Non_Wetland,Bareland
285,Bareland,Bareland,NULL,Non_Wetland,Water
286,Bareland,Bareland,NULL,Non_Wetland,Forest
287,Bareland,Bareland,Non_Water,Non_Wetland,Water
288,Bareland,Bareland,Non_Water,Non_Wetland,Forest
289,Bareland,Bareland,Water,Non_Wetland,Bareland
290,Bareland,Bareland,Water,Non_Wetland,Water
291,Bareland,Bareland,Water,Non_Wetland,Forest
292,Bareland,Built-up,NULL,Non_Wetland,Forest
293,Bareland,Water,NULL,Water,Wetland
294,Bareland,Water,NULL,Water,Bareland
295,Bareland,Water,NULL,Water,Water
296,Bareland,Water,NULL,Water,Forest
297,Bareland,Water,Non_Water,Water,Water
298,Bareland,Water,Non_Water,Water,Forest
299,Bareland,Water,Water,Water,Grassland
300,Bareland,Water,Water,Water,Wetland
301,Bareland,Water,Water,Water,Water
302,Bareland,Water,Water,Water,Forest
303,Bareland,Forest,NULL,Non_Wetland,Grassland
304,Bareland,Forest,NULL,Non_Wetland,Wetland
305,Bareland,Forest,NULL,Non_Wetland,Water
306,Bareland,Forest,NULL,Non_Wetland,Forest
307,Bareland,Forest,Non_Water,Non_Wetland,Water
308,Bareland,Forest,Non_Water,Non_Wetland,Forest
309,Bareland,Forest,Water,Non_Wetland,Water
310,Bareland,Forest,Water,Non_Wetland,Forest
311,Water,NULL,NULL,Non_Wetland,Grassland
312,Water,NULL,NULL,Non_Wetland,Wetland
313,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
314,Water,NULL,NULL,Non_Wetland,Bareland
315,Water,NULL,NULL,Non_Wetland,Water
316,Water,NULL,NULL,Non_Wetland,Forest
317,Water,NULL,Non_Water,Non_Wetland,Grassland
318,Water,NULL,Non_Water,Non_Wetland,Wetland
319,Water,NULL,Non_Water,Non_Wetland,Water
320,Water,NULL,Non_Water,Non_Wetland,Forest
321,Water,NULL,Water,Non_Wetland,Grassland
322,Water,NULL,Water,Non_Wetland,Wetland
323,Water,NULL,Water,Non_Wetland,Water
324,Water,NULL,Water,Non_Wetland,Forest
325,Water,Shrubland,NULL,Non_Wetland,Grassland
326,Water,Shrubland,NULL,Non_Wetland,Wetland
327,Water,Shrubland,NULL,Non_Wetland,Bareland
328,Water,Shrubland,NULL,Non_Wetland,Water
329,Water,Shrubland,NULL,Non_Wetland,Forest
330,Water,Shrubland,Non_Water,Non_Wetland,Grassland
331,Water,Shrubland,Non_Water,Non_Wetland,Wetland
332,Water,Shrubland,Non_Water,Non_Wetland,Water
333,Water,Shrubland,Non_Water,Non_Wetland,Forest
334,Water,Shrubland,Water,Non_Wetland,Grassland
335,Water,Shrubland,Water,Non_Wetland,Wetland
336,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
337,Water,Shrubland,Water,Non_Wetland,Water
338,Water,Shrubland,Water,Non_Wetland,Forest
339,Water,Grassland,NULL,Non_Wetland,Forest
340,Water,Grassland,Water,Non_Wetland,Forest
341,Water,Cropland,NULL,Non_Wetland,Forest
342,Water,Cropland,Water,Non_Wetland,Forest
343,Water,Wetland,NULL,Wetland,NULL
344,Water,Wetland,NULL,Wetland,Grassland
345,Water,Wetland,NULL,Wetland,Wetland
346,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
347,Water,Wetland,NULL,Wetland,Bareland
348,Water,Wetland,NULL,Wetland,Water
349,Water,Wetland,NULL,Wetland,Forest
350,Water,Wetland,Non_Water,Wetland,Grassland
351,Water,Wetland,Non_Water,Wetland,Wetland
352,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
353,Water,Wetland,Non_Water,Wetland,Water
354,Water,Wetland,Non_Water,Wetland,Forest
355,Water,Wetland,Water,Wetland,Grassland
356,Water,Wetland,Water,Wetland,Wetland
357,Water,Wetland,Water,Wetland,Lichens_and_Mosses
358,Water,Wetland,Water,Wetland,Bareland
359,Water,Wetland,Water,Wetland,Water
360,Water,Wetland,Water,Wetland,Forest
361,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
362,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
363,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
364,Water,Bareland,NULL,Non_Wetland,Grassland
365,Water,Bareland,NULL,Non_Wetland,Wetland
366,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
367,Water,Bareland,NULL,Non_Wetland,Bareland
368,Water,Bareland,NULL,Non_Wetland,Water
369,Water,Bareland,NULL,Non_Wetland,Forest
370,Water,Bareland,Non_Water,Non_Wetland,Grassland
371,Water,Bareland,Non_Water,Non_Wetland,Wetland
372,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
373,Water,Bareland,Non_Water,Non_Wetland,Bareland
374,Water,Bareland,Non_Water,Non_Wetland,Water
375,Water,Bareland,Non_Water,Non_Wetland,Forest
376,Water,Bareland,Water,Non_Wetland,Grassland
377,Water,Bareland,Water,Non_Wetland,Wetland
378,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
379,Water,Bareland,Water,Non_Wetland,Bareland
380,Water,Bareland,Water,Non_Wetland,Water
381,Water,Bareland,Water,Non_Wetland,Forest
382,Water,Built-up,NULL,Non_Wetland,Grassland
383,Water,Built-up,NULL,Non_Wetland,Wetland
384,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
385,Water,Built-up,NULL,Non_Wetland,Bareland
386,Water,Built-up,NULL,Non_Wetland,Water
387,Water,Built-up,NULL,Non_Wetland,Forest
388,Water,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
389,Water,Built-up,Non_Water,Non_Wetland,Bareland
390,Water,Built-up,Non_Water,Non_Wetland,Water
391,Water,Built-up,Non_Water,Non_Wetland,Forest
392,Water,Built-up,Water,Non_Wetland,Grassland
393,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
394,Water,Built-up,Water,Non_Wetland,Bareland
395,Water,Built-up,Water,Non_Wetland,Water
396,Water,Built-up,Water,Non_Wetland,Forest
397,Water,Water,NULL,Water,Grassland
398,Water,Water,NULL,Water,Wetland
399,Water,Water,NULL,Water,Lichens_and_Mosses
400,Water,Water,NULL,Water,Bareland
401,Water,Water,NULL,Water,Water
402,Water,Water,NULL,Water,Forest
403,Water,Water,Non_Water,Water,Grassland
404,Water,Water,Non_Water,Water,Wetland
405,Water,Water,Non_Water,Water,Lichens_and_Mosses
406,Water,Water,Non_Water,Water,Bareland
407,Water,Water,Non_Water,Water,Water
408,Water,Water,Non_Water,Water,Forest
409,Water,Water,Water,Water,Grassland
410,Water,Water,Water,Water,Wetland
411,Water,Water,Water,Water,Lichens_and_Mosses
412,Water,Water,Water,Water,Bareland
413,Water,Water,Water,Water,Water
414,Water,Water,Water,Water,Forest
415,Water,Forest,NULL,Non_Wetland,Grassland
416,Water,Forest,NULL,Non_Wetland,Wetland
417,Water,Forest,NULL,Non_Wetland,Lichens_and_Mosses
418,Water,Forest,NULL,Non_Wetland,Bareland
419,Water,Forest,NULL,Non_Wetland,Water
420,Water,Forest,NULL,Non_Wetland,Forest
421,Water,Forest,Non_Water,Non_Wetland,Grassland
422,Water,Forest,Non_Water,Non_Wetland,Wetland
423,Water,Forest,Non_Water,Non_Wetland,Water
424,Water,Forest,Non_Water,Non_Wetland,Forest
425,Water,Forest,Water,Non_Wetland,Grassland
426,Water,Forest,Water,Non_Wetland,Wetland
427,Water,Forest,Water,Non_Wetland,Lichens_and_Mosses
428,Water,Forest,Water,Non_Wetland,Bareland
429,Water,Forest,Water,Non_Wetland,Water
430,Water,Forest,Water,Non_Wetland,Forest
431,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
432,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
433,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
434,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
435,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Grassland
436,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Wetland
437,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Forest
438,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Grassland
439,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Wetland
440,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Water
441,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
442,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
443,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
444,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
445,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
446,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
447,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Wetland
448,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Wetland
449,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Water
450,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Forest
451,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
452,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Wetland
453,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
454,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
455,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Grassland
456,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Grassland
457,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Forest
458,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
459,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
460,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
461,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
462,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
463,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Grassland
464,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
465,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
466,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
467,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
468,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
469,Permanent_ice_and_snow,Wetland,Water,Wetland,Bareland
470,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
471,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
472,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
473,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
474,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
475,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
476,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
477,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Built-up
478,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
479,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
480,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
481,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Bareland
482,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Water
483,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
484,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
485,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
