Value,SIBERIA_2024_ESA_CALU_2024_44XNF_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_44XNF_M_R,SIBERIA_2024_GLC_FCS30D_2022_44XNF_M_R,SIBERIA_2024_GSW_Yearly_2021_44XNF_M_R,SIBERIA_2024_GWL_FCS30D_2022_44XNF_M_R,SIBERIA_2024_WorldCover_2021_44XNF_M_R
190,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
191,NULL,Wetland,Wetland,Non_Water,Wetland,Water
192,NULL,Wetland,Wetland,Water,NULL,Wetland
193,NULL,Wetland,Wetland,Water,NULL,Lichens_and_Mosses
194,NULL,Wetland,Wetland,Water,NULL,Bareland
195,NULL,Wetland,Wetland,Water,NULL,Water
196,NULL,Wetland,Wetland,Water,Wetland,Grassland
197,NULL,Wetland,Wetland,Water,Wetland,Wetland
198,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
199,NULL,Wetland,Wetland,Water,Wetland,Bareland
200,NULL,Wetland,Wetland,Water,Wetland,Water
201,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
202,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
203,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
204,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
205,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
206,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
207,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
208,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
209,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
210,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
211,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
212,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
213,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
214,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
215,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
216,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
217,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
218,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
219,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
220,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
221,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
222,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
223,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
224,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
225,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
226,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
227,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
228,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
229,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
230,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
231,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
232,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
233,NULL,Wetland,Bareland,Water,Non_Wetland,Water
234,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
235,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
236,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
237,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
238,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
239,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
240,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
241,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
242,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
243,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
244,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
245,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
246,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
247,NULL,Wetland,Built-up,Water,Non_Wetland,Water
248,NULL,Wetland,Water,NULL,Water,Grassland
249,NULL,Wetland,Water,NULL,Water,Wetland
250,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
251,NULL,Wetland,Water,NULL,Water,Bareland
252,NULL,Wetland,Water,NULL,Water,Water
253,NULL,Wetland,Water,Non_Water,Water,Grassland
254,NULL,Wetland,Water,Non_Water,Water,Wetland
255,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
256,NULL,Wetland,Water,Non_Water,Water,Bareland
257,NULL,Wetland,Water,Non_Water,Water,Water
258,NULL,Wetland,Water,Water,NULL,Grassland
259,NULL,Wetland,Water,Water,NULL,Wetland
260,NULL,Wetland,Water,Water,Water,Grassland
261,NULL,Wetland,Water,Water,Water,Wetland
262,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
263,NULL,Wetland,Water,Water,Water,Bareland
264,NULL,Wetland,Water,Water,Water,Water
265,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
266,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
267,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
268,NULL,Wetland,Forest,NULL,Non_Wetland,Water
269,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
270,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
271,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
272,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
273,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
274,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
275,NULL,Wetland,Forest,Water,Non_Wetland,Water
276,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
277,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
278,NULL,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
279,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
280,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
281,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
282,NULL,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
283,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
284,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
285,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
286,NULL,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
287,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
288,NULL,Bareland,Wetland,NULL,NULL,Wetland
289,NULL,Bareland,Wetland,NULL,NULL,Lichens_and_Mosses
290,NULL,Bareland,Wetland,NULL,NULL,Bareland
291,NULL,Bareland,Wetland,NULL,NULL,Water
292,NULL,Bareland,Wetland,NULL,Wetland,Wetland
293,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
294,NULL,Bareland,Wetland,NULL,Wetland,Bareland
295,NULL,Bareland,Wetland,NULL,Wetland,Water
296,NULL,Bareland,Wetland,Non_Water,NULL,Lichens_and_Mosses
297,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
298,NULL,Bareland,Wetland,Non_Water,NULL,Water
299,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
300,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
301,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
302,NULL,Bareland,Wetland,Non_Water,Wetland,Water
303,NULL,Bareland,Wetland,Water,NULL,Lichens_and_Mosses
304,NULL,Bareland,Wetland,Water,NULL,Bareland
305,NULL,Bareland,Wetland,Water,NULL,Water
306,NULL,Bareland,Wetland,Water,Wetland,Wetland
307,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
308,NULL,Bareland,Wetland,Water,Wetland,Bareland
309,NULL,Bareland,Wetland,Water,Wetland,Water
310,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
311,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
312,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
313,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
314,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
315,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
316,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
317,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
318,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
319,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
320,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
321,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
322,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
323,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
324,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
325,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
326,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
327,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
328,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
329,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
330,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
331,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
332,NULL,Bareland,Bareland,Water,Non_Wetland,Water
333,NULL,Bareland,Built-up,NULL,Non_Wetland,Wetland
334,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
335,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
336,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
337,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Wetland
338,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
339,NULL,Bareland,Built-up,Water,Non_Wetland,Wetland
340,NULL,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
341,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
342,NULL,Bareland,Built-up,Water,Non_Wetland,Water
343,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
344,NULL,Bareland,Water,NULL,Water,Water
345,NULL,Bareland,Water,Non_Water,Water,Water
346,NULL,Bareland,Water,Water,NULL,Water
347,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
348,NULL,Bareland,Water,Water,Water,Bareland
349,NULL,Bareland,Water,Water,Water,Water
350,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
351,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
352,NULL,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
353,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
354,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
355,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
356,NULL,Built-up,Wetland,NULL,NULL,Grassland
357,NULL,Built-up,Wetland,NULL,NULL,Wetland
358,NULL,Built-up,Wetland,NULL,NULL,Lichens_and_Mosses
359,NULL,Built-up,Wetland,NULL,NULL,Bareland
360,NULL,Built-up,Wetland,NULL,NULL,Water
361,NULL,Built-up,Wetland,NULL,Wetland,Grassland
362,NULL,Built-up,Wetland,NULL,Wetland,Wetland
363,NULL,Built-up,Wetland,NULL,Wetland,Lichens_and_Mosses
364,NULL,Built-up,Wetland,NULL,Wetland,Bareland
365,NULL,Built-up,Wetland,NULL,Wetland,Water
366,NULL,Built-up,Wetland,Non_Water,NULL,Bareland
367,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland
368,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland
369,NULL,Built-up,Wetland,Non_Water,Wetland,Water
370,NULL,Built-up,Wetland,Water,NULL,Bareland
371,NULL,Built-up,Wetland,Water,NULL,Water
372,NULL,Built-up,Wetland,Water,Wetland,Wetland
373,NULL,Built-up,Wetland,Water,Wetland,Lichens_and_Mosses
374,NULL,Built-up,Wetland,Water,Wetland,Bareland
375,NULL,Built-up,Wetland,Water,Wetland,Water
376,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
377,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
378,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
379,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Water
380,NULL,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
381,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
382,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
383,NULL,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
384,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
385,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
386,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
387,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
388,NULL,Built-up,Bareland,Water,Non_Wetland,Lichens_and_Mosses
389,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
390,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
391,NULL,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
392,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
393,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
394,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
395,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water
396,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
397,NULL,Built-up,Built-up,Water,Non_Wetland,Water
398,NULL,Built-up,Water,Water,NULL,Water
399,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
400,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
401,NULL,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
402,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
403,NULL,Water,Shrubland,NULL,Non_Wetland,Water
404,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
405,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
406,NULL,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
407,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
408,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
409,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
