Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VVR_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VVR_M_R,SIBERIA_2024_GSW_Yearly_2021_42VVR_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VVR_M_R,SIBERIA_2024_WorldCover_2021_42VVR_M_R
259,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
260,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
261,Wetland,Cropland,Non_Water,Non_Wetland,Forest
262,Wetland,Cropland,Water,Non_Wetland,Grassland
263,Wetland,Cropland,Water,Non_Wetland,Wetland
264,Wetland,Cropland,Water,Non_Wetland,Bareland
265,Wetland,Cropland,Water,Non_Wetland,Water
266,Wetland,Cropland,Water,Non_Wetland,Forest
267,Wetland,Wetland,NULL,Wetland,NULL
268,Wetland,Wetland,NULL,Wetland,Grassland
269,Wetland,Wetland,NULL,Wetland,Wetland
270,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
271,Wetland,Wetland,NULL,Wetland,Built-up
272,Wetland,Wetland,NULL,Wetland,Water
273,Wetland,Wetland,NULL,Wetland,Forest
274,Wetland,Wetland,Non_Water,Wetland,NULL
275,Wetland,Wetland,Non_Water,Wetland,Grassland
276,Wetland,Wetland,Non_Water,Wetland,Wetland
277,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
278,Wetland,Wetland,Non_Water,Wetland,Water
279,Wetland,Wetland,Non_Water,Wetland,Forest
280,Wetland,Wetland,Water,Wetland,NULL
281,Wetland,Wetland,Water,Wetland,Grassland
282,Wetland,Wetland,Water,Wetland,Wetland
283,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
284,Wetland,Wetland,Water,Wetland,Bareland
285,Wetland,Wetland,Water,Wetland,Water
286,Wetland,Wetland,Water,Wetland,Forest
287,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
288,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
289,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
290,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
291,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
292,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
293,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
294,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
295,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
296,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
297,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
298,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
299,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
300,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
301,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
302,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
303,Wetland,Bareland,NULL,Non_Wetland,NULL
304,Wetland,Bareland,NULL,Non_Wetland,Grassland
305,Wetland,Bareland,NULL,Non_Wetland,Wetland
306,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
307,Wetland,Bareland,NULL,Non_Wetland,Bareland
308,Wetland,Bareland,NULL,Non_Wetland,Built-up
309,Wetland,Bareland,NULL,Non_Wetland,Water
310,Wetland,Bareland,NULL,Non_Wetland,Forest
311,Wetland,Bareland,Non_Water,Non_Wetland,NULL
312,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
313,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
314,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
315,Wetland,Bareland,Non_Water,Non_Wetland,Water
316,Wetland,Bareland,Non_Water,Non_Wetland,Forest
317,Wetland,Bareland,Water,Non_Wetland,NULL
318,Wetland,Bareland,Water,Non_Wetland,Grassland
319,Wetland,Bareland,Water,Non_Wetland,Wetland
320,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
321,Wetland,Bareland,Water,Non_Wetland,Bareland
322,Wetland,Bareland,Water,Non_Wetland,Water
323,Wetland,Bareland,Water,Non_Wetland,Forest
324,Wetland,Built-up,NULL,Non_Wetland,NULL
325,Wetland,Built-up,NULL,Non_Wetland,Grassland
326,Wetland,Built-up,NULL,Non_Wetland,Wetland
327,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
328,Wetland,Built-up,NULL,Non_Wetland,Built-up
329,Wetland,Built-up,NULL,Non_Wetland,Forest
330,Wetland,Built-up,Water,Non_Wetland,Wetland
331,Wetland,Built-up,Water,Non_Wetland,Water
332,Wetland,Built-up,Water,Non_Wetland,Forest
333,Wetland,Water,NULL,Water,NULL
334,Wetland,Water,NULL,Water,Grassland
335,Wetland,Water,NULL,Water,Wetland
336,Wetland,Water,NULL,Water,Lichens_and_Mosses
337,Wetland,Water,NULL,Water,Water
338,Wetland,Water,NULL,Water,Forest
339,Wetland,Water,Non_Water,Water,NULL
340,Wetland,Water,Non_Water,Water,Grassland
341,Wetland,Water,Non_Water,Water,Wetland
342,Wetland,Water,Non_Water,Water,Water
343,Wetland,Water,Non_Water,Water,Forest
344,Wetland,Water,Water,Water,NULL
345,Wetland,Water,Water,Water,Grassland
346,Wetland,Water,Water,Water,Wetland
347,Wetland,Water,Water,Water,Lichens_and_Mosses
348,Wetland,Water,Water,Water,Water
349,Wetland,Water,Water,Water,Forest
350,Wetland,Forest,NULL,Non_Wetland,NULL
351,Wetland,Forest,NULL,Non_Wetland,Grassland
352,Wetland,Forest,NULL,Non_Wetland,Wetland
353,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
354,Wetland,Forest,NULL,Non_Wetland,Bareland
355,Wetland,Forest,NULL,Non_Wetland,Built-up
356,Wetland,Forest,NULL,Non_Wetland,Water
357,Wetland,Forest,NULL,Non_Wetland,Forest
358,Wetland,Forest,Non_Water,Non_Wetland,NULL
359,Wetland,Forest,Non_Water,Non_Wetland,Grassland
360,Wetland,Forest,Non_Water,Non_Wetland,Wetland
361,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
362,Wetland,Forest,Non_Water,Non_Wetland,Bareland
363,Wetland,Forest,Non_Water,Non_Wetland,Water
364,Wetland,Forest,Non_Water,Non_Wetland,Forest
365,Wetland,Forest,Water,Non_Wetland,NULL
366,Wetland,Forest,Water,Non_Wetland,Grassland
367,Wetland,Forest,Water,Non_Wetland,Wetland
368,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
369,Wetland,Forest,Water,Non_Wetland,Water
370,Wetland,Forest,Water,Non_Wetland,Forest
371,Bareland,NULL,NULL,Non_Wetland,Grassland
372,Bareland,NULL,NULL,Non_Wetland,Bareland
373,Bareland,NULL,NULL,Non_Wetland,Water
374,Bareland,NULL,NULL,Non_Wetland,Forest
375,Bareland,NULL,Water,Non_Wetland,Lichens_and_Mosses
376,Bareland,NULL,Water,Non_Wetland,Bareland
377,Bareland,NULL,Water,Non_Wetland,Water
378,Bareland,NULL,Water,Non_Wetland,Forest
379,Bareland,Shrubland,NULL,Non_Wetland,Grassland
380,Bareland,Shrubland,NULL,Non_Wetland,Bareland
381,Bareland,Shrubland,NULL,Non_Wetland,Water
382,Bareland,Shrubland,NULL,Non_Wetland,Forest
383,Bareland,Shrubland,Water,Non_Wetland,Water
384,Bareland,Grassland,NULL,Non_Wetland,Forest
385,Bareland,Cropland,NULL,Non_Wetland,Grassland
386,Bareland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
387,Bareland,Cropland,NULL,Non_Wetland,Bareland
388,Bareland,Cropland,NULL,Non_Wetland,Water
389,Bareland,Cropland,NULL,Non_Wetland,Forest
390,Bareland,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
391,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
392,Bareland,Cropland,Non_Water,Non_Wetland,Water
393,Bareland,Cropland,Water,Non_Wetland,Grassland
394,Bareland,Cropland,Water,Non_Wetland,Lichens_and_Mosses
395,Bareland,Cropland,Water,Non_Wetland,Water
396,Bareland,Wetland,NULL,Wetland,Grassland
397,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
398,Bareland,Wetland,NULL,Wetland,Bareland
399,Bareland,Wetland,NULL,Wetland,Water
400,Bareland,Wetland,NULL,Wetland,Forest
401,Bareland,Wetland,Non_Water,Wetland,Grassland
402,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
403,Bareland,Wetland,Non_Water,Wetland,Bareland
404,Bareland,Wetland,Non_Water,Wetland,Water
405,Bareland,Wetland,Non_Water,Wetland,Forest
406,Bareland,Wetland,Water,Wetland,Grassland
407,Bareland,Wetland,Water,Wetland,Wetland
408,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
409,Bareland,Wetland,Water,Wetland,Bareland
410,Bareland,Wetland,Water,Wetland,Water
411,Bareland,Wetland,Water,Wetland,Forest
412,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
413,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
414,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
415,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
416,Bareland,Bareland,NULL,Non_Wetland,Grassland
417,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
418,Bareland,Bareland,NULL,Non_Wetland,Bareland
419,Bareland,Bareland,NULL,Non_Wetland,Built-up
420,Bareland,Bareland,NULL,Non_Wetland,Water
421,Bareland,Bareland,NULL,Non_Wetland,Forest
422,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
423,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
424,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
425,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
426,Bareland,Bareland,Non_Water,Non_Wetland,Water
427,Bareland,Bareland,Non_Water,Non_Wetland,Forest
428,Bareland,Bareland,Water,Non_Wetland,Grassland
429,Bareland,Bareland,Water,Non_Wetland,Wetland
430,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
431,Bareland,Bareland,Water,Non_Wetland,Bareland
432,Bareland,Bareland,Water,Non_Wetland,Water
433,Bareland,Built-up,NULL,Non_Wetland,Bareland
434,Bareland,Built-up,NULL,Non_Wetland,Built-up
435,Bareland,Built-up,NULL,Non_Wetland,Forest
436,Bareland,Built-up,Water,Non_Wetland,Water
437,Bareland,Water,NULL,Water,Lichens_and_Mosses
438,Bareland,Water,NULL,Water,Bareland
439,Bareland,Water,NULL,Water,Water
440,Bareland,Water,NULL,Water,Forest
441,Bareland,Water,Non_Water,Water,Grassland
442,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
443,Bareland,Water,Non_Water,Water,Bareland
444,Bareland,Water,Non_Water,Water,Water
445,Bareland,Water,Water,Water,Grassland
446,Bareland,Water,Water,Water,Wetland
447,Bareland,Water,Water,Water,Lichens_and_Mosses
448,Bareland,Water,Water,Water,Bareland
449,Bareland,Water,Water,Water,Water
450,Bareland,Water,Water,Water,Forest
451,Bareland,Forest,NULL,Non_Wetland,Grassland
452,Bareland,Forest,NULL,Non_Wetland,Wetland
453,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
454,Bareland,Forest,NULL,Non_Wetland,Bareland
455,Bareland,Forest,NULL,Non_Wetland,Water
456,Bareland,Forest,NULL,Non_Wetland,Forest
457,Bareland,Forest,Non_Water,Non_Wetland,Grassland
458,Bareland,Forest,Non_Water,Non_Wetland,Bareland
459,Bareland,Forest,Water,Non_Wetland,Water
460,Bareland,Forest,Water,Non_Wetland,Forest
461,Built-up,NULL,NULL,Non_Wetland,Forest
462,Built-up,NULL,Water,Non_Wetland,Lichens_and_Mosses
463,Built-up,NULL,Water,Non_Wetland,Forest
464,Built-up,Shrubland,NULL,Non_Wetland,NULL
465,Built-up,Shrubland,NULL,Non_Wetland,Grassland
466,Built-up,Shrubland,NULL,Non_Wetland,Wetland
467,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
468,Built-up,Shrubland,NULL,Non_Wetland,Built-up
469,Built-up,Shrubland,NULL,Non_Wetland,Forest
470,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
471,Built-up,Shrubland,Water,Non_Wetland,Water
472,Built-up,Grassland,NULL,Non_Wetland,Grassland
473,Built-up,Grassland,NULL,Non_Wetland,Built-up
474,Built-up,Grassland,NULL,Non_Wetland,Forest
475,Built-up,Cropland,NULL,Non_Wetland,Grassland
476,Built-up,Cropland,NULL,Non_Wetland,Wetland
477,Built-up,Cropland,NULL,Non_Wetland,Bareland
