Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VWJ_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VWJ_M_R,SIBERIA_2024_GSW_Yearly_2021_45VWJ_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VWJ_M_R,SIBERIA_2024_WorldCover_2021_45VWJ_M_R
271,Water,NULL,NULL,Non_Wetland,Forest
272,Water,NULL,Non_Water,Non_Wetland,Grassland
273,Water,NULL,Non_Water,Non_Wetland,Wetland
274,Water,NULL,Non_Water,Non_Wetland,Water
275,Water,NULL,Non_Water,Non_Wetland,Forest
276,Water,NULL,Water,Non_Wetland,Grassland
277,Water,NULL,Water,Non_Wetland,Wetland
278,Water,NULL,Water,Non_Wetland,Bareland
279,Water,NULL,Water,Non_Wetland,Water
280,Water,NULL,Water,Non_Wetland,Forest
281,Water,Shrubland,NULL,Non_Wetland,Grassland
282,Water,Shrubland,NULL,Non_Wetland,Wetland
283,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
284,Water,Shrubland,NULL,Non_Wetland,Bareland
285,Water,Shrubland,NULL,Non_Wetland,Water
286,Water,Shrubland,NULL,Non_Wetland,Forest
287,Water,Shrubland,Non_Water,Non_Wetland,Water
288,Water,Shrubland,Water,Non_Wetland,Grassland
289,Water,Shrubland,Water,Non_Wetland,Wetland
290,Water,Shrubland,Water,Non_Wetland,Bareland
291,Water,Shrubland,Water,Non_Wetland,Water
292,Water,Shrubland,Water,Non_Wetland,Forest
293,Water,Grassland,NULL,Non_Wetland,Grassland
294,Water,Grassland,NULL,Non_Wetland,Wetland
295,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
296,Water,Grassland,NULL,Non_Wetland,Bareland
297,Water,Grassland,NULL,Non_Wetland,Water
298,Water,Grassland,NULL,Non_Wetland,Forest
299,Water,Grassland,Water,Non_Wetland,Grassland
300,Water,Grassland,Water,Non_Wetland,Wetland
301,Water,Grassland,Water,Non_Wetland,Bareland
302,Water,Grassland,Water,Non_Wetland,Water
303,Water,Grassland,Water,Non_Wetland,Forest
304,Water,Wetland,NULL,Wetland,Grassland
305,Water,Wetland,NULL,Wetland,Wetland
306,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
307,Water,Wetland,NULL,Wetland,Bareland
308,Water,Wetland,NULL,Wetland,Water
309,Water,Wetland,NULL,Wetland,Forest
310,Water,Wetland,Non_Water,Wetland,Wetland
311,Water,Wetland,Non_Water,Wetland,Water
312,Water,Wetland,Non_Water,Wetland,Forest
313,Water,Wetland,Water,Wetland,Grassland
314,Water,Wetland,Water,Wetland,Wetland
315,Water,Wetland,Water,Wetland,Lichens_and_Mosses
316,Water,Wetland,Water,Wetland,Bareland
317,Water,Wetland,Water,Wetland,Water
318,Water,Wetland,Water,Wetland,Forest
319,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
320,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
321,Water,Bareland,NULL,Non_Wetland,Grassland
322,Water,Bareland,NULL,Non_Wetland,Wetland
323,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
324,Water,Bareland,NULL,Non_Wetland,Bareland
325,Water,Bareland,NULL,Non_Wetland,Water
326,Water,Bareland,NULL,Non_Wetland,Forest
327,Water,Bareland,Non_Water,Non_Wetland,Water
328,Water,Bareland,Water,Non_Wetland,Grassland
329,Water,Bareland,Water,Non_Wetland,Wetland
330,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
331,Water,Bareland,Water,Non_Wetland,Bareland
332,Water,Bareland,Water,Non_Wetland,Built-up
333,Water,Bareland,Water,Non_Wetland,Water
334,Water,Bareland,Water,Non_Wetland,Forest
335,Water,Built-up,NULL,Non_Wetland,Grassland
336,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
337,Water,Built-up,NULL,Non_Wetland,Bareland
338,Water,Built-up,NULL,Non_Wetland,Water
339,Water,Built-up,NULL,Non_Wetland,Forest
340,Water,Built-up,Water,Non_Wetland,Grassland
341,Water,Built-up,Water,Non_Wetland,Wetland
342,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
343,Water,Built-up,Water,Non_Wetland,Water
344,Water,Built-up,Water,Non_Wetland,Forest
345,Water,Water,NULL,Water,Grassland
346,Water,Water,NULL,Water,Wetland
347,Water,Water,NULL,Water,Bareland
348,Water,Water,NULL,Water,Water
349,Water,Water,NULL,Water,Forest
350,Water,Water,Non_Water,Water,Grassland
351,Water,Water,Non_Water,Water,Wetland
352,Water,Water,Non_Water,Water,Water
353,Water,Water,Non_Water,Water,Forest
354,Water,Water,Water,Water,Grassland
355,Water,Water,Water,Water,Wetland
356,Water,Water,Water,Water,Lichens_and_Mosses
357,Water,Water,Water,Water,Bareland
358,Water,Water,Water,Water,Water
359,Water,Water,Water,Water,Forest
360,Water,Forest,NULL,Non_Wetland,Grassland
361,Water,Forest,NULL,Non_Wetland,Wetland
362,Water,Forest,NULL,Non_Wetland,Bareland
363,Water,Forest,NULL,Non_Wetland,Water
364,Water,Forest,NULL,Non_Wetland,Forest
365,Water,Forest,Non_Water,Non_Wetland,Grassland
366,Water,Forest,Non_Water,Non_Wetland,Wetland
367,Water,Forest,Non_Water,Non_Wetland,Water
368,Water,Forest,Non_Water,Non_Wetland,Forest
369,Water,Forest,Water,Non_Wetland,Grassland
370,Water,Forest,Water,Non_Wetland,Wetland
371,Water,Forest,Water,Non_Wetland,Bareland
372,Water,Forest,Water,Non_Wetland,Water
373,Water,Forest,Water,Non_Wetland,Forest
374,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
375,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
376,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
377,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
378,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Grassland
379,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Water
380,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
381,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
382,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Built-up
383,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
384,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
385,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Built-up
386,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
387,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Grassland
388,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Forest
389,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
390,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
391,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
392,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
393,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
394,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
395,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
396,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
397,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
398,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
399,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
400,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
401,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Forest
402,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
403,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
404,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
405,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
406,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
407,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
408,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
409,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
410,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
411,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
412,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
413,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Water
414,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
415,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Forest
416,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Forest
417,Permanent_ice_and_snow,Water,NULL,Water,Grassland
418,Permanent_ice_and_snow,Water,NULL,Water,Wetland
419,Permanent_ice_and_snow,Water,NULL,Water,Bareland
420,Permanent_ice_and_snow,Water,NULL,Water,Water
421,Permanent_ice_and_snow,Water,NULL,Water,Forest
422,Permanent_ice_and_snow,Water,Water,Water,Grassland
423,Permanent_ice_and_snow,Water,Water,Water,Wetland
424,Permanent_ice_and_snow,Water,Water,Water,Water
425,Permanent_ice_and_snow,Water,Water,Water,Forest
426,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
427,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
428,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
429,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
430,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
431,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Grassland
432,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Wetland
433,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
434,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
435,Forest,NULL,NULL,Non_Wetland,NULL
436,Forest,NULL,NULL,Non_Wetland,Grassland
437,Forest,NULL,NULL,Non_Wetland,Wetland
438,Forest,NULL,NULL,Non_Wetland,Water
439,Forest,NULL,NULL,Non_Wetland,Forest
440,Forest,NULL,Non_Water,Non_Wetland,Grassland
441,Forest,NULL,Non_Water,Non_Wetland,Water
442,Forest,NULL,Non_Water,Non_Wetland,Forest
443,Forest,NULL,Water,Non_Wetland,Grassland
444,Forest,NULL,Water,Non_Wetland,Water
445,Forest,NULL,Water,Non_Wetland,Forest
446,Forest,Shrubland,NULL,Non_Wetland,NULL
447,Forest,Shrubland,NULL,Non_Wetland,Grassland
448,Forest,Shrubland,NULL,Non_Wetland,Wetland
449,Forest,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
450,Forest,Shrubland,NULL,Non_Wetland,Water
451,Forest,Shrubland,NULL,Non_Wetland,Forest
452,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
453,Forest,Shrubland,Non_Water,Non_Wetland,Forest
454,Forest,Shrubland,Water,Non_Wetland,Grassland
455,Forest,Shrubland,Water,Non_Wetland,Bareland
456,Forest,Shrubland,Water,Non_Wetland,Water
457,Forest,Shrubland,Water,Non_Wetland,Forest
458,Forest,Grassland,NULL,Non_Wetland,NULL
459,Forest,Grassland,NULL,Non_Wetland,Grassland
460,Forest,Grassland,NULL,Non_Wetland,Wetland
461,Forest,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
462,Forest,Grassland,NULL,Non_Wetland,Water
463,Forest,Grassland,NULL,Non_Wetland,Forest
464,Forest,Grassland,Non_Water,Non_Wetland,Grassland
465,Forest,Grassland,Non_Water,Non_Wetland,Forest
466,Forest,Grassland,Water,Non_Wetland,Grassland
467,Forest,Grassland,Water,Non_Wetland,Forest
468,Forest,Cropland,NULL,Non_Wetland,Forest
469,Forest,Wetland,NULL,Wetland,NULL
470,Forest,Wetland,NULL,Wetland,Grassland
471,Forest,Wetland,NULL,Wetland,Wetland
472,Forest,Wetland,NULL,Wetland,Water
473,Forest,Wetland,NULL,Wetland,Forest
474,Forest,Wetland,Non_Water,Wetland,Grassland
475,Forest,Wetland,Non_Water,Wetland,Wetland
476,Forest,Wetland,Non_Water,Wetland,Water
477,Forest,Wetland,Non_Water,Wetland,Forest
478,Forest,Wetland,Water,Wetland,Grassland
479,Forest,Wetland,Water,Wetland,Wetland
480,Forest,Wetland,Water,Wetland,Water
481,Forest,Wetland,Water,Wetland,Forest
482,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
483,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
484,Forest,Bareland,NULL,Non_Wetland,NULL
485,Forest,Bareland,NULL,Non_Wetland,Grassland
486,Forest,Bareland,NULL,Non_Wetland,Wetland
487,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
488,Forest,Bareland,NULL,Non_Wetland,Bareland
489,Forest,Bareland,NULL,Non_Wetland,Built-up
