Value,SIBERIA_2024_ESA_CALU_2024_43WEN_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WEN_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WEN_M_R,SIBERIA_2024_GSW_Yearly_2021_43WEN_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WEN_M_R,SIBERIA_2024_WorldCover_2021_43WEN_M_R
114,NULL,NULL,Water,NULL,Water,Grassland
115,NULL,NULL,Water,NULL,Water,Wetland
116,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
117,NULL,NULL,Water,NULL,Water,Bareland
118,NULL,NULL,Water,NULL,Water,Water
119,NULL,NULL,Water,NULL,Water,Forest
120,NULL,NULL,Water,Non_Water,Water,Grassland
121,NULL,NULL,Water,Non_Water,Water,Wetland
122,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
123,NULL,NULL,Water,Non_Water,Water,Water
124,NULL,NULL,Water,Water,Water,Grassland
125,NULL,NULL,Water,Water,Water,Wetland
126,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
127,NULL,NULL,Water,Water,Water,Bareland
128,NULL,NULL,Water,Water,Water,Water
129,NULL,NULL,Water,Water,Water,Forest
130,NULL,NULL,Forest,NULL,Non_Wetland,NULL
131,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
132,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
133,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
134,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
135,NULL,NULL,Forest,NULL,Non_Wetland,Water
136,NULL,NULL,Forest,NULL,Non_Wetland,Forest
137,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
138,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
139,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
140,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
141,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
142,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
143,NULL,NULL,Forest,Water,Non_Wetland,Grassland
144,NULL,NULL,Forest,Water,Non_Wetland,Wetland
145,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
146,NULL,NULL,Forest,Water,Non_Wetland,Bareland
147,NULL,NULL,Forest,Water,Non_Wetland,Water
148,NULL,NULL,Forest,Water,Non_Wetland,Forest
149,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
150,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
151,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
152,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
153,NULL,Cropland,Wetland,NULL,Wetland,Grassland
154,NULL,Cropland,Wetland,NULL,Wetland,Wetland
155,NULL,Cropland,Wetland,NULL,Wetland,Forest
156,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
157,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
158,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
159,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
160,NULL,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
161,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
162,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
163,NULL,Cropland,Bareland,Water,Non_Wetland,Wetland
164,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
165,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
166,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
167,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
168,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
169,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
170,NULL,Wetland,NULL,NULL,Non_Wetland,Water
171,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
172,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
173,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
174,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water
175,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
176,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
177,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
178,NULL,Wetland,NULL,Water,Non_Wetland,Water
179,NULL,Wetland,NULL,Water,Non_Wetland,Forest
180,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
181,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
182,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
183,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
184,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
185,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
186,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
187,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
188,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
189,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
190,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
191,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
192,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
193,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
194,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
195,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
196,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
197,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
198,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
199,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
200,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
201,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
202,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
203,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
204,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
205,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
206,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
207,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
208,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
209,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
210,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
211,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
212,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
213,NULL,Wetland,Grassland,Water,Non_Wetland,Water
214,NULL,Wetland,Grassland,Water,Non_Wetland,Forest
215,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
216,NULL,Wetland,Wetland,NULL,Wetland,NULL
217,NULL,Wetland,Wetland,NULL,Wetland,Grassland
218,NULL,Wetland,Wetland,NULL,Wetland,Wetland
219,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
220,NULL,Wetland,Wetland,NULL,Wetland,Bareland
221,NULL,Wetland,Wetland,NULL,Wetland,Water
222,NULL,Wetland,Wetland,NULL,Wetland,Forest
223,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
224,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
225,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
226,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
227,NULL,Wetland,Wetland,Non_Water,Wetland,Water
228,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
229,NULL,Wetland,Wetland,Water,Wetland,Grassland
230,NULL,Wetland,Wetland,Water,Wetland,Wetland
231,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
232,NULL,Wetland,Wetland,Water,Wetland,Bareland
233,NULL,Wetland,Wetland,Water,Wetland,Water
234,NULL,Wetland,Wetland,Water,Wetland,Forest
235,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
236,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
237,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
238,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
239,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
240,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
241,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
242,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
243,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
244,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
245,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
246,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
247,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
248,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
249,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
250,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
251,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
252,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
253,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
254,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
255,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
256,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
257,NULL,Wetland,Bareland,NULL,Non_Wetland,Built-up
258,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
259,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
260,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
261,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
262,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
263,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
264,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
265,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Forest
266,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
267,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
268,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
269,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
270,NULL,Wetland,Bareland,Water,Non_Wetland,Water
271,NULL,Wetland,Bareland,Water,Non_Wetland,Forest
272,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
273,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
274,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
275,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
276,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
277,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
278,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
279,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
280,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
281,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
282,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
283,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Forest
284,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
285,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
286,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
287,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
288,NULL,Wetland,Built-up,Water,Non_Wetland,Water
289,NULL,Wetland,Water,NULL,Water,Grassland
290,NULL,Wetland,Water,NULL,Water,Wetland
291,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
292,NULL,Wetland,Water,NULL,Water,Bareland
293,NULL,Wetland,Water,NULL,Water,Water
294,NULL,Wetland,Water,NULL,Water,Forest
295,NULL,Wetland,Water,Non_Water,Water,Grassland
296,NULL,Wetland,Water,Non_Water,Water,Wetland
297,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
298,NULL,Wetland,Water,Non_Water,Water,Bareland
299,NULL,Wetland,Water,Non_Water,Water,Water
300,NULL,Wetland,Water,Non_Water,Water,Forest
301,NULL,Wetland,Water,Water,Water,Grassland
302,NULL,Wetland,Water,Water,Water,Wetland
303,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
304,NULL,Wetland,Water,Water,Water,Bareland
305,NULL,Wetland,Water,Water,Water,Water
306,NULL,Wetland,Water,Water,Water,Forest
307,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
308,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
309,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
310,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
311,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
312,NULL,Wetland,Forest,NULL,Non_Wetland,Built-up
313,NULL,Wetland,Forest,NULL,Non_Wetland,Water
314,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
315,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
316,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
317,NULL,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
318,NULL,Wetland,Forest,Non_Water,Non_Wetland,Bareland
319,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
320,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
321,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
322,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
323,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
324,NULL,Wetland,Forest,Water,Non_Wetland,Bareland
325,NULL,Wetland,Forest,Water,Non_Wetland,Water
326,NULL,Wetland,Forest,Water,Non_Wetland,Forest
327,NULL,Bareland,NULL,NULL,Non_Wetland,Water
328,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
329,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
330,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
331,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
332,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
333,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
334,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland
335,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
336,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
337,NULL,Bareland,Wetland,NULL,Wetland,Grassland
338,NULL,Bareland,Wetland,NULL,Wetland,Wetland
339,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
340,NULL,Bareland,Wetland,NULL,Wetland,Bareland
341,NULL,Bareland,Wetland,NULL,Wetland,Water
342,NULL,Bareland,Wetland,NULL,Wetland,Forest
343,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
344,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
345,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
346,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
347,NULL,Bareland,Wetland,Non_Water,Wetland,Water
348,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
349,NULL,Bareland,Wetland,Water,Wetland,Grassland
350,NULL,Bareland,Wetland,Water,Wetland,Wetland
351,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
352,NULL,Bareland,Wetland,Water,Wetland,Bareland
353,NULL,Bareland,Wetland,Water,Wetland,Water
354,NULL,Bareland,Wetland,Water,Wetland,Forest
355,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
356,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
357,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
358,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
359,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
360,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
361,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
362,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
363,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
364,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
365,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
366,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
367,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
368,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
369,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
370,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
371,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
372,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
373,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
374,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
375,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Forest
376,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
377,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
378,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
379,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
380,NULL,Bareland,Bareland,Water,Non_Wetland,Water
381,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
382,NULL,Bareland,Built-up,NULL,Non_Wetland,Wetland
383,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
384,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
385,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
386,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
387,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
388,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
389,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
390,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
391,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
392,NULL,Bareland,Built-up,Water,Non_Wetland,Grassland
393,NULL,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
394,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
395,NULL,Bareland,Built-up,Water,Non_Wetland,Water
396,NULL,Bareland,Water,NULL,Water,Grassland
397,NULL,Bareland,Water,NULL,Water,Wetland
398,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
399,NULL,Bareland,Water,NULL,Water,Bareland
400,NULL,Bareland,Water,NULL,Water,Water
401,NULL,Bareland,Water,NULL,Water,Forest
402,NULL,Bareland,Water,Non_Water,Water,Grassland
403,NULL,Bareland,Water,Non_Water,Water,Wetland
404,NULL,Bareland,Water,Non_Water,Water,Bareland
405,NULL,Bareland,Water,Non_Water,Water,Water
406,NULL,Bareland,Water,Water,Water,Grassland
407,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
408,NULL,Bareland,Water,Water,Water,Bareland
409,NULL,Bareland,Water,Water,Water,Water
410,NULL,Bareland,Water,Water,Water,Forest
411,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
412,NULL,Bareland,Forest,NULL,Non_Wetland,Wetland
413,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
