Value,SIBERIA_2024_ESA_CALU_2024_43XEA_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43XEA_M_R,SIBERIA_2024_GLC_FCS30D_2022_43XEA_M_R,SIBERIA_2024_GSW_Yearly_2021_43XEA_M_R,SIBERIA_2024_GWL_FCS30D_2022_43XEA_M_R,SIBERIA_2024_WorldCover_2021_43XEA_M_R
188,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
189,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
190,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
191,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
192,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
193,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
194,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
195,NULL,Wetland,Bareland,Water,Non_Wetland,Water
196,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
197,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
198,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
199,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
200,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
201,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
202,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
203,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
204,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
205,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
206,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
207,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
208,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
209,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
210,NULL,Wetland,Built-up,Water,Non_Wetland,Water
211,NULL,Wetland,Water,NULL,NULL,Grassland
212,NULL,Wetland,Water,NULL,NULL,Wetland
213,NULL,Wetland,Water,NULL,NULL,Bareland
214,NULL,Wetland,Water,NULL,NULL,Water
215,NULL,Wetland,Water,NULL,Water,Grassland
216,NULL,Wetland,Water,NULL,Water,Wetland
217,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
218,NULL,Wetland,Water,NULL,Water,Bareland
219,NULL,Wetland,Water,NULL,Water,Water
220,NULL,Wetland,Water,Non_Water,NULL,Wetland
221,NULL,Wetland,Water,Non_Water,NULL,Water
222,NULL,Wetland,Water,Non_Water,Water,Grassland
223,NULL,Wetland,Water,Non_Water,Water,Wetland
224,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
225,NULL,Wetland,Water,Non_Water,Water,Bareland
226,NULL,Wetland,Water,Non_Water,Water,Water
227,NULL,Wetland,Water,Water,NULL,Grassland
228,NULL,Wetland,Water,Water,NULL,Wetland
229,NULL,Wetland,Water,Water,NULL,Water
230,NULL,Wetland,Water,Water,Water,Grassland
231,NULL,Wetland,Water,Water,Water,Wetland
232,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
233,NULL,Wetland,Water,Water,Water,Bareland
234,NULL,Wetland,Water,Water,Water,Water
235,NULL,Wetland,Permanent_ice_and_snow,NULL,Non_Wetland,Wetland
236,NULL,Wetland,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
237,NULL,Wetland,Permanent_ice_and_snow,NULL,Non_Wetland,Water
238,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
239,NULL,Wetland,Forest,NULL,Non_Wetland,Water
240,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
241,NULL,Wetland,Forest,Water,Non_Wetland,Water
242,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
243,NULL,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
244,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
245,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
246,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
247,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
248,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
249,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
250,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland
251,NULL,Bareland,Wetland,NULL,NULL,Wetland
252,NULL,Bareland,Wetland,NULL,NULL,Lichens_and_Mosses
253,NULL,Bareland,Wetland,NULL,NULL,Bareland
254,NULL,Bareland,Wetland,NULL,NULL,Water
255,NULL,Bareland,Wetland,NULL,Wetland,Wetland
256,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
257,NULL,Bareland,Wetland,NULL,Wetland,Bareland
258,NULL,Bareland,Wetland,NULL,Wetland,Water
259,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
260,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
261,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
262,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
263,NULL,Bareland,Wetland,Non_Water,Wetland,Water
264,NULL,Bareland,Wetland,Water,NULL,Wetland
265,NULL,Bareland,Wetland,Water,NULL,Lichens_and_Mosses
266,NULL,Bareland,Wetland,Water,NULL,Bareland
267,NULL,Bareland,Wetland,Water,NULL,Water
268,NULL,Bareland,Wetland,Water,Wetland,Wetland
269,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
270,NULL,Bareland,Wetland,Water,Wetland,Bareland
271,NULL,Bareland,Wetland,Water,Wetland,Water
272,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
273,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
274,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
275,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
276,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
277,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
278,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
279,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
280,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
281,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
282,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
283,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
284,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
285,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
286,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
287,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
288,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
289,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
290,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
291,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
292,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
293,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
294,NULL,Bareland,Bareland,Water,Non_Wetland,Water
295,NULL,Bareland,Built-up,NULL,Non_Wetland,Wetland
296,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
297,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
298,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
299,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Wetland
300,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
301,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
302,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
303,NULL,Bareland,Built-up,Water,Non_Wetland,Wetland
304,NULL,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
305,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
306,NULL,Bareland,Built-up,Water,Non_Wetland,Water
307,NULL,Bareland,Water,NULL,NULL,Bareland
308,NULL,Bareland,Water,NULL,NULL,Water
309,NULL,Bareland,Water,NULL,Water,Wetland
310,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
311,NULL,Bareland,Water,NULL,Water,Bareland
312,NULL,Bareland,Water,NULL,Water,Water
313,NULL,Bareland,Water,Non_Water,Water,Wetland
314,NULL,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
315,NULL,Bareland,Water,Non_Water,Water,Bareland
316,NULL,Bareland,Water,Non_Water,Water,Water
317,NULL,Bareland,Water,Water,NULL,Water
318,NULL,Bareland,Water,Water,Water,Wetland
319,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
320,NULL,Bareland,Water,Water,Water,Bareland
321,NULL,Bareland,Water,Water,Water,Water
322,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
323,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
324,NULL,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
325,NULL,Water,Shrubland,NULL,Non_Wetland,Water
326,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
327,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
328,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
329,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
330,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
331,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
332,NULL,Water,Shrubland,Water,Non_Wetland,Water
333,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
334,NULL,Water,Grassland,NULL,Non_Wetland,Water
335,NULL,Water,Grassland,Non_Water,Non_Wetland,Wetland
336,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
337,NULL,Water,Grassland,Water,Non_Wetland,Wetland
338,NULL,Water,Grassland,Water,Non_Wetland,Water
339,NULL,Water,Wetland,NULL,NULL,Grassland
340,NULL,Water,Wetland,NULL,NULL,Wetland
341,NULL,Water,Wetland,NULL,NULL,Lichens_and_Mosses
342,NULL,Water,Wetland,NULL,NULL,Bareland
343,NULL,Water,Wetland,NULL,NULL,Water
344,NULL,Water,Wetland,NULL,Wetland,Grassland
345,NULL,Water,Wetland,NULL,Wetland,Wetland
346,NULL,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
347,NULL,Water,Wetland,NULL,Wetland,Bareland
348,NULL,Water,Wetland,NULL,Wetland,Water
349,NULL,Water,Wetland,Non_Water,NULL,Wetland
350,NULL,Water,Wetland,Non_Water,NULL,Bareland
351,NULL,Water,Wetland,Non_Water,NULL,Water
352,NULL,Water,Wetland,Non_Water,Wetland,Grassland
353,NULL,Water,Wetland,Non_Water,Wetland,Wetland
354,NULL,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
355,NULL,Water,Wetland,Non_Water,Wetland,Bareland
356,NULL,Water,Wetland,Non_Water,Wetland,Water
357,NULL,Water,Wetland,Water,NULL,Grassland
358,NULL,Water,Wetland,Water,NULL,Wetland
359,NULL,Water,Wetland,Water,NULL,Lichens_and_Mosses
360,NULL,Water,Wetland,Water,NULL,Bareland
361,NULL,Water,Wetland,Water,NULL,Water
362,NULL,Water,Wetland,Water,Wetland,Grassland
363,NULL,Water,Wetland,Water,Wetland,Wetland
364,NULL,Water,Wetland,Water,Wetland,Lichens_and_Mosses
365,NULL,Water,Wetland,Water,Wetland,Bareland
366,NULL,Water,Wetland,Water,Wetland,Water
367,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
368,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
369,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
370,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
371,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
372,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
373,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
374,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
375,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
376,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
377,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
378,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
379,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
380,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
381,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
382,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
383,NULL,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
384,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
385,NULL,Water,Bareland,NULL,Non_Wetland,Water
386,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
387,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
388,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
389,NULL,Water,Bareland,Water,Non_Wetland,Grassland
390,NULL,Water,Bareland,Water,Non_Wetland,Wetland
391,NULL,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
392,NULL,Water,Bareland,Water,Non_Wetland,Water
393,NULL,Water,Built-up,NULL,Non_Wetland,Wetland
394,NULL,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
395,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
396,NULL,Water,Built-up,NULL,Non_Wetland,Water
397,NULL,Water,Built-up,Non_Water,Non_Wetland,Wetland
398,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
399,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
400,NULL,Water,Built-up,Water,Non_Wetland,Wetland
401,NULL,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
402,NULL,Water,Built-up,Water,Non_Wetland,Bareland
403,NULL,Water,Built-up,Water,Non_Wetland,Water
404,NULL,Water,Water,NULL,NULL,Wetland
405,NULL,Water,Water,NULL,NULL,Lichens_and_Mosses
406,NULL,Water,Water,NULL,NULL,Bareland
407,NULL,Water,Water,NULL,NULL,Water
408,NULL,Water,Water,NULL,Water,Grassland
409,NULL,Water,Water,NULL,Water,Wetland
410,NULL,Water,Water,NULL,Water,Lichens_and_Mosses
411,NULL,Water,Water,NULL,Water,Bareland
412,NULL,Water,Water,NULL,Water,Water
413,NULL,Water,Water,Non_Water,NULL,Wetland
414,NULL,Water,Water,Non_Water,NULL,Lichens_and_Mosses
415,NULL,Water,Water,Non_Water,NULL,Bareland
416,NULL,Water,Water,Non_Water,NULL,Water
417,NULL,Water,Water,Non_Water,Water,Wetland
418,NULL,Water,Water,Non_Water,Water,Lichens_and_Mosses
419,NULL,Water,Water,Non_Water,Water,Bareland
420,NULL,Water,Water,Non_Water,Water,Water
