Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VVK_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VVK_M_R,SIBERIA_2024_GSW_Yearly_2021_45VVK_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VVK_M_R,SIBERIA_2024_WorldCover_2021_45VVK_M_R
266,Bareland,Grassland,NULL,Non_Wetland,Bareland
267,Bareland,Grassland,NULL,Non_Wetland,Water
268,Bareland,Grassland,NULL,Non_Wetland,Forest
269,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
270,Bareland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
271,Bareland,Grassland,Water,Non_Wetland,Grassland
272,Bareland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
273,Bareland,Grassland,Water,Non_Wetland,Bareland
274,Bareland,Grassland,Water,Non_Wetland,Water
275,Bareland,Wetland,NULL,Wetland,Wetland
276,Bareland,Wetland,NULL,Wetland,Water
277,Bareland,Wetland,NULL,Wetland,Forest
278,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
279,Bareland,Wetland,Non_Water,Wetland,Forest
280,Bareland,Wetland,Water,Wetland,Grassland
281,Bareland,Wetland,Water,Wetland,Wetland
282,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
283,Bareland,Wetland,Water,Wetland,Bareland
284,Bareland,Wetland,Water,Wetland,Water
285,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
286,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
287,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
288,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
289,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
290,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
291,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
292,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
293,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
294,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
295,Bareland,Bareland,NULL,Non_Wetland,Grassland
296,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
297,Bareland,Bareland,NULL,Non_Wetland,Bareland
298,Bareland,Bareland,NULL,Non_Wetland,Water
299,Bareland,Bareland,NULL,Non_Wetland,Forest
300,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
301,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
302,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
303,Bareland,Bareland,Non_Water,Non_Wetland,Water
304,Bareland,Bareland,Non_Water,Non_Wetland,Forest
305,Bareland,Bareland,Water,Non_Wetland,Grassland
306,Bareland,Bareland,Water,Non_Wetland,Wetland
307,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
308,Bareland,Bareland,Water,Non_Wetland,Bareland
309,Bareland,Bareland,Water,Non_Wetland,Water
310,Bareland,Bareland,Water,Non_Wetland,Forest
311,Bareland,Built-up,NULL,Non_Wetland,Grassland
312,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
313,Bareland,Built-up,NULL,Non_Wetland,Bareland
314,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
315,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
316,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
317,Bareland,Built-up,Water,Non_Wetland,Grassland
318,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
319,Bareland,Built-up,Water,Non_Wetland,Bareland
320,Bareland,Built-up,Water,Non_Wetland,Water
321,Bareland,Water,NULL,Water,Grassland
322,Bareland,Water,NULL,Water,Lichens_and_Mosses
323,Bareland,Water,NULL,Water,Bareland
324,Bareland,Water,NULL,Water,Water
325,Bareland,Water,NULL,Water,Forest
326,Bareland,Water,Non_Water,Water,Grassland
327,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
328,Bareland,Water,Non_Water,Water,Bareland
329,Bareland,Water,Non_Water,Water,Water
330,Bareland,Water,Water,Water,Grassland
331,Bareland,Water,Water,Water,Wetland
332,Bareland,Water,Water,Water,Lichens_and_Mosses
333,Bareland,Water,Water,Water,Bareland
334,Bareland,Water,Water,Water,Water
335,Bareland,Water,Water,Water,Forest
336,Bareland,Forest,NULL,Non_Wetland,Grassland
337,Bareland,Forest,NULL,Non_Wetland,Wetland
338,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
339,Bareland,Forest,NULL,Non_Wetland,Bareland
340,Bareland,Forest,NULL,Non_Wetland,Water
341,Bareland,Forest,NULL,Non_Wetland,Forest
342,Bareland,Forest,Non_Water,Non_Wetland,Water
343,Bareland,Forest,Non_Water,Non_Wetland,Forest
344,Bareland,Forest,Water,Non_Wetland,Lichens_and_Mosses
345,Bareland,Forest,Water,Non_Wetland,Bareland
346,Bareland,Forest,Water,Non_Wetland,Water
347,Bareland,Forest,Water,Non_Wetland,Forest
348,Built-up,NULL,NULL,Non_Wetland,Grassland
349,Built-up,NULL,NULL,Non_Wetland,Forest
350,Built-up,Shrubland,NULL,Non_Wetland,Built-up
351,Built-up,Shrubland,NULL,Non_Wetland,Forest
352,Built-up,Shrubland,Water,Non_Wetland,Forest
353,Built-up,Grassland,NULL,Non_Wetland,Grassland
354,Built-up,Grassland,NULL,Non_Wetland,Built-up
355,Built-up,Grassland,NULL,Non_Wetland,Forest
356,Built-up,Wetland,NULL,Wetland,Forest
357,Built-up,Bareland,NULL,Non_Wetland,Grassland
358,Built-up,Bareland,NULL,Non_Wetland,Built-up
359,Built-up,Bareland,NULL,Non_Wetland,Forest
360,Built-up,Built-up,NULL,Non_Wetland,Built-up
361,Built-up,Built-up,NULL,Non_Wetland,Forest
362,Built-up,Forest,NULL,Non_Wetland,Grassland
363,Built-up,Forest,NULL,Non_Wetland,Built-up
364,Built-up,Forest,NULL,Non_Wetland,Forest
365,Water,NULL,NULL,Non_Wetland,Grassland
366,Water,NULL,NULL,Non_Wetland,Wetland
367,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
368,Water,NULL,NULL,Non_Wetland,Bareland
369,Water,NULL,NULL,Non_Wetland,Water
370,Water,NULL,NULL,Non_Wetland,Forest
371,Water,NULL,Non_Water,Non_Wetland,Grassland
372,Water,NULL,Non_Water,Non_Wetland,Wetland
373,Water,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
374,Water,NULL,Non_Water,Non_Wetland,Bareland
375,Water,NULL,Non_Water,Non_Wetland,Water
376,Water,NULL,Non_Water,Non_Wetland,Forest
377,Water,NULL,Water,Non_Wetland,Grassland
378,Water,NULL,Water,Non_Wetland,Wetland
379,Water,NULL,Water,Non_Wetland,Lichens_and_Mosses
380,Water,NULL,Water,Non_Wetland,Bareland
381,Water,NULL,Water,Non_Wetland,Water
382,Water,NULL,Water,Non_Wetland,Forest
383,Water,Shrubland,NULL,Non_Wetland,Grassland
384,Water,Shrubland,NULL,Non_Wetland,Wetland
385,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
386,Water,Shrubland,NULL,Non_Wetland,Bareland
387,Water,Shrubland,NULL,Non_Wetland,Water
388,Water,Shrubland,NULL,Non_Wetland,Forest
389,Water,Shrubland,Non_Water,Non_Wetland,Grassland
390,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
391,Water,Shrubland,Non_Water,Non_Wetland,Bareland
392,Water,Shrubland,Non_Water,Non_Wetland,Water
393,Water,Shrubland,Non_Water,Non_Wetland,Forest
394,Water,Shrubland,Water,Non_Wetland,Grassland
395,Water,Shrubland,Water,Non_Wetland,Wetland
396,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
397,Water,Shrubland,Water,Non_Wetland,Bareland
398,Water,Shrubland,Water,Non_Wetland,Water
399,Water,Shrubland,Water,Non_Wetland,Forest
400,Water,Grassland,NULL,Non_Wetland,Grassland
401,Water,Grassland,NULL,Non_Wetland,Wetland
402,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
403,Water,Grassland,NULL,Non_Wetland,Bareland
404,Water,Grassland,NULL,Non_Wetland,Water
405,Water,Grassland,NULL,Non_Wetland,Forest
406,Water,Grassland,Non_Water,Non_Wetland,Grassland
407,Water,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
408,Water,Grassland,Non_Water,Non_Wetland,Bareland
409,Water,Grassland,Non_Water,Non_Wetland,Water
410,Water,Grassland,Non_Water,Non_Wetland,Forest
411,Water,Grassland,Water,Non_Wetland,Grassland
412,Water,Grassland,Water,Non_Wetland,Wetland
413,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
414,Water,Grassland,Water,Non_Wetland,Bareland
415,Water,Grassland,Water,Non_Wetland,Water
416,Water,Grassland,Water,Non_Wetland,Forest
417,Water,Wetland,NULL,Wetland,NULL
418,Water,Wetland,NULL,Wetland,Grassland
419,Water,Wetland,NULL,Wetland,Wetland
420,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
421,Water,Wetland,NULL,Wetland,Bareland
422,Water,Wetland,NULL,Wetland,Water
423,Water,Wetland,NULL,Wetland,Forest
424,Water,Wetland,Non_Water,Wetland,Grassland
425,Water,Wetland,Non_Water,Wetland,Wetland
426,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
427,Water,Wetland,Non_Water,Wetland,Bareland
428,Water,Wetland,Non_Water,Wetland,Water
429,Water,Wetland,Non_Water,Wetland,Forest
430,Water,Wetland,Water,Wetland,NULL
431,Water,Wetland,Water,Wetland,Grassland
432,Water,Wetland,Water,Wetland,Wetland
433,Water,Wetland,Water,Wetland,Lichens_and_Mosses
434,Water,Wetland,Water,Wetland,Bareland
435,Water,Wetland,Water,Wetland,Water
436,Water,Wetland,Water,Wetland,Forest
437,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
438,Water,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
439,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
440,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
441,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
442,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
443,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
444,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
445,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
446,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
447,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
448,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
449,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
450,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
451,Water,Lichens_and_Mosses,Water,Non_Wetland,Forest
452,Water,Bareland,NULL,Non_Wetland,Grassland
453,Water,Bareland,NULL,Non_Wetland,Wetland
454,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
455,Water,Bareland,NULL,Non_Wetland,Bareland
456,Water,Bareland,NULL,Non_Wetland,Water
457,Water,Bareland,NULL,Non_Wetland,Forest
458,Water,Bareland,Non_Water,Non_Wetland,Grassland
459,Water,Bareland,Non_Water,Non_Wetland,Wetland
460,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
461,Water,Bareland,Non_Water,Non_Wetland,Bareland
462,Water,Bareland,Non_Water,Non_Wetland,Water
463,Water,Bareland,Non_Water,Non_Wetland,Forest
464,Water,Bareland,Water,Non_Wetland,Grassland
465,Water,Bareland,Water,Non_Wetland,Wetland
466,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
467,Water,Bareland,Water,Non_Wetland,Bareland
468,Water,Bareland,Water,Non_Wetland,Water
469,Water,Bareland,Water,Non_Wetland,Forest
470,Water,Built-up,NULL,Non_Wetland,Grassland
471,Water,Built-up,NULL,Non_Wetland,Wetland
472,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
473,Water,Built-up,NULL,Non_Wetland,Bareland
474,Water,Built-up,NULL,Non_Wetland,Water
475,Water,Built-up,NULL,Non_Wetland,Forest
476,Water,Built-up,Non_Water,Non_Wetland,Grassland
477,Water,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
478,Water,Built-up,Non_Water,Non_Wetland,Bareland
479,Water,Built-up,Non_Water,Non_Wetland,Water
480,Water,Built-up,Water,Non_Wetland,Grassland
481,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
482,Water,Built-up,Water,Non_Wetland,Bareland
483,Water,Built-up,Water,Non_Wetland,Water
