Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VWF_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VWF_M_R,SIBERIA_2024_GSW_Yearly_2021_45VWF_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VWF_M_R,SIBERIA_2024_WorldCover_2021_45VWF_M_R
267,Wetland,Water,NULL,Water,Forest
268,Wetland,Water,Non_Water,Water,Wetland
269,Wetland,Water,Non_Water,Water,Water
270,Wetland,Water,Non_Water,Water,Forest
271,Wetland,Water,Water,Water,Grassland
272,Wetland,Water,Water,Water,Wetland
273,Wetland,Water,Water,Water,Water
274,Wetland,Water,Water,Water,Forest
275,Wetland,Forest,NULL,Non_Wetland,NULL
276,Wetland,Forest,NULL,Non_Wetland,Grassland
277,Wetland,Forest,NULL,Non_Wetland,Wetland
278,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
279,Wetland,Forest,NULL,Non_Wetland,Bareland
280,Wetland,Forest,NULL,Non_Wetland,Water
281,Wetland,Forest,NULL,Non_Wetland,Forest
282,Wetland,Forest,Non_Water,Non_Wetland,Wetland
283,Wetland,Forest,Non_Water,Non_Wetland,Water
284,Wetland,Forest,Non_Water,Non_Wetland,Forest
285,Wetland,Forest,Water,Non_Wetland,Grassland
286,Wetland,Forest,Water,Non_Wetland,Cropland
287,Wetland,Forest,Water,Non_Wetland,Wetland
288,Wetland,Forest,Water,Non_Wetland,Water
289,Wetland,Forest,Water,Non_Wetland,Forest
290,Bareland,NULL,NULL,Non_Wetland,Forest
291,Bareland,NULL,Water,Non_Wetland,Water
292,Bareland,NULL,Water,Non_Wetland,Forest
293,Bareland,Shrubland,NULL,Non_Wetland,Grassland
294,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
295,Bareland,Shrubland,Water,Non_Wetland,Bareland
296,Bareland,Shrubland,Water,Non_Wetland,Water
297,Bareland,Grassland,Water,Non_Wetland,Bareland
298,Bareland,Grassland,Water,Non_Wetland,Water
299,Bareland,Cropland,NULL,Non_Wetland,Grassland
300,Bareland,Cropland,NULL,Non_Wetland,Bareland
301,Bareland,Cropland,Water,Non_Wetland,Grassland
302,Bareland,Cropland,Water,Non_Wetland,Lichens_and_Mosses
303,Bareland,Cropland,Water,Non_Wetland,Bareland
304,Bareland,Cropland,Water,Non_Wetland,Water
305,Bareland,Cropland,Water,Non_Wetland,Forest
306,Bareland,Wetland,NULL,Wetland,Bareland
307,Bareland,Wetland,NULL,Wetland,Forest
308,Bareland,Wetland,Water,Wetland,Grassland
309,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
310,Bareland,Wetland,Water,Wetland,Bareland
311,Bareland,Wetland,Water,Wetland,Water
312,Bareland,Wetland,Water,Wetland,Forest
313,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
314,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
315,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
316,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
317,Bareland,Bareland,Water,Non_Wetland,Grassland
318,Bareland,Bareland,Water,Non_Wetland,Bareland
319,Bareland,Bareland,Water,Non_Wetland,Water
320,Bareland,Bareland,Water,Non_Wetland,Forest
321,Bareland,Built-up,NULL,Non_Wetland,Grassland
322,Bareland,Built-up,Water,Non_Wetland,Grassland
323,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
324,Bareland,Built-up,Water,Non_Wetland,Bareland
325,Bareland,Built-up,Water,Non_Wetland,Water
326,Bareland,Built-up,Water,Non_Wetland,Forest
327,Bareland,Water,NULL,Water,Grassland
328,Bareland,Water,NULL,Water,Wetland
329,Bareland,Water,NULL,Water,Water
330,Bareland,Water,Water,Water,Lichens_and_Mosses
331,Bareland,Water,Water,Water,Bareland
332,Bareland,Water,Water,Water,Water
333,Bareland,Water,Water,Water,Forest
334,Bareland,Forest,NULL,Non_Wetland,Water
335,Bareland,Forest,NULL,Non_Wetland,Forest
336,Bareland,Forest,Water,Non_Wetland,Grassland
337,Bareland,Forest,Water,Non_Wetland,Forest
338,Built-up,NULL,NULL,Non_Wetland,Grassland
339,Built-up,NULL,NULL,Non_Wetland,Forest
340,Built-up,Shrubland,NULL,Non_Wetland,Grassland
341,Built-up,Shrubland,NULL,Non_Wetland,Cropland
342,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
343,Built-up,Shrubland,NULL,Non_Wetland,Bareland
344,Built-up,Shrubland,NULL,Non_Wetland,Built-up
345,Built-up,Shrubland,NULL,Non_Wetland,Forest
346,Built-up,Grassland,NULL,Non_Wetland,Grassland
347,Built-up,Grassland,NULL,Non_Wetland,Cropland
348,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
349,Built-up,Grassland,NULL,Non_Wetland,Bareland
350,Built-up,Grassland,NULL,Non_Wetland,Built-up
351,Built-up,Grassland,NULL,Non_Wetland,Forest
352,Built-up,Cropland,NULL,Non_Wetland,Grassland
353,Built-up,Cropland,NULL,Non_Wetland,Cropland
354,Built-up,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
355,Built-up,Cropland,NULL,Non_Wetland,Bareland
356,Built-up,Cropland,NULL,Non_Wetland,Built-up
357,Built-up,Cropland,NULL,Non_Wetland,Forest
358,Built-up,Wetland,NULL,Wetland,Forest
359,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
360,Built-up,Bareland,NULL,Non_Wetland,Grassland
361,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
362,Built-up,Bareland,NULL,Non_Wetland,Bareland
363,Built-up,Bareland,NULL,Non_Wetland,Built-up
364,Built-up,Bareland,NULL,Non_Wetland,Forest
365,Built-up,Bareland,Water,Non_Wetland,Forest
366,Built-up,Built-up,NULL,Non_Wetland,Grassland
367,Built-up,Built-up,NULL,Non_Wetland,Cropland
368,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
369,Built-up,Built-up,NULL,Non_Wetland,Bareland
370,Built-up,Built-up,NULL,Non_Wetland,Built-up
371,Built-up,Built-up,NULL,Non_Wetland,Forest
372,Built-up,Forest,NULL,Non_Wetland,Grassland
373,Built-up,Forest,NULL,Non_Wetland,Built-up
374,Built-up,Forest,NULL,Non_Wetland,Forest
375,Water,NULL,NULL,Non_Wetland,Grassland
376,Water,NULL,NULL,Non_Wetland,Wetland
377,Water,NULL,NULL,Non_Wetland,Water
378,Water,NULL,NULL,Non_Wetland,Forest
379,Water,NULL,Non_Water,Non_Wetland,Wetland
380,Water,NULL,Non_Water,Non_Wetland,Water
381,Water,NULL,Non_Water,Non_Wetland,Forest
382,Water,NULL,Water,Non_Wetland,Grassland
383,Water,NULL,Water,Non_Wetland,Wetland
384,Water,NULL,Water,Non_Wetland,Lichens_and_Mosses
385,Water,NULL,Water,Non_Wetland,Bareland
386,Water,NULL,Water,Non_Wetland,Water
387,Water,NULL,Water,Non_Wetland,Forest
388,Water,Shrubland,NULL,Non_Wetland,Grassland
389,Water,Shrubland,NULL,Non_Wetland,Wetland
390,Water,Shrubland,Water,Non_Wetland,Grassland
391,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
392,Water,Shrubland,Water,Non_Wetland,Bareland
393,Water,Shrubland,Water,Non_Wetland,Water
394,Water,Grassland,NULL,Non_Wetland,Grassland
395,Water,Grassland,NULL,Non_Wetland,Cropland
396,Water,Grassland,NULL,Non_Wetland,Bareland
397,Water,Grassland,NULL,Non_Wetland,Water
398,Water,Grassland,NULL,Non_Wetland,Forest
399,Water,Grassland,Water,Non_Wetland,Grassland
400,Water,Grassland,Water,Non_Wetland,Cropland
401,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
402,Water,Grassland,Water,Non_Wetland,Bareland
403,Water,Grassland,Water,Non_Wetland,Water
404,Water,Grassland,Water,Non_Wetland,Forest
405,Water,Cropland,NULL,Non_Wetland,Grassland
406,Water,Cropland,NULL,Non_Wetland,Cropland
407,Water,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
408,Water,Cropland,NULL,Non_Wetland,Bareland
409,Water,Cropland,NULL,Non_Wetland,Water
410,Water,Cropland,NULL,Non_Wetland,Forest
411,Water,Cropland,Non_Water,Non_Wetland,Grassland
412,Water,Cropland,Non_Water,Non_Wetland,Cropland
413,Water,Cropland,Water,Non_Wetland,Grassland
414,Water,Cropland,Water,Non_Wetland,Cropland
415,Water,Cropland,Water,Non_Wetland,Lichens_and_Mosses
416,Water,Cropland,Water,Non_Wetland,Bareland
417,Water,Cropland,Water,Non_Wetland,Water
418,Water,Cropland,Water,Non_Wetland,Forest
419,Water,Wetland,NULL,Wetland,NULL
420,Water,Wetland,NULL,Wetland,Grassland
421,Water,Wetland,NULL,Wetland,Cropland
422,Water,Wetland,NULL,Wetland,Wetland
423,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
424,Water,Wetland,NULL,Wetland,Bareland
425,Water,Wetland,NULL,Wetland,Water
426,Water,Wetland,NULL,Wetland,Forest
427,Water,Wetland,Non_Water,Wetland,Grassland
428,Water,Wetland,Non_Water,Wetland,Wetland
429,Water,Wetland,Non_Water,Wetland,Water
430,Water,Wetland,Non_Water,Wetland,Forest
431,Water,Wetland,Water,Wetland,Grassland
432,Water,Wetland,Water,Wetland,Cropland
433,Water,Wetland,Water,Wetland,Wetland
434,Water,Wetland,Water,Wetland,Lichens_and_Mosses
435,Water,Wetland,Water,Wetland,Bareland
436,Water,Wetland,Water,Wetland,Water
437,Water,Wetland,Water,Wetland,Forest
438,Water,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
439,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
440,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
441,Water,Lichens_and_Mosses,Water,Non_Wetland,Cropland
442,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
443,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
444,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
445,Water,Bareland,NULL,Non_Wetland,Grassland
446,Water,Bareland,NULL,Non_Wetland,Cropland
447,Water,Bareland,NULL,Non_Wetland,Wetland
448,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
449,Water,Bareland,NULL,Non_Wetland,Bareland
450,Water,Bareland,NULL,Non_Wetland,Water
451,Water,Bareland,NULL,Non_Wetland,Forest
452,Water,Bareland,Non_Water,Non_Wetland,Grassland
453,Water,Bareland,Non_Water,Non_Wetland,Water
454,Water,Bareland,Non_Water,Non_Wetland,Forest
455,Water,Bareland,Water,Non_Wetland,Grassland
456,Water,Bareland,Water,Non_Wetland,Cropland
457,Water,Bareland,Water,Non_Wetland,Wetland
458,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
459,Water,Bareland,Water,Non_Wetland,Bareland
460,Water,Bareland,Water,Non_Wetland,Water
461,Water,Bareland,Water,Non_Wetland,Forest
462,Water,Built-up,NULL,Non_Wetland,Grassland
463,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
464,Water,Built-up,NULL,Non_Wetland,Bareland
465,Water,Built-up,NULL,Non_Wetland,Built-up
466,Water,Built-up,NULL,Non_Wetland,Water
467,Water,Built-up,NULL,Non_Wetland,Forest
468,Water,Built-up,Water,Non_Wetland,Grassland
469,Water,Built-up,Water,Non_Wetland,Cropland
470,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
471,Water,Built-up,Water,Non_Wetland,Bareland
472,Water,Built-up,Water,Non_Wetland,Water
473,Water,Built-up,Water,Non_Wetland,Forest
474,Water,Water,NULL,Water,Grassland
475,Water,Water,NULL,Water,Wetland
476,Water,Water,NULL,Water,Lichens_and_Mosses
477,Water,Water,NULL,Water,Bareland
478,Water,Water,NULL,Water,Water
479,Water,Water,NULL,Water,Forest
480,Water,Water,Non_Water,Water,Wetland
481,Water,Water,Non_Water,Water,Water
482,Water,Water,Non_Water,Water,Forest
483,Water,Water,Water,Water,Grassland
484,Water,Water,Water,Water,Cropland
485,Water,Water,Water,Water,Wetland
486,Water,Water,Water,Water,Lichens_and_Mosses
487,Water,Water,Water,Water,Bareland
488,Water,Water,Water,Water,Water
489,Water,Water,Water,Water,Forest
490,Water,Forest,NULL,Non_Wetland,NULL
491,Water,Forest,NULL,Non_Wetland,Grassland
492,Water,Forest,NULL,Non_Wetland,Cropland
493,Water,Forest,NULL,Non_Wetland,Wetland
494,Water,Forest,NULL,Non_Wetland,Built-up
495,Water,Forest,NULL,Non_Wetland,Water
496,Water,Forest,NULL,Non_Wetland,Forest
497,Water,Forest,Non_Water,Non_Wetland,Grassland
498,Water,Forest,Non_Water,Non_Wetland,Wetland
499,Water,Forest,Non_Water,Non_Wetland,Water
