Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VUP_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VUP_M_R,SIBERIA_2024_GSW_Yearly_2021_42VUP_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VUP_M_R,SIBERIA_2024_WorldCover_2021_42VUP_M_R
262,Wetland,Shrubland,Water,Non_Wetland,Forest
263,Wetland,Grassland,NULL,Non_Wetland,Grassland
264,Wetland,Grassland,NULL,Non_Wetland,Wetland
265,Wetland,Grassland,NULL,Non_Wetland,Bareland
266,Wetland,Grassland,NULL,Non_Wetland,Built-up
267,Wetland,Grassland,NULL,Non_Wetland,Water
268,Wetland,Grassland,NULL,Non_Wetland,Forest
269,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
270,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
271,Wetland,Grassland,Non_Water,Non_Wetland,Water
272,Wetland,Grassland,Non_Water,Non_Wetland,Forest
273,Wetland,Grassland,Water,Non_Wetland,Grassland
274,Wetland,Grassland,Water,Non_Wetland,Wetland
275,Wetland,Grassland,Water,Non_Wetland,Water
276,Wetland,Cropland,NULL,Non_Wetland,NULL
277,Wetland,Cropland,NULL,Non_Wetland,Grassland
278,Wetland,Cropland,NULL,Non_Wetland,Wetland
279,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
280,Wetland,Cropland,NULL,Non_Wetland,Bareland
281,Wetland,Cropland,NULL,Non_Wetland,Built-up
282,Wetland,Cropland,NULL,Non_Wetland,Water
283,Wetland,Cropland,NULL,Non_Wetland,Forest
284,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
285,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
286,Wetland,Cropland,Water,Non_Wetland,Grassland
287,Wetland,Cropland,Water,Non_Wetland,Wetland
288,Wetland,Cropland,Water,Non_Wetland,Water
289,Wetland,Cropland,Water,Non_Wetland,Forest
290,Wetland,Wetland,NULL,Wetland,NULL
291,Wetland,Wetland,NULL,Wetland,Grassland
292,Wetland,Wetland,NULL,Wetland,Cropland
293,Wetland,Wetland,NULL,Wetland,Wetland
294,Wetland,Wetland,NULL,Wetland,Bareland
295,Wetland,Wetland,NULL,Wetland,Built-up
296,Wetland,Wetland,NULL,Wetland,Water
297,Wetland,Wetland,NULL,Wetland,Forest
298,Wetland,Wetland,Non_Water,Wetland,NULL
299,Wetland,Wetland,Non_Water,Wetland,Grassland
300,Wetland,Wetland,Non_Water,Wetland,Cropland
301,Wetland,Wetland,Non_Water,Wetland,Wetland
302,Wetland,Wetland,Non_Water,Wetland,Water
303,Wetland,Wetland,Non_Water,Wetland,Forest
304,Wetland,Wetland,Water,Wetland,NULL
305,Wetland,Wetland,Water,Wetland,Grassland
306,Wetland,Wetland,Water,Wetland,Cropland
307,Wetland,Wetland,Water,Wetland,Wetland
308,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
309,Wetland,Wetland,Water,Wetland,Water
310,Wetland,Wetland,Water,Wetland,Forest
311,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
312,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
313,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
314,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
315,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
316,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
317,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
318,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
319,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
320,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
321,Wetland,Bareland,NULL,Non_Wetland,NULL
322,Wetland,Bareland,NULL,Non_Wetland,Grassland
323,Wetland,Bareland,NULL,Non_Wetland,Cropland
324,Wetland,Bareland,NULL,Non_Wetland,Wetland
325,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
326,Wetland,Bareland,NULL,Non_Wetland,Bareland
327,Wetland,Bareland,NULL,Non_Wetland,Built-up
328,Wetland,Bareland,NULL,Non_Wetland,Water
329,Wetland,Bareland,NULL,Non_Wetland,Forest
330,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
331,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
332,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
333,Wetland,Bareland,Non_Water,Non_Wetland,Water
334,Wetland,Bareland,Non_Water,Non_Wetland,Forest
335,Wetland,Bareland,Water,Non_Wetland,Grassland
336,Wetland,Bareland,Water,Non_Wetland,Wetland
337,Wetland,Bareland,Water,Non_Wetland,Bareland
338,Wetland,Bareland,Water,Non_Wetland,Water
339,Wetland,Bareland,Water,Non_Wetland,Forest
340,Wetland,Built-up,NULL,Non_Wetland,NULL
341,Wetland,Built-up,NULL,Non_Wetland,Grassland
342,Wetland,Built-up,NULL,Non_Wetland,Wetland
343,Wetland,Built-up,NULL,Non_Wetland,Bareland
344,Wetland,Built-up,NULL,Non_Wetland,Built-up
345,Wetland,Built-up,NULL,Non_Wetland,Forest
346,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
347,Wetland,Built-up,Water,Non_Wetland,Wetland
348,Wetland,Built-up,Water,Non_Wetland,Forest
349,Wetland,Water,NULL,Water,NULL
350,Wetland,Water,NULL,Water,Grassland
351,Wetland,Water,NULL,Water,Wetland
352,Wetland,Water,NULL,Water,Water
353,Wetland,Water,NULL,Water,Forest
354,Wetland,Water,Non_Water,Water,NULL
355,Wetland,Water,Non_Water,Water,Grassland
356,Wetland,Water,Non_Water,Water,Wetland
357,Wetland,Water,Non_Water,Water,Water
358,Wetland,Water,Non_Water,Water,Forest
359,Wetland,Water,Water,Water,NULL
360,Wetland,Water,Water,Water,Grassland
361,Wetland,Water,Water,Water,Wetland
362,Wetland,Water,Water,Water,Water
363,Wetland,Water,Water,Water,Forest
364,Wetland,Forest,NULL,Non_Wetland,NULL
365,Wetland,Forest,NULL,Non_Wetland,Grassland
366,Wetland,Forest,NULL,Non_Wetland,Wetland
367,Wetland,Forest,NULL,Non_Wetland,Bareland
368,Wetland,Forest,NULL,Non_Wetland,Built-up
369,Wetland,Forest,NULL,Non_Wetland,Water
370,Wetland,Forest,NULL,Non_Wetland,Forest
371,Wetland,Forest,Non_Water,Non_Wetland,NULL
372,Wetland,Forest,Non_Water,Non_Wetland,Grassland
373,Wetland,Forest,Non_Water,Non_Wetland,Cropland
374,Wetland,Forest,Non_Water,Non_Wetland,Wetland
375,Wetland,Forest,Non_Water,Non_Wetland,Water
376,Wetland,Forest,Non_Water,Non_Wetland,Forest
377,Wetland,Forest,Water,Non_Wetland,NULL
378,Wetland,Forest,Water,Non_Wetland,Grassland
379,Wetland,Forest,Water,Non_Wetland,Wetland
380,Wetland,Forest,Water,Non_Wetland,Bareland
381,Wetland,Forest,Water,Non_Wetland,Water
382,Wetland,Forest,Water,Non_Wetland,Forest
383,Bareland,NULL,NULL,Non_Wetland,Wetland
384,Bareland,NULL,NULL,Non_Wetland,Bareland
385,Bareland,NULL,NULL,Non_Wetland,Water
386,Bareland,NULL,NULL,Non_Wetland,Forest
387,Bareland,Shrubland,NULL,Non_Wetland,Grassland
388,Bareland,Shrubland,NULL,Non_Wetland,Bareland
389,Bareland,Shrubland,NULL,Non_Wetland,Forest
390,Bareland,Grassland,NULL,Non_Wetland,Grassland
391,Bareland,Grassland,NULL,Non_Wetland,Bareland
392,Bareland,Grassland,NULL,Non_Wetland,Forest
393,Bareland,Cropland,NULL,Non_Wetland,Grassland
394,Bareland,Cropland,NULL,Non_Wetland,Bareland
395,Bareland,Cropland,NULL,Non_Wetland,Water
396,Bareland,Cropland,NULL,Non_Wetland,Forest
397,Bareland,Cropland,Water,Non_Wetland,Water
398,Bareland,Wetland,NULL,Wetland,NULL
399,Bareland,Wetland,NULL,Wetland,Grassland
400,Bareland,Wetland,NULL,Wetland,Bareland
401,Bareland,Wetland,NULL,Wetland,Water
402,Bareland,Wetland,NULL,Wetland,Forest
403,Bareland,Wetland,Non_Water,Wetland,Bareland
404,Bareland,Wetland,Non_Water,Wetland,Water
405,Bareland,Wetland,Water,Wetland,Wetland
406,Bareland,Wetland,Water,Wetland,Bareland
407,Bareland,Wetland,Water,Wetland,Water
408,Bareland,Wetland,Water,Wetland,Forest
409,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
410,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
411,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
412,Bareland,Bareland,NULL,Non_Wetland,NULL
413,Bareland,Bareland,NULL,Non_Wetland,Grassland
414,Bareland,Bareland,NULL,Non_Wetland,Cropland
415,Bareland,Bareland,NULL,Non_Wetland,Wetland
416,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
417,Bareland,Bareland,NULL,Non_Wetland,Bareland
418,Bareland,Bareland,NULL,Non_Wetland,Built-up
419,Bareland,Bareland,NULL,Non_Wetland,Water
420,Bareland,Bareland,NULL,Non_Wetland,Forest
421,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
422,Bareland,Bareland,Non_Water,Non_Wetland,Cropland
423,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
424,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
425,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
426,Bareland,Bareland,Non_Water,Non_Wetland,Water
427,Bareland,Bareland,Non_Water,Non_Wetland,Forest
428,Bareland,Bareland,Water,Non_Wetland,Grassland
429,Bareland,Bareland,Water,Non_Wetland,Bareland
430,Bareland,Bareland,Water,Non_Wetland,Water
431,Bareland,Bareland,Water,Non_Wetland,Forest
432,Bareland,Built-up,NULL,Non_Wetland,Grassland
433,Bareland,Built-up,NULL,Non_Wetland,Cropland
434,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
435,Bareland,Built-up,NULL,Non_Wetland,Bareland
436,Bareland,Built-up,NULL,Non_Wetland,Built-up
437,Bareland,Built-up,NULL,Non_Wetland,Water
438,Bareland,Built-up,NULL,Non_Wetland,Forest
439,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
440,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
441,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
442,Bareland,Built-up,Non_Water,Non_Wetland,Water
443,Bareland,Built-up,Water,Non_Wetland,Grassland
444,Bareland,Built-up,Water,Non_Wetland,Bareland
445,Bareland,Built-up,Water,Non_Wetland,Built-up
446,Bareland,Built-up,Water,Non_Wetland,Water
447,Bareland,Built-up,Water,Non_Wetland,Forest
448,Bareland,Water,NULL,Water,Grassland
449,Bareland,Water,NULL,Water,Bareland
450,Bareland,Water,NULL,Water,Forest
451,Bareland,Water,Non_Water,Water,Bareland
452,Bareland,Water,Water,Water,Bareland
453,Bareland,Water,Water,Water,Water
454,Bareland,Water,Water,Water,Forest
455,Bareland,Forest,NULL,Non_Wetland,NULL
456,Bareland,Forest,NULL,Non_Wetland,Grassland
457,Bareland,Forest,NULL,Non_Wetland,Wetland
458,Bareland,Forest,NULL,Non_Wetland,Bareland
459,Bareland,Forest,NULL,Non_Wetland,Water
460,Bareland,Forest,NULL,Non_Wetland,Forest
461,Bareland,Forest,Non_Water,Non_Wetland,Bareland
462,Bareland,Forest,Non_Water,Non_Wetland,Water
463,Bareland,Forest,Water,Non_Wetland,Bareland
464,Bareland,Forest,Water,Non_Wetland,Water
465,Bareland,Forest,Water,Non_Wetland,Forest
466,Built-up,NULL,NULL,Non_Wetland,Grassland
467,Built-up,NULL,NULL,Non_Wetland,Wetland
468,Built-up,NULL,NULL,Non_Wetland,Bareland
469,Built-up,NULL,NULL,Non_Wetland,Built-up
470,Built-up,NULL,NULL,Non_Wetland,Water
471,Built-up,NULL,NULL,Non_Wetland,Forest
472,Built-up,NULL,Water,Non_Wetland,Forest
473,Built-up,Shrubland,NULL,Non_Wetland,Grassland
474,Built-up,Shrubland,NULL,Non_Wetland,Cropland
475,Built-up,Shrubland,NULL,Non_Wetland,Wetland
476,Built-up,Shrubland,NULL,Non_Wetland,Bareland
477,Built-up,Shrubland,NULL,Non_Wetland,Built-up
478,Built-up,Shrubland,NULL,Non_Wetland,Water
479,Built-up,Shrubland,NULL,Non_Wetland,Forest
480,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
481,Built-up,Shrubland,Water,Non_Wetland,Grassland
482,Built-up,Shrubland,Water,Non_Wetland,Forest
483,Built-up,Grassland,NULL,Non_Wetland,Grassland
484,Built-up,Grassland,NULL,Non_Wetland,Cropland
485,Built-up,Grassland,NULL,Non_Wetland,Wetland
